,Possession_Barcelona,Possession_Elche
0,65%,35%
1,Passing Accuracy,Passing Accuracy
2,723 of 787 —  92%,84%  — 360 of 428
3,Shots on Target,Shots on Target
4,5 of 9 —  56%,17%  — 1 of 6
5,Saves,Saves
6,1 of 1 —  100%,40%  — 2 of 5
7,Cards,Cards
8,,
