,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Lionel Messi,10.0,ar  ARG,"FW,AM",33-245,90,86,0,0,45,48,5,81,3,5,60.0,3,0,68,397,245,16,5,1,2,4,92,79,85.9,7
1,Martin Braithwaite,9.0,dk  DEN,"LW,FW",29-264,75,28,0,2,8,18,8,27,0,0,,0,0,19,79,23,1,0,1,2,2,25,20,80.0,10
2,Antoine Griezmann,7.0,fr  FRA,FW,29-340,15,11,1,1,4,6,2,11,0,0,,0,0,8,33,19,2,0,0,0,1,7,7,100.0,2
3,Francisco Trincão,17.0,pt  POR,RW,21-057,66,44,0,1,25,22,4,44,2,5,40.0,2,0,37,187,54,5,1,0,1,1,41,38,92.7,11
4,Sergio Busquets,5.0,es  ESP,RW,32-223,24,25,1,6,19,0,0,25,0,0,,0,0,16,32,3,0,0,0,0,0,18,17,94.4,0
5,Pedri,16.0,es  ESP,CM,18-091,90,91,2,12,64,24,1,88,1,3,33.3,1,0,66,349,146,7,3,0,1,0,79,73,92.4,5
6,Frenkie de Jong,21.0,nl  NED,CM,23-288,90,114,2,17,82,25,2,113,2,3,66.7,2,1,93,637,440,25,5,2,0,2,108,100,92.6,7
7,Miralem Pjanić,8.0,ba  BIH,DM,30-328,45,55,3,7,43,7,0,55,2,2,100.0,2,1,43,132,34,2,0,0,0,0,49,48,98.0,2
8,Ousmane Dembélé,11.0,fr  FRA,LW,23-285,45,33,0,1,14,21,2,32,1,2,50.0,1,0,21,97,19,2,0,0,2,0,35,27,77.1,3
9,Jordi Alba,18.0,es  ESP,LB,31-340,76,77,2,15,36,33,1,68,0,1,0.0,0,0,51,182,70,5,2,0,2,0,63,56,88.9,3
10,Sergiño Dest,2.0,us  USA,LB,20-113,14,9,1,3,1,5,0,9,0,0,,0,0,6,22,1,0,0,0,1,0,10,7,70.0,1
11,Samuel Umtiti,23.0,fr  FRA,CB,27-102,90,100,10,39,69,1,0,100,1,1,100.0,1,0,77,310,192,4,1,0,0,0,79,79,100.0,0
12,Gerard Piqué,3.0,es  ESP,CB,34-022,76,97,3,25,79,2,1,95,0,0,,0,0,77,513,360,10,0,0,0,0,86,83,96.5,1
13,Clément Lenglet,15.0,fr  FRA,CB,25-252,14,15,3,7,8,0,0,15,0,0,,0,0,14,74,40,2,0,0,0,0,12,11,91.7,0
14,Óscar Mingueza,28.0,es  ESP,RB,21-287,90,77,1,7,58,18,1,75,2,2,100.0,2,0,59,169,82,5,4,0,0,0,64,62,96.9,1
15,Marc-André ter Stegen,1.0,de  GER,GK,28-300,90,24,18,23,1,0,0,19,0,0,,0,0,13,32,19,0,0,0,0,0,16,16,100.0,0
16,16 Players,,,,,990,886,47,166,556,230,27,857,14,24,58.3,14,2,668,3245,1747,86,21,4,11,10,784,723,92.2,53
