,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Lionel Messi,10.0,ar  ARG,"FW,AM",33-245,90,0,0,0,0,0,0,0,,0,7,0,0.0,0,3,4,0,0,0,0,0,0,0,0
1,Martin Braithwaite,9.0,dk  DEN,"LW,FW",29-264,75,1,1,0,1,0,0,0,,0,8,2,25.0,0,3,5,0,0,0,0,2,3,1,0
2,Antoine Griezmann,7.0,fr  FRA,FW,29-340,15,1,0,0,1,0,0,0,,0,3,1,33.3,0,2,1,0,0,0,0,0,1,0,0
3,Francisco Trincão,17.0,pt  POR,RW,21-057,66,1,1,0,1,0,0,0,,0,11,2,18.2,2,3,6,0,0,0,0,1,2,0,0
4,Sergio Busquets,5.0,es  ESP,RW,32-223,24,2,1,1,1,0,2,2,100.0,0,9,2,22.2,3,6,0,0,0,0,0,1,3,0,0
5,Pedri,16.0,es  ESP,CM,18-091,90,3,3,1,2,0,2,3,66.7,1,20,8,40.0,4,6,10,2,0,0,2,3,6,1,0
6,Frenkie de Jong,21.0,nl  NED,CM,23-288,90,1,0,1,0,0,1,1,100.0,0,6,2,33.3,1,3,2,1,0,0,1,1,2,0,0
7,Miralem Pjanić,8.0,ba  BIH,DM,30-328,45,0,0,0,0,0,0,0,,0,4,0,0.0,0,4,0,1,0,0,1,1,1,2,0
8,Ousmane Dembélé,11.0,fr  FRA,LW,23-285,45,1,0,0,1,0,1,1,100.0,0,7,1,14.3,3,2,2,0,0,0,0,0,1,0,0
9,Jordi Alba,18.0,es  ESP,LB,31-340,76,0,0,0,0,0,0,0,,0,9,1,11.1,3,4,2,1,0,0,1,3,3,1,0
10,Sergiño Dest,2.0,us  USA,LB,20-113,14,0,0,0,0,0,0,0,,0,6,2,33.3,2,1,3,0,0,0,0,0,0,0,0
11,Samuel Umtiti,23.0,fr  FRA,CB,27-102,90,2,1,1,1,0,0,0,,0,9,2,22.2,1,8,0,1,0,0,1,1,3,3,0
12,Gerard Piqué,3.0,es  ESP,CB,34-022,76,3,2,0,2,1,1,1,100.0,0,9,4,44.4,2,7,0,0,0,0,0,0,3,2,0
13,Clément Lenglet,15.0,fr  FRA,CB,25-252,14,1,1,1,0,0,0,0,,0,6,5,83.3,2,4,0,0,0,0,0,1,2,0,0
14,Óscar Mingueza,28.0,es  ESP,RB,21-287,90,3,3,0,2,1,2,3,66.7,1,21,9,42.9,4,12,5,2,0,0,2,0,3,1,0
15,Marc-André ter Stegen,1.0,de  GER,GK,28-300,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
16,16 Players,,,,,990,19,13,5,12,2,9,11,81.8,2,135,41,30.4,27,68,40,8,0,0,8,14,33,11,0
