,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Tammy Abraham,eng  ENG,FW,Roma,23,1997,34.3,1111,33,87,559,523,201,1043,37,76,48.7,39,3,616,2634,1350,84,28,23,82,44,1413,767,54.3,230
1,Francesco Acerbi,it  ITA,DF,Lazio,33,1988,28.2,2263,348,1183,1167,65,22,2197,3,4,75.0,3,0,1478,8032,4557,98,20,0,8,3,1659,1631,98.3,10
2,Michel Aebischer,ch  SUI,MF,Bologna,24,1997,4.9,282,13,64,159,67,6,268,1,3,33.3,1,0,190,735,344,11,1,0,3,7,218,198,90.8,8
3,Felix Afena-Gyan,gh  GHA,"FW,MF",Roma,18,2003,7.4,308,0,22,126,192,52,299,9,23,39.1,10,1,242,1183,769,29,16,7,33,32,372,220,59.1,66
4,Kevin Agudelo,co  COL,"MF,FW",Spezia,22,1998,13.7,604,11,89,300,285,43,592,28,51,54.9,29,1,454,2659,1566,76,34,15,21,53,497,385,77.5,58
5,Ola Aina,ng  NGA,DF,Torino,24,1996,16.0,976,51,248,470,327,33,832,16,31,51.6,17,2,541,3052,1833,86,30,11,24,18,643,553,86.0,45
6,Marley Aké,fr  FRA,"MF,FW",Juventus,20,2001,0.9,25,0,2,14,10,0,24,0,1,0.0,0,0,18,107,62,2,0,0,3,2,23,18,78.3,3
7,Jean-Daniel Akpa-Akpro,ci  CIV,MF,Lazio,28,1992,3.5,169,9,41,97,43,1,169,7,12,58.3,8,0,118,490,242,5,4,0,4,5,133,109,82.0,12
8,Luis Alberto,es  ESP,MF,Lazio,28,1992,26.1,2189,23,319,1240,804,39,1996,25,44,56.8,27,7,1628,8233,4861,200,91,9,16,28,1856,1704,91.8,100
9,Giorgio Altare,it  ITA,DF,Cagliari,22,1998,16.3,1005,109,435,485,128,26,916,6,8,75.0,6,0,520,2425,1242,37,15,0,5,3,518,497,95.9,9
10,Wisdom Amey,it  ITA,DF,Bologna,15,2005,0.8,38,2,16,21,4,0,35,0,0,,0,0,22,138,66,2,1,0,0,0,19,18,94.7,0
11,Kelvin Amian,fr  FRA,DF,Spezia,23,1998,29.4,1453,130,597,631,300,37,1191,21,32,65.6,21,0,753,3461,1786,60,17,4,21,21,850,753,88.6,34
12,Nadiem Amiri,de  GER,"MF,FW",Genoa,24,1996,7.6,412,1,39,229,175,23,375,14,25,56.0,14,0,293,1449,811,51,16,5,26,14,343,289,84.3,48
13,Ethan Ampadu,wls  WAL,"MF,DF",Venezia,20,2000,25.4,1448,140,600,725,200,13,1340,10,14,71.4,11,1,747,4125,2126,71,25,4,9,17,824,765,92.8,16
14,Sofyan Amrabat,ma  MAR,MF,Fiorentina,24,1996,10.5,804,31,189,555,122,2,780,9,13,69.2,9,0,554,2973,1170,41,8,1,5,7,596,576,96.6,7
15,Felipe Anderson,br  BRA,FW,Lazio,28,1993,32.1,1852,36,229,876,891,139,1776,57,112,50.9,63,8,1347,7194,4820,251,79,48,56,66,1650,1352,81.9,168
16,Ebenezer Annan,gh  GHA,DF,Bologna,18,2002,0.3,14,0,5,6,3,0,11,0,0,,0,0,6,25,18,0,0,0,0,0,3,3,100.0,0
17,Cristian Ansaldi,ar  ARG,DF,Torino,34,1986,7.7,496,26,120,208,205,19,420,6,14,42.9,7,0,319,1844,1018,53,8,8,12,7,338,304,89.9,15
18,Janis Antiste,fr  FRA,FW,Spezia,18,2002,8.8,315,9,65,131,139,46,298,8,19,42.1,8,2,176,744,414,16,3,7,19,16,347,208,59.9,58
19,Mattia Aramu,it  ITA,"MF,FW",Venezia,26,1995,23.3,1081,28,123,490,529,42,912,15,34,44.1,17,3,675,3241,1617,90,24,7,30,28,907,678,74.8,84
20,Marko Arnautović,at  AUT,FW,Bologna,32,1989,29.9,1256,21,82,579,667,186,1195,32,54,59.3,36,3,827,3645,1385,86,33,19,90,42,1520,991,65.2,275
21,Tolgay Arslan,de  GER,MF,Udinese,30,1990,18.4,878,35,193,497,266,22,847,18,35,51.4,20,3,581,3458,1908,98,40,4,21,19,599,526,87.8,26
22,Arthur,br  BRA,FW,Fiorentina,23,1998,8.3,240,11,32,133,95,41,224,10,16,62.5,13,1,135,711,290,15,5,2,18,13,292,172,58.9,35
23,Kristoffer Askildsen,no  NOR,MF,Sampdoria,20,2001,8.4,324,38,108,157,72,11,316,4,7,57.1,4,0,168,731,384,12,2,0,6,7,212,160,75.5,21
24,Kristjan Asllani,al  ALB,MF,Empoli,19,2002,15.0,878,62,299,501,145,8,829,5,12,41.7,6,0,589,3073,1352,34,9,2,5,9,625,591,94.6,21
25,Emil Audero,it  ITA,GK,Sampdoria,24,1997,28.4,1081,989,1078,4,0,0,786,0,0,,0,0,546,2627,1399,0,0,0,0,0,514,512,99.6,0
26,Tommaso Augello,it  ITA,DF,Sampdoria,26,1994,26.6,1621,110,632,684,408,15,1367,21,43,48.8,24,1,957,5193,2751,96,38,3,14,21,988,911,92.2,48
27,Ramzi Aya,it  ITA,DF,Salernitana,30,1990,1.5,32,4,14,13,5,0,27,0,0,,0,0,16,66,32,1,0,0,0,0,18,15,83.3,0
28,Kaan Ayhan,tr  TUR,DF,Sassuolo,26,1994,15.0,996,154,532,512,27,5,954,2,2,100.0,2,0,668,4105,2700,50,6,0,4,1,700,690,98.6,0
29,Milan Badelj,hr  CRO,MF,Genoa,32,1989,31.6,1943,73,503,1249,303,23,1898,35,53,66.0,37,1,1140,4558,2146,85,25,2,33,29,1220,1163,95.3,30
30,Nicola Bagnolini,it  ITA,GK,Bologna,17,2004,0.0,4,4,4,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
31,Issa Bah,lu  LUX,FW,Venezia,19,2002,0.1,10,0,2,6,2,0,10,0,1,0.0,0,0,9,34,9,0,0,0,0,2,8,6,75.0,2
32,Nedim Bajrami,al  ALB,"MF,FW",Empoli,22,1999,22.8,1133,14,106,455,667,102,969,34,65,52.3,37,1,798,4883,2757,138,46,25,47,35,1020,761,74.6,156
33,Tiemoué Bakayoko,fr  FRA,MF,Milan,26,1994,5.6,378,19,87,245,60,4,377,5,10,50.0,5,0,229,1092,424,21,5,0,2,3,259,246,95.0,5
34,Tommaso Baldanzi,it  ITA,FW,Empoli,18,2003,0.2,10,0,0,1,9,0,9,0,0,,0,0,7,1,0,0,0,0,1,1,10,8,80.0,4
35,Keita Baldé,sn  SEN,"FW,MF",Cagliari,26,1995,13.7,420,7,28,209,212,63,410,5,11,45.5,5,0,269,1379,675,40,12,11,34,20,569,314,55.2,93
36,Fodé Ballo-Touré,sn  SEN,DF,Milan,24,1997,5.0,342,10,77,180,113,16,307,6,10,60.0,6,2,215,1412,792,29,10,1,8,8,225,203,90.2,38
37,Filippo Bandinelli,it  ITA,MF,Empoli,26,1995,21.7,1035,58,238,478,403,55,1008,12,28,42.9,13,6,690,3822,2290,107,46,12,29,46,789,675,85.6,89
38,Mattia Bani,it  ITA,DF,Genoa,27,1993,13.5,639,132,397,235,28,17,603,1,1,100.0,1,0,246,1373,599,8,1,0,6,1,273,266,97.4,0
39,Antonín Barák,cz  CZE,"FW,MF",Hellas Verona,26,1994,26.0,1407,45,218,778,527,98,1385,24,45,53.3,26,0,1012,5922,3188,170,66,14,43,49,1373,1060,77.2,153
40,Francesco Bardi,it  ITA,GK,Bologna,29,1992,2.0,55,50,55,0,0,0,36,0,0,,0,0,21,104,25,0,0,0,0,0,24,23,95.8,0
41,Nicolò Barella,it  ITA,MF,Inter,24,1997,32.4,2222,43,416,1200,817,109,2193,40,67,59.7,44,1,1686,10508,5351,211,87,23,44,49,1877,1709,91.0,153
42,Musa Barrow,gm  GAM,"FW,MF",Bologna,22,1998,23.7,1231,9,130,565,634,88,1136,32,58,55.2,35,1,873,4857,2590,141,51,20,56,53,1304,936,71.8,173
43,Toma Bašić,hr  CRO,MF,Lazio,24,1996,10.9,563,26,113,334,155,23,548,9,13,69.2,9,0,382,2095,771,28,17,1,17,7,458,409,89.3,39
44,Alessandro Bastoni,it  ITA,DF,Inter,22,1999,25.7,2036,281,926,991,251,22,1934,10,16,62.5,11,3,1379,6510,3859,108,31,4,13,13,1495,1456,97.4,30
45,Simone Bastoni,it  ITA,"MF,DF",Spezia,24,1996,25.4,1531,68,422,754,467,38,1342,38,62,61.3,40,2,946,5171,2837,126,41,8,34,40,997,885,88.8,66
46,Rodrigo Becão,br  BRA,DF,Udinese,25,1996,34.8,1737,235,876,752,192,43,1593,5,8,62.5,5,0,942,4399,2647,64,22,2,9,10,1020,971,95.2,21
47,Valon Behrami,ch  SUI,MF,Genoa,36,1985,3.5,96,8,23,52,22,3,92,1,1,100.0,1,0,45,201,81,6,0,0,1,2,64,48,75.0,7
48,Vid Belec,si  SVN,GK,Salernitana,31,1990,21.5,628,571,628,0,0,0,385,0,0,,0,0,225,1315,756,0,0,0,0,0,183,182,99.5,0
49,Raoul Bellanova,it  ITA,DF,Cagliari,21,2000,27.7,1262,68,349,560,476,54,1165,33,60,55.0,34,3,848,5615,3241,120,49,7,35,35,949,788,83.0,67
50,Andrea Belotti,it  ITA,FW,Torino,27,1993,15.2,596,13,36,268,327,99,571,13,23,56.5,14,1,374,1707,881,45,18,15,62,34,843,473,56.1,155
51,Filip Benković,hr  CRO,"DF,FW",Udinese,24,1997,0.1,8,3,5,2,1,1,8,0,0,,0,0,2,13,6,0,0,0,0,0,6,6,100.0,0
52,Ismaël Bennacer,dz  ALG,MF,Milan,23,1997,16.9,1305,54,303,827,285,15,1253,39,46,84.8,40,1,979,5879,2648,109,35,2,25,28,977,896,91.7,35
53,Rodrigo Bentancur,uy  URU,MF,Juventus,24,1997,12.8,892,32,177,595,177,15,882,4,7,57.1,4,1,647,2932,1338,52,20,3,12,21,675,637,94.4,32
