,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes
0,Tammy Abraham,eng  ENG,FW,Roma,23,1997,37,36,3084,34.3,17,4,14,3,3,9,0,0.50,0.12,0.61,0.41,0.53,20.5,18.3,3.6,21.8,0.60,0.10,0.70,0.53,0.64
1,Francesco Acerbi,it  ITA,DF,Lazio,33,1988,30,29,2536,28.2,4,0,4,0,0,2,1,0.14,0.00,0.14,0.14,0.14,2.2,2.2,0.4,2.6,0.08,0.02,0.09,0.08,0.09
2,Michel Aebischer,ch  SUI,MF,Bologna,24,1997,12,4,443,4.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.03,0.08,0.11,0.03,0.11
3,Felix Afena-Gyan,gh  GHA,"FW,MF",Roma,18,2003,17,6,668,7.4,2,0,2,0,0,5,1,0.27,0.00,0.27,0.27,0.27,1.9,1.9,0.2,2.1,0.25,0.03,0.28,0.25,0.28
4,Kevin Agudelo,co  COL,"MF,FW",Spezia,22,1998,23,12,1237,13.7,3,1,3,0,0,2,1,0.22,0.07,0.29,0.22,0.29,2.5,2.5,0.8,3.3,0.18,0.06,0.24,0.18,0.24
5,Ola Aina,ng  NGA,DF,Torino,24,1996,21,17,1437,16.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.4,1.7,0.02,0.09,0.11,0.02,0.11
6,Marley Aké,fr  FRA,"MF,FW",Juventus,20,2001,4,0,77,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
7,Jean-Daniel Akpa-Akpro,ci  CIV,MF,Lazio,28,1992,10,4,315,3.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.5,0.12,0.01,0.13,0.12,0.13
8,Luis Alberto,es  ESP,MF,Lazio,28,1992,34,27,2353,26.1,5,9,5,0,0,5,0,0.19,0.34,0.54,0.19,0.54,3.5,3.5,7.8,11.3,0.14,0.30,0.43,0.14,0.43
9,Giorgio Altare,it  ITA,DF,Cagliari,22,1998,19,17,1466,16.3,1,0,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06,1.3,1.3,0.5,1.8,0.08,0.03,0.11,0.08,0.11
