,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
0,Tammy Abraham,eng  ENG,FW,Roma,23,1997,37,3084,83,90.2,34.3,36,85,23,1,32,0,1.70,54,38,+16,+0.47,+0.47,58.2,33.3,+25.0,+0.73,+0.67
1,Salim Abubakar,gh  GHA,MF,Sassuolo,18,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
2,Francesco Acerbi,it  ITA,DF,Lazio,33,1988,30,2536,85,74.2,28.2,29,87,27,1,7,0,1.67,60,48,+12,+0.43,-0.29,39.0,37.1,+1.9,+0.07,-0.51
3,Marius Adamonis,lt  LTU,GK,Lazio,24,1997,0,,,,,0,,0,0,,36,,,,,,,,,,,
4,Michel Aebischer,ch  SUI,MF,Bologna,24,1997,12,443,37,13.0,4.9,4,76,2,8,18,4,1.42,3,2,+1,+0.20,+0.57,5.1,7.6,-2.6,-0.52,-0.30
5,Felix Afena-Gyan,gh  GHA,"FW,MF",Roma,18,2003,17,668,39,19.5,7.4,6,66,0,11,25,8,1.65,13,9,+4,+0.54,+0.15,12.0,6.7,+5.2,+0.70,+0.05
6,Vittorio Agostinelli,it  ITA,MF,Fiorentina,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
7,Lucien Agoume,fr  FRA,MF,Inter,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
8,Ola Aina,ng  NGA,DF,Torino,24,1996,21,1437,68,42.0,16.0,17,80,7,4,19,12,1.29,17,19,-2,-0.13,-0.44,20.2,17.4,+2.7,+0.17,-0.11
9,Marley Aké,fr  FRA,"MF,FW",Juventus,20,2001,4,77,19,2.3,0.9,0,,0,4,19,8,0.50,1,4,-3,-3.51,-4.13,0.8,3.1,-2.2,-2.63,-3.05
10,Jean-Daniel Akpa-Akpro,ci  CIV,MF,Lazio,28,1992,10,315,32,9.2,3.5,4,62,0,6,11,21,1.50,6,8,-2,-0.57,-1.18,2.8,6.7,-3.9,-1.10,-1.43
11,Luis Alberto,es  ESP,MF,Lazio,28,1992,34,2353,69,68.8,26.1,27,80,11,7,29,1,1.74,51,35,+16,+0.61,+0.36,38.4,30.2,+8.1,+0.31,+0.36
12,Giorgio Altare,it  ITA,DF,Cagliari,22,1998,19,1466,77,42.9,16.3,17,82,12,2,34,18,0.95,14,23,-9,-0.55,+0.60,18.1,24.6,-6.5,-0.40,+0.32
13,Giuseppe Ambrosino,it  ITA,FW,Napoli,17,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
14,Wisdom Amey,it  ITA,DF,Bologna,15,2005,1,71,71,2.1,0.8,1,71,0,0,,4,3.00,1,0,+1,+1.27,+1.59,0.7,0.4,+0.3,+0.43,+0.71
15,Kelvin Amian,fr  FRA,DF,Spezia,23,1998,32,2646,83,77.4,29.4,31,84,26,1,45,1,1.00,36,56,-20,-0.68,+0.48,31.5,52.1,-20.6,-0.70,+0.19
16,Nadiem Amiri,de  GER,"MF,FW",Genoa,24,1996,13,683,53,20.0,7.6,9,65,2,4,25,0,1.00,4,10,-6,-0.79,+0.10,7.6,9.9,-2.3,-0.31,+0.07
17,Ethan Ampadu,wls  WAL,"MF,DF",Venezia,20,2000,29,2282,79,66.7,25.4,26,84,18,3,34,0,0.69,20,44,-24,-0.95,-0.08,22.1,48.2,-26.1,-1.03,-0.21
18,Sofyan Amrabat,ma  MAR,MF,Fiorentina,24,1996,23,944,41,27.6,10.5,8,84,6,15,18,8,1.78,12,13,-1,-0.10,-0.42,11.0,12.0,-1.0,-0.09,-0.66
19,Felipe Anderson,br  BRA,FW,Lazio,28,1993,38,2888,76,84.4,32.1,33,82,16,5,36,0,1.68,61,50,+11,+0.34,-1.01,47.3,40.3,+7.0,+0.22,+0.13
20,Lorenzo Andrenacci,it  ITA,GK,Genoa,26,1995,0,,,,,0,,0,0,,6,,,,,,,,,,,
21,Samuele Angori,it  ITA,DF,Torino,17,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
22,Ebenezer Annan,gh  GHA,DF,Bologna,18,2002,1,25,25,0.7,0.3,0,,0,1,25,2,0.00,0,1,-1,-3.60,-3.33,0.3,0.5,-0.1,-0.53,-0.26
23,Cristian Ansaldi,ar  ARG,DF,Torino,34,1986,19,691,36,20.2,7.7,5,74,2,14,23,10,1.21,12,12,0,0.00,-0.16,8.7,10.4,-1.7,-0.22,-0.57
24,Janis Antiste,fr  FRA,FW,Spezia,18,2002,18,796,44,23.3,8.8,9,70,2,9,18,17,0.72,8,23,-15,-1.70,-1.18,11.6,14.3,-2.7,-0.30,+0.58
