,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG/SoT_Expected,PSxG+/-_Expected,/90_Expected,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,#OPA/90_Sweeper,AvgDist_Sweeper
0,Emil Audero,it  ITA,GK,Sampdoria,24,1997,28.4,48,1,1,5,1,43.0,0.32,-4.0,-0.14,220,506,43.5,785,117,45.7,39.8,214,68.7,49.8,270,25,9.3,12,0.42,13.3
1,Nicola Bagnolini,it  ITA,GK,Bologna,17,2004,0.0,0,0,0,0,0,0.1,0.09,+0.1,+2.74,0,4,0.0,3,0,100.0,67.3,1,100.0,60.0,1,0,0.0,0,0.00,
2,Francesco Bardi,it  ITA,GK,Bologna,29,1992,2.0,2,0,0,0,0,3.3,0.36,+1.3,+0.65,9,25,36.0,37,6,51.4,37.5,13,46.2,38.8,14,2,14.3,0,0.00,10.6
3,Vid Belec,si  SVN,GK,Salernitana,31,1990,21.5,49,3,0,6,2,39.3,0.28,-7.7,-0.36,151,354,42.7,400,77,55.5,44.2,179,73.7,52.9,214,10,4.7,8,0.37,12.8
4,Alessandro Berardi,it  ITA,GK,Hellas Verona,30,1991,1.0,3,0,0,0,0,2.7,0.46,-0.3,-0.26,5,20,25.0,23,5,56.5,43.3,7,100.0,58.7,4,0,0.0,0,0.00,12.2
5,Etrit Berisha,al  ALB,GK,Torino,32,1989,10.0,8,2,0,0,0,10.3,0.22,+2.3,+0.23,52,197,26.4,243,38,54.3,43.8,77,84.4,60.5,83,8,9.6,6,0.60,14.5
6,Andrea Consigli,it  ITA,GK,Sassuolo,34,1987,36.9,63,8,0,10,1,61.6,0.34,-0.4,-0.01,259,543,47.7,1214,159,37.0,34.5,252,37.3,31.7,331,20,6.0,23,0.62,13.3
7,Alessio Cragno,it  ITA,GK,Cagliari,27,1994,35.0,63,6,4,10,1,60.8,0.33,-1.2,-0.03,335,765,43.8,899,111,59.5,44.0,315,73.0,50.8,293,22,7.5,19,0.54,14.9
8,Bartłomiej Drągowski,pl  POL,GK,Fiorentina,23,1997,6.2,8,1,0,1,0,8.3,0.28,+0.3,+0.05,53,119,44.5,305,23,33.1,33.9,39,46.2,43.6,31,5,16.1,13,2.10,17.7
9,Wladimiro Falcone,it  ITA,GK,Sampdoria,26,1995,9.5,14,1,0,0,1,15.7,0.28,+2.7,+0.29,65,168,38.7,284,44,40.5,36.7,74,71.6,49.1,108,9,8.3,1,0.11,11.9
