,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Performance,PKatt_Performance,xG_Expected,npxG_Expected,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected
547,Freddie Veseli,al  ALB,DF,Salernitana,28,1992,6.6,0,1,0,0.0,0.15,0.00,0.00,,23.9,0,0,0,0.0,0.0,0.04,0.0,0.0
548,Guglielmo Vicario,it  ITA,GK,Empoli,24,1996,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
549,Arturo Vidal,cl  CHI,MF,Inter,34,1987,8.2,1,18,9,50.0,2.19,1.09,0.06,0.11,16.3,0,0,0,1.8,1.8,0.10,-0.8,-0.8
550,Ronaldo Vieira,gw  GNB,MF,Sampdoria,23,1998,5.5,0,1,0,0.0,0.18,0.00,0.00,,18.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1
551,Luca Vignali,it  ITA,DF,Spezia,25,1996,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
552,Emanuel Vignato,it  ITA,"MF,DF",Bologna,20,2000,6.6,0,5,1,20.0,0.76,0.15,0.00,0.00,21.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2
553,Matías Viña,uy  URU,DF,Roma,23,1997,17.4,0,12,3,25.0,0.69,0.17,0.00,0.00,17.8,0,0,0,0.7,0.7,0.06,-0.7,-0.7
554,Nicolas Viola,it  ITA,MF,Bologna,31,1989,1.1,0,1,0,0.0,0.88,0.00,0.00,,25.0,0,0,0,0.0,0.0,0.04,0.0,0.0
555,Mattia Viti,it  ITA,DF,Empoli,19,2002,16.6,0,3,0,0.0,0.18,0.00,0.00,,17.4,0,0,0,0.5,0.5,0.18,-0.5,-0.5
556,Mërgim Vojvoda,xk  KVX,DF,Torino,26,1995,22.0,0,18,7,38.9,0.82,0.32,0.00,0.00,17.7,0,0,0,1.5,1.5,0.09,-1.5,-1.5
557,Cristian Volpato,it  ITA,"MF,FW",Roma,17,2003,0.4,1,1,1,100.0,2.37,2.37,1.00,1.00,15.0,0,0,0,0.1,0.1,0.06,+0.9,+0.9
558,Stefan de Vrij,nl  NED,DF,Inter,29,1992,26.8,0,19,3,15.8,0.71,0.11,0.00,0.00,9.0,0,0,0,2.5,2.5,0.13,-2.5,-2.5
559,Walace,br  BRA,MF,Udinese,26,1995,33.0,1,47,11,23.4,1.42,0.33,0.02,0.09,24.2,0,0,0,1.4,1.4,0.03,-0.4,-0.4
560,Sebastian Walukiewicz,pl  POL,DF,Cagliari,21,2000,3.4,0,1,0,0.0,0.30,0.00,0.00,,5.0,0,0,0,0.3,0.3,0.31,-0.3,-0.3
561,Magnus Warming,dk  DEN,"FW,DF",Torino,21,2000,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
562,Kelvin Yeboah,it  ITA,FW,Genoa,21,2000,9.4,0,16,4,25.0,1.69,0.42,0.00,0.00,17.4,0,0,0,1.4,1.4,0.08,-1.4,-1.4
563,Gerard Yepes,es  ESP,"MF,DF",Sampdoria,18,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
564,Maya Yoshida,jp  JPN,DF,Sampdoria,32,1988,20.3,2,10,5,50.0,0.49,0.25,0.20,0.40,8.4,0,0,0,0.8,0.8,0.08,+1.2,+1.2
565,Denis Zakaria,ch  SUI,MF,Juventus,24,1996,6.6,1,10,4,40.0,1.51,0.60,0.10,0.25,16.1,0,0,0,1.5,1.5,0.15,-0.5,-0.5
566,Nicola Zalewski,pl  POL,DF,Roma,19,2002,8.8,0,9,3,33.3,1.02,0.34,0.00,0.00,23.3,0,0,0,0.4,0.4,0.04,-0.4,-0.4
567,Andre-Frank Zambo Anguissa,cm  CMR,MF,Napoli,25,1995,21.4,0,20,3,15.0,0.93,0.14,0.00,0.00,19.3,0,0,0,1.1,1.1,0.06,-1.1,-1.1
568,Nicolò Zaniolo,it  ITA,FW,Roma,22,1999,21.9,2,70,20,28.6,3.20,0.91,0.03,0.10,17.9,0,0,0,4.8,4.8,0.07,-2.8,-2.8
569,Alessandro Zanoli,it  ITA,DF,Napoli,20,2000,5.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
570,Mattia Zanotti,it  ITA,DF,Inter,18,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
571,Duván Zapata,co  COL,FW,Atalanta,30,1991,19.1,10,78,31,39.7,4.08,1.62,0.09,0.23,12.8,0,3,3,13.6,11.4,0.15,-3.6,-4.4
572,Gabriele Zappa,it  ITA,DF,Cagliari,21,1999,12.7,0,6,2,33.3,0.47,0.16,0.00,0.00,17.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5
573,Davide Zappacosta,it  ITA,DF,Atalanta,29,1992,26.1,1,37,5,13.5,1.42,0.19,0.03,0.20,18.3,0,0,0,2.2,2.2,0.06,-1.2,-1.2
574,Simone Zaza,it  ITA,"FW,MF",Torino,30,1991,1.4,0,9,3,33.3,6.28,2.09,0.00,0.00,11.5,0,0,0,1.0,1.0,0.11,-1.0,-1.0
575,Marvin Zeegelaar,nl  NED,DF,Udinese,30,1990,7.1,0,3,0,0.0,0.42,0.00,0.00,,12.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2
576,Piotr Zieliński,pl  POL,MF,Napoli,27,1994,23.2,6,43,15,34.9,1.86,0.65,0.14,0.40,19.3,1,0,0,3.0,3.0,0.07,+3.0,+3.0
577,David Zima,cz  CZE,DF,Torino,20,2000,14.6,0,6,3,50.0,0.41,0.21,0.00,0.00,10.5,0,0,0,0.7,0.7,0.11,-0.7,-0.7
578,Jeroen Zoet,nl  NED,GK,Spezia,30,1991,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
579,Nadir Zortea,it  ITA,"DF,MF",Salernitana,22,1999,15.7,1,16,4,25.0,1.02,0.26,0.06,0.25,22.8,0,0,0,0.6,0.6,0.04,+0.4,+0.4
580,Petar Zovko,ba  BIH,GK,Spezia,19,2002,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
581,Szymon Żurkowski,pl  POL,MF,Empoli,23,1997,25.6,6,47,17,36.2,1.83,0.66,0.13,0.35,18.8,0,0,0,4.1,4.1,0.09,+1.9,+1.9
582,Milan Đurić,ba  BIH,FW,Salernitana,31,1990,24.1,5,50,19,38.0,2.08,0.79,0.08,0.21,10.1,0,1,1,5.8,5.0,0.10,-0.8,-1.0
583,Filip Đuričić,rs  SRB,"MF,FW",Sassuolo,29,1992,7.5,2,18,7,38.9,2.41,0.94,0.11,0.29,15.7,0,0,0,2.0,2.0,0.11,0.0,0.0
