,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Tammy Abraham,eng  ENG,FW,Roma,23,1997,34.3,694,626,68,6,5,203,11,24,0,0,0,0,440,150,104,63,482,66,1,24,500,0,10,35,24
1,Francesco Acerbi,it  ITA,DF,Lazio,33,1988,28.2,2006,1935,71,62,2,168,75,1,0,0,0,0,1489,158,359,1525,343,78,1,8,1812,1,22,24,12
2,Michel Aebischer,ch  SUI,MF,Bologna,24,1997,4.9,243,228,15,7,0,43,10,2,7,0,4,0,199,25,19,37,193,6,1,1,216,1,1,5,4
3,Felix Afena-Gyan,gh  GHA,"FW,MF",Roma,18,2003,7.4,164,155,9,1,0,25,4,8,0,0,0,0,128,22,14,10,140,1,6,3,125,0,2,10,10
4,Kevin Agudelo,co  COL,"MF,FW",Spezia,22,1998,13.7,385,373,12,1,0,121,7,13,4,3,1,0,289,52,44,321,29,17,4,1,284,2,10,20,18
5,Ola Aina,ng  NGA,DF,Torino,24,1996,16.0,757,606,151,9,2,85,9,30,0,0,0,0,407,143,207,151,421,29,142,3,546,4,11,23,40
6,Marley Aké,fr  FRA,"MF,FW",Juventus,20,2001,0.9,17,16,1,0,0,4,1,1,0,0,0,0,13,2,2,2,14,0,1,0,13,0,0,3,0
7,Jean-Daniel Akpa-Akpro,ci  CIV,MF,Lazio,28,1992,3.5,113,112,1,1,0,25,1,0,0,0,0,0,84,24,5,20,80,5,0,2,92,0,2,5,5
8,Luis Alberto,es  ESP,MF,Lazio,28,1992,26.1,1976,1774,202,80,12,313,78,50,102,45,37,3,1514,178,284,101,1822,25,11,8,1643,6,18,65,34
9,Giorgio Altare,it  ITA,DF,Cagliari,22,1998,16.3,818,728,90,21,0,92,19,15,0,0,0,0,403,106,309,151,495,77,69,1,563,4,22,21,18
10,Wisdom Amey,it  ITA,DF,Bologna,15,2005,0.8,29,24,5,5,0,1,3,0,0,0,0,0,18,3,8,9,18,1,0,0,20,0,1,0,0
11,Kelvin Amian,fr  FRA,DF,Spezia,23,1998,29.4,1137,870,267,21,1,176,11,16,0,0,0,0,644,310,183,93,731,44,246,2,900,4,26,43,38
12,Nadiem Amiri,de  GER,"MF,FW",Genoa,24,1996,7.6,307,267,40,14,2,42,7,8,13,3,7,0,221,25,61,25,268,8,2,2,227,2,7,13,4
13,Ethan Ampadu,wls  WAL,"MF,DF",Venezia,20,2000,25.4,1154,1039,115,40,2,185,25,19,0,0,0,0,730,143,281,165,810,52,73,7,866,6,26,32,25
14,Sofyan Amrabat,ma  MAR,MF,Fiorentina,24,1996,10.5,711,684,27,27,0,84,32,3,0,0,0,0,558,56,97,33,640,28,0,4,642,0,0,18,14
15,Felipe Anderson,br  BRA,FW,Lazio,28,1993,32.1,1424,1345,79,8,2,210,29,71,13,8,2,1,1066,198,160,216,1117,42,26,8,1108,3,18,73,53
16,Ebenezer Annan,gh  GHA,DF,Bologna,18,2002,0.3,11,8,3,0,0,0,1,0,0,0,0,0,3,2,6,7,1,0,3,0,4,0,0,0,1
17,Cristian Ansaldi,ar  ARG,DF,Torino,34,1986,7.7,413,333,80,8,1,44,18,35,8,4,1,0,189,78,146,111,225,10,64,0,293,3,11,9,17
18,Janis Antiste,fr  FRA,FW,Spezia,18,2002,8.8,212,194,18,0,1,45,1,10,0,0,0,0,134,34,44,29,145,19,5,2,139,2,2,9,11
19,Mattia Aramu,it  ITA,"MF,FW",Venezia,26,1995,23.3,804,632,172,38,2,139,42,60,68,33,29,1,478,105,221,662,85,15,22,11,529,6,19,40,36
20,Marko Arnautović,at  AUT,FW,Bologna,32,1989,29.9,927,872,55,0,3,268,12,20,0,0,0,0,607,186,134,108,687,68,8,23,683,3,6,49,35
21,Tolgay Arslan,de  GER,MF,Udinese,30,1990,18.4,681,647,34,21,2,109,13,25,7,2,5,0,509,68,104,72,570,27,3,3,547,0,8,24,25
22,Arthur,br  BRA,FW,Fiorentina,23,1998,8.3,144,128,16,0,0,33,4,2,0,0,0,0,103,16,25,12,115,7,0,3,114,0,3,2,6
23,Kristoffer Askildsen,no  NOR,MF,Sampdoria,20,2001,8.4,228,219,9,7,0,53,2,1,0,0,0,0,113,51,64,43,144,15,2,5,156,3,4,12,10
24,Kristjan Asllani,al  ALB,MF,Empoli,19,2002,15.0,746,694,52,31,0,76,39,13,16,9,4,0,545,50,151,188,537,12,3,1,617,1,14,22,9
25,Emil Audero,it  ITA,GK,Sampdoria,24,1997,28.4,999,700,299,84,1,89,14,0,0,0,0,0,440,44,515,98,754,0,1,118,693,7,18,8,1
26,Tommaso Augello,it  ITA,DF,Sampdoria,26,1994,26.6,1384,1115,269,32,1,167,18,61,4,0,0,0,724,315,345,989,65,62,233,3,1062,3,16,38,65
27,Ramzi Aya,it  ITA,DF,Salernitana,30,1990,1.5,28,23,5,1,0,0,0,1,0,0,0,0,14,3,11,2,20,2,4,0,18,0,2,0,0
28,Kaan Ayhan,tr  TUR,DF,Sassuolo,26,1994,15.0,869,824,45,38,0,88,38,1,0,0,0,0,705,44,120,52,758,31,3,5,788,4,12,10,3
29,Milan Badelj,hr  CRO,MF,Genoa,32,1989,31.6,1601,1555,46,43,1,264,47,10,0,0,0,0,1003,239,359,245,1221,84,3,9,1262,7,26,54,34
30,Nicola Bagnolini,it  ITA,GK,Bologna,17,2004,0.0,4,1,3,2,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,0,0
31,Issa Bah,lu  LUX,FW,Venezia,19,2002,0.1,6,6,0,0,0,3,0,0,0,0,0,0,5,0,1,1,4,0,0,0,5,0,0,1,0
32,Nedim Bajrami,al  ALB,"MF,FW",Empoli,22,1999,22.8,884,728,156,33,1,137,46,66,95,30,45,11,637,67,180,68,791,14,9,1,628,5,16,34,38
33,Tiemoué Bakayoko,fr  FRA,MF,Milan,26,1994,5.6,312,310,2,2,1,36,10,1,0,0,0,0,235,42,35,54,222,19,0,2,276,0,2,4,2
34,Tommaso Baldanzi,it  ITA,FW,Empoli,18,2003,0.2,7,6,1,0,0,0,0,0,1,0,0,0,7,0,0,6,1,0,0,0,5,0,0,0,1
35,Keita Baldé,sn  SEN,"FW,MF",Cagliari,26,1995,13.7,269,259,10,1,0,91,2,8,0,0,0,0,171,55,43,52,170,17,0,6,199,0,6,11,11
36,Fodé Ballo-Touré,sn  SEN,DF,Milan,24,1997,5.0,273,237,36,5,0,30,3,16,0,0,0,0,191,48,34,201,26,10,31,1,231,1,1,2,11
37,Filippo Bandinelli,it  ITA,MF,Empoli,26,1995,21.7,756,729,27,7,2,128,26,50,6,0,2,0,528,85,143,582,133,17,12,2,572,7,18,27,29
38,Mattia Bani,it  ITA,DF,Genoa,27,1993,13.5,459,418,41,32,0,71,11,0,0,0,0,0,246,61,152,24,342,48,0,11,337,2,12,7,7
39,Antonín Barák,cz  CZE,"FW,MF",Hellas Verona,26,1994,26.0,1109,1093,16,3,2,300,14,17,0,0,0,0,826,160,123,863,147,49,6,6,890,7,17,46,40
40,Francesco Bardi,it  ITA,GK,Bologna,29,1992,2.0,50,31,19,6,0,4,0,0,0,0,0,0,25,2,23,5,38,0,0,6,34,1,1,0,0
41,Nicolò Barella,it  ITA,MF,Inter,24,1997,32.4,1848,1816,32,17,6,276,41,67,2,1,0,0,1382,227,239,215,1566,25,12,10,1544,8,18,59,42
