,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W,D,L,CS_Performance,CS%_Performance,PKatt_Performance,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
0,Emil Audero,it  ITA,GK,Sampdoria,24,1997,29,29,2560,28.4,48,1.69,131,85,64.1,8,5,16,5,17.2,2,1,1,0,50.0
1,Nicola Bagnolini,it  ITA,GK,Bologna,17,2004,1,0,3,0.0,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,
2,Francesco Bardi,it  ITA,GK,Bologna,29,1992,2,2,177,2.0,2,1.02,9,7,77.8,1,1,0,1,50.0,0,0,0,0,
3,Vid Belec,si  SVN,GK,Salernitana,31,1990,23,21,1938,21.5,49,2.28,129,84,64.3,3,2,16,1,4.8,5,3,1,1,25.0
4,Alessandro Berardi,it  ITA,GK,Hellas Verona,30,1991,1,1,90,1.0,3,3.00,7,3,57.1,0,1,0,0,0.0,0,0,0,0,
5,Etrit Berisha,al  ALB,GK,Torino,32,1989,10,10,900,10.0,8,0.80,38,31,84.2,3,4,3,4,40.0,3,2,1,0,33.3
6,Andrea Consigli,it  ITA,GK,Sassuolo,34,1987,37,37,3322,36.9,63,1.71,159,103,65.4,13,11,13,3,8.1,9,8,1,0,11.1
7,Alessio Cragno,it  ITA,GK,Cagliari,27,1994,35,35,3150,35.0,63,1.80,167,108,65.9,6,10,19,2,5.7,8,6,2,0,25.0
8,Bartłomiej Drągowski,pl  POL,GK,Fiorentina,23,1997,7,7,556,6.2,8,1.29,23,16,69.6,3,0,4,2,28.6,2,1,1,0,50.0
9,Wladimiro Falcone,it  ITA,GK,Sampdoria,26,1995,10,9,855,9.5,14,1.47,53,41,75.5,2,1,6,2,22.2,1,1,0,0,0.0
10,Vincenzo Fiorillo,it  ITA,GK,Salernitana,31,1990,1,1,90,1.0,5,5.00,8,3,37.5,0,0,1,0,0.0,0,0,0,0,
11,Luca Gemello,it  ITA,GK,Torino,21,2000,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
12,Samir Handanović,si  SVN,GK,Inter,37,1984,37,37,3330,37.0,30,0.81,121,94,78.5,25,9,3,15,40.5,4,4,0,0,0.0
13,Luca Lezzerini,it  ITA,GK,Venezia,26,1995,6,6,495,5.5,9,1.64,39,30,76.9,2,1,3,0,0.0,0,0,0,0,
14,Niki Mäenpää,fi  FIN,GK,Venezia,36,1985,17,16,1485,16.5,27,1.64,78,56,71.8,1,4,11,1,6.3,6,5,0,1,0.0
15,Mike Maignan,fr  FRA,GK,Milan,26,1995,32,32,2880,32.0,21,0.66,101,81,81.2,22,7,3,17,53.1,2,2,0,0,0.0
16,Davide Marfella,it  ITA,GK,Napoli,21,1999,1,0,11,0.1,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,
17,Alex Meret,it  ITA,GK,Napoli,24,1997,7,7,619,6.9,6,0.87,29,23,79.3,5,1,1,3,42.9,0,0,0,0,
18,Vanja Milinković-Savić,rs  SRB,GK,Torino,24,1997,27,27,2430,27.0,33,1.22,73,47,64.4,9,7,11,4,14.8,8,7,1,0,12.5
19,Lorenzo Montipò,it  ITA,GK,Hellas Verona,25,1996,34,34,3060,34.0,50,1.47,135,85,64.4,13,10,11,4,11.8,3,2,1,0,33.3
