,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,Tammy Abraham,eng  ENG,FW,Roma,23,1997,34.3,500,694,72.0,7714,1755,298,391,76.2,139,201,69.2,44,55,80.0,4,3.6,+0.4,35,37,28,4,61
1,Francesco Acerbi,it  ITA,DF,Lazio,33,1988,28.2,1812,2006,90.3,37942,11558,567,609,93.1,940,996,94.4,280,363,77.1,0,0.4,-0.4,6,122,6,0,88
2,Michel Aebischer,ch  SUI,MF,Bologna,24,1997,4.9,216,243,88.9,3626,926,104,109,95.4,84,93,90.3,18,27,66.7,0,0.4,-0.4,6,10,5,1,16
3,Felix Afena-Gyan,gh  GHA,"FW,MF",Roma,18,2003,7.4,125,164,76.2,1829,264,73,90,81.1,42,52,80.8,5,9,55.6,0,0.2,-0.2,5,3,6,2,10
4,Kevin Agudelo,co  COL,"MF,FW",Spezia,22,1998,13.7,284,385,73.8,4222,1221,154,187,82.4,111,138,80.4,9,25,36.0,1,0.8,+0.2,10,27,13,3,37
5,Ola Aina,ng  NGA,DF,Torino,24,1996,16.0,546,757,72.1,9656,4260,258,298,86.6,217,280,77.5,62,135,45.9,0,1.4,-1.4,17,42,21,5,67
6,Marley Aké,fr  FRA,"MF,FW",Juventus,20,2001,0.9,13,17,76.5,251,78,3,4,75.0,5,7,71.4,3,3,100.0,0,0.0,0.0,0,0,1,1,3
7,Jean-Daniel Akpa-Akpro,ci  CIV,MF,Lazio,28,1992,3.5,92,113,81.4,1285,188,53,63,84.1,32,35,91.4,2,3,66.7,0,0.0,0.0,2,5,1,0,3
8,Luis Alberto,es  ESP,MF,Lazio,28,1992,26.1,1643,1976,83.1,28022,9086,809,879,92.0,631,724,87.2,164,302,54.3,9,7.8,+1.2,63,206,49,7,180
9,Giorgio Altare,it  ITA,DF,Cagliari,22,1998,16.3,563,818,68.8,12687,5508,170,208,81.7,246,315,78.1,141,268,52.6,0,0.5,-0.5,8,58,9,4,57
10,Wisdom Amey,it  ITA,DF,Bologna,15,2005,0.8,20,29,69.0,470,52,7,9,77.8,8,10,80.0,5,9,55.6,0,0.0,0.0,0,0,0,0,0
11,Kelvin Amian,fr  FRA,DF,Spezia,23,1998,29.4,900,1137,79.2,15009,6667,455,510,89.2,345,426,81.0,81,143,56.6,1,1.2,-0.2,13,56,12,3,69
12,Nadiem Amiri,de  GER,"MF,FW",Genoa,24,1996,7.6,227,307,73.9,3645,1045,120,140,85.7,83,105,79.0,20,49,40.8,1,1.6,-0.6,21,17,7,1,26
13,Ethan Ampadu,wls  WAL,"MF,DF",Venezia,20,2000,25.4,866,1154,75.0,17462,6607,315,380,82.9,401,478,83.9,137,257,53.3,3,1.4,+1.6,14,80,13,5,95
14,Sofyan Amrabat,ma  MAR,MF,Fiorentina,24,1996,10.5,642,711,90.3,13919,2929,199,215,92.6,310,334,92.8,126,142,88.7,0,0.2,-0.2,7,67,7,0,48
15,Felipe Anderson,br  BRA,FW,Lazio,28,1993,32.1,1108,1424,77.8,17105,4561,640,744,86.0,362,461,78.5,78,132,59.1,8,6.9,+1.1,52,52,64,12,123
16,Ebenezer Annan,gh  GHA,DF,Bologna,18,2002,0.3,4,11,36.4,66,27,2,2,100.0,2,4,50.0,0,4,0.0,0,0.0,0.0,0,1,0,0,0
17,Cristian Ansaldi,ar  ARG,DF,Torino,34,1986,7.7,293,413,70.9,6045,2975,122,135,90.4,110,150,73.3,56,110,50.9,3,1.4,+1.6,16,44,15,11,47
18,Janis Antiste,fr  FRA,FW,Spezia,18,2002,8.8,139,212,65.6,1967,412,79,112,70.5,46,64,71.9,6,15,40.0,0,0.3,-0.3,4,4,7,3,8
19,Mattia Aramu,it  ITA,"MF,FW",Venezia,26,1995,23.3,529,804,65.8,9556,3370,246,301,81.7,197,263,74.9,74,193,38.3,5,4.4,+0.6,37,36,33,15,64
20,Marko Arnautović,at  AUT,FW,Bologna,32,1989,29.9,683,927,73.7,9972,1619,387,504,76.8,230,295,78.0,35,54,64.8,1,4.4,-3.4,44,27,22,2,52
21,Tolgay Arslan,de  GER,MF,Udinese,30,1990,18.4,547,681,80.3,9973,2507,235,273,86.1,230,265,86.8,67,106,63.2,0,1.7,-1.7,17,65,8,1,57
22,Arthur,br  BRA,FW,Fiorentina,23,1998,8.3,114,144,79.2,2020,249,59,70,84.3,42,51,82.4,11,15,73.3,2,0.3,+1.7,6,8,3,0,8
23,Kristoffer Askildsen,no  NOR,MF,Sampdoria,20,2001,8.4,156,228,68.4,2447,879,84,103,81.6,55,75,73.3,12,33,36.4,0,0.2,-0.2,2,13,2,0,22
24,Kristjan Asllani,al  ALB,MF,Empoli,19,2002,15.0,617,746,82.7,13290,3458,208,233,89.3,284,313,90.7,119,186,64.0,1,1.1,-0.1,8,69,4,1,51
25,Emil Audero,it  ITA,GK,Sampdoria,24,1997,28.4,693,999,69.4,23435,14943,103,103,100.0,258,264,97.7,331,630,52.5,0,0.4,-0.4,2,18,0,0,0
26,Tommaso Augello,it  ITA,DF,Sampdoria,26,1994,26.6,1062,1384,76.7,20037,8766,414,481,86.1,518,624,83.0,117,214,54.7,1,1.9,-0.9,18,59,33,13,119
27,Ramzi Aya,it  ITA,DF,Salernitana,30,1990,1.5,18,28,64.3,386,153,5,6,83.3,9,14,64.3,4,8,50.0,0,0.0,0.0,0,2,0,0,3
28,Kaan Ayhan,tr  TUR,DF,Sassuolo,26,1994,15.0,788,869,90.7,17190,6225,259,271,95.6,367,391,93.9,154,195,79.0,0,0.0,0.0,2,63,2,0,76
29,Milan Badelj,hr  CRO,MF,Genoa,32,1989,31.6,1262,1601,78.8,24623,7800,480,563,85.3,590,698,84.5,170,280,60.7,0,2.3,-2.3,27,138,19,2,161
30,Nicola Bagnolini,it  ITA,GK,Bologna,17,2004,0.0,0,4,0.0,0,0,0,0,,0,0,,0,4,0.0,0,0.0,0.0,0,0,0,0,0
31,Issa Bah,lu  LUX,FW,Venezia,19,2002,0.1,5,6,83.3,81,15,2,2,100.0,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,1
32,Nedim Bajrami,al  ALB,"MF,FW",Empoli,22,1999,22.8,628,884,71.0,10783,3484,334,382,87.4,207,273,75.8,74,176,42.0,5,5.2,-0.2,55,41,47,10,90
33,Tiemoué Bakayoko,fr  FRA,MF,Milan,26,1994,5.6,276,312,88.5,4940,933,129,148,87.2,105,114,92.1,35,40,87.5,0,0.5,-0.5,3,23,3,0,18
34,Tommaso Baldanzi,it  ITA,FW,Empoli,18,2003,0.2,5,7,71.4,63,0,4,5,80.0,0,0,,1,1,100.0,0,0.0,0.0,1,0,0,0,0
