,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Tammy Abraham,eng  ENG,FW,Roma,23,1997,34.3,34,22,10,15,9,10,23,43.5,13,467,138,29.6,46,196,225,33,11,0,22,15,49,31,0
1,Francesco Acerbi,it  ITA,DF,Lazio,33,1988,28.2,27,12,18,9,0,9,20,45.0,11,165,48,29.1,86,68,11,48,30,0,18,48,75,115,1
2,Michel Aebischer,ch  SUI,MF,Bologna,24,1997,4.9,15,8,6,7,2,5,10,50.0,5,128,27,21.1,45,66,17,5,0,0,5,5,20,3,0
3,Felix Afena-Gyan,gh  GHA,"FW,MF",Roma,18,2003,7.4,8,4,1,6,1,4,9,44.4,5,222,55,24.8,27,92,103,5,0,0,5,5,13,0,0
4,Kevin Agudelo,co  COL,"MF,FW",Spezia,22,1998,13.7,41,27,14,20,7,8,19,42.1,11,400,88,22.0,80,212,108,27,0,0,27,18,59,4,0
5,Ola Aina,ng  NGA,DF,Torino,24,1996,16.0,32,15,15,13,4,17,25,68.0,8,168,54,32.1,58,70,40,25,3,0,22,33,65,33,0
6,Marley Aké,fr  FRA,"MF,FW",Juventus,20,2001,0.9,0,0,0,0,0,0,1,0.0,1,30,2,6.7,10,14,6,0,0,0,0,2,2,0,0
7,Jean-Daniel Akpa-Akpro,ci  CIV,MF,Lazio,28,1992,3.5,16,9,6,9,1,3,10,30.0,7,105,29,27.6,24,57,24,4,2,0,2,3,19,4,0
8,Luis Alberto,es  ESP,MF,Lazio,28,1992,26.1,31,18,9,12,10,11,45,24.4,34,413,106,25.7,113,188,112,29,4,0,25,22,53,6,0
9,Giorgio Altare,it  ITA,DF,Cagliari,22,1998,16.3,42,28,17,20,5,15,26,57.7,11,166,63,38.0,61,89,16,26,7,0,19,44,86,75,0
10,Wisdom Amey,it  ITA,DF,Bologna,15,2005,0.8,2,0,0,2,0,0,1,0.0,1,10,3,30.0,3,7,0,1,0,0,1,2,4,3,0
11,Kelvin Amian,fr  FRA,DF,Spezia,23,1998,29.4,68,39,44,15,9,23,40,57.5,17,444,155,34.9,238,143,63,68,23,0,45,48,116,72,0
12,Nadiem Amiri,de  GER,"MF,FW",Genoa,24,1996,7.6,11,7,3,5,3,3,10,30.0,7,155,43,27.7,26,82,47,7,0,0,7,5,16,0,0
13,Ethan Ampadu,wls  WAL,"MF,DF",Venezia,20,2000,25.4,76,43,44,25,7,20,45,44.4,25,429,124,28.9,215,182,32,61,21,0,40,55,131,76,0
14,Sofyan Amrabat,ma  MAR,MF,Fiorentina,24,1996,10.5,31,22,15,11,5,16,31,51.6,15,254,75,29.5,71,145,38,27,8,0,19,10,41,7,1
15,Felipe Anderson,br  BRA,FW,Lazio,28,1993,32.1,82,50,34,33,15,28,92,30.4,64,784,180,23.0,183,342,259,65,5,1,60,37,119,16,1
16,Ebenezer Annan,gh  GHA,DF,Bologna,18,2002,0.3,2,0,2,0,0,0,0,,0,5,0,0.0,5,0,0,0,0,0,0,2,4,0,0
17,Cristian Ansaldi,ar  ARG,DF,Torino,34,1986,7.7,21,9,13,7,1,11,14,78.6,3,87,24,27.6,34,30,23,13,1,0,12,5,26,10,0
18,Janis Antiste,fr  FRA,FW,Spezia,18,2002,8.8,18,11,4,7,7,5,17,29.4,12,200,57,28.5,42,64,94,9,1,0,8,8,26,8,1
19,Mattia Aramu,it  ITA,"MF,FW",Venezia,26,1995,23.3,21,11,3,12,6,6,28,21.4,22,463,114,24.6,99,210,154,29,3,0,26,14,35,21,0
20,Marko Arnautović,at  AUT,FW,Bologna,32,1989,29.9,22,15,1,15,6,7,32,21.9,25,461,137,29.7,52,198,211,14,2,0,12,15,37,16,0
21,Tolgay Arslan,de  GER,MF,Udinese,30,1990,18.4,32,23,15,11,6,12,46,26.1,34,330,88,26.7,97,185,48,27,3,0,24,32,64,23,0
22,Arthur,br  BRA,FW,Fiorentina,23,1998,8.3,9,6,3,3,3,2,6,33.3,4,133,39,29.3,8,48,77,4,1,0,3,3,12,8,0
23,Kristoffer Askildsen,no  NOR,MF,Sampdoria,20,2001,8.4,16,10,5,10,1,7,16,43.8,9,138,37,26.8,45,67,26,22,10,0,12,18,34,19,0
24,Kristjan Asllani,al  ALB,MF,Empoli,19,2002,15.0,27,14,14,11,2,10,27,37.0,17,255,61,23.9,108,129,18,19,8,1,11,34,61,21,0
25,Emil Audero,it  ITA,GK,Sampdoria,24,1997,28.4,0,0,0,0,0,0,1,0.0,1,5,1,20.0,5,0,0,0,0,0,0,0,0,0,0
26,Tommaso Augello,it  ITA,DF,Sampdoria,26,1994,26.6,45,24,27,11,7,13,27,48.1,14,255,78,30.6,126,75,54,47,5,0,42,46,91,57,1
27,Ramzi Aya,it  ITA,DF,Salernitana,30,1990,1.5,1,1,1,0,0,1,1,100.0,0,6,1,16.7,4,2,0,0,0,0,0,2,3,1,0
28,Kaan Ayhan,tr  TUR,DF,Sassuolo,26,1994,15.0,22,9,15,7,0,3,12,25.0,9,124,38,30.6,73,48,3,23,14,1,9,24,46,57,0
29,Milan Badelj,hr  CRO,MF,Genoa,32,1989,31.6,66,44,30,28,8,33,79,41.8,46,498,162,32.5,170,246,82,51,8,0,43,119,185,43,1
30,Nicola Bagnolini,it  ITA,GK,Bologna,17,2004,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
31,Issa Bah,lu  LUX,FW,Venezia,19,2002,0.1,0,0,0,0,0,0,0,,0,5,1,20.0,4,1,0,0,0,0,0,0,0,0,0
32,Nedim Bajrami,al  ALB,"MF,FW",Empoli,22,1999,22.8,35,28,11,17,7,4,13,30.8,9,328,88,26.8,49,152,127,16,1,0,15,8,43,10,0
33,Tiemoué Bakayoko,fr  FRA,MF,Milan,26,1994,5.6,19,13,9,7,3,5,18,27.8,13,141,45,31.9,45,78,18,10,1,0,9,11,30,8,1
34,Tommaso Baldanzi,it  ITA,FW,Empoli,18,2003,0.2,0,0,0,0,0,0,0,,0,5,2,40.0,0,2,3,1,0,0,1,0,0,0,0
35,Keita Baldé,sn  SEN,"FW,MF",Cagliari,26,1995,13.7,9,3,1,4,4,3,9,33.3,6,215,49,22.8,19,94,102,10,3,0,7,6,15,6,0
36,Fodé Ballo-Touré,sn  SEN,DF,Milan,24,1997,5.0,19,12,6,12,1,3,8,37.5,5,93,31,33.3,33,39,21,12,3,1,9,4,23,4,0
37,Filippo Bandinelli,it  ITA,MF,Empoli,26,1995,21.7,50,26,19,22,9,14,34,41.2,20,441,109,24.7,147,209,85,27,5,1,22,26,76,32,0
38,Mattia Bani,it  ITA,DF,Genoa,27,1993,13.5,24,11,17,7,0,12,17,70.6,5,147,47,32.0,98,44,5,24,10,0,14,37,61,80,0
39,Antonín Barák,cz  CZE,"FW,MF",Hellas Verona,26,1994,26.0,26,17,16,8,2,5,21,23.8,16,410,124,30.2,101,199,110,44,6,0,38,14,40,28,0
40,Francesco Bardi,it  ITA,GK,Bologna,29,1992,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
41,Nicolò Barella,it  ITA,MF,Inter,24,1997,32.4,66,33,13,39,14,21,48,43.8,27,421,122,29.0,112,209,100,31,3,0,28,34,100,13,1
42,Musa Barrow,gm  GAM,"FW,MF",Bologna,22,1998,23.7,16,12,4,7,5,8,22,36.4,14,322,67,20.8,55,126,141,22,1,0,21,15,31,6,0
43,Toma Bašić,hr  CRO,MF,Lazio,24,1996,10.9,12,8,4,8,0,3,11,27.3,8,199,59,29.6,63,96,40,18,4,0,14,9,21,17,0
44,Alessandro Bastoni,it  ITA,DF,Inter,22,1999,25.7,50,35,28,21,1,15,26,57.7,11,293,116,39.6,125,128,40,40,17,0,23,38,88,71,2
45,Simone Bastoni,it  ITA,"MF,DF",Spezia,24,1996,25.4,60,36,29,22,9,25,56,44.6,31,521,129,24.8,200,235,86,52,11,0,41,57,117,30,0
46,Rodrigo Becão,br  BRA,DF,Udinese,25,1996,34.8,95,72,56,35,4,40,76,52.6,36,459,189,41.2,241,188,30,53,22,1,31,59,154,105,3
47,Valon Behrami,ch  SUI,MF,Genoa,36,1985,3.5,6,3,2,3,1,1,5,20.0,4,75,26,34.7,20,42,13,4,1,0,3,5,11,5,1
48,Vid Belec,si  SVN,GK,Salernitana,31,1990,21.5,0,0,0,0,0,0,0,,0,2,0,0.0,2,0,0,0,0,0,0,0,0,0,0
49,Raoul Bellanova,it  ITA,DF,Cagliari,21,2000,27.7,36,17,18,16,2,9,35,25.7,26,281,75,26.7,94,118,69,56,7,0,49,44,80,40,0
50,Andrea Belotti,it  ITA,FW,Torino,27,1993,15.2,10,7,2,2,6,3,10,30.0,7,194,54,27.8,14,79,101,14,6,0,8,7,17,7,0
51,Filip Benković,hr  CRO,"DF,FW",Udinese,24,1997,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,1,0
52,Ismaël Bennacer,dz  ALG,MF,Milan,23,1997,16.9,52,38,25,22,5,19,49,38.8,30,410,133,32.4,134,213,63,20,4,0,16,42,94,17,0
53,Rodrigo Bentancur,uy  URU,MF,Juventus,24,1997,12.8,35,27,12,19,4,8,26,30.8,18,285,95,33.3,88,146,51,21,5,0,16,37,72,18,0
54,Alessandro Berardi,it  ITA,GK,Hellas Verona,30,1991,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
55,Domenico Berardi,it  ITA,FW,Sassuolo,26,1994,31.3,29,19,8,15,6,12,42,28.6,30,549,134,24.4,118,260,171,45,2,0,43,51,80,25,0
