,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types
0,Tammy Abraham,eng  ENG,FW,Roma,23,1997,34.3,80,2.33,56,1,1,13,6,3,12,0.35,5,0,1,3,3,0
1,Francesco Acerbi,it  ITA,DF,Lazio,33,1988,28.2,18,0.64,14,1,0,1,2,0,2,0.07,1,0,0,0,1,0
2,Michel Aebischer,ch  SUI,MF,Bologna,24,1997,4.9,9,1.83,7,1,0,0,0,1,0,0.00,0,0,0,0,0,0
3,Felix Afena-Gyan,gh  GHA,"FW,MF",Roma,18,2003,7.4,24,3.23,16,0,1,2,4,1,3,0.40,2,0,1,0,0,0
4,Kevin Agudelo,co  COL,"MF,FW",Spezia,22,1998,13.7,38,2.76,19,0,7,2,3,7,3,0.22,1,0,0,0,0,2
5,Ola Aina,ng  NGA,DF,Torino,24,1996,16.0,35,2.19,30,2,2,0,1,0,0,0.00,0,0,0,0,0,0
6,Marley Aké,fr  FRA,"MF,FW",Juventus,20,2001,0.9,1,1.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
7,Jean-Daniel Akpa-Akpro,ci  CIV,MF,Lazio,28,1992,3.5,2,0.57,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
8,Luis Alberto,es  ESP,MF,Lazio,28,1992,26.1,112,4.28,76,26,2,3,4,1,16,0.61,7,6,1,2,0,0
9,Giorgio Altare,it  ITA,DF,Cagliari,22,1998,16.3,25,1.53,16,2,0,5,0,2,0,0.00,0,0,0,0,0,0
10,Wisdom Amey,it  ITA,DF,Bologna,15,2005,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
11,Kelvin Amian,fr  FRA,DF,Spezia,23,1998,29.4,28,0.95,21,1,2,2,2,0,1,0.03,1,0,0,0,0,0
12,Nadiem Amiri,de  GER,"MF,FW",Genoa,24,1996,7.6,29,3.82,22,4,2,0,1,0,1,0.13,1,0,0,0,0,0
13,Ethan Ampadu,wls  WAL,"MF,DF",Venezia,20,2000,25.4,36,1.42,34,1,1,0,0,0,5,0.20,5,0,0,0,0,0
14,Sofyan Amrabat,ma  MAR,MF,Fiorentina,24,1996,10.5,16,1.53,13,0,0,0,2,1,0,0.00,0,0,0,0,0,0
15,Felipe Anderson,br  BRA,FW,Lazio,28,1993,32.1,102,3.18,80,3,7,3,9,0,17,0.53,11,0,4,2,0,0
16,Ebenezer Annan,gh  GHA,DF,Bologna,18,2002,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
17,Cristian Ansaldi,ar  ARG,DF,Torino,34,1986,7.7,24,3.13,16,3,2,2,1,0,5,0.65,4,0,0,1,0,0
18,Janis Antiste,fr  FRA,FW,Spezia,18,2002,8.8,11,1.24,8,0,2,1,0,0,0,0.00,0,0,0,0,0,0
19,Mattia Aramu,it  ITA,"MF,FW",Venezia,26,1995,23.3,71,3.04,31,19,4,2,14,1,10,0.43,7,1,0,0,2,0
20,Marko Arnautović,at  AUT,FW,Bologna,32,1989,29.9,82,2.74,64,0,6,8,2,2,6,0.20,4,0,1,1,0,0
21,Tolgay Arslan,de  GER,MF,Udinese,30,1990,18.4,46,2.50,27,7,0,4,6,2,7,0.38,2,0,0,2,3,0
22,Arthur,br  BRA,FW,Fiorentina,23,1998,8.3,16,1.92,11,0,3,1,1,0,5,0.60,3,0,1,1,0,0
23,Kristoffer Askildsen,no  NOR,MF,Sampdoria,20,2001,8.4,7,0.84,6,0,1,0,0,0,1,0.12,1,0,0,0,0,0
24,Kristjan Asllani,al  ALB,MF,Empoli,19,2002,15.0,28,1.86,19,3,1,2,1,2,2,0.13,2,0,0,0,0,0
25,Emil Audero,it  ITA,GK,Sampdoria,24,1997,28.4,5,0.18,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0
26,Tommaso Augello,it  ITA,DF,Sampdoria,26,1994,26.6,41,1.54,32,3,2,1,1,2,2,0.08,2,0,0,0,0,0
27,Ramzi Aya,it  ITA,DF,Salernitana,30,1990,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
28,Kaan Ayhan,tr  TUR,DF,Sassuolo,26,1994,15.0,8,0.53,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0
29,Milan Badelj,hr  CRO,MF,Genoa,32,1989,31.6,63,1.99,55,0,0,1,3,4,2,0.06,1,0,0,0,1,0
30,Nicola Bagnolini,it  ITA,GK,Bologna,17,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
31,Issa Bah,lu  LUX,FW,Venezia,19,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
32,Nedim Bajrami,al  ALB,"MF,FW",Empoli,22,1999,22.8,98,4.29,64,20,7,4,1,2,6,0.26,5,0,0,1,0,0
33,Tiemoué Bakayoko,fr  FRA,MF,Milan,26,1994,5.6,6,1.08,5,0,0,0,0,1,0,0.00,0,0,0,0,0,0
34,Tommaso Baldanzi,it  ITA,FW,Empoli,18,2003,0.2,1,5.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
35,Keita Baldé,sn  SEN,"FW,MF",Cagliari,26,1995,13.7,22,1.61,14,0,1,3,3,1,2,0.15,1,0,0,0,1,0
