,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Tammy Abraham,eng  ENG,FW,Roma,23,1997,34.3,9,0,0,43,50,17,24,15,22,1,1,0,126,82,99,45.3
1,Francesco Acerbi,it  ITA,DF,Lazio,33,1988,28.2,2,1,0,20,19,4,1,48,12,1,0,0,302,80,45,64.0
2,Michel Aebischer,ch  SUI,MF,Bologna,24,1997,4.9,1,0,0,14,4,0,2,5,8,0,0,0,33,6,8,42.9
3,Felix Afena-Gyan,gh  GHA,"FW,MF",Roma,18,2003,7.4,5,1,1,15,26,4,8,5,4,0,0,0,46,9,18,33.3
4,Kevin Agudelo,co  COL,"MF,FW",Spezia,22,1998,13.7,2,1,0,39,26,0,13,18,27,0,0,0,99,16,20,44.4
5,Ola Aina,ng  NGA,DF,Torino,24,1996,16.0,4,0,0,20,31,1,30,33,15,0,0,0,126,18,23,43.9
6,Marley Aké,fr  FRA,"MF,FW",Juventus,20,2001,0.9,1,0,0,8,2,0,1,2,0,0,0,0,4,1,0,100.0
7,Jean-Daniel Akpa-Akpro,ci  CIV,MF,Lazio,28,1992,3.5,1,0,0,14,10,0,0,3,9,0,1,0,24,7,7,50.0
8,Luis Alberto,es  ESP,MF,Lazio,28,1992,26.1,5,0,0,17,28,1,50,22,18,0,0,0,186,11,15,42.3
9,Giorgio Altare,it  ITA,DF,Cagliari,22,1998,16.3,5,0,0,41,16,1,15,44,28,0,1,0,211,45,38,54.2
10,Wisdom Amey,it  ITA,DF,Bologna,15,2005,0.8,0,0,0,1,2,0,0,2,0,0,0,0,8,3,1,75.0
11,Kelvin Amian,fr  FRA,DF,Spezia,23,1998,29.4,9,2,1,39,16,1,16,48,39,0,0,0,148,43,39,52.4
12,Nadiem Amiri,de  GER,"MF,FW",Genoa,24,1996,7.6,0,0,0,7,23,1,8,5,7,0,0,0,53,5,14,26.3
13,Ethan Ampadu,wls  WAL,"MF,DF",Venezia,20,2000,25.4,13,2,1,54,32,0,19,55,43,0,0,0,265,68,38,64.2
14,Sofyan Amrabat,ma  MAR,MF,Fiorentina,24,1996,10.5,6,0,0,29,15,0,3,10,22,0,0,0,114,10,17,37.0
15,Felipe Anderson,br  BRA,FW,Lazio,28,1993,32.1,2,0,0,44,40,7,71,37,50,0,0,0,191,18,29,38.3
16,Ebenezer Annan,gh  GHA,DF,Bologna,18,2002,0.3,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,
17,Cristian Ansaldi,ar  ARG,DF,Torino,34,1986,7.7,2,0,0,13,7,2,35,5,9,0,0,0,60,5,5,50.0
18,Janis Antiste,fr  FRA,FW,Spezia,18,2002,8.8,0,0,0,16,6,5,10,8,11,0,0,0,40,19,21,47.5
