,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2022-08-15,17:30,La Liga,Matchweek 1,Mon,Away,D,0.0,0.0,Athletic Club,0.4,1.6,36.0,39747.0,Antonio Raillo,5-4-1,Javier Villanueva,Match Report,
1,2022-08-20,19:30,La Liga,Matchweek 2,Sat,Home,L,1.0,2.0,Betis,0.6,2.1,48.0,15579.0,Antonio Raillo,5-3-2,Pablo González,Match Report,
2,2022-08-27,19:30,La Liga,Matchweek 3,Sat,Away,W,2.0,0.0,Rayo Vallecano,0.8,0.7,35.0,10944.0,Antonio Raillo,5-3-2,José Sánchez,Match Report,
3,2022-09-03,14:00,La Liga,Matchweek 4,Sat,Home,D,1.0,1.0,Girona,0.7,1.2,51.0,13390.0,Antonio Raillo,5-3-2,Isidro Díaz de Mera,Match Report,
4,2022-09-11,14:00,La Liga,Matchweek 5,Sun,Away,L,1.0,4.0,Real Madrid,0.5,2.3,32.0,54816.0,Antonio Raillo,5-3-2,Jorge Figueroa,Match Report,
5,2022-09-17,14:00,La Liga,Matchweek 6,Sat,Home,W,1.0,0.0,Almería,0.6,0.4,44.0,12687.0,Antonio Raillo,5-3-2,Juan Martínez,Match Report,
6,2022-10-01,21:00,La Liga,Matchweek 7,Sat,Home,L,0.0,1.0,Barcelona,1.2,0.7,29.0,18103.0,Antonio Raillo,5-4-1,Jesús Gil,Match Report,
7,2022-10-10,21:00,La Liga,Matchweek 8,Mon,Away,D,1.0,1.0,Elche,2.3,0.5,58.0,12000.0,Antonio Raillo,3-4-3,Valentín Pizarro,Match Report,
8,2022-10-15,18:30,La Liga,Matchweek 9,Sat,Home,L,0.0,1.0,Sevilla,0.7,0.2,44.0,15300.0,Antonio Raillo,5-4-1,Javier Villanueva,Match Report,
9,2022-10-19,20:00,La Liga,Matchweek 10,Wed,Away,L,0.0,1.0,Real Sociedad,0.9,1.2,49.0,27085.0,Antonio Raillo,5-4-1,Miguel Ángel Ortiz Arias,Match Report,
10,2022-10-22,18:30,La Liga,Matchweek 11,Sat,Away,W,2.0,1.0,Valencia,1.5,1.2,33.0,41199.0,Antonio Raillo,5-4-1,José Sánchez,Match Report,
11,2022-10-28,21:00,La Liga,Matchweek 12,Fri,Home,D,1.0,1.0,Espanyol,1.4,0.3,52.0,13982.0,Antonio Raillo,5-4-1,Isidro Díaz de Mera,Match Report,
12,2022-11-06,18:30,La Liga,Matchweek 13,Sun,Away,W,2.0,0.0,Villarreal,0.4,0.5,29.0,16603.0,Dani Rodríguez,5-4-1,Alejandro Muñíz,Match Report,
13,2022-11-09,21:30,La Liga,Matchweek 14,Wed,Home,W,1.0,0.0,Atlético Madrid,1.3,1.3,37.0,14475.0,Antonio Raillo,5-4-1,Mario Melero,Match Report,
14,2022-11-12,18:30,Copa del Rey,First round,Sat,Away,W,6.0,0.0,CD Autol,,,,4000.0,Antonio Raillo,5-3-2,Javier Villanueva,Match Report,
15,2022-12-20,21:00,Copa del Rey,Second round,Tue,Away,W,1.0,0.0,Real Unión,,,60.0,3000.0,Antonio Raillo,3-4-3,Juan Pulido,Match Report,
16,2022-12-30,17:00,La Liga,Matchweek 15,Fri,Away,L,0.0,2.0,Getafe,0.6,1.2,45.0,9755.0,Antonio Raillo,5-4-1,Alberola Rojas,Match Report,
17,2023-01-04,19:00,Copa del Rey,Round of 32,Wed,Away,W,2.0,0.0,Pontevedra,,,47.0,10500.0,Franco Russo,3-4-3,Carlos del Cerro,Match Report,Required Extra Time
18,2023-01-07,18:30,La Liga,Matchweek 16,Sat,Home,W,1.0,0.0,Valladolid,1.2,0.6,42.0,14129.0,Antonio Raillo,3-4-3,Valentín Pizarro,Match Report,
19,2023-01-14,18:30,La Liga,Matchweek 17,Sat,Away,,,,Osasuna,,,,,,,,Head-to-Head,
20,2023-01-18,,Copa del Rey,Round of 16,Wed,Away,,,,Real Sociedad,,,,,,,,Head-to-Head,
21,2023-01-22,,La Liga,Matchweek 18,Sun,Home,,,,Celta Vigo,,,,,,,,Head-to-Head,
22,2023-01-29,,La Liga,Matchweek 19,Sun,Away,,,,Cádiz,,,,,,,,Head-to-Head,
23,2023-02-05,,La Liga,Matchweek 20,Sun,Home,,,,Real Madrid,,,,,,,,Head-to-Head,
24,2023-02-12,,La Liga,Matchweek 21,Sun,Away,,,,Sevilla,,,,,,,,Head-to-Head,
25,2023-02-19,,La Liga,Matchweek 22,Sun,Home,,,,Villarreal,,,,,,,,Head-to-Head,
26,2023-02-26,,La Liga,Matchweek 23,Sun,Away,,,,Espanyol,,,,,,,,Head-to-Head,
27,2023-03-05,,La Liga,Matchweek 24,Sun,Home,,,,Elche,,,,,,,,Head-to-Head,
28,2023-03-12,,La Liga,Matchweek 25,Sun,Home,,,,Real Sociedad,,,,,,,,Head-to-Head,
29,2023-03-19,,La Liga,Matchweek 26,Sun,Away,,,,Betis,,,,,,,,Head-to-Head,
30,2023-04-02,,La Liga,Matchweek 27,Sun,Home,,,,Osasuna,,,,,,,,Head-to-Head,
31,2023-04-09,,La Liga,Matchweek 28,Sun,Away,,,,Valladolid,,,,,,,,Head-to-Head,
32,2023-04-16,,La Liga,Matchweek 29,Sun,Away,,,,Celta Vigo,,,,,,,,Head-to-Head,
33,2023-04-23,,La Liga,Matchweek 30,Sun,Home,,,,Getafe,,,,,,,,Head-to-Head,
34,2023-04-26,,La Liga,Matchweek 31,Wed,Away,,,,Atlético Madrid,,,,,,,,Head-to-Head,
35,2023-04-30,,La Liga,Matchweek 32,Sun,Home,,,,Athletic Club,,,,,,,,Head-to-Head,
36,2023-05-03,,La Liga,Matchweek 33,Wed,Away,,,,Girona,,,,,,,,Head-to-Head,
37,2023-05-14,,La Liga,Matchweek 34,Sun,Home,,,,Cádiz,,,,,,,,Head-to-Head,
38,2023-05-21,,La Liga,Matchweek 35,Sun,Away,,,,Almería,,,,,,,,Head-to-Head,
39,2023-05-24,,La Liga,Matchweek 36,Wed,Home,,,,Valencia,,,,,,,,Head-to-Head,
40,2023-05-28,,La Liga,Matchweek 37,Sun,Away,,,,Barcelona,,,,,,,,Head-to-Head,
