,Season,Age,Squad,Comp,LgRank,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Starts,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
0,2021,18,es  Spain,Friendlies (M),,1,28,28,15.6,0.3,0,,0.0,1,28.0,0,1.0,0,0,0,0.0,-2.37,,,,,
1,2021,18,es  Spain,UEFA Euro,SF,6,628,105,99.7,7.0,6,105.0,,0,,0,1.67,13,6,7,1.0,1.0,15.0,5.6,9.4,1.34,-10.34
2,2022,19,es  Spain,WCQ — UEFA (M),,3,184,61,34.1,2.0,2,79.0,1.0,1,27.0,0,2.33,4,1,3,1.47,0.2,,,,,
3,2 Seasons,2 Seasons,1 Club,3 Leagues,,10,840,84,62.2,9.3,8,98.0,1.0,2,28.0,0,1.8,17,7,10,1.07,-0.52,15.0,5.6,9.4,1.34,-10.34
4,UEFA Euro (1 Season),UEFA Euro (1 Season),UEFA Euro (1 Season),,,6,628,105,99.7,7.0,6,105.0,,0,,0,1.67,13,6,7,1.0,1.0,15.0,5.6,9.4,1.34,-10.34
5,WCQ — UEFA (M) (1 Season),WCQ — UEFA (M) (1 Season),WCQ — UEFA (M) (1 Season),,,3,184,61,34.1,2.0,2,79.0,1.0,1,27.0,0,2.33,4,1,3,1.47,0.2,,,,,
6,Friendlies (M) (1 Season),Friendlies (M) (1 Season),Friendlies (M) (1 Season),,,1,28,28,15.6,0.3,0,,0.0,1,28.0,0,1.0,0,0,0,0.0,-2.37,,,,,
