,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Cucho,23.0,co  COL,FW,21-180,88,15,19,78.9,299,136,5,7,71.4,7,8,87.5,2,3,66.7,0,0.2,3,2,2,0,6
1,David Timor,24.0,es  ESP,FW,31-000,2,0,2,0.0,0,0,0,0,,0,2,0.0,0,0,,0,0.0,0,0,0,0,0
2,Jaime Mata,7.0,es  ESP,FW,31-359,70,13,19,68.4,187,29,7,7,100.0,5,8,62.5,1,1,100.0,0,0.0,0,0,0,0,1
3,Enes Ünal,10.0,tr  TUR,FW,23-160,20,4,6,66.7,84,55,2,4,50.0,1,1,100.0,1,1,100.0,0,0.2,1,1,0,0,2
4,Marc Cucurella,15.0,es  ESP,LM,22-087,90,19,29,65.5,320,121,10,14,71.4,8,10,80.0,1,5,20.0,0,0.3,1,0,2,0,2
5,Allan Nyom,12.0,cm  CMR,RM,32-160,90,8,21,38.1,110,59,6,9,66.7,2,5,40.0,0,4,0.0,0,0.0,0,0,0,0,0
6,Mauro Arambarri,18.0,uy  URU,DM,25-017,89,15,25,60.0,454,151,3,5,60.0,4,5,80.0,8,14,57.1,0,0.0,0,1,3,2,2
7,Victor Mollejo,26.0,es  ESP,FW,19-270,1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0,0,0,0,0
8,Nemanja Maksimović,20.0,rs  SRB,DM,25-265,90,13,17,76.5,249,17,7,8,87.5,2,2,100.0,3,6,50.0,0,0.0,0,1,0,0,1
9,Mathías Olivera,17.0,uy  URU,LB,22-352,90,15,22,68.2,333,111,6,8,75.0,7,8,87.5,2,5,40.0,0,0.0,0,1,1,0,2
10,Erick Cabaco,3.0,uy  URU,CB,25-181,90,8,12,66.7,263,123,0,1,0.0,4,7,57.1,3,3,100.0,0,0.0,0,3,0,0,2
11,Djené,2.0,tg  TOG,CB,28-291,90,9,12,75.0,229,64,1,1,100.0,4,4,100.0,3,6,50.0,0,0.0,0,2,0,0,2
12,Damián Suárez,22.0,uy  URU,RB,32-173,90,19,37,51.4,389,199,7,12,58.3,7,12,58.3,4,11,36.4,0,0.0,0,2,0,0,1
13,David Soria,13.0,es  ESP,GK,27-196,90,7,28,25.0,376,324,0,0,,1,1,100.0,6,27,22.2,0,0.0,0,1,0,0,0
14,14 Players,,,,,990,145,249,58.2,3293,1389,54,76,71.1,52,73,71.2,34,86,39.5,0,0.8,5,14,8,2,21
