,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Cucho,23.0,co  COL,FW,21-180,88,0,0,0,1,2,0,1,1,1,0,0,0,5,2,4,33.3
1,David Timor,24.0,es  ESP,FW,31-000,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
2,Jaime Mata,7.0,es  ESP,FW,31-359,70,1,0,0,3,1,0,2,0,0,0,0,0,6,1,4,20.0
3,Enes Ünal,10.0,tr  TUR,FW,23-160,20,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,50.0
4,Marc Cucurella,15.0,es  ESP,LM,22-087,90,0,0,0,1,0,0,3,3,1,0,0,0,10,1,2,33.3
5,Allan Nyom,12.0,cm  CMR,RM,32-160,90,1,0,0,8,2,0,2,0,3,0,0,0,4,0,2,0.0
6,Mauro Arambarri,18.0,uy  URU,DM,25-017,89,0,0,0,3,0,0,3,3,4,0,0,0,9,0,0,
7,Victor Mollejo,26.0,es  ESP,FW,19-270,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
8,Nemanja Maksimović,20.0,rs  SRB,DM,25-265,90,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,100.0
9,Mathías Olivera,17.0,uy  URU,LB,22-352,90,1,0,0,0,0,0,3,0,2,0,0,0,7,0,0,
10,Erick Cabaco,3.0,uy  URU,CB,25-181,90,1,0,0,2,1,0,0,0,2,0,0,0,5,2,1,66.7
11,Djené,2.0,tg  TOG,CB,28-291,90,0,0,0,0,1,0,0,0,1,1,0,0,6,1,0,100.0
12,Damián Suárez,22.0,uy  URU,RB,32-173,90,0,0,0,3,1,0,1,1,3,0,0,0,9,0,0,
13,David Soria,13.0,es  ESP,GK,27-196,90,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
14,14 Players,,,,,990,4,0,0,23,9,1,15,8,18,1,0,0,75,9,14,39.1
