,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Antoine Griezmann,7.0,fr  FRA,FW,29-210,79,33,31,2,0,0,6,0,0,0,0,0,0,26,5,2,24,5,4,0,0,26,0,0,0,3
1,Francisco Trincão,17.0,pt  POR,RW,20-293,11,7,6,1,0,0,0,1,0,1,0,0,0,5,0,2,5,1,1,0,0,5,0,1,0,1
2,Ousmane Dembélé,11.0,fr  FRA,LW,23-155,61,32,31,1,1,0,3,0,1,0,0,0,0,27,2,3,10,19,1,0,1,27,0,0,2,1
3,Ansu Fati,22.0,es  ESP,LW,17-352,29,11,11,0,0,0,3,0,0,0,0,0,0,10,1,0,1,10,0,0,0,6,0,0,1,2
4,Lionel Messi,10.0,ar  ARG,"RW,AM",33-115,90,43,37,6,5,0,9,1,1,1,1,0,0,31,5,7,39,1,2,0,0,31,1,1,0,3
5,Pedri,16.0,es  ESP,AM,17-327,61,33,33,0,0,1,6,0,0,0,0,0,0,26,4,3,7,25,1,0,0,30,0,1,0,1
6,Philippe Coutinho,14.0,br  BRA,"AM,DM",28-127,29,19,19,0,0,0,0,0,0,0,0,0,0,13,4,2,1,17,1,0,0,16,1,0,0,0
7,Frenkie de Jong,21.0,nl  NED,DM,23-158,79,56,55,1,1,0,13,3,0,0,0,0,0,41,6,9,1,49,3,0,1,49,1,2,1,1
8,Martin Braithwaite,9.0,dk  DEN,FW,29-134,11,2,2,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0
9,Sergio Busquets,5.0,es  ESP,DM,32-093,90,67,63,4,4,0,11,2,0,0,0,0,0,49,8,10,13,50,3,0,0,61,0,1,0,0
10,Sergiño Dest,2.0,us  USA,LB,19-349,90,76,67,9,1,0,4,1,1,0,0,0,0,54,12,10,11,54,3,8,0,60,0,0,2,7
11,Clément Lenglet,15.0,fr  FRA,CB,25-122,90,77,70,7,7,0,5,0,0,0,0,0,0,68,3,6,62,11,2,0,0,71,0,0,0,1
12,Gerard Piqué,3.0,es  ESP,CB,33-258,90,90,90,0,0,0,3,4,0,0,0,0,0,70,9,11,3,76,8,0,2,85,0,2,1,0
13,Sergi Roberto,20.0,es  ESP,RB,28-253,86,70,65,5,1,0,4,0,0,0,0,0,0,52,7,11,9,54,3,4,0,62,0,0,0,4
14,Riqui Puig,12.0,es  ESP,RB,21-065,4,10,9,1,0,0,0,1,0,0,0,0,0,8,1,1,1,8,0,1,0,9,0,0,1,0
15,Neto,13.0,br  BRA,GK,31-090,90,33,26,7,0,0,0,0,0,0,0,0,0,26,3,4,2,23,0,0,8,31,0,0,0,0
16,16 Players,,,,,990,659,615,44,20,1,67,13,4,2,1,0,0,508,70,81,190,404,32,13,12,569,3,8,8,24
