,Minute,Player,Squad,Outcome,Distance,Body Part,Notes,Player_SCA 1,Event_SCA 1,Player_SCA 2,Event_SCA 2
0,18,Nemanja Maksimović,Getafe,Saved,12.0,Right Foot,Half volley,Cucho,Pass (Live),Erick Cabaco,Fouled
1,25,Mathías Olivera,Getafe,Wayward,14.0,Left Foot,,Cucho,Pass (Live),Damián Suárez,Pass (Live)
2,30,Antoine Griezmann,Barcelona,Off Target,14.0,Right Foot,,Pedri,Pass (Live),Ousmane Dembélé,Pass (Live)
3,31,Jaime Mata,Getafe,Off Target,20.0,Right Foot,,,,,
4,,,,,,,,,,,
5,56,Jaime Mata  (pen),Getafe,Goal,12.0,Right Foot,,Djené,Fouled,Allan Nyom,Pass (Live)
6,64,Gerard Piqué,Barcelona,Off Target,7.0,Head,,Lionel Messi,Pass (Dead),Ansu Fati,Fouled
7,69,Ansu Fati,Barcelona,Off Target,25.0,Right Foot,,Sergiño Dest,Pass (Dead),,
8,90+6,Philippe Coutinho,Barcelona,Blocked,17.0,Right Foot,,,,,
9,90+8,David Timor,Getafe,Off Target,31.0,Left Foot,Free kick,Victor Mollejo,Fouled,Enes Ünal,Pass (Live)
