,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Antoine Griezmann,7.0,fr  FRA,FW,29-210,79,26,33,78.8,395,62,16,18,88.9,8,10,80.0,2,2,100.0,0,0.0,0,2,0,0,1
1,Francisco Trincão,17.0,pt  POR,RW,20-293,11,5,7,71.4,99,30,2,2,100.0,2,2,100.0,1,2,50.0,0,0.0,0,0,0,0,1
2,Ousmane Dembélé,11.0,fr  FRA,LW,23-155,61,27,32,84.4,360,106,19,20,95.0,6,9,66.7,1,1,100.0,0,0.0,0,1,0,0,1
3,Ansu Fati,22.0,es  ESP,LW,17-352,29,6,11,54.5,78,12,4,6,66.7,2,3,66.7,0,0,,0,0.0,0,0,0,0,0
4,Lionel Messi,10.0,ar  ARG,"RW,AM",33-115,90,31,43,72.1,516,168,21,24,87.5,7,9,77.8,3,7,42.9,0,0.1,1,4,1,0,5
5,Pedri,16.0,es  ESP,AM,17-327,61,30,33,90.9,472,101,19,21,90.5,9,9,100.0,2,3,66.7,0,0.5,1,2,1,0,3
6,Philippe Coutinho,14.0,br  BRA,"AM,DM",28-127,29,16,19,84.2,301,73,7,7,100.0,6,8,75.0,3,4,75.0,0,0.0,0,4,1,0,3
7,Frenkie de Jong,21.0,nl  NED,DM,23-158,79,49,56,87.5,1021,264,17,19,89.5,20,21,95.2,11,14,78.6,0,0.0,0,4,0,0,3
8,Martin Braithwaite,9.0,dk  DEN,FW,29-134,11,0,2,0.0,0,0,0,0,,0,2,0.0,0,0,,0,0.0,0,0,0,0,0
9,Sergio Busquets,5.0,es  ESP,DM,32-093,90,61,67,91.0,1201,237,21,22,95.5,30,32,93.8,9,12,75.0,0,0.0,0,4,0,0,1
10,Sergiño Dest,2.0,us  USA,LB,19-349,90,60,76,78.9,921,361,38,46,82.6,20,20,100.0,2,6,33.3,0,0.0,2,9,1,0,5
11,Clément Lenglet,15.0,fr  FRA,CB,25-122,90,71,77,92.2,1587,499,18,18,100.0,37,37,100.0,15,19,78.9,0,0.0,0,6,0,0,2
12,Gerard Piqué,3.0,es  ESP,CB,33-258,90,85,90,94.4,1865,559,25,27,92.6,45,47,95.7,14,15,93.3,0,0.2,1,4,0,0,4
13,Sergi Roberto,20.0,es  ESP,RB,28-253,86,62,70,88.6,1119,346,26,31,83.9,28,28,100.0,8,9,88.9,0,0.0,0,3,1,0,4
14,Riqui Puig,12.0,es  ESP,RB,21-065,4,9,10,90.0,220,49,1,1,100.0,6,6,100.0,2,3,66.7,0,0.0,0,3,1,0,1
15,Neto,13.0,br  BRA,GK,31-090,90,31,33,93.9,664,386,9,9,100.0,15,16,93.8,7,8,87.5,0,0.0,0,0,0,0,0
16,16 Players,,,,,990,569,659,86.3,10819,3253,243,271,89.7,241,259,93.1,80,105,76.2,0,0.8,5,46,6,0,34
