Total Shoot,Total Shoot90,On Target,On Target90,On Target %,average Distance
,,1,0.49,,
,,,,,
45,3.07,12,0.82,26.7,
64,2.03,27,0.86,42.2,18.4
110,2.98,51,1.38,46.4,19.5
49,2.19,16,0.72,32.7,19.4
24,2.66,7,0.78,29.2,17.7
