Shoot Create Action,Shoot Create Action90,SCA(Pass),SCA(Dribble),SCA(Shoot),SCA(Fouled),SCA(Defense),Goal Create Action,Goal Create Action90,GCA(Pass),GCA(Dribble),GCA(Shoot),GCA(Fouled),GCA(Defense)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
95,3.01,68,10,3,12,0,10,0.32,7,2,0,1,0
176,4.77,103,24,9,27,3,37,1.00,16,7,4,6,1
66,2.96,38,9,3,3,0,9,0.40,8,0,0,0,0
17,1.89,10,3,1,0,0,3,0.33,1,2,0,0,0
