Tackles,Tackles Won,Tackle-In-Def3rd,Tackle-In-Mid3rd,Tackle-In-Att3rd,Tackle(Dribble),Tackle(Dribble)%,Dribble Past,Press,Press Success,Press Success %,Press-In-Def3rd,Press-In-Mid3rd,Press-In-Att3rd,Block,Intercept,Tackle + Intercept,Clear,Error
,,,,,1,,,,,,,,,,,,,
,,,,,1,,,,,,,,,,,,,
,30,,,,1,,,,,,,,,,16,,,
31,15,14,10,7,1,35.7,18,399,102,25.6,80,175,144,34,16,47,14,1
27,17,5,12,10,1,10.5,34,585,141,24.1,99,318,168,37,10,37,6,1
30,19,14,13,3,1,47.8,12,354,89,25.1,95,157,102,20,10,40,3,0
12,10,6,5,1,1,50.0,6,128,39,30.5,29,47,52,13,8,20,8,1
