Pass Attempt,Pass Complete,Pass Comp %,PassTotalDistance,PassProgressDistance,KeyPass,FinalThirdPass,PassIntoPenalty,CrossIntoPenalty ,Progree Pass
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1022,804,78.7,11947,2857,43,51,34,7,85
1300,997,76.7,15379,4322,67,87,46,4,115
803,616,76.7,9870,2374,39,24,34,9,47
295,208,70.5,3081,682,6,6,8,1,17
