minute,goal,goal90,assist,assist90,G+A90,xG,xG90,xA,xA90,nPxG,nPxG90,nPxGxA90
2.0,0,0.00,0,0.00,0.00,,,,,,,
,,,,,,,,,,,,
14.7,3,0.20,1,0.07,0.27,,,,,,,
31.6,13,0.41,5,0.16,0.57,8.2,0.26,4.5,0.14,7.4,0.24,0.38
36.9,22,0.60,11,0.30,0.89,21.0,0.57,8.3,0.23,13.4,0.36,0.59
22.3,5,0.22,6,0.27,0.49,4.5,0.20,4.4,0.20,3.8,0.17,0.37
9.0,4,0.44,0,0.00,0.44,2.7,0.30,0.4,0.05,1.9,0.21,0.26
