,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success
0,Aymen Abdennour,tn  TUN,DF,Valencia,25,1989,22,1851,84,54.1,20.6,22,84,20,0,,3,1.05,19,24,-5,-0.24,-0.42
1,Antonio Adán,es  ESP,GK,Betis,28,1987,36,3212,89,93.9,35.7,36,89,35,0,,0,1.14,31,50,-19,-0.53,-0.97
2,Adriano,br  BRA,DF,Barcelona,30,1984,8,434,54,12.7,4.8,4,85,2,4,23,15,3.00,17,4,+13,+2.70,+0.59
3,Aritz Aduriz,es  ESP,FW,Athletic Club,34,1981,34,2776,82,81.2,30.8,30,89,25,4,30,0,1.71,52,35,+17,+0.55,+1.11
4,Imanol Agirretxe,es  ESP,FW,Real Sociedad,28,1987,16,1170,73,34.2,13.0,14,81,8,2,19,2,0.94,15,18,-3,-0.23,-0.23
5,Rachid Aït-Atmane,dz  ALG,MF,Sporting Gijón,22,1993,18,1060,59,31.0,11.8,11,88,10,7,14,11,1.28,16,23,-7,-0.59,-0.02
6,Ager Aketxe,es  ESP,MF,Athletic Club,21,1993,3,185,62,5.4,2.1,2,79,1,1,28,1,1.00,3,3,0,0.00,-0.36
7,Sergio Akieme,es  ESP,DF,Rayo Vallecano,17,1997,0,,,,,0,,0,0,,1,,,,,,
8,Jordi Alba,es  ESP,DF,Barcelona,26,1989,31,2589,84,75.7,28.8,29,87,25,2,29,3,2.35,82,18,+64,+2.22,+0.17
9,Raúl Albentosa,es  ESP,DF,Málaga,26,1988,29,2555,88,74.7,28.4,27,90,27,2,63,7,1.38,29,24,+5,+0.18,+0.38
10,Luis Alberto,es  ESP,"MF,FW",La Coruña,22,1992,29,2098,72,61.3,23.3,25,79,13,4,29,3,1.00,30,40,-10,-0.43,-0.02
11,Paco Alcácer,es  ESP,FW,Valencia,21,1993,34,2419,71,70.7,26.9,25,87,18,9,28,1,1.24,38,36,+2,+0.07,+0.43
12,Antolín Alcaraz,py  PAR,DF,Las Palmas,33,1982,6,540,90,15.8,6.0,6,90,6,0,,1,0.83,6,7,-1,-0.17,+0.05
13,Nauzet Alemán,es  ESP,MF,Las Palmas,30,1985,10,248,25,7.3,2.8,2,66,0,8,15,9,0.90,2,4,-2,-0.73,-0.56
14,Diego Alende,es  ESP,DF,Celta Vigo,17,1997,1,40,40,1.2,0.4,0,,0,1,40,5,1.00,0,1,-1,-2.25,-2.06
