,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance
0,Aymen Abdennour,tn  TUN,DF,Valencia,25,1989,20.6,4,0,0,19,12,1,2,65,30,0,0,0
1,Antonio Adán,es  ESP,GK,Betis,28,1987,35.7,5,0,0,1,4,0,0,6,1,0,1,0
2,Adriano,br  BRA,DF,Barcelona,30,1984,4.8,0,0,0,7,6,0,11,10,7,0,0,0
3,Aritz Aduriz,es  ESP,FW,Athletic Club,34,1981,30.8,9,0,0,56,68,38,17,11,20,2,0,0
4,Imanol Agirretxe,es  ESP,FW,Real Sociedad,28,1987,13.0,0,0,0,10,27,10,12,4,4,0,0,0
5,Rachid Aït-Atmane,dz  ALG,MF,Sporting Gijón,22,1993,11.8,2,0,0,27,16,0,28,26,27,0,0,0
6,Ager Aketxe,es  ESP,MF,Athletic Club,21,1993,2.1,0,0,0,0,2,1,14,2,5,0,0,0
7,Jordi Alba,es  ESP,DF,Barcelona,26,1989,28.8,2,0,0,21,17,2,57,61,41,0,1,0
8,Raúl Albentosa,es  ESP,DF,Málaga,26,1988,28.4,11,0,0,29,12,1,4,104,28,0,1,0
9,Luis Alberto,es  ESP,"MF,FW",La Coruña,22,1992,23.3,3,0,0,8,21,8,48,10,31,0,0,0
10,Paco Alcácer,es  ESP,FW,Valencia,21,1993,26.9,2,0,0,17,16,36,6,17,17,0,0,0
11,Antolín Alcaraz,py  PAR,DF,Las Palmas,33,1982,6.0,2,0,0,6,2,0,1,17,13,0,1,0
12,Nauzet Alemán,es  ESP,MF,Las Palmas,30,1985,2.8,0,0,0,8,2,1,18,4,3,0,0,0
13,Diego Alende,es  ESP,DF,Celta Vigo,17,1997,0.4,0,0,0,1,0,0,0,2,0,0,0,0
14,Alexis,es  ESP,DF,Getafe,29,1985,15.0,7,0,0,9,7,0,5,45,16,0,0,0
15,Víctor Álvarez,es  ESP,"MF,DF",Espanyol,22,1993,21.8,6,0,0,36,33,1,42,29,44,0,0,0
16,Dani Alves,br  BRA,DF,Barcelona,32,1983,23.8,6,0,0,39,19,4,102,46,42,0,0,0
17,Diego Alves,br  BRA,GK,Valencia,30,1985,13.0,1,0,0,0,0,0,0,0,0,0,0,0
18,Antonio Amaya,es  ESP,DF,Rayo Vallecano,32,1983,11.5,6,1,1,17,7,0,2,38,18,0,1,0
19,Nordin Amrabat,ma  MAR,"MF,FW",Málaga,28,1987,11.1,5,1,0,37,29,20,63,4,9,1,0,0
20,Marco Andreolli,it  ITA,DF,Sevilla,29,1986,6.1,2,0,0,4,4,0,0,11,5,0,0,0
21,José Ángel Crespo,es  ESP,DF,Rayo Vallecano,28,1987,7.9,4,0,0,13,7,0,1,27,19,0,0,0
22,Miguel Ángel Guerrero,es  ESP,FW,Sporting Gijón,25,1990,12.1,2,0,0,41,12,6,5,10,20,0,0,0
23,Miguel Ángel,es  ESP,DF,Getafe,19,1996,2.2,1,0,0,1,1,0,1,10,3,0,0,0
24,Marcos Angeleri,ar  ARG,DF,Málaga,32,1983,12.3,3,0,0,13,7,0,0,36,17,0,0,0
25,Ion Ansotegi,es  ESP,DF,Eibar,33,1982,6.0,0,0,0,5,3,0,0,15,4,0,0,0
26,José Antonio Reyes,es  ESP,MF,Sevilla,31,1983,13.1,6,0,0,22,39,4,75,13,16,0,1,0
27,Youssef El-Arabi,ma  MAR,FW,Granada,28,1987,27.9,3,0,0,46,51,44,15,9,31,1,0,0
28,Sergio Araujo,ar  ARG,FW,Las Palmas,23,1992,20.2,4,0,0,40,15,19,5,4,21,0,0,0
29,Álvaro Arbeloa,es  ESP,DF,Real Madrid,32,1983,2.9,1,0,0,6,1,0,3,9,8,0,0,0
30,Anaitz Arbilla,es  ESP,DF,Espanyol,28,1987,7.0,3,0,0,11,7,0,13,15,19,0,0,0
31,Alphonse Areola,fr  FRA,GK,Villarreal,22,1993,32.0,1,0,0,0,8,0,0,1,0,0,0,0
32,Giedrius Arlauskis,lt  LTU,GK,Espanyol,27,1987,2.5,0,0,0,0,0,0,0,0,2,0,0,0
33,Alejandro Arribas,es  ESP,DF,La Coruña,26,1989,30.4,11,1,1,30,31,1,0,103,47,0,0,1
34,Mikel Arruabarrena,es  ESP,FW,Eibar,32,1983,0.7,0,0,0,0,2,1,0,0,1,0,0,0
35,Aythami Artiles,es  ESP,DF,Las Palmas,29,1986,29.3,13,2,2,27,12,1,1,106,40,1,0,0
36,Sergio Asenjo,es  ESP,GK,Villarreal,26,1989,4.0,1,0,0,1,1,0,0,0,1,0,1,0
37,Marco Asensio,es  ESP,"MF,FW",Espanyol,19,1996,31.4,3,0,0,39,57,5,179,16,44,1,0,0
38,Iago Aspas,es  ESP,"FW,MF",Celta Vigo,27,1987,29.5,8,0,0,39,36,16,39,13,19,2,0,0
39,Christian Atsu,gh  GHA,MF,Málaga,23,1992,4.4,0,0,0,3,7,4,8,6,6,0,0,0
40,Jean-Sylvain Babin,mq  MTQ,DF,Granada,28,1986,24.8,4,0,0,11,5,1,1,58,18,0,1,0
41,Raúl Baena,es  ESP,MF,Rayo Vallecano,26,1989,20.4,12,1,1,44,40,0,2,43,33,0,2,0
42,Eric Bailly,ci  CIV,DF,Villarreal,21,1994,22.4,11,1,1,34,29,0,1,66,35,0,0,0
43,Cédric Bakambu,cd  COD,FW,Villarreal,24,1991,20.7,4,0,0,55,30,28,25,4,15,0,0,0
44,Zakaria Bakkali,be  BEL,"MF,FW",Valencia,19,1996,6.3,1,0,0,10,20,3,44,5,10,0,0,0
45,Gareth Bale,wls  WAL,"FW,MF",Real Madrid,26,1989,19.3,3,0,0,13,27,17,85,20,11,1,0,0
46,Mikel Balenziaga,es  ESP,DF,Athletic Club,27,1988,32.3,6,0,0,37,25,0,101,69,62,0,0,0
47,Éver Banega,ar  ARG,MF,Sevilla,27,1988,19.1,8,1,1,26,44,4,114,19,40,0,0,0
48,Lass Bangoura,gn  GUI,MF,Rayo Vallecano,23,1992,8.9,2,0,0,17,9,6,53,10,16,0,0,0
49,Léo Baptistão,br  BRA,FW,Villarreal,22,1992,14.1,1,0,0,22,37,13,29,6,15,1,0,0
50,Danilo Barbosa,br  BRA,MF,Valencia,19,1996,15.1,4,0,0,24,44,0,2,29,31,1,1,0
51,Mariano Barbosa,ar  ARG,GK,Villarreal,31,1984,2.0,0,0,0,0,0,0,0,0,0,0,0,0
52,Antonio Barragán,es  ESP,DF,Valencia,28,1987,18.4,7,1,1,39,21,0,48,54,33,0,0,0
53,David Barral,es  ESP,FW,Granada,32,1983,4.1,4,1,1,16,9,2,6,3,4,1,0,0
54,Iñigo Barrenetxea,es  ESP,MF,Eibar,21,1994,0.1,0,0,0,0,0,0,0,0,1,0,0,0
55,Álex Barrera,es  ESP,MF,Sporting Gijón,24,1991,0.7,0,0,0,1,0,0,2,0,4,0,0,0
56,Marc Bartra,es  ESP,DF,Barcelona,24,1991,5.6,0,0,0,3,5,1,0,15,6,0,0,0
57,Borja Bastón,es  ESP,FW,Eibar,22,1992,28.6,3,0,0,38,30,36,18,9,22,1,0,0
58,Jon Bautista,es  ESP,FW,Real Sociedad,20,1995,1.3,2,0,0,5,3,0,1,1,2,0,0,0
59,Claudio Beauvue,gp  GLP,"MF,FW",Celta Vigo,27,1988,5.6,2,0,0,11,6,2,15,2,10,0,0,0
60,Bebé,cv  CPV,MF,Rayo Vallecano,25,1990,24.9,3,0,0,28,22,19,182,24,31,0,0,0
61,Karim Benzema,fr  FRA,FW,Real Madrid,27,1987,22.0,1,0,0,16,21,19,20,3,9,1,0,0
62,Yuri Berchiche,es  ESP,DF,Real Sociedad,25,1990,20.5,10,0,0,26,22,4,92,82,43,0,2,0
63,Álex Bergantiños,es  ESP,MF,La Coruña,30,1985,19.4,3,0,0,19,6,0,3,40,42,0,0,0
