,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Performance,PKatt_Performance,xG_Expected,npxG_Expected,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected
0,Marcos Acuña,ar  ARG,DF,Sevilla,31-003,1991,5.6,0,8,0,0.0,1.42,0.00,0.00,,29.7,1,0,0,0.3,0.3,0.04,-0.3,-0.3
1,Álvaro Aguado,es  ESP,MF,Valladolid,26-183,1996,6.8,0,5,1,20.0,0.74,0.15,0.00,0.00,26.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
2,Joseph Aidoo,gh  GHA,DF,Celta Vigo,27-032,1995,12.0,1,5,1,20.0,0.42,0.08,0.20,1.00,17.5,0,0,0,0.4,0.4,0.09,+0.6,+0.6
3,Sergio Akieme,es  ESP,DF,Almería,24-319,1997,12.0,0,15,5,33.3,1.25,0.42,0.00,0.00,21.7,0,0,0,0.9,0.9,0.06,-0.9,-0.9
4,Paul Akouokou,ci  CIV,MF,Betis,24-315,1997,2.3,0,2,1,50.0,0.88,0.44,0.00,0.00,25.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
5,David Alaba,at  AUT,DF,Real Madrid,30-129,1992,10.9,1,9,1,11.1,0.82,0.09,0.11,1.00,20.7,4,0,0,0.5,0.5,0.06,+0.5,+0.5
6,Tomás Alarcón,cl  CHI,MF,Cádiz,23-285,1999,2.5,0,2,1,50.0,0.81,0.40,0.00,0.00,36.4,0,0,0,0.0,0.0,0.01,0.0,0.0
7,Jordi Alba,es  ESP,DF,Barcelona,33-224,1989,5.6,0,4,0,0.0,0.72,0.00,0.00,,24.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
8,Raúl Albiol,es  ESP,DF,Villarreal,37-057,1985,10.9,0,1,0,0.0,0.09,0.00,0.00,,33.6,0,0,0,0.0,0.0,0.02,0.0,0.0
9,Rubén Alcaraz,es  ESP,MF,Cádiz,31-183,1991,4.8,0,9,0,0.0,1.88,0.00,0.00,,23.6,1,0,0,0.4,0.4,0.04,-0.4,-0.4
10,Iván Alejo,es  ESP,MF,Cádiz,27-263,1995,6.4,0,7,1,14.3,1.10,0.16,0.00,0.00,23.8,0,0,0,0.3,0.3,0.05,-0.3,-0.3
11,Carles Aleñá,es  ESP,MF,Getafe,24-299,1998,8.5,2,11,4,36.4,1.29,0.47,0.18,0.50,23.8,0,0,0,0.7,0.7,0.06,+1.3,+1.3
12,Alejandro Alfaro,es  ESP,MF,Elche,20-138,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
13,Ángel Algobia,es  ESP,MF,Getafe,23-130,1999,3.5,0,2,0,0.0,0.57,0.00,0.00,,25.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1
14,Mohamed Ali Cho,fr  FRA,"FW,MF",Real Sociedad,18-285,2004,2.7,0,9,5,55.6,3.33,1.85,0.00,0.00,19.2,0,0,0,0.8,0.8,0.09,-0.8,-0.8
15,Domingos André Ribeiro Almeida,pt  POR,"MF,FW",Valencia,22-154,2000,5.8,1,4,4,100.0,0.68,0.68,0.25,0.25,23.3,0,0,0,0.3,0.3,0.08,+0.7,+0.7
16,Marcos Alonso,es  ESP,DF,Barcelona,31-307,1990,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
17,Gastón Álvarez,uy  URU,DF,Getafe,22-221,2000,4.5,2,2,2,100.0,0.45,0.45,1.00,1.00,9.5,0,0,0,0.4,0.4,0.20,+1.6,+1.6
18,Yeray Álvarez,es  ESP,DF,Athletic Club,27-280,1995,9.7,0,5,0,0.0,0.51,0.00,0.00,,19.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3
19,Amath,sn  SEN,"MF,FW",Mallorca,26-107,1996,2.3,0,5,1,20.0,2.20,0.44,0.00,0.00,15.4,0,0,0,0.4,0.4,0.08,-0.4,-0.4
20,Jordan Amavi,fr  FRA,DF,Getafe,28-236,1994,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
21,Fabrizio Angileri,ar  ARG,DF,Getafe,28-230,1994,5.7,0,3,0,0.0,0.53,0.00,0.00,,23.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
22,Anuar,ma  MAR,"MF,FW",Valladolid,27-289,1995,2.3,1,3,1,33.3,1.29,0.43,0.33,1.00,13.0,0,0,0,0.3,0.3,0.12,+0.7,+0.7
23,Mauro Arambarri,uy  URU,MF,Getafe,27-031,1995,5.7,0,5,0,0.0,0.88,0.00,0.00,,27.3,1,0,0,0.2,0.2,0.03,-0.2,-0.2
24,Ronald Araújo,uy  URU,DF,Barcelona,23-238,1999,5.7,0,3,0,0.0,0.53,0.00,0.00,,14.0,0,0,0,0.6,0.6,0.19,-0.6,-0.6
25,Roberto Arroyo,es  ESP,MF,Valladolid,19-067,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
26,Santiago Arzamendia,py  PAR,"MF,DF",Cádiz,24-179,1998,2.8,0,3,1,33.3,1.06,0.35,0.00,0.00,17.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2
27,Sergio Asenjo,es  ESP,GK,Valladolid,33-125,1989,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
28,Marco Asensio,es  ESP,"MF,FW",Real Madrid,26-283,1996,1.1,1,5,3,60.0,4.69,2.81,0.20,0.33,19.5,0,0,0,0.8,0.8,0.16,+0.2,+0.2
29,Iago Aspas,es  ESP,FW,Celta Vigo,35-091,1987,11.2,6,21,10,47.6,1.88,0.89,0.24,0.50,21.6,2,1,2,3.3,1.7,0.08,+2.7,+3.3
30,Pierre-Emerick Aubameyang,ga  GAB,FW,Barcelona,33-135,1989,0.1,0,1,0,0.0,10.00,0.00,0.00,,12.4,0,0,0,0.1,0.1,0.12,-0.1,-0.1
31,Ezequiel Ávila,ar  ARG,"FW,MF",Osasuna,28-267,1994,7.5,4,23,10,43.5,3.08,1.34,0.09,0.20,23.6,0,2,3,4.2,1.8,0.08,-0.2,+0.2
32,Iddrisu Baba,gh  GHA,MF,Mallorca,26-282,1996,4.6,0,1,0,0.0,0.22,0.00,0.00,,31.0,0,0,0,0.0,0.0,0.01,0.0,0.0
33,Srđan Babić,rs  SRB,DF,Almería,26-192,1996,11.0,1,2,2,100.0,0.18,0.18,0.50,0.50,6.0,0,0,0,0.4,0.4,0.19,+0.6,+0.6
34,Édgar Badía,es  ESP,GK,Elche,30-261,1992,11.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
35,Alex Baena,es  ESP,"MF,FW",Villarreal,21-103,2001,6.1,4,18,9,50.0,2.97,1.48,0.22,0.44,20.8,0,0,0,1.3,1.3,0.07,+2.7,+2.7
36,Alejandro Balde,es  ESP,DF,Barcelona,19-013,2003,8.8,0,2,0,0.0,0.23,0.00,0.00,,28.8,0,0,0,0.0,0.0,0.02,0.0,0.0
37,Iván Balliu,al  ALB,DF,Rayo Vallecano,30-303,1992,12.0,0,3,1,33.3,0.25,0.08,0.00,0.00,14.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2
38,Léo Baptistão,br  BRA,"MF,FW",Almería,30-066,1992,5.0,1,13,4,30.8,2.60,0.80,0.08,0.25,15.0,0,0,0,1.2,1.2,0.09,-0.2,-0.2
39,Keidi Bare,al  ALB,MF,Espanyol,25-064,1997,2.4,0,1,0,0.0,0.42,0.00,0.00,,10.3,0,0,0,0.1,0.1,0.14,-0.1,-0.1
40,Kike Barja,es  ESP,"MF,FW",Osasuna,25-213,1997,2.4,1,2,2,100.0,0.83,0.83,0.50,0.50,16.2,0,0,0,0.1,0.1,0.07,+0.9,+0.9
41,Ander Barrenetxea,es  ESP,"FW,MF",Real Sociedad,20-308,2001,0.7,0,1,1,100.0,1.45,1.45,0.00,0.00,17.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1
42,Pablo Barrios,es  ESP,MF,Atlético Madrid,19-138,2003,0.2,0,1,1,100.0,4.74,4.74,0.00,0.00,21.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
43,Rodrigo Battaglia,ar  ARG,MF,Mallorca,31-111,1991,6.0,0,2,0,0.0,0.33,0.00,0.00,,17.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2
44,Bebé,cv  CPV,"MF,FW",Rayo Vallecano,32-111,1990,0.7,0,4,0,0.0,6.00,0.00,0.00,,32.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1
45,Héctor Bellerín,es  ESP,DF,Barcelona,27-226,1995,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
46,Fran Beltrán,es  ESP,MF,Celta Vigo,23-270,1999,11.4,0,11,0,0.0,0.97,0.00,0.00,,27.2,0,0,0,0.4,0.4,0.04,-0.4,-0.4
47,Karim Benzema,fr  FRA,FW,Real Madrid,34-316,1987,7.0,5,32,12,37.5,4.59,1.72,0.13,0.33,16.5,2,1,2,6.4,4.5,0.14,-1.4,-0.5
