,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W,D,L,CS_Performance,CS%_Performance,PKatt_Performance,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
0,Sergio Asenjo,es  ESP,GK,Valladolid,33-125,1989,5,5,450,5.0,7,1.40,12,5,41.7,1,1,3,1,20.0,0,0,0,0,
1,Édgar Badía,es  ESP,GK,Elche,30-261,1992,11,11,990,11.0,26,2.36,75,48,69.3,0,4,7,0,0.0,5,3,2,0,40.0
2,Yassine Bounou,ma  MAR,GK,Sevilla,31-209,1991,10,10,855,9.5,16,1.68,45,28,68.9,2,2,5,1,10.0,3,2,1,0,33.3
3,Claudio Bravo,cl  CHI,GK,Betis,39-201,1983,1,1,90,1.0,0,0.00,3,3,100.0,0,1,0,1,100.0,0,0,0,0,
4,Juan Carlos,es  ESP,GK,Girona,34-284,1988,10,10,900,10.0,18,1.80,43,25,62.8,2,2,6,0,0.0,2,2,0,0,0.0
5,Thibaut Courtois,be  BEL,GK,Real Madrid,30-173,1992,8,8,720,8.0,8,1.00,26,18,76.9,7,1,0,0,0.0,2,2,0,0,0.0
6,Stole Dimitrievski,mk  MKD,GK,Rayo Vallecano,28-310,1993,11,11,990,11.0,11,1.00,39,29,71.8,5,3,3,4,36.4,0,0,0,0,
7,Marko Dmitrović,rs  SRB,GK,Sevilla,30-280,1992,3,2,225,2.5,3,1.20,14,11,78.6,0,1,1,0,0.0,0,0,0,0,
8,Aitor Fernández,es  ESP,GK,Osasuna,31-181,1991,2,2,180,2.0,0,0.00,5,5,100.0,2,0,0,2,100.0,0,0,0,0,
9,Álvaro Fernández,es  ESP,GK,Espanyol,24-201,1998,4,4,360,4.0,7,1.75,20,13,65.0,1,1,2,1,25.0,0,0,0,0,
10,Fernando,es  ESP,GK,Almería,32-143,1990,11,11,990,11.0,18,1.64,57,38,71.9,4,1,6,0,0.0,3,2,1,0,33.3
11,Paulo Gazzaniga,ar  ARG,GK,Girona,30-302,1992,2,2,180,2.0,2,1.00,8,6,75.0,0,2,0,0,0.0,0,0,0,0,
12,Ivo Grbić,hr  CRO,GK,Atlético Madrid,26-286,1996,4,2,208,2.3,2,0.87,9,7,88.9,1,1,0,1,50.0,1,1,0,0,0.0
13,Sergio Herrera,es  ESP,GK,Osasuna,29-148,1993,10,10,900,10.0,11,1.10,35,24,71.4,4,2,4,2,20.0,3,1,0,2,0.0
14,Benjamin Lecomte,fr  FRA,GK,Espanyol,31-188,1991,8,8,719,8.0,12,1.50,30,18,60.0,1,4,2,1,12.5,0,0,0,0,
15,Jeremías Ledesma,ar  ARG,GK,Cádiz,29-260,1993,12,12,1080,12.0,24,2.00,77,52,74.0,2,4,6,3,25.0,5,4,1,0,20.0
16,Diego López,es  ESP,GK,Rayo Vallecano,40-362,1981,1,1,90,1.0,3,3.00,4,1,25.0,0,0,1,0,0.0,0,0,0,0,
17,Andriy Lunin,ua  UKR,GK,Real Madrid,23-262,1999,4,4,360,4.0,2,0.50,12,10,83.3,3,1,0,2,50.0,0,0,0,0,
18,Giorgi Mamardashvili,ge  GEO,GK,Valencia,22-032,2000,12,12,1080,12.0,14,1.17,47,34,74.5,4,3,5,2,16.7,3,2,0,1,0.0
19,Agustín Marchesín,ar  ARG,GK,Celta Vigo,34-229,1988,12,12,1080,12.0,24,2.00,51,26,56.9,3,2,7,3,25.0,4,2,2,0,50.0
20,Jordi Masip,es  ESP,GK,Valladolid,33-301,1989,7,7,630,7.0,10,1.43,36,24,75.0,3,1,3,2,28.6,3,1,2,0,66.7
21,Jan Oblak,si  SVN,GK,Atlético Madrid,29-297,1993,10,10,872,9.7,10,1.03,34,24,70.6,5,0,3,3,30.0,0,0,0,0,
22,Fernando Pacheco,es  ESP,GK,Almería,30-166,1992,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,
23,Predrag Rajković,rs  SRB,GK,Mallorca,27-000,1995,12,12,1080,12.0,13,1.08,40,27,77.5,3,4,5,3,25.0,4,4,0,0,0.0
24,Álex Remiro,es  ESP,GK,Real Sociedad,27-221,1995,12,12,1080,12.0,15,1.25,48,32,68.8,7,1,4,4,33.3,1,0,1,0,100.0
25,Gerónimo Rulli,ar  ARG,GK,Villarreal,30-164,1992,12,12,1080,12.0,8,0.67,45,37,82.2,5,3,4,6,50.0,0,0,0,0,
26,Rui Silva,pt  POR,GK,Betis,28-266,1994,11,11,990,11.0,8,0.73,41,33,80.5,7,1,3,5,45.5,0,0,0,0,
27,Unai Simón,es  ESP,GK,Athletic Club,25-142,1997,12,12,1080,12.0,12,1.00,31,19,61.3,6,3,3,5,41.7,0,0,0,0,
28,David Soria,es  ESP,GK,Getafe,29-210,1993,11,11,990,11.0,19,1.73,59,40,69.5,2,4,5,3,27.3,2,1,1,0,50.0
29,Marc-André ter Stegen,de  GER,GK,Barcelona,30-184,1992,12,12,1080,12.0,4,0.33,28,24,89.3,10,1,1,10,83.3,1,1,0,0,0.0
