,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,xG_Per 90 Minutes,xAG_Per 90 Minutes,xG+xAG_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xAG_Per 90 Minutes
25,Roberto Arroyo,es  ESP,MF,Valladolid,19-067,2003,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
26,Santiago Arzamendia,py  PAR,"MF,DF",Cádiz,24-179,1998,4,3,255,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.06,0.13,0.20,0.06,0.20
27,Sergio Asenjo,es  ESP,GK,Valladolid,33-125,1989,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
28,Marco Asensio,es  ESP,"MF,FW",Real Madrid,26-283,1996,8,0,96,1.1,1,1,1,0,0,0,0,0.94,0.94,1.87,0.94,1.87,0.8,0.8,0.4,1.2,0.76,0.35,1.10,0.76,1.10
29,Iago Aspas,es  ESP,FW,Celta Vigo,35-091,1987,12,11,1006,11.2,6,2,5,1,2,3,0,0.54,0.18,0.72,0.45,0.63,3.3,1.7,1.9,3.7,0.30,0.17,0.47,0.15,0.33
30,Pierre-Emerick Aubameyang,ga  GAB,FW,Barcelona,33-135,1989,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,1.18,0.00,1.18,1.18,1.18
31,Ezequiel Ávila,ar  ARG,"FW,MF",Osasuna,28-267,1994,11,9,673,7.5,4,1,2,2,3,2,1,0.53,0.13,0.67,0.27,0.40,4.2,1.8,1.0,2.8,0.56,0.14,0.69,0.24,0.38
32,Iddrisu Baba,gh  GHA,MF,Mallorca,26-282,1996,9,4,413,4.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.03,0.00,0.03
33,Srđan Babić,rs  SRB,DF,Almería,26-192,1996,11,11,990,11.0,1,0,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,0.4,0.4,0.2,0.5,0.03,0.01,0.05,0.03,0.05
34,Édgar Badía,es  ESP,GK,Elche,30-261,1992,11,11,990,11.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
35,Alex Baena,es  ESP,"MF,FW",Villarreal,21-103,2001,11,4,546,6.1,4,0,4,0,0,5,1,0.66,0.00,0.66,0.66,0.66,1.3,1.3,1.5,2.8,0.21,0.24,0.45,0.21,0.45
36,Alejandro Balde,es  ESP,DF,Barcelona,19-013,2003,10,10,788,8.8,0,3,0,0,0,1,0,0.00,0.34,0.34,0.00,0.34,0.0,0.0,1.5,1.5,0.01,0.17,0.17,0.01,0.17
37,Iván Balliu,al  ALB,DF,Rayo Vallecano,30-303,1992,12,12,1080,12.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.9,1.1,0.02,0.07,0.09,0.02,0.09
38,Léo Baptistão,br  BRA,"MF,FW",Almería,30-066,1992,9,6,450,5.0,1,1,1,0,0,2,0,0.20,0.20,0.40,0.20,0.40,1.2,1.2,0.8,1.9,0.23,0.15,0.38,0.23,0.38
39,Keidi Bare,al  ALB,MF,Espanyol,25-064,1997,9,1,216,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.06,0.03,0.09,0.06,0.09
40,Kike Barja,es  ESP,"MF,FW",Osasuna,25-213,1997,5,2,217,2.4,1,0,1,0,0,0,0,0.41,0.00,0.41,0.41,0.41,0.1,0.1,0.3,0.5,0.06,0.13,0.19,0.06,0.19
41,Ander Barrenetxea,es  ESP,"FW,MF",Real Sociedad,20-308,2001,4,0,62,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.10,0.00,0.10,0.10,0.10
42,Pablo Barrios,es  ESP,MF,Atlético Madrid,19-138,2003,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.27,0.00,0.27,0.27,0.27
43,Rodrigo Battaglia,ar  ARG,MF,Mallorca,31-111,1991,9,7,543,6.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.03,0.00,0.03,0.03,0.03
44,Bebé,cv  CPV,"MF,FW",Rayo Vallecano,32-111,1990,4,0,60,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.11,0.13,0.24,0.11,0.24
45,Héctor Bellerín,es  ESP,DF,Barcelona,27-226,1995,3,1,143,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.06,0.06,0.00,0.06
46,Fran Beltrán,es  ESP,MF,Celta Vigo,23-270,1999,12,12,1023,11.4,0,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,0.4,0.4,0.6,1.1,0.04,0.06,0.09,0.04,0.09
47,Karim Benzema,fr  FRA,FW,Real Madrid,34-316,1987,7,7,627,7.0,5,1,4,1,2,0,0,0.72,0.14,0.86,0.57,0.72,6.4,4.5,1.2,5.7,0.92,0.17,1.09,0.64,0.81
48,Yuri Berchiche,es  ESP,DF,Athletic Club,32-263,1990,5,4,395,4.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.07,0.03,0.10,0.07,0.10
49,Álex Berenguer,es  ESP,MF,Athletic Club,27-119,1995,12,11,936,10.4,3,1,3,0,0,0,0,0.29,0.10,0.38,0.29,0.38,2.6,2.6,2.4,5.1,0.25,0.23,0.49,0.25,0.49
50,Pedro Bigas,es  ESP,DF,Elche,32-046,1990,10,10,824,9.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01
51,El Bilal Touré,ml  MLI,FW,Almería,21-028,2001,7,6,486,5.4,3,1,3,0,0,0,0,0.56,0.19,0.74,0.56,0.74,2.3,2.3,0.3,2.7,0.43,0.06,0.50,0.43,0.50
52,Blanco,es  ESP,MF,Cádiz,22-100,2000,3,2,158,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01
53,Theo Bongonda,cd  COD,MF,Cádiz,26-345,1995,7,4,348,3.9,1,0,1,0,0,0,0,0.26,0.00,0.26,0.26,0.26,0.6,0.6,0.1,0.7,0.16,0.01,0.17,0.16,0.17
