,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG/SoT_Expected,PSxG+/-_Expected,/90_Expected,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,#OPA/90_Sweeper,AvgDist_Sweeper
0,Sergio Asenjo,es  ESP,GK,Valladolid,33-125,1989,5.0,7,0,0,0,0,5.7,0.47,-1.3,-0.26,29,82,35.4,132,16,35.6,34.9,49,71.4,52.6,77,2,2.6,13,2.60,18.9
1,Édgar Badía,es  ESP,GK,Elche,30-261,1992,11.0,26,3,0,2,1,31.0,0.36,+6.0,+0.55,74,151,49.0,254,47,40.6,36.1,84,57.1,44.7,174,8,4.6,1,0.09,10.5
2,Yassine Bounou,ma  MAR,GK,Sevilla,31-209,1991,9.5,16,2,0,1,0,17.0,0.32,+1.0,+0.11,39,118,33.1,278,37,29.9,32.7,70,50.0,42.3,123,7,5.7,18,1.89,16.9
3,Claudio Bravo,cl  CHI,GK,Betis,39-201,1983,1.0,0,0,0,0,0,0.4,0.14,+0.4,+0.41,6,20,30.0,25,3,52.0,40.3,8,87.5,59.4,8,0,0.0,2,2.00,19.0
4,Juan Carlos,es  ESP,GK,Girona,34-284,1988,10.0,18,2,2,1,0,16.3,0.34,-1.7,-0.17,23,64,35.9,278,51,17.6,28.8,62,24.2,30.4,121,6,5.0,20,2.00,16.9
5,Thibaut Courtois,be  BEL,GK,Real Madrid,30-173,1992,8.0,8,2,0,1,0,5.4,0.13,-2.6,-0.32,23,55,41.8,240,50,19.2,28.2,33,27.3,32.6,84,11,13.1,6,0.75,12.9
6,Stole Dimitrievski,mk  MKD,GK,Rayo Vallecano,28-310,1993,11.0,11,0,0,1,1,14.3,0.37,+4.3,+0.39,46,162,28.4,252,60,44.4,38.6,82,61.0,47.9,150,3,2.0,14,1.27,16.2
7,Marko Dmitrović,rs  SRB,GK,Sevilla,30-280,1992,2.5,3,0,0,0,0,2.7,0.21,-0.3,-0.11,15,40,37.5,81,13,37.0,37.5,18,55.6,51.1,35,6,17.1,3,1.20,11.1
8,Aitor Fernández,es  ESP,GK,Osasuna,31-181,1991,2.0,0,0,0,0,0,1.3,0.28,+1.3,+0.66,25,37,67.6,63,10,54.0,43.0,5,60.0,50.0,27,1,3.7,4,2.00,19.3
9,Álvaro Fernández,es  ESP,GK,Espanyol,24-201,1998,4.0,7,0,0,2,0,7.4,0.37,+0.4,+0.10,42,78,53.8,89,18,52.8,42.6,34,91.2,59.0,53,2,3.8,7,1.75,15.9
10,Fernando,es  ESP,GK,Almería,32-143,1990,11.0,18,2,1,1,0,16.2,0.24,-1.8,-0.16,42,133,31.6,280,58,33.2,35.8,99,40.4,37.7,196,11,5.6,9,0.82,14.0
11,Paulo Gazzaniga,ar  ARG,GK,Girona,30-302,1992,2.0,2,0,0,0,0,4.1,0.51,+2.1,+1.03,8,26,30.8,77,16,23.4,28.8,18,44.4,41.2,31,4,12.9,2,1.00,16.1
12,Ivo Grbić,hr  CRO,GK,Atlético Madrid,26-286,1996,2.3,2,1,0,1,0,2.7,0.19,+0.7,+0.30,13,55,23.6,65,8,52.3,40.5,22,95.5,66.8,42,7,16.7,0,0.00,5.5
13,Sergio Herrera,es  ESP,GK,Osasuna,29-148,1993,10.0,11,1,1,2,0,8.8,0.22,-2.2,-0.22,90,218,41.3,275,30,60.7,45.2,82,62.2,48.3,126,6,4.8,15,1.50,19.1
14,Benjamin Lecomte,fr  FRA,GK,Espanyol,31-188,1991,8.0,12,0,0,2,0,9.1,0.31,-2.9,-0.36,56,127,44.1,152,18,61.2,43.8,54,63.0,46.1,107,2,1.9,9,1.13,15.8
15,Jeremías Ledesma,ar  ARG,GK,Cádiz,29-260,1993,12.0,24,4,1,2,0,22.1,0.23,-1.9,-0.16,77,235,32.8,268,64,53.0,42.7,107,86.9,64.4,216,11,5.1,4,0.33,8.9
