,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA_Performance,GA_Performance,Saves_Performance,Save%_Performance,CS_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Match Report
0,2016-08-21,Sun,La Liga,Matchweek 1,Home,D 1–1,Atlético Madrid,Alavés,Y,GK,90,1,1,0,0.0,0,0,0,0,0,Match Report
1,2016-08-27,Sat,La Liga,Matchweek 2,Away,D 0–0,Atlético Madrid,Leganés,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
2,2016-09-04,Sun,WCQ — UEFA (M),First round,Away,D 2–2,si  Slovenia,lt  Lithuania,Y,GK,90,,2,,,0,0,0,0,0,Match Report
3,2016-09-10,Sat,La Liga,Matchweek 3,Away,W 4–0,Atlético Madrid,Celta Vigo,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
4,2016-09-13,Tue,Champions Lg,Group stage,Away,W 1–0,es  Atlético Madrid,nl  PSV Eindhoven,Y,GK,90,2,0,3,100.0,1,1,0,1,0,Match Report
5,2016-09-17,Sat,La Liga,Matchweek 4,Home,W 5–0,Atlético Madrid,Sporting Gijón,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
6,2016-09-21,Wed,La Liga,Matchweek 5,Away,D 1–1,Atlético Madrid,Barcelona,Y,GK,90,7,1,6,85.7,0,0,0,0,0,Match Report
7,2016-09-25,Sun,La Liga,Matchweek 6,Home,W 1–0,Atlético Madrid,La Coruña,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
8,2016-09-28,Wed,Champions Lg,Group stage,Home,W 1–0,es  Atlético Madrid,de  Bayern Munich,Y,GK,90,4,0,4,100.0,1,0,0,0,0,Match Report
9,2016-10-02,Sun,La Liga,Matchweek 7,Away,W 2–0,Atlético Madrid,Valencia,Y,GK,90,5,0,5,100.0,1,0,0,0,0,Match Report
10,2016-10-08,Sat,WCQ — UEFA (M),First round,Home,W 1–0,si  Slovenia,sk  Slovakia,Y,GK,90,,0,,,1,0,0,0,0,Match Report
11,2016-10-11,Tue,WCQ — UEFA (M),First round,Home,D 0–0,si  Slovenia,eng  England,Y,GK,90,,0,,,1,0,0,0,0,Match Report
12,2016-10-15,Sat,La Liga,Matchweek 8,Home,W 7–1,Atlético Madrid,Granada,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
13,2016-10-19,Wed,Champions Lg,Group stage,Away,W 1–0,es  Atlético Madrid,ru  Rostov,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
14,2016-10-23,Sun,La Liga,Matchweek 9,Away,L 0–1,Atlético Madrid,Sevilla,Y,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report
15,2016-10-29,Sat,La Liga,Matchweek 10,Home,W 4–2,Atlético Madrid,Málaga,Y,GK,90,3,2,1,33.3,0,0,0,0,0,Match Report
16,2016-11-01,Tue,Champions Lg,Group stage,Home,W 2–1,es  Atlético Madrid,ru  Rostov,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
17,2016-11-05,Sat,La Liga,Matchweek 11,Away,L 0–2,Atlético Madrid,Real Sociedad,Y,GK,90,1,2,1,100.0,0,2,2,0,0,Match Report
18,2016-11-11,Fri,WCQ — UEFA (M),First round,Away,W 1–0,si  Slovenia,mt  Malta,Y,GK,90,,0,,,1,0,0,0,0,Match Report
19,2016-11-19,Sat,La Liga,Matchweek 12,Home,L 0–3,Atlético Madrid,Real Madrid,Y,GK,90,6,3,4,66.7,0,1,1,0,0,Match Report
20,2016-11-23,Wed,Champions Lg,Group stage,Home,W 2–0,es  Atlético Madrid,nl  PSV Eindhoven,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
21,2016-11-27,Sun,La Liga,Matchweek 13,Away,W 3–0,Atlético Madrid,Osasuna,Y,GK,90,0,0,0,,1,1,0,1,0,Match Report
22,,,,,,,,,,,,,,,,,,,,,
23,2016-12-03,Sat,La Liga,Matchweek 14,Home,D 0–0,Atlético Madrid,Espanyol,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
24,2016-12-06,Tue,Champions Lg,Group stage,Away,L 0–1,es  Atlético Madrid,de  Bayern Munich,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
25,2016-12-12,Mon,La Liga,Matchweek 15,Away,L 0–3,Atlético Madrid,Villarreal,Y,GK,40,3,2,1,33.3,0,0,0,0,0,Match Report
26,,,,,,,,,,,,,,,,,,,,,
27,2017-02-21,Tue,Champions Lg,Round of 16,Away,W 4–2,es  Atlético Madrid,de  Leverkusen,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
28,2017-02-26,Sun,La Liga,Matchweek 24,Home,L 1–2,Atlético Madrid,Barcelona,Y,GK,90,6,2,4,66.7,0,0,0,0,0,Match Report
