,Player,Nation_x,Pos_x,Age_x,MP,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance_x,CrdR_Performance_x,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected_x,npxG_Expected_x,xAG_Expected,npxG+xAG_Expected,xG_Per 90 Minutes,xAG_Per 90 Minutes,xG+xAG_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xAG_Per 90 Minutes,Nation_y,Pos_y,Age_y,90s_x,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected_y,npxG_Expected_y,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected,Nation_x,Pos_x,Age_x,90s_y,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Nation_y,Pos_y,Age_y,90s_x,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Sw_Pass Types,Crs_Pass Types,TI_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,Nation_x,Pos_x,Age_x,90s_y,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,Nation_y,Pos_y,Age_y,90s_x,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Nation_x,Pos_x,Age_x,90s_y,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,Mis_Dribbles,Dis_Dribbles,Rec_Receiving,Prog_Receiving,Nation_y,Pos_y,Age_y,90s,CrdY_Performance_y,CrdR_Performance_y,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Marc-André ter Stegen,de  GER,GK,30-244,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,de  GER,GK,30-244,14.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,de  GER,GK,30-244,14.0,441,516,85.5,11014,7655,87,87,100.0,221,227,97.4,131,200,65.5,0,0.1,0.0,-0.1,1,4,0,0,0,de  GER,GK,30-244,14.0,516,425,91,22,0,1,0,0,0,0,0,0,441,0,0,de  GER,GK,30-244,14.0,4,0.29,4,0,0,0,0,0,1,0.07,1,0,0,0,0,0,de  GER,GK,30-244,14.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,2,de  GER,GK,30-244,14.0,542,411,535,7,0,0,542,0,0,,1,1,329,0,de  GER,GK,30-244,14.0,0,0,0,0,0,0,0,1,0,0,0,0,22,3,0,100.0
1,Robert Lewandowski,pl  POL,FW,34-131,14,13,1064.0,11.8,13.0,4.0,13.0,0.0,1.0,2.0,1.0,1.1,0.34,1.44,1.1,1.44,11.0,10.2,2.4,12.6,0.93,0.2,1.13,0.86,1.06,pl  POL,FW,34-131,11.8,13,50,28,56.0,4.23,2.37,0.26,0.46,12.3,1,0,1,11.0,10.2,0.2,2.0,2.8,pl  POL,FW,34-131,11.8,227,294,77.2,3181,679,136,158,86.1,63,82,76.8,12,18,66.7,4,2.4,2.1,1.6,15,19,16,2,26,pl  POL,FW,34-131,11.8,294,286,3,0,4,2,9,0,0,0,0,0,227,5,8,pl  POL,FW,34-131,11.8,40,3.38,29,0,2,7,2,0,7,0.59,4,0,0,3,0,0,pl  POL,FW,34-131,11.8,7,4,0,2,5,4,8,50.0,4,7,0,7,0,7,2,0,pl  POL,FW,34-131,11.8,430,2,12,158,264,78,429,13,26,50.0,36,16,368,87,pl  POL,FW,34-131,11.8,2,1,1,19,19,7,9,0,4,0,0,0,21,16,19,45.7
2,Pedri,es  ESP,MF,20-035,14,12,1025.0,11.4,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,1.4,1.4,2.2,3.7,0.13,0.2,0.32,0.13,0.32,es  ESP,MF,20-035,11.4,3,10,4,40.0,0.88,0.35,0.3,0.75,19.4,0,0,0,1.4,1.4,0.14,1.6,1.6,es  ESP,MF,20-035,11.4,661,732,90.3,12145,2500,307,325,94.5,247,272,90.8,97,111,87.4,0,2.2,2.8,-2.2,18,87,16,0,63,es  ESP,MF,20-035,11.4,732,702,27,10,15,18,4,6,1,0,0,0,661,3,7,es  ESP,MF,20-035,11.4,44,3.86,43,1,0,0,0,0,8,0.7,8,0,0,0,0,0,es  ESP,MF,20-035,11.4,20,11,7,11,2,9,29,31.0,20,17,0,17,9,29,7,0,es  ESP,MF,20-035,11.4,837,8,82,483,280,25,837,15,25,60.0,18,10,671,37,es  ESP,MF,20-035,11.4,0,0,0,4,22,2,4,9,11,0,0,0,64,1,2,33.3
3,Alejandro Balde,es  ESP,DF,19-073,12,12,968.0,10.8,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.28,0.28,0.0,0.28,0.3,0.3,1.6,2.0,0.03,0.15,0.18,0.03,0.18,es  ESP,DF,19-073,10.8,0,6,2,33.3,0.56,0.19,0.0,0.0,22.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,es  ESP,DF,19-073,10.8,633,694,91.2,9271,1621,375,398,94.2,212,224,94.6,34,45,75.6,3,1.6,1.9,1.4,8,42,5,4,12,es  ESP,DF,19-073,10.8,694,598,93,12,0,3,11,81,0,0,0,0,633,3,5,es  ESP,DF,19-073,10.8,20,1.86,19,0,1,0,0,0,3,0.28,3,0,0,0,0,0,es  ESP,DF,19-073,10.8,17,13,10,5,2,8,12,66.7,4,12,1,11,6,23,7,0,es  ESP,DF,19-073,10.8,789,19,161,388,250,19,789,11,22,50.0,15,7,540,24,es  ESP,DF,19-073,10.8,2,0,0,7,12,2,11,6,13,0,0,0,67,4,7,36.4
4,Sergio Busquets,es  ESP,MF,34-167,12,11,906.0,10.1,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.6,0.7,0.01,0.06,0.07,0.01,0.07,es  ESP,MF,34-167,10.1,0,2,1,50.0,0.2,0.1,0.0,0.0,26.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,es  ESP,MF,34-167,10.1,612,688,89.0,11111,3040,258,284,90.8,276,299,92.3,64,78,82.1,1,0.6,1.0,0.4,7,76,10,1,62,es  ESP,MF,34-167,10.1,688,661,26,26,8,2,1,0,0,0,0,0,612,1,5,es  ESP,MF,34-167,10.1,26,2.58,26,0,0,0,0,0,2,0.2,2,0,0,0,0,0,es  ESP,MF,34-167,10.1,20,11,5,11,4,8,12,66.7,4,15,4,11,12,32,12,2,es  ESP,MF,34-167,10.1,773,21,151,516,111,7,773,2,5,40.0,11,6,550,9,es  ESP,MF,34-167,10.1,6,1,1,12,19,0,1,12,11,0,0,0,68,25,19,56.8
5,Ousmane Dembélé,fr  FRA,FW,25-229,14,11,866.0,9.6,4.0,5.0,4.0,0.0,0.0,3.0,0.0,0.42,0.52,0.94,0.42,0.94,2.4,2.4,3.4,5.8,0.25,0.35,0.6,0.25,0.6,fr  FRA,FW,25-229,9.6,4,30,11,36.7,3.12,1.14,0.13,0.36,17.4,0,0,0,2.4,2.4,0.08,1.6,1.6,fr  FRA,FW,25-229,9.6,406,521,77.9,6637,1276,235,258,91.1,122,157,77.7,40,70,57.1,5,3.4,3.6,1.6,31,17,25,4,37,fr  FRA,FW,25-229,9.6,521,468,48,5,8,4,58,6,37,12,10,1,406,5,15,fr  FRA,FW,25-229,9.6,55,5.71,36,9,6,2,2,0,10,1.04,7,0,2,1,0,0,fr  FRA,FW,25-229,9.6,14,9,4,6,4,2,10,20.0,8,7,0,7,0,14,2,0,fr  FRA,FW,25-229,9.6,625,1,22,191,424,57,625,17,57,29.8,14,11,504,62,fr  FRA,FW,25-229,9.6,3,0,0,11,7,3,58,0,9,0,0,0,30,2,6,25.0
6,Frenkie de Jong,nl  NED,MF,25-232,13,9,900.0,10.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.2,0.1,0.3,0.2,0.3,1.8,1.8,1.4,3.2,0.18,0.14,0.32,0.18,0.32,nl  NED,MF,25-232,10.0,2,13,8,61.5,1.3,0.8,0.15,0.25,17.9,0,0,0,1.8,1.8,0.14,0.2,0.2,nl  NED,MF,25-232,10.0,665,741,89.7,10458,3245,376,402,93.5,227,246,92.3,46,54,85.2,1,1.4,2.3,-0.4,18,75,20,3,54,nl  NED,MF,25-232,10.0,741,710,27,17,7,5,7,7,2,1,0,0,665,4,10,nl  NED,MF,25-232,10.0,42,4.2,32,1,4,2,1,2,3,0.3,3,0,0,0,0,0,nl  NED,MF,25-232,10.0,20,10,5,10,5,10,14,71.4,4,5,0,5,16,36,5,1,nl  NED,MF,25-232,10.0,826,9,135,475,225,24,826,15,24,62.5,12,13,650,26,nl  NED,MF,25-232,10.0,0,0,0,12,12,1,7,16,10,0,0,0,71,6,4,60.0
7,Gavi,es  ESP,MF,18-147,14,9,803.0,8.9,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.11,0.11,0.0,0.11,0.2,0.2,1.5,1.7,0.02,0.17,0.19,0.02,0.19,es  ESP,MF,18-147,8.9,0,5,0,0.0,0.56,0.0,0.0,,18.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,es  ESP,MF,18-147,8.9,387,443,87.4,5435,961,247,263,93.9,109,124,87.9,21,30,70.0,1,1.5,1.5,-0.5,17,38,14,2,24,es  ESP,MF,18-147,8.9,443,428,14,4,4,5,19,7,0,0,0,0,387,1,11,es  ESP,MF,18-147,8.9,34,3.82,27,0,2,0,2,3,2,0.22,1,0,1,0,0,0,es  ESP,MF,18-147,8.9,14,11,2,8,4,6,11,54.5,5,9,1,8,9,23,5,0,es  ESP,MF,18-147,8.9,530,6,40,292,205,27,530,11,19,57.9,20,5,408,50,es  ESP,MF,18-147,8.9,2,0,0,34,17,4,19,9,11,0,0,0,43,12,7,63.2
8,Eric García,es  ESP,DF,21-355,9,8,608.0,6.8,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.15,0.0,0.15,0.15,0.15,1.3,1.3,0.0,1.3,0.19,0.0,0.19,0.19,0.19,es  ESP,DF,21-355,6.8,1,3,1,33.3,0.44,0.15,0.33,1.0,7.0,0,0,0,1.3,1.3,0.42,-0.3,-0.3,es  ESP,DF,21-355,6.8,460,506,90.9,8677,3166,172,179,96.1,237,250,94.8,47,69,68.1,0,0.0,0.1,0.0,0,35,2,0,28,es  ESP,DF,21-355,6.8,506,480,24,18,0,7,0,6,0,0,0,0,460,2,0,es  ESP,DF,21-355,6.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,es  ESP,DF,21-355,6.8,12,7,8,2,2,4,6,66.7,2,12,6,6,9,21,9,1,es  ESP,DF,21-355,6.8,561,50,266,282,18,3,561,0,2,0.0,2,0,417,0,es  ESP,DF,21-355,6.8,2,0,0,11,1,0,0,9,7,0,1,0,40,8,4,66.7
9,Jordi Alba,es  ESP,DF,33-284,10,7,682.0,7.6,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.13,0.13,0.0,0.13,0.2,0.2,2.6,2.8,0.02,0.34,0.37,0.02,0.37,es  ESP,DF,33-284,7.6,0,5,1,20.0,0.66,0.13,0.0,0.0,24.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,es  ESP,DF,33-284,7.6,634,741,85.6,9984,3099,351,386,90.9,219,249,88.0,46,70,65.7,1,2.6,3.3,-1.6,19,83,24,7,57,es  ESP,DF,33-284,7.6,741,648,92,21,3,5,34,71,0,0,0,0,634,1,10,es  ESP,DF,33-284,7.6,31,4.1,27,2,1,1,0,0,3,0.4,3,0,0,0,0,0,es  ESP,DF,33-284,7.6,12,9,8,4,0,8,13,61.5,5,5,2,3,4,16,10,0,es  ESP,DF,33-284,7.6,780,13,133,429,222,17,780,2,4,50.0,1,5,577,27,es  ESP,DF,33-284,7.6,2,0,0,7,2,5,34,4,9,0,0,0,51,3,5,37.5
