,Player,Nation_x,Pos_x,Age_x,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance_x,CrdR_Performance_x,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected_x,npxG_Expected_x,xAG_Expected,npxG+xAG_Expected,xG_Per 90 Minutes,xAG_Per 90 Minutes,xG+xAG_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xAG_Per 90 Minutes,Nation_y,Pos_y,Age_y,90s_x,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected_y,npxG_Expected_y,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected,Nation_x,Pos_x,Age_x,90s_y,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Nation_y,Pos_y,Age_y,90s_x,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Sw_Pass Types,Crs_Pass Types,TI_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,Nation_x,Pos_x,Age_x,90s_y,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,Nation_y,Pos_y,Age_y,90s_x,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Nation_x,Pos_x,Age_x,90s_y,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,Mis_Dribbles,Dis_Dribbles,Rec_Receiving,Prog_Receiving,Nation_y,Pos_y,Age_y,90s,CrdY_Performance_y,CrdR_Performance_y,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
10,Ousmane Dembélé,fr  FRA,"FW,MF",23.0,30,19,1774.0,19.7,6.0,3.0,6.0,0.0,0.0,2.0,0.0,0.3,0.15,0.46,0.3,0.46,5.6,5.6,4.2,9.8,0.28,0.21,0.5,0.28,0.5,fr  FRA,"FW,MF",23.0,19.7,6,55,21,38.2,2.79,1.07,0.11,0.29,17.1,0,0,0,5.6,5.6,0.1,0.4,0.4,fr  FRA,"FW,MF",23.0,19.7,832,1019,81.6,11560,2341,505,569,88.8,242,296,81.8,39,63,61.9,3,4.2,5.3,-1.2,39,38,43,8,59,fr  FRA,"FW,MF",23.0,19.7,1019,958,59,6,3,2,75,20,30,8,8,0,832,2,25,fr  FRA,"FW,MF",23.0,19.7,81,4.11,56,9,6,6,3,1,8,0.41,6,0,0,2,0,0,fr  FRA,"FW,MF",23.0,19.7,14,9,4,9,1,6,17,35.3,11,10,0,10,9,23,3,1,fr  FRA,"FW,MF",23.0,19.7,1251,6,73,374,823,136,1251,63,99,63.6,51,31,1033,163,fr  FRA,"FW,MF",23.0,19.7,2,0,0,15,28,11,75,9,9,0,0,0,62,9,12,42.9
11,Gerard Piqué,es  ESP,DF,33.0,18,18,1481.0,16.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.4,1.2,0.05,0.03,0.08,0.05,0.08,es  ESP,DF,33.0,16.5,0,9,2,22.2,0.55,0.12,0.0,0.0,10.1,0,0,0,0.8,0.8,0.09,-0.8,-0.8,es  ESP,DF,33.0,16.5,1170,1246,93.9,21894,7338,381,404,94.3,669,689,97.1,97,117,82.9,0,0.4,0.7,-0.4,2,75,1,0,50,es  ESP,DF,33.0,16.5,1246,1208,35,29,0,7,0,5,0,0,0,0,1170,3,1,es  ESP,DF,33.0,16.5,7,0.43,4,1,0,0,0,2,1,0.06,1,0,0,0,0,0,es  ESP,DF,33.0,16.5,16,11,11,5,0,9,12,75.0,3,9,4,5,26,42,46,0,es  ESP,DF,33.0,16.5,1366,131,498,835,41,15,1366,2,2,100.0,8,2,1016,4,es  ESP,DF,33.0,16.5,4,0,0,13,5,2,0,26,11,0,0,0,88,61,22,73.5
12,Ronald Araújo,uy  URU,DF,21.0,24,16,1510.0,16.8,2.0,1.0,2.0,0.0,0.0,3.0,0.0,0.12,0.06,0.18,0.12,0.18,1.8,1.8,0.2,2.0,0.11,0.01,0.12,0.11,0.12,uy  URU,DF,21.0,16.8,2,12,4,33.3,0.72,0.24,0.17,0.5,11.7,0,0,0,1.8,1.8,0.15,0.2,0.2,uy  URU,DF,21.0,16.8,985,1075,91.6,17665,4756,381,398,95.7,527,556,94.8,73,109,67.0,1,0.2,0.2,0.8,3,50,0,0,32,uy  URU,DF,21.0,16.8,1075,1037,37,28,0,6,0,9,0,0,0,0,985,1,4,uy  URU,DF,21.0,16.8,7,0.42,4,0,0,1,1,1,1,0.06,0,0,0,1,0,0,uy  URU,DF,21.0,16.8,22,11,12,8,2,9,9,100.0,0,24,15,9,20,42,47,1,uy  URU,DF,21.0,16.8,1210,148,535,639,42,12,1210,8,8,100.0,6,2,877,1,uy  URU,DF,21.0,16.8,3,0,0,12,17,2,0,20,11,1,1,0,104,51,22,69.9
13,Martin Braithwaite,dk  DEN,"FW,MF",29.0,29,11,1175.0,13.1,2.0,2.0,2.0,0.0,1.0,3.0,0.0,0.15,0.15,0.31,0.15,0.31,5.4,4.6,2.3,6.9,0.41,0.18,0.59,0.35,0.53,dk  DEN,"FW,MF",29.0,13.1,2,22,7,31.8,1.69,0.54,0.09,0.29,12.5,0,0,1,5.4,4.6,0.24,-3.4,-2.6,dk  DEN,"FW,MF",29.0,13.1,228,282,80.9,2656,275,158,175,90.3,31,51,60.8,10,13,76.9,2,2.3,1.8,-0.3,12,4,5,0,7,dk  DEN,"FW,MF",29.0,13.1,282,268,13,0,1,1,5,0,0,0,0,0,228,1,8,dk  DEN,"FW,MF",29.0,13.1,26,1.99,20,0,1,1,3,1,4,0.31,2,0,0,1,0,1,dk  DEN,"FW,MF",29.0,13.1,8,4,2,3,3,1,6,16.7,5,2,0,2,6,14,7,0,dk  DEN,"FW,MF",29.0,13.1,391,10,39,131,222,71,390,9,16,56.3,32,16,302,82,dk  DEN,"FW,MF",29.0,13.1,3,0,0,11,20,15,5,6,4,0,0,0,39,16,14,53.3
14,Sergi Roberto,es  ESP,"DF,FW",28.0,15,9,946.0,10.5,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.1,0.19,0.29,0.1,0.29,0.3,0.3,1.8,2.1,0.03,0.17,0.2,0.03,0.2,es  ESP,"DF,FW",28.0,10.5,1,5,1,20.0,0.48,0.1,0.2,1.0,17.7,0,0,0,0.3,0.3,0.06,0.7,0.7,es  ESP,"DF,FW",28.0,10.5,795,888,89.5,10485,2748,488,521,93.7,227,246,92.3,28,38,73.7,2,1.8,1.7,0.2,13,56,16,3,27,es  ESP,"DF,FW",28.0,10.5,888,800,85,12,0,0,13,73,0,0,0,0,795,3,15,es  ESP,"DF,FW",28.0,10.5,18,1.71,17,0,0,0,0,1,2,0.19,2,0,0,0,0,0,es  ESP,"DF,FW",28.0,10.5,9,6,5,2,2,7,13,53.8,6,12,6,6,10,19,20,0,es  ESP,"DF,FW",28.0,10.5,957,35,209,441,309,23,957,8,9,88.9,4,5,715,51,es  ESP,"DF,FW",28.0,10.5,1,0,0,7,10,2,13,10,6,0,0,0,62,10,8,55.6
15,Philippe Coutinho,br  BRA,MF,28.0,12,8,654.0,7.3,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.28,0.28,0.55,0.28,0.55,4.0,4.0,0.7,4.7,0.55,0.1,0.65,0.55,0.65,br  BRA,MF,28.0,7.3,2,28,9,32.1,3.85,1.24,0.07,0.22,17.3,0,0,0,4.0,4.0,0.14,-2.0,-2.0,br  BRA,MF,28.0,7.3,444,519,85.5,5834,1273,276,298,92.6,116,133,87.2,18,37,48.6,2,0.7,1.1,1.3,6,35,16,2,37,br  BRA,MF,28.0,7.3,519,486,30,4,0,1,24,7,19,12,1,0,444,3,3,br  BRA,MF,28.0,7.3,26,3.58,20,1,1,1,3,0,5,0.69,5,0,0,0,0,0,br  BRA,MF,28.0,7.3,8,6,2,5,1,3,9,33.3,6,7,0,7,2,10,1,0,br  BRA,MF,28.0,7.3,580,7,36,243,309,39,580,11,15,73.3,9,7,503,46,br  BRA,MF,28.0,7.3,0,0,0,9,13,1,24,2,6,0,0,0,24,2,8,20.0
16,Neto,br  BRA,GK,31.0,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br  BRA,GK,31.0,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,br  BRA,GK,31.0,7.0,212,242,87.6,4439,2739,67,67,100.0,103,104,99.0,42,68,61.8,0,0.0,0.0,0.0,0,0,0,0,0,br  BRA,GK,31.0,7.0,242,184,57,5,0,0,0,0,0,0,0,0,212,1,1,br  BRA,GK,31.0,7.0,1,0.14,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,br  BRA,GK,31.0,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,1,br  BRA,GK,31.0,7.0,258,229,255,3,0,0,258,0,0,,1,2,141,0,br  BRA,GK,31.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
17,Samuel Umtiti,fr  FRA,DF,26.0,13,6,645.0,7.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.02,0.0,0.03,0.02,0.03,fr  FRA,DF,26.0,7.2,0,2,1,50.0,0.28,0.14,0.0,0.0,9.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,fr  FRA,DF,26.0,7.2,579,617,93.8,9647,3080,242,253,95.7,288,302,95.4,33,43,76.7,0,0.0,0.1,0.0,1,32,0,0,21,fr  FRA,DF,26.0,7.2,617,603,14,12,0,0,0,2,0,0,0,0,579,0,1,fr  FRA,DF,26.0,7.2,6,0.84,5,0,0,0,0,1,0,0.0,0,0,0,0,0,0,fr  FRA,DF,26.0,7.2,5,1,3,2,0,1,2,50.0,1,11,6,5,9,14,15,0,fr  FRA,DF,26.0,7.2,669,50,260,402,8,2,669,1,1,100.0,5,0,521,0,fr  FRA,DF,26.0,7.2,1,0,0,14,8,0,0,9,1,0,0,0,36,14,11,56.0
18,Miralem Pjanić,ba  BIH,MF,30.0,19,6,627.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,1.6,0.14,0.09,0.22,0.14,0.22,ba  BIH,MF,30.0,7.0,0,16,3,18.8,2.3,0.43,0.0,0.0,22.5,2,0,0,1.0,1.0,0.06,-1.0,-1.0,ba  BIH,MF,30.0,7.0,688,761,90.4,10154,2873,381,401,95.0,250,270,92.6,33,47,70.2,0,0.6,1.0,-0.6,12,44,13,0,48,ba  BIH,MF,30.0,7.0,761,723,36,20,1,1,9,3,13,3,2,0,688,2,9,ba  BIH,MF,30.0,7.0,32,4.59,28,3,0,1,0,0,0,0.0,0,0,0,0,0,0,ba  BIH,MF,30.0,7.0,13,8,7,4,2,7,13,53.8,6,5,1,4,11,24,5,0,ba  BIH,MF,30.0,7.0,828,15,156,470,210,11,828,7,7,100.0,8,8,674,11,ba  BIH,MF,30.0,7.0,1,0,0,4,10,0,9,11,8,0,0,0,54,10,4,71.4
19,Ansu Fati,es  ESP,"MF,FW",17.0,7,6,431.0,4.8,4.0,0.0,4.0,0.0,0.0,1.0,0.0,0.84,0.0,0.84,0.84,0.84,1.8,1.8,1.7,3.5,0.37,0.36,0.73,0.37,0.73,es  ESP,"MF,FW",17.0,4.8,4,14,7,50.0,2.92,1.46,0.29,0.57,15.5,0,0,0,1.8,1.8,0.13,2.2,2.2,es  ESP,"MF,FW",17.0,4.8,168,202,83.2,1697,333,105,118,89.0,28,36,77.8,1,1,100.0,0,1.7,1.3,-1.7,9,3,6,0,6,es  ESP,"MF,FW",17.0,4.8,202,194,8,0,3,0,4,1,4,2,0,0,168,0,2,es  ESP,"MF,FW",17.0,4.8,21,4.37,13,1,2,0,5,0,4,0.83,2,0,1,0,1,0,es  ESP,"MF,FW",17.0,4.8,9,4,2,4,3,2,10,20.0,8,4,0,4,3,12,1,0,es  ESP,"MF,FW",17.0,4.8,266,0,11,86,171,39,266,11,23,47.8,11,8,223,39,es  ESP,"MF,FW",17.0,4.8,1,0,0,6,11,2,4,3,4,2,0,0,13,2,4,33.3
