,Player,Nation_x,Pos_x,Age_x,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance_x,CrdR_Performance_x,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected_x,npxG_Expected_x,xAG_Expected,npxG+xAG_Expected,xG_Per 90 Minutes,xAG_Per 90 Minutes,xG+xAG_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xAG_Per 90 Minutes,Nation_y,Pos_y,Age_y,90s_x,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected_y,npxG_Expected_y,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected,Nation_x,Pos_x,Age_x,90s_y,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Nation_y,Pos_y,Age_y,90s_x,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Sw_Pass Types,Crs_Pass Types,TI_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,Nation_x,Pos_x,Age_x,90s_y,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,Nation_y,Pos_y,Age_y,90s_x,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Nation_x,Pos_x,Age_x,90s_y,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,Mis_Dribbles,Dis_Dribbles,Rec_Receiving,Prog_Receiving,Nation_y,Pos_y,Age_y,90s,CrdY_Performance_y,CrdR_Performance_y,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Frenkie de Jong,nl  NED,"MF,DF",23.0,37,35,3154.0,35.0,3.0,4.0,3.0,0.0,0.0,5.0,0.0,0.09,0.11,0.2,0.09,0.2,4.8,4.8,5.8,10.6,0.14,0.17,0.3,0.14,0.3,nl  NED,"MF,DF",23.0,35.0,3,17,6,35.3,0.49,0.17,0.18,0.5,11.4,0,0,0,4.8,4.8,0.3,-1.8,-1.8,nl  NED,"MF,DF",23.0,35.0,2575,2821,91.3,38292,11254,1377,1462,94.2,943,1002,94.1,131,156,84.0,4,5.8,5.6,-1.8,49,243,30,0,160,nl  NED,"MF,DF",23.0,35.0,2821,2759,48,32,2,9,7,15,1,1,0,0,2575,14,28,nl  NED,"MF,DF",23.0,35.0,87,2.48,75,1,5,2,3,1,9,0.26,7,0,1,1,0,0,nl  NED,"MF,DF",23.0,35.0,44,27,21,19,4,15,35,42.9,20,20,4,16,38,82,29,2,nl  NED,"MF,DF",23.0,35.0,3043,89,618,1737,721,85,3043,58,67,86.6,35,25,2508,117,nl  NED,"MF,DF",23.0,35.0,5,0,0,25,44,4,7,38,27,0,1,0,215,39,30,56.5
1,Jordi Alba,es  ESP,"DF,FW",31.0,35,34,3025.0,33.6,3.0,5.0,3.0,0.0,0.0,9.0,0.0,0.09,0.15,0.24,0.09,0.24,1.9,1.9,7.6,9.5,0.06,0.22,0.28,0.06,0.28,es  ESP,"DF,FW",31.0,33.6,3,27,10,37.0,0.8,0.3,0.11,0.3,20.2,1,0,0,1.9,1.9,0.07,1.1,1.1,es  ESP,"DF,FW",31.0,33.6,2479,2929,84.6,34728,9855,1520,1643,92.5,728,867,84.0,117,192,60.9,5,7.6,9.9,-2.6,52,149,76,16,151,es  ESP,"DF,FW",31.0,33.6,2929,2647,276,38,0,14,119,235,3,0,0,0,2479,6,45,es  ESP,"DF,FW",31.0,33.6,92,2.74,88,2,1,0,0,1,8,0.24,7,0,1,0,0,0,es  ESP,"DF,FW",31.0,33.6,45,30,22,16,7,24,52,46.2,28,21,2,19,49,94,48,0,es  ESP,"DF,FW",31.0,33.6,3164,77,629,1268,1285,117,3164,17,32,53.1,32,14,2386,169,es  ESP,"DF,FW",31.0,33.6,9,0,0,20,15,10,119,49,30,0,0,1,218,4,8,33.3
2,Lionel Messi,ar  ARG,"FW,MF",33.0,35,33,3023.0,33.6,30.0,9.0,27.0,3.0,5.0,4.0,0.0,0.89,0.27,1.16,0.8,1.07,22.1,17.8,9.5,27.2,0.66,0.28,0.94,0.53,0.81,ar  ARG,"FW,MF",33.0,33.6,30,191,85,44.5,5.69,2.53,0.14,0.32,19.7,40,3,5,22.1,17.8,0.1,7.9,9.2,ar  ARG,"FW,MF",33.0,33.6,1954,2402,81.3,27676,9453,1162,1290,90.1,533,639,83.4,130,222,58.6,9,9.5,13.4,-0.5,77,246,131,11,263,ar  ARG,"FW,MF",33.0,33.6,2402,2151,228,87,20,14,126,5,99,36,22,0,1954,23,40,ar  ARG,"FW,MF",33.0,33.6,243,7.23,142,20,40,12,28,1,34,1.01,21,1,7,3,2,0,ar  ARG,"FW,MF",33.0,33.6,18,10,3,9,6,6,17,35.3,11,12,0,12,6,24,0,2,ar  ARG,"FW,MF",33.0,33.6,2834,0,65,1127,1677,209,2829,159,247,64.4,57,87,2461,228,ar  ARG,"FW,MF",33.0,33.6,4,0,0,22,99,7,126,6,10,0,0,0,66,7,10,41.2
3,Antoine Griezmann,fr  FRA,"FW,MF",29.0,36,32,2604.0,28.9,13.0,7.0,12.0,1.0,2.0,4.0,0.0,0.45,0.24,0.69,0.41,0.66,12.1,10.5,5.6,16.1,0.42,0.19,0.61,0.36,0.56,fr  FRA,"FW,MF",29.0,28.9,13,69,32,46.4,2.38,1.11,0.17,0.38,14.7,0,1,2,12.1,10.5,0.15,0.9,1.5,fr  FRA,"FW,MF",29.0,28.9,1168,1352,86.4,15333,2574,720,791,91.0,287,327,87.8,64,77,83.1,7,5.6,5.6,1.4,42,59,31,3,62,fr  FRA,"FW,MF",29.0,28.9,1352,1296,52,10,3,7,22,10,14,2,2,0,1168,4,20,fr  FRA,"FW,MF",29.0,28.9,95,3.28,80,4,6,2,3,0,11,0.38,8,1,1,0,1,0,fr  FRA,"FW,MF",29.0,28.9,37,22,10,18,9,12,40,30.0,28,20,1,19,12,49,11,0,fr  FRA,"FW,MF",29.0,28.9,1575,23,139,613,834,169,1573,26,37,70.3,34,23,1264,197,fr  FRA,"FW,MF",29.0,28.9,4,0,0,13,34,13,22,12,22,2,0,0,100,18,17,51.4
4,Sergio Busquets,es  ESP,MF,32.0,36,32,2517.0,28.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.18,0.18,0.0,0.18,0.3,0.3,3.2,3.4,0.01,0.11,0.12,0.01,0.12,es  ESP,MF,32.0,28.0,0,3,1,33.3,0.11,0.04,0.0,0.0,16.9,0,0,0,0.3,0.3,0.09,-0.3,-0.3,es  ESP,MF,32.0,28.0,2453,2691,91.2,38075,11749,1225,1298,94.4,925,996,92.9,161,205,78.5,5,3.2,4.1,1.8,30,287,30,0,187,es  ESP,MF,32.0,28.0,2691,2593,95,92,13,9,3,3,0,0,0,0,2453,3,19,es  ESP,MF,32.0,28.0,74,2.65,67,1,0,0,3,3,11,0.39,11,0,0,0,0,0,es  ESP,MF,32.0,28.0,63,35,21,29,13,27,76,35.5,49,27,4,23,53,116,18,2,es  ESP,MF,32.0,28.0,2898,66,479,1829,598,13,2898,8,9,88.9,24,10,2319,27,es  ESP,MF,32.0,28.0,9,0,0,45,60,0,3,53,35,0,0,0,182,40,39,50.6
5,Marc-André ter Stegen,de  GER,GK,28.0,31,31,2790.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,de  GER,GK,28.0,31.0,0,1,0,0.0,0.03,0.0,0.0,,19.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,de  GER,GK,28.0,31.0,925,1043,88.7,22407,15663,182,183,99.5,514,522,98.5,228,336,67.9,0,0.0,0.0,0.0,1,2,0,0,0,de  GER,GK,28.0,31.0,1043,845,197,36,0,1,0,0,0,0,0,0,925,1,0,de  GER,GK,28.0,31.0,4,0.13,2,1,0,1,0,0,0,0.0,0,0,0,0,0,0,de  GER,GK,28.0,31.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,12,2,de  GER,GK,28.0,31.0,1099,963,1090,8,2,1,1099,0,0,,0,0,632,0,de  GER,GK,28.0,31.0,1,0,0,1,1,0,0,0,0,0,1,0,46,6,0,100.0
6,Clément Lenglet,fr  FRA,DF,25.0,33,29,2475.0,27.5,1.0,0.0,1.0,0.0,0.0,11.0,2.0,0.04,0.0,0.04,0.04,0.04,1.8,1.8,0.8,2.7,0.07,0.03,0.1,0.07,0.1,fr  FRA,DF,25.0,27.5,1,11,5,45.5,0.4,0.18,0.09,0.2,12.0,0,0,0,1.8,1.8,0.17,-0.8,-0.8,fr  FRA,DF,25.0,27.5,2130,2320,91.8,36070,13035,981,1019,96.3,943,1001,94.2,159,224,71.0,0,0.8,1.1,-0.8,9,205,19,0,119,fr  FRA,DF,25.0,27.5,2320,2255,61,49,1,17,5,11,0,0,0,0,2130,4,13,fr  FRA,DF,25.0,27.5,27,0.98,27,0,0,0,0,0,5,0.18,5,0,0,0,0,0,fr  FRA,DF,25.0,27.5,36,21,23,10,3,19,28,67.9,9,26,12,14,33,69,71,1,fr  FRA,DF,25.0,27.5,2530,200,911,1425,198,16,2530,8,11,72.7,8,5,1959,10,fr  FRA,DF,25.0,27.5,11,2,2,50,31,6,5,33,21,0,2,1,164,59,46,56.2
7,Pedri,es  ESP,MF,17.0,37,28,2415.0,26.8,3.0,3.0,3.0,0.0,0.0,2.0,0.0,0.11,0.11,0.22,0.11,0.22,4.6,4.4,3.5,7.9,0.17,0.13,0.3,0.16,0.3,es  ESP,MF,17.0,26.8,3,25,8,32.0,0.93,0.3,0.12,0.38,15.9,0,0,0,4.6,4.4,0.18,-1.6,-1.4,es  ESP,MF,17.0,26.8,1498,1721,87.0,22376,4124,827,897,92.2,483,543,89.0,99,129,76.7,3,3.5,4.2,-0.5,39,109,43,1,96,es  ESP,MF,17.0,26.8,1721,1665,50,13,8,9,11,10,27,3,0,0,1498,6,30,es  ESP,MF,17.0,26.8,86,3.2,69,4,5,2,4,2,12,0.45,8,0,0,1,3,0,es  ESP,MF,17.0,26.8,44,27,16,16,12,17,71,23.9,54,46,1,45,33,77,7,0,es  ESP,MF,17.0,26.8,1980,19,210,889,895,70,1980,29,41,70.7,63,34,1593,114,es  ESP,MF,17.0,26.8,2,0,0,17,42,0,11,33,27,1,0,0,142,5,9,35.7
8,Sergiño Dest,us  USA,"DF,FW",19.0,30,23,1909.0,21.2,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.09,0.05,0.14,0.09,0.14,1.7,1.7,2.1,3.8,0.08,0.1,0.18,0.08,0.18,us  USA,"DF,FW",19.0,21.2,2,14,5,35.7,0.66,0.24,0.14,0.4,15.3,0,0,0,1.7,1.7,0.12,0.3,0.3,us  USA,"DF,FW",19.0,21.2,1142,1294,88.3,13863,3400,780,832,93.8,264,297,88.9,21,40,52.5,1,2.1,2.7,-1.1,23,47,30,4,59,us  USA,"DF,FW",19.0,21.2,1294,1148,144,4,1,0,37,140,0,0,0,0,1142,2,31,us  USA,"DF,FW",19.0,21.2,43,2.03,38,1,1,1,0,2,2,0.09,2,0,0,0,0,0,us  USA,"DF,FW",19.0,21.2,31,16,23,6,2,18,32,56.3,14,25,4,21,10,41,24,1,us  USA,"DF,FW",19.0,21.2,1477,40,299,549,640,74,1477,29,60,48.3,34,26,1071,92,us  USA,"DF,FW",19.0,21.2,1,0,0,16,11,3,37,10,16,0,0,0,108,7,9,43.8
9,Óscar Mingueza,es  ESP,DF,21.0,27,23,1901.0,21.1,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.09,0.09,0.19,0.09,0.19,1.0,1.0,0.9,1.9,0.05,0.04,0.09,0.05,0.09,es  ESP,DF,21.0,21.1,2,12,6,50.0,0.57,0.28,0.17,0.33,17.1,0,0,0,1.0,1.0,0.08,1.0,1.0,es  ESP,DF,21.0,21.1,1545,1683,91.8,23355,7049,805,842,95.6,623,650,95.8,66,105,62.9,2,0.9,1.5,1.1,8,107,9,2,54,es  ESP,DF,21.0,21.1,1683,1571,109,39,0,5,15,70,0,0,0,0,1545,3,22,es  ESP,DF,21.0,21.1,21,0.99,16,0,1,1,1,2,4,0.19,4,0,0,0,0,0,es  ESP,DF,21.0,21.1,52,33,28,17,7,30,53,56.6,23,19,6,13,20,72,48,2,es  ESP,DF,21.0,21.1,1848,113,579,1013,263,17,1848,8,10,80.0,9,7,1418,13,es  ESP,DF,21.0,21.1,4,0,0,20,16,1,15,20,33,0,0,0,119,14,22,38.9
