,,,,Nation,Pos,Age,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Antonio Sivera,ESP,GK,24.0,3.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Alavés,Facundo Pellistri,URU,"MF,FW",19.0,7.5,0,7,2,28.6,0.94,0.27,0.0,0.0,12.7,0,0,0,1.0,1.0,0.14,-1.0,-1.0
ESP-La Liga,2122,Alavés,Fernando Pacheco,ESP,GK,29.0,33.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Alavés,Florian Lejeune,FRA,DF,30.0,30.0,0,22,2,9.1,0.73,0.07,0.0,0.0,20.4,6,0,0,1.6,1.6,0.07,-1.6,-1.6
ESP-La Liga,2122,Alavés,Gonzalo Escalante,ARG,MF,28.0,14.4,5,17,9,52.9,1.18,0.62,0.29,0.56,11.4,0,0,0,2.9,2.9,0.17,2.1,2.1
ESP-La Liga,2122,Alavés,Iván Martín,ESP,MF,22.0,1.8,0,1,0,0.0,0.54,0.0,0.0,,19.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1
ESP-La Liga,2122,Alavés,Jason,ESP,"MF,FW",27.0,7.5,0,9,2,22.2,1.19,0.27,0.0,0.0,21.9,1,0,0,0.6,0.6,0.07,-0.6,-0.6
ESP-La Liga,2122,Alavés,Javi López,ESP,DF,19.0,5.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Alavés,Jesús Owono,EQG,GK,20.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Alavés,John Guidetti,SWE,"FW,MF",29.0,3.1,0,10,2,20.0,3.23,0.65,0.0,0.0,14.6,1,0,0,0.5,0.5,0.05,-0.5,-0.5
ESP-La Liga,2122,Alavés,Joselu,ESP,FW,31.0,34.7,14,90,33,36.7,2.59,0.95,0.09,0.24,18.0,3,6,7,12.4,7.0,0.08,1.6,1.0
ESP-La Liga,2122,Alavés,Loum Ndiaye,SEN,MF,24.0,25.7,2,34,8,23.5,1.32,0.31,0.06,0.25,22.0,0,0,0,2.3,2.3,0.07,-0.3,-0.3
ESP-La Liga,2122,Alavés,Luis Rioja,ESP,"FW,MF",27.0,34.6,1,44,15,34.1,1.27,0.43,0.02,0.07,17.6,0,0,0,3.1,3.1,0.07,-2.1,-2.1
ESP-La Liga,2122,Alavés,Mamadou Sylla,SEN,FW,27.0,4.4,0,2,0,0.0,0.46,0.0,0.0,,8.4,0,0,0,0.2,0.2,0.1,-0.2,-0.2
ESP-La Liga,2122,Alavés,Manu García,ESP,MF,23.0,12.0,0,8,1,12.5,0.67,0.08,0.0,0.0,21.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3
ESP-La Liga,2122,Alavés,Manu Vallejo,ESP,"MF,FW",24.0,4.1,1,3,2,66.7,0.73,0.49,0.33,0.5,11.9,0,0,0,1.0,1.0,0.32,0.0,0.0
ESP-La Liga,2122,Alavés,Marc Tenas,ESP,"FW,MF",20.0,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Alavés,Martin Agirregabiria,ESP,DF,25.0,18.0,0,5,0,0.0,0.28,0.0,0.0,,19.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
ESP-La Liga,2122,Alavés,Matt Miazga,USA,DF,26.0,9.3,0,7,3,42.9,0.76,0.32,0.0,0.0,11.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3
ESP-La Liga,2122,Alavés,Miguel,ESP,"FW,MF",21.0,9.2,1,22,4,18.2,2.39,0.43,0.05,0.25,14.1,0,0,0,2.1,2.1,0.1,-1.1,-1.1
ESP-La Liga,2122,Alavés,Mircea Alexandru Tirlea,ROU,DF,21.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Alavés,Nahuel Tenaglia,ARG,DF,25.0,11.9,0,6,1,16.7,0.5,0.08,0.0,0.0,19.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3
ESP-La Liga,2122,Alavés,Opponent Total,,,27.6,38.0,65,511,158,30.9,13.45,4.16,0.12,0.37,16.7,20,6,9,58.4,51.6,0.1,6.6,7.4
ESP-La Liga,2122,Alavés,Pere Pons,ESP,MF,28.0,15.2,1,16,4,25.0,1.05,0.26,0.06,0.25,15.2,0,0,0,2.0,2.0,0.12,-1.0,-1.0
ESP-La Liga,2122,Alavés,Rubén Duarte,ESP,DF,25.0,29.1,0,9,3,33.3,0.31,0.1,0.0,0.0,23.9,0,0,0,0.5,0.5,0.06,-0.5,-0.5
ESP-La Liga,2122,Alavés,Saúl García,ESP,FW,26.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Alavés,Squad Total,,,27.9,38.0,29,380,110,28.9,10.0,2.89,0.06,0.21,17.7,13,6,7,36.9,31.7,0.08,-7.9,-8.7
