,,,,Nation,Pos,Age,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Antonio Sivera,ESP,GK,24.0,4,3,277,3.1,4,1.3,15,12,80.0,0,1,2,1,33.3,1,1,0,0,0.0
ESP-La Liga,2122,Alavés,Fernando Pacheco,ESP,GK,29.0,34,34,3053,33.9,60,1.77,139,83,60.4,8,5,21,6,17.6,8,5,3,0,37.5
ESP-La Liga,2122,Alavés,Jesús Owono,EQG,GK,20.0,1,1,90,1.0,1,1.0,4,3,75.0,0,1,0,0,0.0,0,0,0,0,
ESP-La Liga,2122,Alavés,Opponent Total,,,27.6,38,38,3420,38.0,31,0.82,110,86,77.3,23,7,8,16,42.1,7,6,1,0,14.3
ESP-La Liga,2122,Alavés,Squad Total,,,27.9,38,38,3420,38.0,65,1.71,158,98,62.7,8,7,23,6,15.8,9,6,3,0,33.3
ESP-La Liga,2122,Athletic Club,Julen Agirrezabala,ESP,GK,20.0,4,4,360,4.0,5,1.25,20,15,75.0,1,2,1,1,25.0,0,0,0,0,
ESP-La Liga,2122,Athletic Club,Opponent Total,,,27.6,38,38,3420,38.0,43,1.13,149,111,73.2,11,13,14,14,36.8,7,3,4,0,57.1
ESP-La Liga,2122,Athletic Club,Squad Total,,,26.9,38,38,3420,38.0,36,0.95,126,89,73.8,14,13,11,13,34.2,3,3,0,0,0.0
ESP-La Liga,2122,Athletic Club,Unai Simón,ESP,GK,24.0,34,34,3060,34.0,31,0.91,106,74,73.6,13,11,10,12,35.3,3,3,0,0,0.0
ESP-La Liga,2122,Atlético Madrid,Jan Oblak,SVN,GK,28.0,38,38,3420,38.0,43,1.13,96,62,62.5,21,8,9,12,31.6,8,7,1,0,12.5
ESP-La Liga,2122,Atlético Madrid,Opponent Total,,,27.6,38,38,3420,38.0,65,1.71,150,89,59.3,9,8,21,7,18.4,5,4,1,0,20.0
ESP-La Liga,2122,Atlético Madrid,Squad Total,,,28.1,38,38,3420,38.0,43,1.13,96,62,62.5,21,8,9,12,31.6,8,7,1,0,12.5
ESP-La Liga,2122,Barcelona,Marc-André ter Stegen,GER,GK,29.0,35,35,3150,35.0,34,0.97,110,78,70.9,19,9,7,11,31.4,3,2,1,0,33.3
ESP-La Liga,2122,Barcelona,Neto,BRA,GK,32.0,3,3,270,3.0,4,1.33,14,10,71.4,2,1,0,0,0.0,0,0,0,0,
ESP-La Liga,2122,Barcelona,Opponent Total,,,27.7,38,38,3420,38.0,68,1.79,178,115,65.2,7,10,21,8,21.1,7,6,1,0,14.3
ESP-La Liga,2122,Barcelona,Squad Total,,,26.2,38,38,3420,38.0,38,1.0,124,88,71.0,21,10,7,11,28.9,3,2,1,0,33.3
ESP-La Liga,2122,Betis,Claudio Bravo,CHI,GK,38.0,17,17,1456,16.2,19,1.17,55,39,67.3,8,4,5,5,29.4,1,1,0,0,0.0
ESP-La Liga,2122,Betis,Opponent Total,,,27.4,38,38,3420,38.0,62,1.63,181,125,69.1,11,8,19,11,28.9,6,6,0,0,0.0
ESP-La Liga,2122,Betis,Rui Silva,POR,GK,27.0,22,21,1964,21.8,21,0.96,72,52,73.6,11,4,6,8,38.1,2,2,0,0,0.0
ESP-La Liga,2122,Betis,Squad Total,,,28.9,38,38,3420,38.0,40,1.05,127,91,70.9,19,8,11,13,34.2,3,3,0,0,0.0
ESP-La Liga,2122,Celta Vigo,Matías Dituro,ARG,GK,34.0,38,38,3420,38.0,43,1.13,128,91,69.5,12,10,16,14,36.8,8,4,4,0,50.0
ESP-La Liga,2122,Celta Vigo,Opponent Total,,,27.4,38,38,3420,38.0,43,1.13,135,92,70.4,16,10,12,15,39.5,6,3,3,0,50.0
ESP-La Liga,2122,Celta Vigo,Squad Total,,,28.4,38,38,3420,38.0,43,1.13,128,91,69.5,12,10,16,14,36.8,8,4,4,0,50.0
ESP-La Liga,2122,Cádiz,Jeremías Ledesma,ARG,GK,28.0,38,38,3420,38.0,51,1.34,159,117,74.8,8,15,15,13,34.2,13,11,2,0,15.4
ESP-La Liga,2122,Cádiz,Opponent Total,,,27.6,38,38,3420,38.0,35,0.92,120,87,73.3,15,15,8,13,34.2,6,3,3,0,50.0
ESP-La Liga,2122,Cádiz,Squad Total,,,28.5,38,38,3420,38.0,51,1.34,159,117,74.8,8,15,15,13,34.2,13,11,2,0,15.4
ESP-La Liga,2122,Elche,Kiko Casilla,ESP,GK,34.0,14,14,1260,14.0,17,1.21,60,43,71.7,3,4,7,3,21.4,0,0,0,0,
ESP-La Liga,2122,Elche,Opponent Total,,,27.4,38,38,3420,38.0,40,1.05,106,65,63.2,18,9,11,12,31.6,1,1,0,0,0.0
ESP-La Liga,2122,Elche,Squad Total,,,29.1,38,38,3420,38.0,52,1.37,166,120,72.9,11,9,18,8,21.1,9,7,1,1,12.5
ESP-La Liga,2122,Elche,Édgar Badía,ESP,GK,29.0,24,24,2160,24.0,35,1.46,106,77,73.6,8,5,11,5,20.8,9,7,1,1,12.5
ESP-La Liga,2122,Espanyol,Diego López,ESP,GK,39.0,36,36,3177,35.3,49,1.39,152,106,69.7,10,12,14,10,27.8,4,3,0,1,0.0
ESP-La Liga,2122,Espanyol,Joan García,ESP,GK,20.0,2,1,108,1.2,3,2.5,3,0,0.0,0,0,1,0,0.0,0,0,0,0,
ESP-La Liga,2122,Espanyol,Oier Olazábal,ESP,GK,31.0,2,1,135,1.5,1,0.67,7,7,100.0,0,0,1,1,100.0,1,1,0,0,0.0
ESP-La Liga,2122,Espanyol,Opponent Total,,,27.5,38,38,3420,38.0,40,1.05,129,92,72.9,16,12,10,10,26.3,5,5,0,0,0.0
ESP-La Liga,2122,Espanyol,Squad Total,,,27.6,38,38,3420,38.0,53,1.39,162,113,69.8,10,12,16,10,26.3,5,4,0,1,0.0
ESP-La Liga,2122,Getafe,David Soria,ESP,GK,28.0,38,38,3414,37.9,41,1.08,130,89,70.0,8,15,15,14,36.8,4,2,1,1,33.3
