,,,,Nation,Pos,Age,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Antonio Sivera,ESP,GK,24.0,3.1,115,106,114,1,0,0,67,0,0,,0,0,41,186,100,0,0,0,0,0,33,33,100.0,0
ESP-La Liga,2122,Alavés,Facundo Pellistri,URU,"MF,FW",19.0,7.5,270,7,52,133,116,16,266,14,32,43.8,16,3,191,1424,799,37,11,6,16,16,281,163,58.0,30
ESP-La Liga,2122,Alavés,Fernando Pacheco,ESP,GK,29.0,33.9,1109,973,1102,7,0,0,686,0,0,,0,0,414,2373,1685,0,0,0,2,0,366,362,98.9,0
ESP-La Liga,2122,Alavés,Florian Lejeune,FRA,DF,30.0,30.0,1501,244,825,685,63,25,1412,4,7,57.1,4,0,717,3373,1477,23,2,0,5,1,764,739,96.7,4
ESP-La Liga,2122,Alavés,Gonzalo Escalante,ARG,MF,28.0,14.4,582,39,135,335,125,25,579,6,11,54.5,7,0,255,1023,515,22,3,0,14,11,335,275,82.1,20
ESP-La Liga,2122,Alavés,Iván Martín,ESP,MF,22.0,1.8,84,0,9,45,34,2,84,0,2,0.0,0,0,68,355,128,9,0,0,2,5,83,63,75.9,3
ESP-La Liga,2122,Alavés,Jason,ESP,"MF,FW",27.0,7.5,305,5,49,118,156,15,248,5,19,26.3,7,5,155,811,467,18,5,2,13,11,236,153,64.8,21
ESP-La Liga,2122,Alavés,Javi López,ESP,DF,19.0,5.1,279,27,91,149,50,0,231,3,9,33.3,3,1,149,685,305,11,3,0,2,6,168,152,90.5,4
ESP-La Liga,2122,Alavés,Jesús Owono,EQG,GK,20.0,1.0,25,21,25,0,0,0,21,0,0,,0,0,12,83,74,0,0,0,0,0,4,4,100.0,0
ESP-La Liga,2122,Alavés,John Guidetti,SWE,"FW,MF",29.0,3.1,108,1,4,37,70,20,103,3,5,60.0,3,0,64,215,68,5,1,1,7,4,140,78,55.7,27
ESP-La Liga,2122,Alavés,Joselu,ESP,FW,31.0,34.7,1523,54,121,778,657,159,1461,16,48,33.3,19,6,648,1938,655,37,7,11,74,39,1771,1168,66.0,183
ESP-La Liga,2122,Alavés,Loum Ndiaye,SEN,MF,24.0,25.7,1178,99,331,756,137,32,1170,27,39,69.2,27,3,650,2931,1311,56,9,1,33,24,674,593,88.0,20
ESP-La Liga,2122,Alavés,Luis Rioja,ESP,"FW,MF",27.0,34.6,1347,28,211,548,728,105,1285,65,125,52.0,75,9,968,5903,3917,202,72,41,79,67,1242,855,68.8,145
ESP-La Liga,2122,Alavés,Mamadou Sylla,SEN,FW,27.0,4.4,112,3,10,47,60,12,108,5,8,62.5,5,0,64,429,191,5,2,1,13,5,180,81,45.0,31
ESP-La Liga,2122,Alavés,Manu García,ESP,MF,23.0,12.0,703,9,98,434,220,12,644,23,39,59.0,24,2,521,2637,1265,64,15,4,17,22,544,469,86.2,30
ESP-La Liga,2122,Alavés,Manu Vallejo,ESP,"MF,FW",24.0,4.1,163,4,14,77,81,8,146,1,10,10.0,2,0,85,337,185,9,4,1,7,5,148,99,66.9,23
ESP-La Liga,2122,Alavés,Marc Tenas,ESP,"FW,MF",20.0,0.6,35,2,7,13,17,1,35,1,1,100.0,1,0,23,106,79,3,1,0,3,2,38,28,73.7,5
ESP-La Liga,2122,Alavés,Martin Agirregabiria,ESP,DF,25.0,18.0,975,50,297,478,240,11,798,14,19,73.7,14,1,466,1840,1099,47,18,2,10,11,545,470,86.2,19
ESP-La Liga,2122,Alavés,Matt Miazga,USA,DF,26.0,9.3,407,92,246,162,19,12,392,0,0,,0,0,188,729,265,2,1,0,0,1,209,202,96.7,1
ESP-La Liga,2122,Alavés,Miguel,ESP,"FW,MF",21.0,9.2,291,4,20,133,155,50,283,10,23,43.5,12,2,187,910,509,25,8,11,32,14,425,203,47.8,57
ESP-La Liga,2122,Alavés,Mircea Alexandru Tirlea,ROU,DF,21.0,0.2,17,2,6,9,3,0,11,2,3,66.7,2,0,7,24,14,0,0,0,0,0,4,4,100.0,0
ESP-La Liga,2122,Alavés,Nahuel Tenaglia,ARG,DF,25.0,11.9,639,49,251,293,124,7,522,9,12,75.0,9,3,255,1373,793,36,10,1,11,7,260,243,93.5,10
ESP-La Liga,2122,Alavés,Opponent Total,,,27.6,38.0,24244,2505,7771,11750,6091,994,22211,336,616,54.5,379,28,15227,74609,39707,1473,427,144,479,378,18374,15557,84.7,1353
ESP-La Liga,2122,Alavés,Pere Pons,ESP,MF,28.0,15.2,531,23,101,323,145,29,512,8,17,47.1,8,4,289,1489,802,34,11,5,26,14,456,321,70.4,52
ESP-La Liga,2122,Alavés,Rubén Duarte,ESP,DF,25.0,29.1,1701,112,539,785,440,22,1367,3,6,50.0,4,0,730,3177,1648,80,30,5,12,13,795,725,91.2,22
ESP-La Liga,2122,Alavés,Saúl García,ESP,FW,26.0,0.0,4,0,3,0,1,0,4,0,0,,0,0,1,0,0,0,0,0,0,0,3,1,33.3,0
ESP-La Liga,2122,Alavés,Squad Total,,,27.9,38.0,18569,2383,6283,8688,4456,658,16634,260,513,50.7,286,43,9361,44635,23101,900,265,100,462,334,12473,9840,78.9,839
ESP-La Liga,2122,Alavés,Tachi,ESP,DF,23.0,2.7,113,13,51,57,8,1,100,0,0,,0,0,41,170,117,6,0,0,1,1,47,44,93.6,0
ESP-La Liga,2122,Alavés,Tomás Mendes,ESP,MF,16.0,0.1,6,1,1,5,0,0,6,0,0,,0,0,2,1,0,0,0,0,0,0,4,4,100.0,0
ESP-La Liga,2122,Alavés,Tomás Pina Isla,ESP,MF,33.0,16.0,724,41,175,451,123,11,716,4,10,40.0,5,3,365,1503,468,24,7,0,5,9,428,387,90.4,13
ESP-La Liga,2122,Alavés,Toni Moya,ESP,MF,23.0,15.4,761,40,164,427,208,10,652,16,20,80.0,18,1,380,2101,960,41,10,1,20,13,437,373,85.4,22
ESP-La Liga,2122,Alavés,Unai Ropero,ESP,MF,19.0,0.1,4,0,1,4,0,0,4,0,0,,0,0,3,9,0,0,0,0,0,1,6,3,50.0,1
ESP-La Liga,2122,Alavés,Víctor Laguardia,ESP,DF,31.0,33.8,1529,232,816,737,32,18,1445,0,1,0.0,0,0,671,2601,1201,21,0,0,6,1,788,758,96.2,2
ESP-La Liga,2122,Alavés,Ximo Navarro,ESP,DF,31.0,15.0,788,83,310,378,152,14,651,5,12,41.7,5,0,368,2117,1141,39,18,1,10,10,392,367,93.6,10
ESP-La Liga,2122,Alavés,Édgar Méndez,ESP,"FW,MF",31.0,17.9,640,19,104,283,292,41,625,16,35,45.7,16,0,383,1782,863,44,17,6,42,21,667,420,63.0,84
ESP-La Liga,2122,Athletic Club,Alex Petxa,ESP,"DF,MF",24.0,4.6,330,11,89,178,83,2,280,3,12,25.0,3,0,187,807,391,22,10,0,4,3,199,189,95.0,3
ESP-La Liga,2122,Athletic Club,Ander Capa,ESP,DF,29.0,0.0,3,0,1,1,1,0,3,0,0,,0,0,2,21,17,1,0,0,0,0,3,3,100.0,0
ESP-La Liga,2122,Athletic Club,Asier Villalibre,ESP,FW,23.0,6.1,205,10,13,101,104,31,202,4,8,50.0,5,0,134,623,342,17,10,2,19,9,270,167,61.9,56
ESP-La Liga,2122,Athletic Club,Dani García,ESP,MF,31.0,24.2,1229,60,264,780,222,16,1209,5,8,62.5,5,0,664,2127,950,37,13,0,10,16,795,761,95.7,20
ESP-La Liga,2122,Athletic Club,Daniel Vivian,ESP,DF,22.0,22.1,1175,218,701,497,44,20,1121,1,3,33.3,1,0,609,3676,1852,34,5,0,0,8,624,616,98.7,3
ESP-La Liga,2122,Athletic Club,Iker Muniain,ESP,MF,28.0,30.9,1914,14,156,958,949,86,1649,60,106,56.6,67,13,1355,7078,3773,220,83,20,47,52,1555,1365,87.8,136
ESP-La Liga,2122,Athletic Club,Iñaki Williams,ESP,FW,27.0,30.9,1064,30,63,429,631,218,1044,28,65,43.1,30,5,688,3553,2115,124,38,46,99,43,1433,849,59.2,369
ESP-La Liga,2122,Athletic Club,Iñigo Lekue,ESP,DF,28.0,21.4,1434,97,450,701,365,14,1152,15,31,48.4,18,4,763,3948,2075,100,35,7,17,19,781,734,94.0,22
ESP-La Liga,2122,Athletic Club,Iñigo Martínez,ESP,DF,30.0,26.0,1491,223,802,720,73,31,1410,1,2,50.0,1,0,724,5403,3114,71,8,0,3,2,822,803,97.7,4
ESP-La Liga,2122,Athletic Club,Jon Morcillo,ESP,MF,22.0,0.6,42,1,7,15,23,2,41,0,1,0.0,0,0,31,236,140,7,1,0,3,1,33,28,84.8,5
ESP-La Liga,2122,Athletic Club,Julen Agirrezabala,ESP,GK,20.0,4.0,95,75,95,0,0,0,61,0,0,,0,0,38,159,75,0,0,0,0,0,26,25,96.2,0
ESP-La Liga,2122,Athletic Club,Mikel Balenziaga,ESP,DF,33.0,22.5,1233,93,374,625,286,10,1020,9,15,60.0,9,1,611,2538,1332,58,20,1,12,13,610,569,93.3,29
ESP-La Liga,2122,Athletic Club,Mikel Vesga,ESP,MF,28.0,15.1,884,52,185,568,164,18,877,7,11,63.6,7,0,536,2385,1177,53,8,2,13,16,590,558,94.6,20
ESP-La Liga,2122,Athletic Club,Nico Williams,ESP,MF,19.0,14.9,700,9,83,255,416,88,692,41,84,48.8,47,6,558,3256,2221,116,27,31,38,32,702,519,73.9,76
ESP-La Liga,2122,Athletic Club,Nicolás Serrano,ESP,MF,18.0,3.5,188,5,29,89,82,12,180,4,7,57.1,5,0,134,765,393,19,3,4,13,5,157,118,75.2,19
ESP-La Liga,2122,Athletic Club,Oier Zarraga,ESP,MF,22.0,13.0,631,29,131,342,186,20,626,6,8,75.0,6,0,401,2082,1067,55,17,4,12,14,503,436,86.7,29
ESP-La Liga,2122,Athletic Club,Oihan Sancet,ESP,FW,21.0,15.8,684,13,45,325,363,83,673,19,35,54.3,22,1,506,2351,1160,78,31,14,47,56,791,554,70.0,183
ESP-La Liga,2122,Athletic Club,Opponent Total,,,27.6,38.0,23346,2898,8564,10486,5557,822,21438,296,544,54.4,327,39,14411,71127,35862,1299,407,155,497,362,17197,14845,86.3,1086
