,,,,Nation,Pos,Age,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
league,season,team,player,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Athletic Club,Álex Berenguer,ESP,"MF,FW",26.0,24.1,71,2.95,44,16,3,3,4,1,8,0.33,5,2,0,1,0,0
ESP-La Liga,2122,Athletic Club,Óscar de Marcos,ESP,DF,32.0,18.7,33,1.77,26,6,0,0,0,1,5,0.27,5,0,0,0,0,0
ESP-La Liga,2122,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",30.0,18.8,51,2.71,39,8,0,1,2,1,11,0.58,10,0,0,0,0,1
ESP-La Liga,2122,Atlético Madrid,Carlos Martín,ESP,DF,19.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Atlético Madrid,Daniel Wass,DEN,DF,32.0,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Atlético Madrid,Felipe,BRA,DF,32.0,16.7,9,0.54,8,0,0,1,0,0,1,0.06,1,0,0,0,0,0
ESP-La Liga,2122,Atlético Madrid,Geoffrey Kondogbia,CTA,"MF,DF",28.0,20.9,23,1.1,19,0,2,0,0,2,4,0.19,3,0,0,0,0,1
ESP-La Liga,2122,Atlético Madrid,Giuliano Simeone,ARG,DF,18.0,0.0,1,90.0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Atlético Madrid,Héctor Herrera,MEX,MF,31.0,9.5,17,1.78,14,1,2,0,0,0,2,0.21,2,0,0,0,0,0
ESP-La Liga,2122,Atlético Madrid,Jan Oblak,SVN,GK,28.0,38.0,1,0.03,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Atlético Madrid,Javier Serrano,ESP,MF,18.0,0.8,1,1.32,1,0,0,0,0,0,1,1.32,1,0,0,0,0,0
ESP-La Liga,2122,Atlético Madrid,José María Giménez,URU,DF,26.0,22.7,8,0.35,6,0,0,1,1,0,2,0.09,1,0,0,1,0,0
ESP-La Liga,2122,Atlético Madrid,João Félix,POR,"FW,MF",21.0,14.0,44,3.14,30,1,5,2,5,1,10,0.71,8,0,1,0,0,1
ESP-La Liga,2122,Atlético Madrid,Kieran Trippier,ENG,DF,30.0,10.8,14,1.29,9,4,0,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Atlético Madrid,Koke,ESP,MF,29.0,27.9,54,1.94,46,3,0,1,3,1,7,0.25,7,0,0,0,0,0
ESP-La Liga,2122,Atlético Madrid,Luis Suárez,URU,FW,34.0,20.4,36,1.77,27,0,0,4,3,2,6,0.29,4,0,0,1,1,0
ESP-La Liga,2122,Atlético Madrid,Marcos Llorente,ESP,"DF,MF",26.0,27.2,41,1.51,37,2,1,0,1,0,4,0.15,4,0,0,0,0,0
ESP-La Liga,2122,Atlético Madrid,Mario Hermoso,ESP,DF,26.0,20.7,23,1.11,19,3,0,1,0,0,2,0.1,2,0,0,0,0,0
ESP-La Liga,2122,Atlético Madrid,Matheus Cunha,BRA,FW,22.0,11.8,22,1.86,12,0,0,3,6,1,7,0.59,4,0,0,1,2,0
ESP-La Liga,2122,Atlético Madrid,Opponent Total,,,27.6,38.0,544,14.32,362,64,29,31,41,17,67,1.76,37,6,7,8,7,2
ESP-La Liga,2122,Atlético Madrid,Reinildo Mandava,MOZ,DF,27.0,14.4,10,0.69,9,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Atlético Madrid,Renan Lodi,BRA,DF,23.0,13.1,18,1.37,17,0,0,0,1,0,2,0.15,2,0,0,0,0,0
ESP-La Liga,2122,Atlético Madrid,Rodrigo De Paul,ARG,MF,27.0,23.9,85,3.56,57,23,1,1,1,2,5,0.21,4,1,0,0,0,0
ESP-La Liga,2122,Atlético Madrid,Saúl Ñíguez,ESP,"DF,MF",26.0,2.2,3,1.34,2,0,0,0,1,0,1,0.45,1,0,0,0,0,0
ESP-La Liga,2122,Atlético Madrid,Squad Total,,,28.1,38.0,713,18.76,516,78,39,32,34,14,101,2.66,77,6,4,7,3,4
ESP-La Liga,2122,Atlético Madrid,Stefan Savić,MNE,DF,30.0,27.1,9,0.33,7,0,0,2,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Atlético Madrid,Thomas Lemar,FRA,MF,25.0,16.0,62,3.87,44,7,3,5,3,0,11,0.69,7,1,1,2,0,0
ESP-La Liga,2122,Atlético Madrid,Yannick Carrasco,BEL,"DF,MF",27.0,28.7,115,4.01,62,22,22,6,2,1,12,0.42,5,4,2,1,0,0
ESP-La Liga,2122,Atlético Madrid,Ángel Correa,ARG,"FW,MF",26.0,20.6,57,2.76,43,3,3,3,3,2,10,0.48,8,0,0,1,0,1
ESP-La Liga,2122,Atlético Madrid,Šime Vrsaljko,CRO,DF,29.0,10.2,9,0.89,7,0,0,0,1,1,3,0.3,3,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Abdessamad Ezzalzouli,MAR,"FW,DF",19.0,6.4,11,1.71,6,0,2,1,1,1,1,0.16,0,0,0,1,0,0
ESP-La Liga,2122,Barcelona,Adama Traoré,ESP,"FW,DF",25.0,4.2,18,4.24,13,0,4,0,0,1,3,0.71,3,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Alejandro Balde,ESP,"DF,FW",17.0,2.1,3,1.44,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Alvaro Sanz,ESP,MF,20.0,0.3,1,3.1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Ansu Fati,ESP,FW,18.0,3.7,10,2.68,7,0,0,0,2,1,2,0.54,1,0,0,0,1,0
ESP-La Liga,2122,Barcelona,Antoine Griezmann,FRA,FW,30.0,2.9,5,1.71,5,0,0,0,0,0,1,0.34,1,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Clément Lenglet,FRA,DF,26.0,9.2,6,0.65,6,0,0,0,0,0,2,0.22,2,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Dani Alves,BRA,DF,38.0,12.2,31,2.54,23,8,0,0,0,0,4,0.33,4,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Emerson,BRA,DF,22.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Eric García,ESP,DF,20.0,22.7,23,1.02,22,0,0,1,0,0,1,0.04,1,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Estanis,ESP,FW,17.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Ferrán Torres,ESP,FW,21.0,15.7,33,2.1,23,0,2,4,4,0,5,0.32,3,0,0,2,0,0
ESP-La Liga,2122,Barcelona,Frenkie de Jong,NED,MF,24.0,27.5,73,2.65,65,2,1,1,3,1,8,0.29,8,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Gavi Paez,ESP,"MF,FW",16.0,25.7,52,2.02,43,0,5,1,2,1,13,0.51,10,0,2,0,1,0
ESP-La Liga,2122,Barcelona,Gerard Piqué,ESP,DF,34.0,23.2,23,0.99,16,1,1,3,0,2,5,0.22,3,1,0,1,0,0
ESP-La Liga,2122,Barcelona,Ilias Akhomach,ESP,FW,17.0,1.4,7,5.08,4,0,1,0,2,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Jordi Alba,ESP,DF,32.0,29.4,84,2.86,78,2,1,2,1,0,13,0.44,12,0,0,1,0,0
ESP-La Liga,2122,Barcelona,Jutglà,ESP,FW,22.0,3.3,9,2.69,5,0,2,1,1,0,1,0.3,1,0,0,0,0,0
