,,,,Nation,Pos,Age,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
league,season,team,player,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Celta Vigo,Fran Beltrán,ESP,MF,22.0,28.9,35,1.21,30,0,1,1,1,2,2,0.07,0,0,0,1,0,1
ESP-La Liga,2122,Celta Vigo,Franco Cervi,ARG,MF,27.0,20.0,32,1.6,22,2,0,3,4,1,7,0.35,4,0,0,2,1,0
ESP-La Liga,2122,Celta Vigo,Gabriel Veiga,ESP,MF,19.0,1.2,1,0.83,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Celta Vigo,Hugo Mallo,ESP,DF,30.0,20.3,35,1.73,28,4,1,1,1,0,2,0.1,2,0,0,0,0,0
ESP-La Liga,2122,Celta Vigo,Hugo Sotelo,ESP,MF,17.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Celta Vigo,Hugo Álvarez,ESP,FW,18.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Celta Vigo,Iago Aspas,ESP,FW,33.0,34.3,113,3.29,89,7,4,7,6,0,15,0.44,10,0,1,4,0,0
ESP-La Liga,2122,Celta Vigo,Javi Galán,ESP,DF,26.0,36.6,51,1.39,40,3,3,0,3,2,4,0.11,4,0,0,0,0,0
ESP-La Liga,2122,Celta Vigo,Jeison Murillo,COL,DF,29.0,12.4,5,0.4,3,1,0,0,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Celta Vigo,Joseph Aidoo,GHA,DF,25.0,29.3,13,0.44,12,0,0,1,0,0,2,0.07,2,0,0,0,0,0
ESP-La Liga,2122,Celta Vigo,José Fontán,ESP,DF,21.0,3.1,2,0.65,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Celta Vigo,Kevin Vázquez,ESP,DF,28.0,14.8,21,1.42,18,1,0,1,1,0,2,0.13,2,0,0,0,0,0
ESP-La Liga,2122,Celta Vigo,Matías Dituro,ARG,GK,34.0,38.0,2,0.05,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Celta Vigo,Miguel Baeza,ESP,DF,21.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Celta Vigo,Nolito,ESP,MF,34.0,15.4,27,1.76,24,0,0,1,0,2,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Celta Vigo,Néstor Araujo,MEX,DF,29.0,29.1,8,0.28,6,0,1,1,0,0,2,0.07,2,0,0,0,0,0
ESP-La Liga,2122,Celta Vigo,Okay Yokuşlu,TUR,"DF,MF",27.0,1.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Celta Vigo,Opponent Total,,,27.4,38.0,624,16.42,428,66,37,33,45,15,66,1.74,42,1,5,10,4,4
ESP-La Liga,2122,Celta Vigo,Orbelín Pineda,MEX,"MF,FW",25.0,1.1,2,1.82,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Celta Vigo,Renato Tapia,PER,MF,26.0,15.7,16,1.02,11,2,0,0,1,2,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Celta Vigo,Santi Mina,ESP,FW,25.0,26.3,43,1.63,32,0,2,3,4,2,7,0.27,6,0,0,1,0,0
ESP-La Liga,2122,Celta Vigo,Squad Total,,,28.4,38.0,613,16.13,474,41,19,34,30,15,70,1.84,53,2,2,9,1,3
ESP-La Liga,2122,Celta Vigo,Thiago Galhardo,BRA,"FW,MF",32.0,12.8,25,1.96,20,0,0,4,1,0,4,0.31,4,0,0,0,0,0
ESP-La Liga,2122,Cádiz,Alberto Perea,ESP,MF,30.0,8.6,27,3.13,17,4,0,1,3,2,2,0.23,1,1,0,0,0,0
ESP-La Liga,2122,Cádiz,Alfonso Espino,URU,DF,29.0,37.0,72,1.95,52,10,2,2,1,5,4,0.11,3,0,0,0,0,1
ESP-La Liga,2122,Cádiz,Anthony Lozano,HON,"FW,MF",28.0,18.6,36,1.94,20,0,3,6,6,1,9,0.48,3,0,1,2,2,1
ESP-La Liga,2122,Cádiz,Cala,ESP,DF,31.0,10.5,3,0.29,1,1,0,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Cádiz,Carlos Akapo,EQG,DF,28.0,20.5,24,1.17,16,1,2,1,3,1,1,0.05,1,0,0,0,0,0
ESP-La Liga,2122,Cádiz,Chapela,ESP,"MF,FW",22.0,4.4,5,1.13,4,0,0,0,1,0,1,0.23,1,0,0,0,0,0
ESP-La Liga,2122,Cádiz,Fali,ESP,"DF,MF",27.0,20.0,12,0.6,9,1,0,1,0,1,2,0.1,1,1,0,0,0,0
ESP-La Liga,2122,Cádiz,Fede San Emeterio,ESP,MF,24.0,9.2,9,0.98,8,0,0,0,0,1,3,0.33,2,0,0,0,0,1
ESP-La Liga,2122,Cádiz,Florin Andone,ROU,FW,28.0,2.0,4,2.05,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Cádiz,Isaac Carcelen,ESP,"DF,MF",28.0,17.2,23,1.34,15,1,0,4,2,1,1,0.06,1,0,0,0,0,0
ESP-La Liga,2122,Cádiz,Iván Alejo,ESP,"MF,FW",26.0,11.8,37,3.13,30,2,3,1,0,1,5,0.42,4,0,1,0,0,0
ESP-La Liga,2122,Cádiz,Jens Jønsson,DEN,MF,28.0,14.5,15,1.04,12,0,1,0,2,0,2,0.14,1,0,0,0,1,0
ESP-La Liga,2122,Cádiz,Jeremías Ledesma,ARG,GK,28.0,38.0,5,0.13,3,1,0,0,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Cádiz,José Mari,ESP,MF,33.0,4.3,8,1.87,6,1,0,1,0,0,2,0.47,2,0,0,0,0,0
ESP-La Liga,2122,Cádiz,Lucas Pérez,ESP,"FW,MF",32.0,11.8,39,3.31,25,12,0,1,1,0,2,0.17,2,0,0,0,0,0
ESP-La Liga,2122,Cádiz,Luis Hernández,ESP,DF,32.0,15.2,14,0.92,8,6,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Cádiz,Marcos Mauro López Gutiérrez,ARG,DF,30.0,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Cádiz,Martín,ESP,MF,22.0,1.3,1,0.78,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Cádiz,Milutin Osmajić,MNE,"FW,MF",22.0,2.9,1,0.35,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Cádiz,Opponent Total,,,27.6,38.0,771,20.29,537,76,47,39,51,21,85,2.24,51,6,5,11,10,2
ESP-La Liga,2122,Cádiz,Oussama Idrissi,MAR,MF,25.0,10.0,37,3.69,27,6,4,0,0,0,4,0.4,3,1,0,0,0,0
ESP-La Liga,2122,Cádiz,Pedro Benito,ESP,FW,21.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Cádiz,Raúl Parra,ESP,DF,21.0,1.0,1,1.02,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Cádiz,Rubén Alcaraz,ESP,MF,30.0,12.3,30,2.44,21,4,1,1,3,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Cádiz,Rubén Sobrino,ESP,"FW,MF",29.0,20.7,47,2.27,25,1,4,6,4,7,5,0.24,1,0,0,1,2,1
ESP-La Liga,2122,Cádiz,Salvi,ESP,"MF,FW",30.0,15.5,20,1.29,13,2,0,5,0,0,3,0.19,1,0,0,2,0,0
ESP-La Liga,2122,Cádiz,Santiago Arzamendia,PAR,"MF,DF",23.0,5.2,4,0.77,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Cádiz,Squad Total,,,28.5,38.0,596,15.68,397,75,28,41,31,24,54,1.42,32,6,2,5,5,4
ESP-La Liga,2122,Cádiz,Tomás Alarcón,CHI,MF,22.0,15.8,26,1.64,13,11,1,0,0,1,3,0.19,1,2,0,0,0,0
ESP-La Liga,2122,Cádiz,Varazdat Haroyan,ARM,DF,28.0,16.0,6,0.38,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Cádiz,Víctor Chust,ESP,DF,21.0,20.3,7,0.34,6,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Cádiz,Álex Fernández,ESP,MF,28.0,22.8,38,1.67,26,7,0,3,0,2,2,0.09,2,0,0,0,0,0
ESP-La Liga,2122,Cádiz,Álvaro Bastida,ESP,MF,17.0,2.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Cádiz,Álvaro Jiménez,ESP,"MF,FW",26.0,2.6,5,1.92,1,2,2,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Cádiz,Álvaro Negredo,ESP,FW,35.0,24.0,40,1.67,26,1,4,5,3,1,3,0.13,2,1,0,0,0,0
ESP-La Liga,2122,Elche,Antonio Barragán,ESP,DF,34.0,11.3,10,0.88,8,1,0,0,1,0,2,0.18,2,0,0,0,0,0
ESP-La Liga,2122,Elche,Darío Benedetto,ARG,FW,31.0,6.6,11,1.68,7,0,3,1,0,0,2,0.31,1,0,0,1,0,0
ESP-La Liga,2122,Elche,Diego González,ESP,DF,26.0,19.9,4,0.2,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Elche,Enzo Roco,CHI,DF,28.0,28.4,7,0.25,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Elche,Ezequiel Ponce,ARG,FW,24.0,7.4,17,2.29,12,0,2,2,0,1,1,0.13,0,0,1,0,0,0
ESP-La Liga,2122,Elche,Fidel,ESP,"MF,FW",31.0,25.1,72,2.87,54,13,2,0,1,2,10,0.4,9,1,0,0,0,0
ESP-La Liga,2122,Elche,Gerard Gumbau,ESP,MF,26.0,21.0,50,2.38,26,22,1,1,0,0,7,0.33,6,1,0,0,0,0
ESP-La Liga,2122,Elche,Gonzalo Verdú,ESP,DF,32.0,15.5,1,0.06,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Elche,Guido Carrillo,ARG,FW,30.0,13.0,21,1.62,13,0,0,3,3,2,1,0.08,1,0,0,0,0,0
ESP-La Liga,2122,Elche,Helibelton Palacios,COL,DF,28.0,21.5,12,0.56,11,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Elche,Iván Marcone,ARG,MF,31.0,9.0,3,0.33,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Elche,Javier Pastore,ARG,"MF,FW",32.0,5.8,20,3.43,19,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Elche,Johan Mojica,COL,DF,28.0,31.7,50,1.58,43,2,3,0,2,0,8,0.25,7,0,0,0,1,0
ESP-La Liga,2122,Elche,John Donald,ESP,DF,20.0,2.0,3,1.5,1,0,0,0,0,2,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Elche,Josan,ESP,"DF,MF",31.0,13.5,28,2.08,24,1,2,0,1,0,3,0.22,3,0,0,0,0,0
ESP-La Liga,2122,Elche,Josema,ESP,DF,25.0,2.0,1,0.49,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Elche,Kike Pérez,ESP,"FW,MF",24.0,5.8,18,3.12,12,2,1,1,1,1,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Elche,Kiko Casilla,ESP,GK,34.0,14.0,4,0.29,2,2,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Elche,Lucas Boyé,ARG,FW,25.0,19.0,43,2.26,26,0,9,3,2,3,9,0.47,4,0,3,0,0,2
ESP-La Liga,2122,Elche,Lucas Olaza,URU,DF,27.0,3.3,9,2.75,8,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Elche,Lucas Pérez,ESP,FW,32.0,14.1,25,1.78,15,4,3,0,3,0,3,0.21,0,1,1,0,1,0
ESP-La Liga,2122,Elche,Omar Mascarell,ESP,MF,28.0,27.7,14,0.51,10,1,0,1,0,2,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Elche,Opponent Total,,,27.4,38.0,803,21.13,579,63,49,42,49,21,86,2.26,61,7,4,6,7,1
ESP-La Liga,2122,Elche,Pablo Piatti,ARG,"MF,FW",32.0,3.5,8,2.31,5,0,2,0,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Elche,Pedro Bigas,ESP,DF,30.0,17.2,10,0.58,7,0,0,1,2,0,1,0.06,1,0,0,0,0,0
ESP-La Liga,2122,Elche,Pere Milla,ESP,"FW,MF",28.0,18.3,28,1.53,21,0,2,3,1,1,5,0.27,3,0,1,1,0,0
ESP-La Liga,2122,Elche,Raúl Guti,ESP,MF,24.0,18.1,18,1.0,13,0,0,1,2,2,2,0.11,2,0,0,0,0,0
ESP-La Liga,2122,Elche,Squad Total,,,29.1,38.0,521,13.71,379,52,34,18,21,17,58,1.53,41,4,7,2,2,2
ESP-La Liga,2122,Elche,Tete Morente,ESP,"MF,FW",24.0,18.1,34,1.87,27,2,2,1,1,1,4,0.22,2,1,1,0,0,0
ESP-La Liga,2122,Elche,Édgar Badía,ESP,GK,29.0,24.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Espanyol,Adri Embarba,ESP,"FW,MF",29.0,22.1,81,3.67,38,23,8,4,5,3,6,0.27,2,3,0,1,0,0
ESP-La Liga,2122,Espanyol,Aleix Vidal,ESP,"DF,MF",31.0,21.1,49,2.32,39,4,1,0,4,1,4,0.19,3,0,1,0,0,0
ESP-La Liga,2122,Espanyol,Daniel Villahermosa,ESP,MF,20.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Espanyol,David López,ESP,"MF,DF",31.0,8.3,12,1.45,10,1,0,1,0,0,1,0.12,1,0,0,0,0,0
ESP-La Liga,2122,Espanyol,Diego López,ESP,GK,39.0,35.3,2,0.06,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Espanyol,Dídac Vilà,ESP,"DF,MF",32.0,2.3,4,1.77,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Espanyol,Fernando Calero,ESP,DF,25.0,12.1,5,0.41,5,0,0,0,0,0,1,0.08,1,0,0,0,0,0
ESP-La Liga,2122,Espanyol,Fran Mérida,ESP,MF,31.0,3.0,8,2.71,6,1,1,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Espanyol,Gori,ESP,MF,19.0,0.1,1,10.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Espanyol,Javi Puado,ESP,"FW,MF",23.0,24.9,39,1.56,32,0,2,3,2,0,3,0.12,2,0,1,0,0,0
ESP-La Liga,2122,Espanyol,Joan García,ESP,GK,20.0,1.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Espanyol,Jofre,ESP,"MF,DF",20.0,0.2,4,18.0,3,0,0,0,1,0,2,9.0,1,0,0,0,1,0
ESP-La Liga,2122,Espanyol,Keidi Bare,ALB,MF,23.0,16.5,21,1.28,19,0,1,0,1,0,2,0.12,1,0,0,0,1,0
ESP-La Liga,2122,Espanyol,Landry Dimata,BEL,"FW,MF",23.0,6.0,16,2.66,11,0,1,0,3,1,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Espanyol,Leandro Cabrera,URU,DF,30.0,37.0,26,0.7,21,2,0,3,0,0,4,0.11,2,1,0,1,0,0
ESP-La Liga,2122,Espanyol,Lluís Recasens,ESP,DF,19.0,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Espanyol,Loren Morón,ESP,"FW,MF",27.0,6.3,6,0.96,5,0,0,1,0,0,1,0.16,0,0,0,1,0,0
ESP-La Liga,2122,Espanyol,Luca Koleosho,USA,FW,16.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Espanyol,Manu Morlanes,ESP,MF,22.0,12.7,23,1.81,17,1,1,1,0,3,5,0.39,3,0,0,1,0,1
ESP-La Liga,2122,Espanyol,Miguel Juan Llambrich,ESP,DF,25.0,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Espanyol,Nico Ribaudo,ESP,"MF,FW",20.0,12.4,31,2.5,22,2,2,1,3,1,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Espanyol,Oier Olazábal,ESP,GK,31.0,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Espanyol,Opponent Total,,,27.5,38.0,778,20.47,583,71,36,37,36,15,83,2.18,65,4,4,5,2,3
ESP-La Liga,2122,Espanyol,Pedrosa,ESP,DF,23.0,30.2,43,1.42,29,1,4,2,5,2,2,0.07,2,0,0,0,0,0
ESP-La Liga,2122,Espanyol,Raúl de Tomás,ESP,FW,26.0,32.4,65,2.01,47,0,6,5,6,1,8,0.25,4,0,1,2,1,0
ESP-La Liga,2122,Espanyol,Rubén,ESP,DF,20.0,1.7,1,0.6,1,0,0,0,0,0,1,0.6,1,0,0,0,0,0
ESP-La Liga,2122,Espanyol,Sergi Darder,ESP,MF,27.0,34.7,88,2.53,68,7,1,4,4,4,14,0.4,13,0,0,1,0,0
ESP-La Liga,2122,Espanyol,Sergi Gómez,ESP,DF,29.0,30.2,11,0.36,11,0,0,0,0,0,2,0.07,2,0,0,0,0,0
ESP-La Liga,2122,Espanyol,Squad Total,,,27.6,38.0,643,16.92,478,51,30,29,38,17,64,1.68,43,5,3,7,4,2
ESP-La Liga,2122,Espanyol,Tonny Vilhena,NED,"MF,FW",26.0,10.3,18,1.75,11,5,0,1,1,0,1,0.1,0,1,0,0,0,0
ESP-La Liga,2122,Espanyol,Victor Perea,ESP,DF,21.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Espanyol,Wu Lei,CHN,"FW,MF",29.0,5.3,11,2.09,10,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Espanyol,Yangel Herrera,VEN,MF,23.0,18.3,24,1.31,17,0,2,1,3,1,4,0.22,2,0,0,0,1,1
ESP-La Liga,2122,Espanyol,Álvaro Vadillo,ESP,"MF,DF",26.0,0.1,1,12.86,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Espanyol,Óscar Gil,ESP,DF,23.0,18.8,20,1.07,16,4,0,0,0,0,2,0.11,2,0,0,0,0,0
ESP-La Liga,2122,Espanyol,Óscar Melendo,ESP,"MF,FW",23.0,11.0,33,3.0,32,0,0,1,0,0,1,0.09,1,0,0,0,0,0
ESP-La Liga,2122,Getafe,Allan Nyom,CMR,DF,33.0,2.7,3,1.11,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Getafe,Borja Mayoral,ESP,FW,24.0,11.6,27,2.33,23,0,2,2,0,0,6,0.52,4,0,1,1,0,0
ESP-La Liga,2122,Getafe,Carles Aleñá,ESP,MF,23.0,25.8,52,2.02,42,1,2,3,4,0,4,0.16,4,0,0,0,0,0
ESP-La Liga,2122,Getafe,Chema,ESP,MF,29.0,0.5,1,2.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Getafe,Damián Suárez,URU,DF,33.0,30.1,70,2.32,48,15,0,1,2,4,7,0.23,3,1,0,0,2,1
ESP-La Liga,2122,Getafe,Darío Poveda,ESP,"FW,MF",24.0,4.2,11,2.61,9,0,1,0,0,1,1,0.24,1,0,0,0,0,0
ESP-La Liga,2122,Getafe,David Soria,ESP,GK,28.0,37.9,3,0.08,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Getafe,David Timor,ESP,MF,31.0,3.8,3,0.79,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Getafe,Diego Conde,ESP,GK,22.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Getafe,Djené,TOG,DF,29.0,34.6,26,0.75,20,0,2,1,1,2,4,0.12,4,0,0,0,0,0
ESP-La Liga,2122,Getafe,Emmanuel Amankwaa Akurugu,GHA,DF,19.0,0.9,1,1.14,1,0,0,0,0,0,1,1.14,1,0,0,0,0,0
ESP-La Liga,2122,Getafe,Enes Ünal,TUR,FW,24.0,31.1,69,2.22,41,0,5,7,15,1,4,0.13,3,0,0,0,0,1
ESP-La Liga,2122,Getafe,Erick Cabaco,URU,DF,26.0,4.5,3,0.67,2,1,0,0,0,0,1,0.22,1,0,0,0,0,0
ESP-La Liga,2122,Getafe,Florentino Luís,POR,MF,21.0,11.0,16,1.45,14,0,0,0,0,2,1,0.09,1,0,0,0,0,0
ESP-La Liga,2122,Getafe,Gonzalo Villar,ESP,MF,23.0,3.3,6,1.81,3,0,1,1,1,0,1,0.3,1,0,0,0,0,0
ESP-La Liga,2122,Getafe,Hugo Duro,ESP,"DF,MF",21.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Getafe,Iglesias,ESP,DF,23.0,8.0,16,2.0,10,2,1,0,3,0,1,0.13,1,0,0,0,0,0
ESP-La Liga,2122,Getafe,Jaime Mata,ESP,FW,32.0,7.5,13,1.74,12,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Getafe,Jakub Jankto,CZE,"DF,MF",25.0,6.5,9,1.38,4,1,0,1,2,1,3,0.46,1,1,0,1,0,0
ESP-La Liga,2122,Getafe,Jonathan Silva,ARG,"DF,MF",27.0,2.5,3,1.19,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Getafe,Jorge Cuenca,ESP,DF,21.0,29.8,7,0.23,6,0,0,0,1,0,1,0.03,1,0,0,0,0,0
ESP-La Liga,2122,Getafe,José Juan Macías,MEX,"FW,MF",21.0,2.2,2,0.9,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Getafe,Marc Cucurella,ESP,"FW,DF",23.0,0.3,4,15.65,1,1,1,0,0,1,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Getafe,Mathías Olivera,URU,DF,23.0,31.1,73,2.34,49,3,2,4,8,7,4,0.13,4,0,0,0,0,0
ESP-La Liga,2122,Getafe,Mauro Arambarri,URU,MF,25.0,29.6,70,2.37,30,29,4,2,3,2,11,0.37,4,4,2,0,0,1
ESP-La Liga,2122,Getafe,Nemanja Maksimović,SRB,MF,26.0,32.6,42,1.29,35,1,1,1,2,2,1,0.03,1,0,0,0,0,0
ESP-La Liga,2122,Getafe,Okay Yokuşlu,TUR,"DF,MF",27.0,5.2,1,0.19,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Getafe,Opponent Total,,,27.8,38.0,621,16.34,438,77,21,22,49,14,64,1.68,48,5,3,3,2,3
ESP-La Liga,2122,Getafe,Sandro Ramírez,ESP,FW,26.0,16.2,53,3.26,29,2,7,6,7,2,2,0.12,2,0,0,0,0,0
ESP-La Liga,2122,Getafe,Squad Total,,,26.6,38.0,623,16.39,412,69,30,32,55,25,56,1.47,40,6,3,2,2,3
ESP-La Liga,2122,Getafe,Stefan Mitrović,SRB,DF,31.0,29.6,8,0.27,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Getafe,Vitolo,ESP,"MF,FW",31.0,2.5,6,2.44,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Getafe,Óscar Rodríguez Arnaiz,ESP,"MF,FW",23.0,10.5,25,2.39,10,10,0,2,3,0,3,0.29,3,0,0,0,0,0
ESP-La Liga,2122,Granada,Aarón Escandell,ESP,GK,25.0,3.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Granada,Adrián Butzke,ESP,FW,22.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Granada,Alberto Soro,ESP,"MF,FW",22.0,6.4,12,1.87,7,1,1,1,1,1,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Granada,Antonio Puertas,ESP,"MF,FW",29.0,25.1,53,2.11,37,2,5,1,6,2,6,0.24,4,0,1,0,0,1
ESP-La Liga,2122,Granada,Barcia,ESP,DF,20.0,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Granada,Carlos Bacca,COL,FW,34.0,5.7,13,2.28,9,0,0,2,2,0,2,0.35,1,0,0,0,1,0
ESP-La Liga,2122,Granada,Carlos Neva,ESP,DF,25.0,23.4,27,1.15,23,2,1,0,0,1,2,0.09,2,0,0,0,0,0
ESP-La Liga,2122,Granada,Dani Raba,ESP,"MF,FW",25.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Granada,Darwin Machís,VEN,"MF,FW",28.0,15.3,40,2.62,26,2,6,3,3,0,5,0.33,3,0,1,1,0,0
ESP-La Liga,2122,Granada,Dimitri Foulquier,FRA,DF,28.0,2.0,2,1.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Granada,Domingos Duarte,POR,DF,26.0,18.7,7,0.37,6,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Granada,Germán Sánchez,ESP,DF,34.0,25.5,12,0.47,9,1,0,2,0,0,1,0.04,1,0,0,0,0,0
ESP-La Liga,2122,Granada,Isma Ruiz,ESP,MF,20.0,3.1,4,1.27,4,0,0,0,0,0,1,0.32,1,0,0,0,0,0
ESP-La Liga,2122,Granada,Jorge Molina,ESP,FW,39.0,21.8,50,2.29,39,0,3,3,5,0,5,0.23,5,0,0,0,0,0
ESP-La Liga,2122,Granada,Luis Abram,PER,DF,25.0,6.2,3,0.48,1,0,0,2,0,0,1,0.16,0,0,0,1,0,0
ESP-La Liga,2122,Granada,Luis Javier Suárez,COL,FW,23.0,31.6,64,2.03,43,0,7,6,5,3,7,0.22,5,0,0,0,1,1
ESP-La Liga,2122,Granada,Luis Milla,ESP,MF,26.0,30.8,71,2.3,46,19,1,1,2,2,7,0.23,3,3,0,1,0,0
ESP-La Liga,2122,Granada,Luís Maximiano,POR,GK,22.0,34.8,4,0.11,3,1,0,0,0,0,1,0.03,1,0,0,0,0,0
ESP-La Liga,2122,Granada,Matias Arezo,URU,FW,18.0,1.8,7,3.89,6,0,0,1,0,0,1,0.56,0,0,0,1,0,0
ESP-La Liga,2122,Granada,Maxime Gonalons,FRA,MF,32.0,17.2,26,1.51,22,0,1,1,1,1,2,0.12,2,0,0,0,0,0
ESP-La Liga,2122,Granada,Monchu,ESP,MF,21.0,7.4,7,0.94,6,0,0,1,0,0,0,0.0,0,0,0,0,0,0
