,,,,Nation,Pos,Age,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes
,,,,,,,,,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Antonio Sivera,ESP,GK,24.0,3.1,106,58,48,8,0,8,6,0,0,0,0,0,33,1,72,9,82,0,0,7,63,1,8,1,1
ESP-La Liga,2122,Alavés,Facundo Pellistri,URU,"MF,FW",19.0,7.5,152,148,4,1,0,41,3,9,0,0,0,0,107,27,18,10,117,16,1,3,112,0,4,4,12
ESP-La Liga,2122,Alavés,Fernando Pacheco,ESP,GK,29.0,33.9,1026,603,423,115,0,37,21,0,0,0,0,0,257,44,725,632,172,1,0,81,644,2,20,2,3
ESP-La Liga,2122,Alavés,Florian Lejeune,FRA,DF,30.0,30.0,1161,1078,83,80,0,137,98,4,0,0,0,0,695,103,363,148,847,104,2,5,928,5,34,13,5
ESP-La Liga,2122,Alavés,Gonzalo Escalante,ARG,MF,28.0,14.4,403,399,4,1,0,112,9,3,0,0,0,0,218,58,127,35,278,55,0,2,278,0,9,15,14
ESP-La Liga,2122,Alavés,Iván Martín,ESP,MF,22.0,1.8,67,67,0,0,0,22,3,3,0,0,0,0,49,12,6,56,8,2,0,1,54,0,1,3,2
ESP-La Liga,2122,Alavés,Jason,ESP,"MF,FW",27.0,7.5,221,160,61,31,0,41,17,25,24,12,9,0,94,34,93,14,180,14,2,5,119,2,11,6,15
ESP-La Liga,2122,Alavés,Javi López,ESP,DF,19.0,5.1,205,155,50,5,0,23,4,10,0,0,0,0,112,34,59,144,5,8,45,0,156,1,1,5,5
ESP-La Liga,2122,Alavés,Jesús Owono,EQG,GK,20.0,1.0,23,19,4,1,0,1,1,0,0,0,0,0,2,0,21,1,13,0,0,2,11,0,0,0,0
ESP-La Liga,2122,Alavés,John Guidetti,SWE,"FW,MF",29.0,3.1,72,68,4,0,0,15,1,3,0,0,0,0,42,23,7,4,58,6,0,0,53,0,0,6,3
ESP-La Liga,2122,Alavés,Joselu,ESP,FW,31.0,34.7,1122,1068,54,0,3,471,20,40,2,0,0,0,450,335,337,159,490,132,8,44,687,10,35,43,49
ESP-La Liga,2122,Alavés,Loum Ndiaye,SEN,MF,24.0,25.7,825,816,9,9,0,171,37,3,0,0,0,0,523,117,185,86,608,57,0,6,613,1,26,34,22
ESP-La Liga,2122,Alavés,Luis Rioja,ESP,"FW,MF",27.0,34.6,932,864,68,28,0,177,35,116,25,8,14,0,563,156,213,766,78,42,15,7,560,5,23,48,63
ESP-La Liga,2122,Alavés,Mamadou Sylla,SEN,FW,27.0,4.4,69,65,4,0,0,23,4,7,0,0,0,0,35,16,18,3,45,9,0,0,39,0,5,2,5
