,,,,Nation,Pos,Age,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Barcelona,Yusuf Demir,AUT,FW,18.0,2.1,77,85,90.6,969,186,52,55,94.5,19,22,86.4,2,4,50.0,0,0.0,0.0,1,2,2,0,2
ESP-La Liga,2122,Barcelona,Óscar Mingueza,ESP,DF,22.0,9.9,660,758,87.1,12383,3696,278,297,93.6,284,313,90.7,86,127,67.7,1,0.9,0.1,9,34,13,7,36
ESP-La Liga,2122,Betis,Aitor Ruibal,ESP,"FW,DF",25.0,9.5,262,340,77.1,4084,1396,146,168,86.9,94,117,80.3,16,32,50.0,0,0.7,-0.7,10,21,12,2,38
ESP-La Liga,2122,Betis,Andrés Guardado,MEX,MF,34.0,15.5,782,934,83.7,16829,4700,267,301,88.7,357,399,89.5,152,217,70.0,1,0.5,0.5,11,87,7,1,69
ESP-La Liga,2122,Betis,Borja Iglesias,ESP,FW,28.0,17.5,242,340,71.2,3672,542,137,180,76.1,70,92,76.1,19,34,55.9,0,3.1,-3.1,16,8,12,1,18
ESP-La Liga,2122,Betis,Calderón,ESP,DF,21.0,0.7,43,47,91.5,802,215,18,19,94.7,17,20,85.0,6,6,100.0,0,0.1,-0.1,1,1,3,1,3
ESP-La Liga,2122,Betis,Claudio Bravo,CHI,GK,38.0,16.2,325,507,64.1,11328,7440,56,57,98.2,116,120,96.7,153,330,46.4,0,0.2,-0.2,1,7,1,0,0
ESP-La Liga,2122,Betis,Cristian Tello,ESP,"FW,MF",29.0,9.1,280,363,77.1,4503,1113,149,179,83.2,94,117,80.3,26,40,65.0,2,2.0,0.0,16,11,10,4,22
ESP-La Liga,2122,Betis,Diego Lainez,MEX,FW,21.0,1.6,45,55,81.8,610,114,30,32,93.8,13,18,72.2,2,2,100.0,0,0.2,-0.2,3,3,1,0,2
ESP-La Liga,2122,Betis,Germán Pezzella,ARG,DF,30.0,22.1,911,1039,87.7,19550,5395,251,277,90.6,495,532,93.0,160,221,72.4,0,0.0,0.0,0,20,4,0,23
ESP-La Liga,2122,Betis,Guido Rodríguez,ARG,MF,27.0,28.1,1243,1435,86.6,23643,6910,524,584,89.7,511,558,91.6,173,230,75.2,2,0.4,1.6,13,112,8,2,89
ESP-La Liga,2122,Betis,Héctor Bellerín,ESP,DF,26.0,22.0,813,1064,76.4,13375,5458,422,494,85.4,299,379,78.9,72,127,56.7,2,2.4,-0.4,26,54,20,3,69
ESP-La Liga,2122,Betis,Joaquín,ESP,"FW,MF",40.0,5.2,210,269,78.1,3444,1046,116,130,89.2,65,81,80.2,23,45,51.1,1,1.5,-0.5,17,18,12,1,26
ESP-La Liga,2122,Betis,Juan Miranda,ESP,DF,21.0,8.7,394,515,76.5,7031,2824,173,192,90.1,177,217,81.6,37,90,41.1,2,1.5,0.5,8,25,9,4,35
ESP-La Liga,2122,Betis,Juanmi,ESP,FW,28.0,23.7,417,520,80.2,6592,1551,225,261,86.2,132,156,84.6,37,57,64.9,4,2.5,1.5,19,19,9,4,34
ESP-La Liga,2122,Betis,Kike Hermoso,ESP,DF,21.0,1.0,47,51,92.2,983,195,15,15,100.0,26,27,96.3,6,9,66.7,0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2122,Betis,Loren Morón,ESP,FW,27.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2122,Betis,Marc Bartra,ESP,DF,30.0,22.1,919,1108,82.9,21052,6768,238,261,91.2,489,526,93.0,184,303,60.7,0,0.1,-0.1,6,69,3,0,56
ESP-La Liga,2122,Betis,Martín Montoya,ESP,DF,30.0,5.8,256,313,81.8,4291,1390,132,151,87.4,101,122,82.8,18,32,56.3,1,1.1,-0.1,3,20,5,2,16
ESP-La Liga,2122,Betis,Nabil Fekir,FRA,MF,28.0,31.0,1216,1507,80.7,20704,6682,615,664,92.6,403,470,85.7,142,269,52.8,8,6.8,1.2,83,114,42,3,139
ESP-La Liga,2122,Betis,Opponent Total,,,27.4,38.0,13157,16906,77.8,261096,92155,5386,6173,87.3,5445,6461,84.3,2053,3586,57.3,29,28.8,0.2,294,965,263,82,1109
ESP-La Liga,2122,Betis,Paul Akouokou,CIV,MF,23.0,5.7,287,328,87.5,5344,1253,117,132,88.6,129,142,90.8,33,43,76.7,0,0.1,-0.1,3,28,2,0,28
ESP-La Liga,2122,Betis,Raúl,ESP,FW,20.0,0.0,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2122,Betis,Roberto González,ESP,"FW,MF",20.0,1.5,30,39,76.9,410,86,19,22,86.4,8,12,66.7,1,2,50.0,0,0.0,0.0,0,1,0,0,2
ESP-La Liga,2122,Betis,Rodrigo,ESP,FW,21.0,9.8,340,414,82.1,6007,1892,165,183,90.2,134,161,83.2,37,56,66.1,2,1.6,0.4,17,37,21,2,54
ESP-La Liga,2122,Betis,Rui Silva,POR,GK,27.0,21.8,515,724,71.1,15464,8945,80,82,97.6,235,240,97.9,199,400,49.8,0,0.0,0.0,1,5,0,0,0
ESP-La Liga,2122,Betis,Sergio Canales,ESP,"FW,MF",30.0,31.0,1551,1867,83.1,28685,6995,713,788,90.5,554,636,87.1,228,335,68.1,8,5.1,2.9,62,148,62,5,182
ESP-La Liga,2122,Betis,Squad Total,,,28.9,38.0,15791,19369,81.5,304811,100328,6603,7377,89.5,6502,7426,87.6,2314,3762,61.5,45,37.9,7.1,393,1116,313,50,1242
ESP-La Liga,2122,Betis,Víctor Camarasa,ESP,"MF,FW",27.0,1.2,47,55,85.5,889,191,16,20,80.0,25,26,96.2,6,7,85.7,0,0.0,0.0,0,3,1,0,2
ESP-La Liga,2122,Betis,Víctor Ruiz,ESP,DF,32.0,15.8,783,898,87.2,17117,6232,224,245,91.4,392,426,92.0,156,207,75.4,0,0.1,-0.1,5,40,3,0,41
ESP-La Liga,2122,Betis,William Carvalho,POR,MF,29.0,20.1,1164,1319,88.2,21488,5487,513,569,90.2,473,513,92.2,158,198,79.8,3,1.5,1.5,21,141,22,0,133
ESP-La Liga,2122,Betis,Willian José,BRA,FW,29.0,17.8,413,531,77.8,6657,1174,220,258,85.3,126,160,78.8,39,66,59.1,4,2.8,1.2,19,23,8,1,27
ESP-La Liga,2122,Betis,Youssouf Sabaly,SEN,DF,28.0,8.8,419,499,84.0,6508,2257,216,231,93.5,166,194,85.6,25,48,52.1,1,0.6,0.4,8,17,5,1,24
ESP-La Liga,2122,Betis,Álex Moreno,ESP,DF,28.0,26.7,1040,1404,74.1,17304,6747,530,597,88.8,414,551,75.1,77,187,41.2,3,2.4,0.6,22,58,31,13,89
ESP-La Liga,2122,Betis,Édgar González,ESP,DF,24.0,16.3,797,883,90.3,16445,5330,276,285,96.8,387,413,93.7,129,169,76.3,1,0.6,0.4,2,26,0,0,21
ESP-La Liga,2122,Celta Vigo,Augusto Solari,ARG,"MF,DF",29.0,7.9,296,430,68.8,4833,1343,156,186,83.9,105,151,69.5,26,68,38.2,0,0.4,-0.4,6,20,9,6,21
ESP-La Liga,2122,Celta Vigo,Brais Méndez,ESP,MF,24.0,33.6,1204,1519,79.3,19935,5257,638,738,86.4,390,473,82.5,123,194,63.4,5,3.8,1.2,35,128,40,9,130
ESP-La Liga,2122,Celta Vigo,Carlos Dominguez,ESP,DF,20.0,3.8,130,166,78.3,2800,781,41,52,78.8,61,64,95.3,26,47,55.3,0,0.0,0.0,0,6,1,0,8
ESP-La Liga,2122,Celta Vigo,Denis Suárez,ESP,MF,27.0,31.3,1630,2040,79.9,28578,7595,781,876,89.2,632,748,84.5,176,321,54.8,6,4.8,1.2,46,167,31,7,145
ESP-La Liga,2122,Celta Vigo,Fran Beltrán,ESP,MF,22.0,28.9,1728,1904,90.8,35773,6495,593,646,91.8,811,861,94.2,299,343,87.2,0,0.6,-0.6,12,126,7,2,89
ESP-La Liga,2122,Celta Vigo,Franco Cervi,ARG,MF,27.0,20.0,576,763,75.5,9134,2248,317,365,86.8,196,243,80.7,46,94,48.9,3,1.3,1.7,12,29,18,7,47
ESP-La Liga,2122,Celta Vigo,Gabriel Veiga,ESP,MF,19.0,1.2,55,68,80.9,894,270,29,31,93.5,20,23,87.0,4,9,44.4,0,0.0,0.0,1,3,3,1,7
ESP-La Liga,2122,Celta Vigo,Hugo Mallo,ESP,DF,30.0,20.3,953,1241,76.8,16393,6411,439,493,89.0,429,523,82.0,72,180,40.0,1,1.7,-0.7,18,52,28,11,91
ESP-La Liga,2122,Celta Vigo,Hugo Sotelo,ESP,MF,17.0,0.0,2,2,100.0,64,30,0,0,,0,0,,2,2,100.0,0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2122,Celta Vigo,Hugo Álvarez,ESP,FW,18.0,0.1,1,3,33.3,22,3,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2122,Celta Vigo,Iago Aspas,ESP,FW,33.0,34.3,976,1357,71.9,15428,2883,558,679,82.2,274,383,71.5,95,180,52.8,5,6.2,-1.2,60,42,42,10,76
ESP-La Liga,2122,Celta Vigo,Javi Galán,ESP,DF,26.0,36.6,1718,2191,78.4,30838,9750,793,889,89.2,719,872,82.5,177,340,52.1,3,2.3,0.7,23,62,39,22,125
ESP-La Liga,2122,Celta Vigo,Jeison Murillo,COL,DF,29.0,12.4,630,704,89.5,14505,3629,158,168,94.0,311,332,93.7,154,194,79.4,0,0.0,0.0,1,44,1,0,27
ESP-La Liga,2122,Celta Vigo,Joseph Aidoo,GHA,DF,25.0,29.3,1263,1523,82.9,29021,8209,297,337,88.1,650,726,89.5,301,432,69.7,0,0.1,-0.1,3,100,7,1,99
ESP-La Liga,2122,Celta Vigo,José Fontán,ESP,DF,21.0,3.1,172,204,84.3,3871,854,45,53,84.9,90,100,90.0,37,51,72.5,0,0.1,-0.1,2,3,2,2,5
ESP-La Liga,2122,Celta Vigo,Kevin Vázquez,ESP,DF,28.0,14.8,689,875,78.7,11008,4069,375,415,90.4,243,308,78.9,53,108,49.1,1,0.5,0.5,7,29,12,6,43
ESP-La Liga,2122,Celta Vigo,Matías Dituro,ARG,GK,34.0,38.0,926,1460,63.4,33952,23132,85,89,95.5,357,366,97.5,482,1001,48.2,0,0.1,-0.1,1,18,1,0,2
ESP-La Liga,2122,Celta Vigo,Miguel Baeza,ESP,DF,21.0,0.0,4,5,80.0,68,10,2,2,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2122,Celta Vigo,Nolito,ESP,MF,34.0,15.4,441,569,77.5,8067,2403,200,229,87.3,173,222,77.9,57,89,64.0,0,1.8,-1.8,13,41,25,3,62
ESP-La Liga,2122,Celta Vigo,Néstor Araujo,MEX,DF,29.0,29.1,1330,1520,87.5,29730,6600,331,364,90.9,710,762,93.2,281,372,75.5,0,0.2,-0.2,1,59,3,1,56
ESP-La Liga,2122,Celta Vigo,Okay Yokuşlu,TUR,"DF,MF",27.0,1.6,70,75,93.3,1140,265,36,38,94.7,23,25,92.0,8,9,88.9,0,0.0,0.0,0,1,0,0,3
ESP-La Liga,2122,Celta Vigo,Opponent Total,,,27.4,38.0,12600,16619,75.8,254095,94875,5067,5980,84.7,5100,6139,83.1,2123,3678,57.7,29,30.0,-1.0,289,928,251,69,1065
ESP-La Liga,2122,Celta Vigo,Orbelín Pineda,MEX,"MF,FW",25.0,1.1,58,68,85.3,990,317,28,32,87.5,21,23,91.3,8,10,80.0,0,0.1,-0.1,1,7,2,0,8
ESP-La Liga,2122,Celta Vigo,Renato Tapia,PER,MF,26.0,15.7,693,863,80.3,14760,3307,231,266,86.8,293,339,86.4,151,221,68.3,0,0.1,-0.1,4,51,9,0,52
ESP-La Liga,2122,Celta Vigo,Santi Mina,ESP,FW,25.0,26.3,455,673,67.6,6770,1161,264,373,70.8,116,173,67.1,43,67,64.2,3,2.0,1.0,16,34,11,0,37
ESP-La Liga,2122,Celta Vigo,Squad Total,,,28.4,38.0,16190,20502,79.0,321110,97852,6524,7473,87.3,6670,7799,85.5,2631,4353,60.4,29,28.3,0.7,274,1035,302,89,1160
ESP-La Liga,2122,Celta Vigo,Thiago Galhardo,BRA,"FW,MF",32.0,12.8,190,279,68.1,2536,830,127,151,84.1,43,79,54.4,10,20,50.0,2,2.3,-0.3,12,13,11,1,27
ESP-La Liga,2122,Cádiz,Alberto Perea,ESP,MF,30.0,8.6,266,359,74.1,4656,1745,136,152,89.5,103,134,76.9,26,60,43.3,1,0.6,0.4,11,29,12,6,49
ESP-La Liga,2122,Cádiz,Alfonso Espino,URU,DF,29.0,37.0,1124,1778,63.2,22133,10055,472,567,83.2,447,627,71.3,180,472,38.1,2,3.9,-1.9,40,90,35,22,100
ESP-La Liga,2122,Cádiz,Anthony Lozano,HON,"FW,MF",28.0,18.6,186,303,61.4,2727,606,116,166,69.9,45,75,60.0,16,32,50.0,2,1.0,1.0,10,11,6,3,19
ESP-La Liga,2122,Cádiz,Cala,ESP,DF,31.0,10.5,218,298,73.2,5338,1544,48,59,81.4,109,135,80.7,60,102,58.8,0,0.0,0.0,1,10,0,0,10
ESP-La Liga,2122,Cádiz,Carlos Akapo,EQG,DF,28.0,20.5,630,849,74.2,11828,4697,264,310,85.2,287,358,80.2,71,146,48.6,0,0.5,-0.5,9,26,16,9,37
ESP-La Liga,2122,Cádiz,Chapela,ESP,"MF,FW",22.0,4.4,56,90,62.2,1308,619,15,23,65.2,26,36,72.2,12,24,50.0,0,0.2,-0.2,2,10,1,0,14
ESP-La Liga,2122,Cádiz,Fali,ESP,"DF,MF",27.0,20.0,523,674,77.6,12301,3516,117,132,88.6,271,318,85.2,128,214,59.8,2,1.0,1.0,7,38,5,1,36
ESP-La Liga,2122,Cádiz,Fede San Emeterio,ESP,MF,24.0,9.2,288,342,84.2,5122,1209,143,161,88.8,104,118,88.1,38,51,74.5,0,0.4,-0.4,3,19,4,0,21
ESP-La Liga,2122,Cádiz,Florin Andone,ROU,FW,28.0,2.0,28,40,70.0,372,45,18,21,85.7,8,13,61.5,1,2,50.0,0,0.0,0.0,2,3,0,0,2
ESP-La Liga,2122,Cádiz,Isaac Carcelen,ESP,"DF,MF",28.0,17.2,557,740,75.3,10328,3849,234,270,86.7,250,302,82.8,64,132,48.5,1,0.6,0.4,11,42,13,7,48
ESP-La Liga,2122,Cádiz,Iván Alejo,ESP,"MF,FW",26.0,11.8,202,343,58.9,3420,1403,111,137,81.0,56,88,63.6,28,92,30.4,2,2.3,-0.3,21,14,21,19,22
ESP-La Liga,2122,Cádiz,Jens Jønsson,DEN,MF,28.0,14.5,267,337,79.2,4590,1058,139,160,86.9,100,124,80.6,24,44,54.5,1,0.9,0.1,7,15,5,2,16
ESP-La Liga,2122,Cádiz,Jeremías Ledesma,ARG,GK,28.0,38.0,605,1156,52.3,26578,19853,46,48,95.8,177,180,98.3,379,923,41.1,0,0.0,0.0,2,35,2,0,1
ESP-La Liga,2122,Cádiz,José Mari,ESP,MF,33.0,4.3,156,192,81.3,3371,736,49,64,76.6,72,79,91.1,33,44,75.0,0,0.0,0.0,1,15,2,0,16
ESP-La Liga,2122,Cádiz,Lucas Pérez,ESP,"FW,MF",32.0,11.8,276,378,73.0,5069,1374,135,155,87.1,89,117,76.1,46,93,49.5,2,2.4,-0.4,25,17,17,6,23
ESP-La Liga,2122,Cádiz,Luis Hernández,ESP,DF,32.0,15.2,622,781,79.6,14972,5493,140,158,88.6,330,360,91.7,150,254,59.1,0,0.1,-0.1,4,45,3,0,51
ESP-La Liga,2122,Cádiz,Marcos Mauro López Gutiérrez,ARG,DF,30.0,1.5,10,21,47.6,280,75,1,3,33.3,5,7,71.4,4,9,44.4,0,0.0,0.0,0,0,0,0,1
ESP-La Liga,2122,Cádiz,Martín,ESP,MF,22.0,1.3,37,49,75.5,851,297,13,15,86.7,12,16,75.0,10,15,66.7,0,0.0,0.0,1,9,0,0,6
ESP-La Liga,2122,Cádiz,Milutin Osmajić,MNE,"FW,MF",22.0,2.9,27,50,54.0,341,58,19,30,63.3,6,12,50.0,0,2,0.0,0,0.0,0.0,0,1,0,0,1
ESP-La Liga,2122,Cádiz,Opponent Total,,,27.6,38.0,16839,20612,81.7,329946,113270,6880,7707,89.3,7200,8250,87.3,2464,3933,62.6,31,32.4,-1.4,353,1453,349,86,1523
ESP-La Liga,2122,Cádiz,Oussama Idrissi,MAR,MF,25.0,10.0,291,388,75.0,5385,1373,139,165,84.2,106,131,80.9,44,74,59.5,1,2.0,-1.0,22,12,16,5,32
ESP-La Liga,2122,Cádiz,Pedro Benito,ESP,FW,21.0,0.3,4,6,66.7,60,12,3,4,75.0,1,2,50.0,0,0,,0,0.0,0.0,0,2,0,0,1
ESP-La Liga,2122,Cádiz,Raúl Parra,ESP,DF,21.0,1.0,22,31,71.0,418,243,7,8,87.5,12,14,85.7,3,7,42.9,0,0.0,0.0,0,1,0,0,2
ESP-La Liga,2122,Cádiz,Rubén Alcaraz,ESP,MF,30.0,12.3,551,654,84.3,11619,3313,211,231,91.3,212,238,89.1,116,163,71.2,0,1.1,-1.1,14,80,12,2,64
ESP-La Liga,2122,Cádiz,Rubén Sobrino,ESP,"FW,MF",29.0,20.7,373,504,74.0,5735,1459,214,260,82.3,121,155,78.1,27,52,51.9,1,1.9,-0.9,14,26,6,3,29
ESP-La Liga,2122,Cádiz,Salvi,ESP,"MF,FW",30.0,15.5,222,356,62.4,3485,1225,123,153,80.4,75,109,68.8,17,69,24.6,1,1.4,-0.4,9,11,15,5,26
ESP-La Liga,2122,Cádiz,Santiago Arzamendia,PAR,"MF,DF",23.0,5.2,109,170,64.1,1801,516,51,63,81.0,43,58,74.1,9,37,24.3,0,0.0,0.0,1,4,4,3,5
ESP-La Liga,2122,Cádiz,Squad Total,,,28.5,38.0,10322,14378,71.8,220452,81646,3937,4674,84.2,4177,5143,81.2,2024,3960,51.1,21,25.5,-4.5,273,795,236,107,855
ESP-La Liga,2122,Cádiz,Tomás Alarcón,CHI,MF,22.0,15.8,414,580,71.4,9341,2515,137,155,88.4,168,220,76.4,97,175,55.4,1,1.1,-0.1,14,46,8,3,39
ESP-La Liga,2122,Cádiz,Varazdat Haroyan,ARM,DF,28.0,16.0,338,414,81.6,7454,2124,98,114,86.0,161,183,88.0,75,109,68.8,0,0.2,-0.2,4,17,2,0,10
ESP-La Liga,2122,Cádiz,Víctor Chust,ESP,DF,21.0,20.3,699,806,86.7,15880,4440,185,202,91.6,347,371,93.5,156,215,72.6,0,0.0,0.0,0,34,1,0,32
ESP-La Liga,2122,Cádiz,Álex Fernández,ESP,MF,28.0,22.8,816,1023,79.8,16159,4612,348,387,89.9,313,364,86.0,143,235,60.9,2,1.6,0.4,18,91,15,5,95
ESP-La Liga,2122,Cádiz,Álvaro Bastida,ESP,MF,17.0,2.2,42,53,79.2,733,86,22,25,88.0,15,16,93.8,5,10,50.0,0,0.0,0.0,0,2,0,0,1
ESP-La Liga,2122,Cádiz,Álvaro Jiménez,ESP,"MF,FW",26.0,2.6,40,72,55.6,714,305,22,30,73.3,11,22,50.0,6,15,40.0,0,0.1,-0.1,2,4,4,2,8
ESP-La Liga,2122,Cádiz,Álvaro Negredo,ESP,FW,35.0,24.0,323,541,59.7,6083,1191,161,246,65.4,95,161,59.0,56,88,63.6,2,2.1,-0.1,18,36,11,4,38
ESP-La Liga,2122,Elche,Antonio Barragán,ESP,DF,34.0,11.3,426,537,79.3,8461,3920,137,149,91.9,228,265,86.0,54,106,50.9,0,0.1,-0.1,2,26,4,1,38
ESP-La Liga,2122,Elche,Darío Benedetto,ARG,FW,31.0,6.6,77,114,67.5,1537,371,38,55,69.1,24,36,66.7,14,19,73.7,1,0.9,0.1,5,11,4,0,14
ESP-La Liga,2122,Elche,Diego González,ESP,DF,26.0,19.9,591,704,83.9,13402,3775,137,154,89.0,343,362,94.8,108,177,61.0,0,0.1,-0.1,1,22,0,0,25
ESP-La Liga,2122,Elche,Enzo Roco,CHI,DF,28.0,28.4,950,1135,83.7,22032,7156,239,265,90.2,485,529,91.7,220,323,68.1,0,0.1,-0.1,2,41,2,0,42
ESP-La Liga,2122,Elche,Ezequiel Ponce,ARG,FW,24.0,7.4,122,166,73.5,1714,238,82,98,83.7,28,41,68.3,8,11,72.7,0,0.3,-0.3,6,5,4,1,8
ESP-La Liga,2122,Elche,Fidel,ESP,"MF,FW",31.0,25.1,813,1095,74.2,13674,5337,440,513,85.8,258,327,78.9,96,197,48.7,6,5.1,0.9,40,85,21,9,112
ESP-La Liga,2122,Elche,Gerard Gumbau,ESP,MF,26.0,21.0,852,1073,79.4,17861,4811,335,366,91.5,328,378,86.8,168,290,57.9,4,2.1,1.9,29,95,8,2,61
ESP-La Liga,2122,Elche,Gonzalo Verdú,ESP,DF,32.0,15.5,591,700,84.4,14959,3765,91,100,91.0,344,372,92.5,151,216,69.9,0,0.0,0.0,0,25,0,0,22
ESP-La Liga,2122,Elche,Guido Carrillo,ARG,FW,30.0,13.0,224,319,70.2,3062,474,130,172,75.6,65,91,71.4,11,27,40.7,0,0.2,-0.2,4,11,5,1,12
ESP-La Liga,2122,Elche,Helibelton Palacios,COL,DF,28.0,21.5,721,939,76.8,12642,5568,324,366,88.5,323,394,82.0,62,127,48.8,0,0.2,-0.2,7,48,7,4,59
ESP-La Liga,2122,Elche,Iván Marcone,ARG,MF,31.0,9.0,369,435,84.8,7191,1951,144,167,86.2,156,170,91.8,58,75,77.3,0,0.0,0.0,0,19,3,1,24
ESP-La Liga,2122,Elche,Javier Pastore,ARG,"MF,FW",32.0,5.8,224,285,78.6,3994,1199,106,126,84.1,85,99,85.9,27,45,60.0,0,0.9,-0.9,11,22,13,2,28
ESP-La Liga,2122,Elche,Johan Mojica,COL,DF,28.0,31.7,1419,1857,76.4,26244,11612,693,765,90.6,513,619,82.9,188,375,50.1,5,4.5,0.5,31,77,46,26,119
ESP-La Liga,2122,Elche,John Donald,ESP,DF,20.0,2.0,78,89,87.6,1419,550,26,28,92.9,43,47,91.5,6,11,54.5,0,0.0,0.0,1,10,0,0,6
ESP-La Liga,2122,Elche,Josan,ESP,"DF,MF",31.0,13.5,380,539,70.5,6616,2433,174,214,81.3,166,216,76.9,34,75,45.3,3,3.6,-0.6,21,12,22,12,35
ESP-La Liga,2122,Elche,Josema,ESP,DF,25.0,2.0,36,61,59.0,742,330,12,16,75.0,18,26,69.2,6,18,33.3,0,0.1,-0.1,1,2,0,0,1
ESP-La Liga,2122,Elche,Kike Pérez,ESP,"FW,MF",24.0,5.8,184,249,73.9,3285,899,85,104,81.7,72,97,74.2,22,34,64.7,0,1.0,-1.0,7,22,3,0,16
ESP-La Liga,2122,Elche,Kiko Casilla,ESP,GK,34.0,14.0,320,481,66.5,10242,6724,52,53,98.1,126,128,98.4,137,294,46.6,0,0.1,-0.1,2,2,0,0,0
ESP-La Liga,2122,Elche,Lucas Boyé,ARG,FW,25.0,19.0,326,445,73.3,5044,752,181,223,81.2,89,124,71.8,35,55,63.6,3,1.8,1.2,18,20,10,0,25
ESP-La Liga,2122,Elche,Lucas Olaza,URU,DF,27.0,3.3,162,210,77.1,2718,1106,74,88,84.1,75,87,86.2,13,28,46.4,0,0.3,-0.3,6,11,6,3,16
ESP-La Liga,2122,Elche,Lucas Pérez,ESP,FW,32.0,14.1,276,387,71.3,4608,1085,159,191,83.2,72,103,69.9,36,76,47.4,1,1.3,-0.3,11,18,9,1,23
ESP-La Liga,2122,Elche,Omar Mascarell,ESP,MF,28.0,27.7,1044,1205,86.6,21038,4695,385,414,93.0,462,505,91.5,175,241,72.6,0,0.2,-0.2,6,68,3,0,64
ESP-La Liga,2122,Elche,Opponent Total,,,27.4,38.0,14481,18195,79.6,289680,97267,5719,6469,88.4,6129,7109,86.2,2351,3926,59.9,41,41.0,0.0,362,1107,330,101,1293
ESP-La Liga,2122,Elche,Pablo Piatti,ARG,"MF,FW",32.0,3.5,77,99,77.8,1182,207,51,60,85.0,16,23,69.6,7,9,77.8,0,0.5,-0.5,5,4,2,0,5
ESP-La Liga,2122,Elche,Pedro Bigas,ESP,DF,30.0,17.2,812,937,86.7,17389,6413,242,261,92.7,425,459,92.6,139,204,68.1,0,0.3,-0.3,4,45,5,1,42
ESP-La Liga,2122,Elche,Pere Milla,ESP,"FW,MF",28.0,18.3,391,534,73.2,6322,1618,200,253,79.1,137,178,77.0,36,71,50.7,3,1.9,1.1,12,20,12,3,35
ESP-La Liga,2122,Elche,Raúl Guti,ESP,MF,24.0,18.1,661,788,83.9,12331,3077,285,317,89.9,279,317,88.0,83,122,68.0,0,0.2,-0.2,7,67,6,1,58
ESP-La Liga,2122,Elche,Squad Total,,,29.1,38.0,13104,16808,78.0,266195,95272,5147,5894,87.3,5489,6381,86.0,2210,3844,57.5,29,28.0,1.0,256,822,214,79,936
ESP-La Liga,2122,Elche,Tete Morente,ESP,"MF,FW",24.0,18.1,418,596,70.1,6829,2027,241,290,83.1,128,185,69.2,42,80,52.5,3,2.1,0.9,17,28,19,11,46
ESP-La Liga,2122,Elche,Édgar Badía,ESP,GK,29.0,24.0,560,829,67.6,19657,13179,84,86,97.7,201,203,99.0,274,538,50.9,0,0.0,0.0,0,6,0,0,0
ESP-La Liga,2122,Espanyol,Adri Embarba,ESP,"FW,MF",29.0,22.1,491,794,61.8,8450,2659,252,311,81.0,155,238,65.1,63,187,33.7,2,2.5,-0.5,36,23,23,12,36
ESP-La Liga,2122,Espanyol,Aleix Vidal,ESP,"DF,MF",31.0,21.1,878,1085,80.9,15763,5919,366,406,90.1,410,474,86.5,87,156,55.8,0,1.9,-1.9,25,51,27,11,76
ESP-La Liga,2122,Espanyol,Daniel Villahermosa,ESP,MF,20.0,0.3,6,8,75.0,100,27,5,5,100.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0
ESP-La Liga,2122,Espanyol,David López,ESP,"MF,DF",31.0,8.3,362,422,85.8,6494,2181,144,161,89.4,173,191,90.6,36,56,64.3,0,0.4,-0.4,4,24,1,0,18
ESP-La Liga,2122,Espanyol,Diego López,ESP,GK,39.0,35.3,837,1143,73.2,24438,13954,165,169,97.6,367,369,99.5,302,602,50.2,0,0.0,0.0,1,8,0,0,0
ESP-La Liga,2122,Espanyol,Dídac Vilà,ESP,"DF,MF",32.0,2.3,71,89,79.8,1173,379,39,41,95.1,29,35,82.9,3,10,30.0,0,0.1,-0.1,3,4,1,0,4
ESP-La Liga,2122,Espanyol,Fernando Calero,ESP,DF,25.0,12.1,529,627,84.4,10848,4144,186,197,94.4,249,275,90.5,85,141,60.3,0,0.1,-0.1,2,32,0,0,30
ESP-La Liga,2122,Espanyol,Fran Mérida,ESP,MF,31.0,3.0,120,177,67.8,2494,764,48,60,80.0,45,57,78.9,25,55,45.5,0,0.1,-0.1,4,25,2,0,15
ESP-La Liga,2122,Espanyol,Gori,ESP,MF,19.0,0.1,4,5,80.0,77,37,1,1,100.0,3,3,100.0,0,1,0.0,0,0.0,0.0,0,1,0,0,2
ESP-La Liga,2122,Espanyol,Javi Puado,ESP,"FW,MF",23.0,24.9,548,654,83.8,7759,1394,339,371,91.4,165,196,84.2,23,36,63.9,1,1.2,-0.2,21,25,19,2,41
ESP-La Liga,2122,Espanyol,Joan García,ESP,GK,20.0,1.2,25,33,75.8,604,366,8,8,100.0,9,9,100.0,8,16,50.0,0,0.0,0.0,0,2,0,0,1
