,,,,Nation,Pos,Age,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Mamadou Sylla,SEN,FW,27.0,4.4,39,69,56.5,727,154,20,33,60.6,15,24,62.5,4,9,44.4,0,0.1,-0.1,3,4,2,1,4
ESP-La Liga,2122,Alavés,Manu García,ESP,MF,23.0,12.0,443,582,76.1,9418,2942,179,215,83.3,156,182,85.7,97,161,60.2,1,1.1,-0.1,22,77,18,5,57
ESP-La Liga,2122,Alavés,Manu Vallejo,ESP,"MF,FW",24.0,4.1,83,113,73.5,1555,309,41,55,74.5,27,30,90.0,13,21,61.9,1,0.4,0.6,4,3,2,0,4
ESP-La Liga,2122,Alavés,Marc Tenas,ESP,"FW,MF",20.0,0.6,16,24,66.7,225,56,11,14,78.6,5,6,83.3,0,2,0.0,0,0.3,-0.3,1,0,0,0,1
ESP-La Liga,2122,Alavés,Martin Agirregabiria,ESP,DF,25.0,18.0,563,788,71.4,10437,5352,234,282,83.0,268,350,76.6,58,135,43.0,1,1.0,0.0,14,50,19,11,55
ESP-La Liga,2122,Alavés,Matt Miazga,USA,DF,26.0,9.3,236,301,78.4,5819,1965,56,69,81.2,115,128,89.8,64,103,62.1,0,0.1,-0.1,1,6,0,0,12
ESP-La Liga,2122,Alavés,Miguel,ESP,"FW,MF",21.0,9.2,113,162,69.8,1653,214,63,80,78.8,39,50,78.0,4,11,36.4,1,0.3,0.7,5,4,3,2,4
ESP-La Liga,2122,Alavés,Mircea Alexandru Tirlea,ROU,DF,21.0,0.2,10,14,71.4,186,127,4,4,100.0,4,6,66.7,2,3,66.7,0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2122,Alavés,Nahuel Tenaglia,ARG,DF,25.0,11.9,311,475,65.5,6052,3139,123,154,79.9,144,191,75.4,40,108,37.0,0,0.3,-0.3,4,33,6,2,38
ESP-La Liga,2122,Alavés,Opponent Total,,,27.6,38.0,15557,19866,78.3,307656,106252,6438,7349,87.6,6333,7486,84.6,2457,4240,57.9,48,41.4,6.6,371,1112,348,82,1353
ESP-La Liga,2122,Alavés,Pere Pons,ESP,MF,28.0,15.2,281,394,71.3,4684,1041,152,191,79.6,97,137,70.8,25,45,55.6,0,0.6,-0.6,12,22,7,1,21
ESP-La Liga,2122,Alavés,Rubén Duarte,ESP,DF,25.0,29.1,914,1346,67.9,17031,8941,393,456,86.2,406,534,76.0,103,306,33.7,4,2.1,1.9,21,76,27,15,79
ESP-La Liga,2122,Alavés,Saúl García,ESP,FW,26.0,0.0,1,3,33.3,24,14,0,0,,1,2,50.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2122,Alavés,Squad Total,,,27.9,38.0,9840,14117,69.7,216678,89729,3706,4627,80.1,4004,5111,78.3,1981,3828,51.8,20,22.7,-2.7,247,804,202,80,839
ESP-La Liga,2122,Alavés,Tachi,ESP,DF,23.0,2.7,55,85,64.7,1606,845,10,16,62.5,28,36,77.8,17,33,51.5,0,0.1,-0.1,1,10,1,1,5
ESP-La Liga,2122,Alavés,Tomás Mendes,ESP,MF,16.0,0.1,4,5,80.0,108,0,1,2,50.0,1,1,100.0,2,2,100.0,0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2122,Alavés,Tomás Pina Isla,ESP,MF,33.0,16.0,469,587,79.9,7903,2132,231,271,85.2,198,237,83.5,31,54,57.4,0,0.3,-0.3,2,42,2,1,39
ESP-La Liga,2122,Alavés,Toni Moya,ESP,MF,23.0,15.4,419,608,68.9,8822,2553,168,202,83.2,156,188,83.0,87,196,44.4,1,1.7,-0.7,23,36,8,2,41
ESP-La Liga,2122,Alavés,Unai Ropero,ESP,MF,19.0,0.1,2,2,100.0,19,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2122,Alavés,Víctor Laguardia,ESP,DF,31.0,33.8,917,1216,75.4,24227,9453,181,226,80.1,452,530,85.3,279,443,63.0,2,0.2,1.8,2,76,5,0,75
ESP-La Liga,2122,Alavés,Ximo Navarro,ESP,DF,31.0,15.0,422,596,70.8,8301,3274,148,177,83.6,209,261,80.1,55,136,40.4,0,0.2,-0.2,2,25,3,1,26
ESP-La Liga,2122,Alavés,Édgar Méndez,ESP,"FW,MF",31.0,17.9,264,432,61.1,4839,1439,138,191,72.3,87,132,65.9,36,74,48.6,1,1.8,-0.8,19,11,20,15,29
ESP-La Liga,2122,Athletic Club,Alex Petxa,ESP,"DF,MF",24.0,4.6,203,271,74.9,3741,1396,86,99,86.9,86,105,81.9,26,58,44.8,0,0.2,-0.2,1,20,4,1,19
ESP-La Liga,2122,Athletic Club,Ander Capa,ESP,DF,29.0,0.0,1,2,50.0,20,20,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,1
ESP-La Liga,2122,Athletic Club,Asier Villalibre,ESP,FW,23.0,6.1,77,125,61.6,1031,132,48,66,72.7,25,39,64.1,1,9,11.1,0,0.1,-0.1,2,6,1,0,3
ESP-La Liga,2122,Athletic Club,Dani García,ESP,MF,31.0,24.2,803,1041,77.1,16058,4231,284,341,83.3,375,456,82.2,128,209,61.2,0,0.5,-0.5,8,87,9,0,87
ESP-La Liga,2122,Athletic Club,Daniel Vivian,ESP,DF,22.0,22.1,799,944,84.6,18611,6360,195,217,89.9,423,464,91.2,175,247,70.9,1,0.2,0.8,1,29,0,0,43
ESP-La Liga,2122,Athletic Club,Iker Muniain,ESP,MF,28.0,30.9,1246,1590,78.4,21703,8092,619,689,89.8,435,524,83.0,160,304,52.6,10,9.5,0.5,108,112,72,12,191
ESP-La Liga,2122,Athletic Club,Iñaki Williams,ESP,FW,27.0,30.9,446,685,65.1,6529,1309,264,363,72.7,123,189,65.1,32,62,51.6,5,5.4,-0.4,32,20,22,5,48
ESP-La Liga,2122,Athletic Club,Iñigo Lekue,ESP,DF,28.0,21.4,887,1207,73.5,16766,7774,368,415,88.7,395,503,78.5,109,248,44.0,2,2.1,-0.1,15,78,17,11,75
ESP-La Liga,2122,Athletic Club,Iñigo Martínez,ESP,DF,30.0,26.0,968,1203,80.5,22935,8309,266,300,88.7,466,525,88.8,231,360,64.2,0,0.5,-0.5,3,62,7,4,66
ESP-La Liga,2122,Athletic Club,Jon Morcillo,ESP,MF,22.0,0.6,20,34,58.8,273,75,13,16,81.3,7,10,70.0,0,6,0.0,0,0.0,0.0,0,1,0,0,2
ESP-La Liga,2122,Athletic Club,Julen Agirrezabala,ESP,GK,20.0,4.0,61,82,74.4,1695,1037,14,14,100.0,30,30,100.0,16,37,43.2,0,0.0,0.0,0,1,0,0,0
ESP-La Liga,2122,Athletic Club,Mikel Balenziaga,ESP,DF,33.0,22.5,766,1004,76.3,12992,5167,372,416,89.4,317,409,77.5,59,136,43.4,0,0.5,-0.5,8,41,12,4,72
ESP-La Liga,2122,Athletic Club,Mikel Vesga,ESP,MF,28.0,15.1,561,715,78.5,10736,3495,229,275,83.3,233,274,85.0,85,132,64.4,0,0.9,-0.9,12,67,13,4,95
ESP-La Liga,2122,Athletic Club,Nico Williams,ESP,MF,19.0,14.9,331,465,71.2,4777,1189,201,236,85.2,106,154,68.8,15,46,32.6,0,1.5,-1.5,16,16,16,5,38
ESP-La Liga,2122,Athletic Club,Nicolás Serrano,ESP,MF,18.0,3.5,89,128,69.5,1371,409,48,55,87.3,32,39,82.1,6,24,25.0,0,0.1,-0.1,3,10,3,2,8
ESP-La Liga,2122,Athletic Club,Oier Zarraga,ESP,MF,22.0,13.0,391,503,77.7,7082,2638,165,202,81.7,166,203,81.8,47,73,64.4,0,0.2,-0.2,5,61,9,0,60
ESP-La Liga,2122,Athletic Club,Oihan Sancet,ESP,FW,21.0,15.8,356,461,77.2,5487,1214,194,230,84.3,115,156,73.7,25,39,64.1,4,2.8,1.2,24,33,23,2,45
ESP-La Liga,2122,Athletic Club,Opponent Total,,,27.6,38.0,14845,18885,78.6,308243,100871,5728,6531,87.7,6163,7213,85.4,2671,4443,60.1,26,26.2,-0.2,320,969,261,95,1086
ESP-La Liga,2122,Athletic Club,Peru Nolaskoain,ESP,DF,22.0,0.0,2,2,100.0,24,5,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2122,Athletic Club,Raúl García,ESP,FW,35.0,20.0,373,594,62.8,6432,2190,181,252,71.8,138,218,63.3,37,84,44.0,2,2.7,-0.7,16,50,20,3,64
ESP-La Liga,2122,Athletic Club,Squad Total,,,26.9,38.0,13152,17286,76.1,257574,96881,5319,6227,85.4,5606,6784,82.6,1958,3569,54.9,34,35.8,-1.8,340,1049,313,89,1346
ESP-La Liga,2122,Athletic Club,Unai Núñez,ESP,DF,24.0,6.9,301,349,86.2,6759,2515,75,88,85.2,163,171,95.3,61,84,72.6,0,0.1,-0.1,1,23,1,1,25
ESP-La Liga,2122,Athletic Club,Unai Simón,ESP,GK,24.0,34.0,679,933,72.8,20649,12946,116,118,98.3,314,318,98.7,247,494,50.0,0,0.0,0.0,1,16,1,0,0
ESP-La Liga,2122,Athletic Club,Unai Vencedor Paris,ESP,MF,20.0,26.5,1020,1311,77.8,20799,6230,349,413,84.5,489,581,84.2,167,275,60.7,0,0.8,-0.8,15,119,24,5,142
ESP-La Liga,2122,Athletic Club,Yeray Álvarez,ESP,DF,26.0,20.7,825,996,82.8,18382,6658,230,250,92.0,432,478,90.4,159,250,63.6,0,0.1,-0.1,2,56,4,0,61
ESP-La Liga,2122,Athletic Club,Yuri Berchiche,ESP,DF,31.0,11.3,509,641,79.4,8813,4221,238,273,87.2,218,265,82.3,40,76,52.6,2,0.6,1.4,6,47,12,7,63
ESP-La Liga,2122,Athletic Club,Álex Berenguer,ESP,"MF,FW",26.0,24.1,559,867,64.5,9012,3135,302,379,79.7,181,256,70.7,56,169,33.1,6,5.6,0.4,44,33,26,13,66
ESP-La Liga,2122,Athletic Club,Óscar de Marcos,ESP,DF,32.0,18.7,879,1133,77.6,14897,6134,461,518,89.0,335,415,80.7,76,147,51.7,2,1.6,0.4,17,60,17,10,72
ESP-La Liga,2122,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",30.0,18.8,560,710,78.9,8706,1834,311,359,86.6,176,219,80.4,47,87,54.0,4,3.4,0.6,26,34,12,1,44
ESP-La Liga,2122,Atlético Madrid,Carlos Martín,ESP,DF,19.0,0.1,1,2,50.0,14,0,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2122,Atlético Madrid,Daniel Wass,DEN,DF,32.0,0.5,22,27,81.5,337,135,14,15,93.3,8,10,80.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1
ESP-La Liga,2122,Atlético Madrid,Felipe,BRA,DF,32.0,16.7,659,793,83.1,13485,4345,214,235,91.1,326,364,89.6,103,164,62.8,1,0.4,0.6,5,30,1,0,32
ESP-La Liga,2122,Atlético Madrid,Geoffrey Kondogbia,CTA,"MF,DF",28.0,20.9,880,1008,87.3,17035,4149,379,416,91.1,341,383,89.0,139,180,77.2,2,1.0,1.0,9,70,11,0,71
ESP-La Liga,2122,Atlético Madrid,Giuliano Simeone,ARG,DF,18.0,0.0,2,3,66.7,19,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2122,Atlético Madrid,Héctor Herrera,MEX,MF,31.0,9.5,555,650,85.4,10196,3059,258,278,92.8,210,239,87.9,70,104,67.3,0,0.4,-0.4,9,56,8,3,49
ESP-La Liga,2122,Atlético Madrid,Jan Oblak,SVN,GK,28.0,38.0,638,1095,58.3,21547,13992,91,92,98.9,247,251,98.4,296,748,39.6,0,0.0,0.0,0,13,1,0,0
ESP-La Liga,2122,Atlético Madrid,Javier Serrano,ESP,MF,18.0,0.8,35,45,77.8,543,93,19,24,79.2,12,16,75.0,2,2,100.0,0,0.0,0.0,0,0,1,0,3
ESP-La Liga,2122,Atlético Madrid,José María Giménez,URU,DF,26.0,22.7,820,916,89.5,18105,5389,220,231,95.2,435,466,93.3,152,201,75.6,1,0.1,0.9,2,39,1,0,36
ESP-La Liga,2122,Atlético Madrid,João Félix,POR,"FW,MF",21.0,14.0,342,460,74.3,5562,1686,204,235,86.8,91,126,72.2,37,70,52.9,4,3.7,0.3,19,37,26,3,42
ESP-La Liga,2122,Atlético Madrid,Kieran Trippier,ENG,DF,30.0,10.8,612,773,79.2,12116,5112,247,274,90.1,263,314,83.8,93,163,57.1,0,0.2,-0.2,7,54,23,4,87
ESP-La Liga,2122,Atlético Madrid,Koke,ESP,MF,29.0,27.9,1508,1761,85.6,26184,7784,708,754,93.9,613,690,88.8,150,249,60.2,2,1.9,0.1,26,165,27,5,136
