,,,,Nation,Pos,Age,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
league,season,team,player,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Antonio Sivera,ESP,GK,24.0,3.1,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,
ESP-La Liga,2122,Alavés,Facundo Pellistri,URU,"MF,FW",19.0,7.5,0,0,0,10,21,3,9,8,6,0,0,0,55,6,25,19.4
ESP-La Liga,2122,Alavés,Fernando Pacheco,ESP,GK,29.0,33.9,1,0,0,0,3,0,0,0,0,0,0,0,143,0,0,
ESP-La Liga,2122,Alavés,Florian Lejeune,FRA,DF,30.0,30.0,9,1,1,37,4,2,4,61,21,0,2,0,319,91,47,65.9
ESP-La Liga,2122,Alavés,Gonzalo Escalante,ARG,MF,28.0,14.4,8,1,1,30,27,3,3,33,16,1,0,0,154,40,28,58.8
ESP-La Liga,2122,Alavés,Iván Martín,ESP,MF,22.0,1.8,0,0,0,1,1,0,3,1,1,0,0,0,13,0,8,0.0
ESP-La Liga,2122,Alavés,Jason,ESP,"MF,FW",27.0,7.5,1,0,0,16,14,0,25,11,8,0,1,0,50,8,16,33.3
ESP-La Liga,2122,Alavés,Javi López,ESP,DF,19.0,5.1,2,0,0,8,12,0,10,10,7,0,0,0,19,3,6,33.3
ESP-La Liga,2122,Alavés,Jesús Owono,EQG,GK,20.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,
ESP-La Liga,2122,Alavés,John Guidetti,SWE,"FW,MF",29.0,3.1,2,0,0,7,3,3,3,3,1,1,0,0,13,6,8,42.9
ESP-La Liga,2122,Alavés,Joselu,ESP,FW,31.0,34.7,0,0,0,47,64,11,40,11,8,2,0,0,163,314,171,64.7
ESP-La Liga,2122,Alavés,Loum Ndiaye,SEN,MF,24.0,25.7,10,0,0,63,25,1,3,42,32,0,0,0,303,103,43,70.5
ESP-La Liga,2122,Alavés,Luis Rioja,ESP,"FW,MF",27.0,34.6,3,0,0,20,43,12,116,48,17,0,0,0,256,25,43,36.8
ESP-La Liga,2122,Alavés,Mamadou Sylla,SEN,FW,27.0,4.4,1,0,0,9,8,6,7,1,3,0,0,0,12,15,10,60.0
ESP-La Liga,2122,Alavés,Manu García,ESP,MF,23.0,12.0,3,0,0,30,42,0,19,14,13,0,0,0,116,6,8,42.9
