,,,,Nation,Pos,Age,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Betis,Juan Miranda,ESP,DF,21.0,8.7,22,13,14,4,4,7,20,35.0,13,131,40,30.5,59,44,28,19,5,0,14,13,35,28,0
ESP-La Liga,2122,Betis,Juanmi,ESP,FW,28.0,23.7,47,29,11,23,13,16,57,28.1,41,461,120,26.0,117,207,137,28,3,0,25,17,64,9,1
ESP-La Liga,2122,Betis,Kike Hermoso,ESP,DF,21.0,1.0,2,2,2,0,0,1,1,100.0,0,8,3,37.5,4,4,0,5,2,0,3,1,3,11,0
ESP-La Liga,2122,Betis,Loren Morón,ESP,FW,27.0,0.0,0,0,0,0,0,0,0,,0,2,1,50.0,0,1,1,0,0,0,0,0,0,0,0
ESP-La Liga,2122,Betis,Marc Bartra,ESP,DF,30.0,22.1,44,20,25,16,3,20,41,48.8,21,203,68,33.5,112,78,13,50,21,0,29,43,87,122,2
ESP-La Liga,2122,Betis,Martín Montoya,ESP,DF,30.0,5.8,18,9,11,6,1,9,20,45.0,11,93,27,29.0,45,33,15,12,0,0,12,12,30,18,0
ESP-La Liga,2122,Betis,Nabil Fekir,FRA,MF,28.0,31.0,48,34,6,29,13,5,27,18.5,22,602,156,25.9,85,330,187,17,1,0,16,16,64,4,0
ESP-La Liga,2122,Betis,Opponent Total,,,27.4,38.0,655,384,339,248,68,248,631,39.3,383,5832,1578,27.1,2041,2628,1163,569,149,0,420,560,1215,612,10
ESP-La Liga,2122,Betis,Paul Akouokou,CIV,MF,23.0,5.7,17,12,5,9,3,9,13,69.2,4,113,38,33.6,34,67,12,7,0,0,7,12,29,9,0
ESP-La Liga,2122,Betis,Raúl,ESP,FW,20.0,0.0,0,0,0,0,0,0,0,,0,2,1,50.0,0,2,0,0,0,0,0,0,0,0,0
ESP-La Liga,2122,Betis,Roberto González,ESP,"FW,MF",20.0,1.5,4,2,2,2,0,3,6,50.0,3,47,14,29.8,15,24,8,7,0,0,7,2,6,0,0
ESP-La Liga,2122,Betis,Rodrigo,ESP,FW,21.0,9.8,10,7,5,3,2,2,14,14.3,12,143,36,25.2,38,68,37,16,0,0,16,3,13,4,0
ESP-La Liga,2122,Betis,Rui Silva,POR,GK,27.0,21.8,0,0,0,0,0,0,2,0.0,2,2,0,0.0,2,0,0,0,0,0,0,0,0,1,2
ESP-La Liga,2122,Betis,Sergio Canales,ESP,"FW,MF",30.0,31.0,31,27,10,13,8,10,32,31.3,22,318,96,30.2,73,153,92,20,1,0,19,19,50,13,0
ESP-La Liga,2122,Betis,Squad Total,,,28.9,38.0,683,428,334,255,94,286,663,43.1,377,5328,1497,28.1,1723,2442,1163,572,120,1,452,510,1193,804,13
ESP-La Liga,2122,Betis,Víctor Camarasa,ESP,"MF,FW",27.0,1.2,1,1,1,0,0,0,1,0.0,1,19,4,21.1,6,9,4,3,1,0,2,3,4,2,0
ESP-La Liga,2122,Betis,Víctor Ruiz,ESP,DF,32.0,15.8,11,6,5,4,2,4,6,66.7,2,90,33,36.7,42,42,6,29,15,0,14,42,53,72,2
ESP-La Liga,2122,Betis,William Carvalho,POR,MF,29.0,20.1,48,34,19,27,2,18,38,47.4,20,291,88,30.2,95,173,23,23,7,0,16,22,70,30,0
ESP-La Liga,2122,Betis,Willian José,BRA,FW,29.0,17.8,16,13,1,10,5,2,12,16.7,10,226,64,28.3,19,102,105,8,2,0,6,8,24,14,0
ESP-La Liga,2122,Betis,Youssouf Sabaly,SEN,DF,28.0,8.8,12,7,12,0,0,6,12,50.0,6,81,28,34.6,44,19,18,23,4,0,19,19,31,15,1
ESP-La Liga,2122,Betis,Álex Moreno,ESP,DF,28.0,26.7,79,44,56,13,10,34,63,54.0,29,411,125,30.4,212,120,79,68,7,0,61,48,127,76,1
ESP-La Liga,2122,Betis,Édgar González,ESP,DF,24.0,16.3,23,16,15,4,4,13,27,48.1,14,142,52,36.6,72,60,10,30,12,1,18,40,63,96,0
ESP-La Liga,2122,Celta Vigo,Augusto Solari,ARG,"MF,DF",29.0,7.9,27,19,10,11,6,9,24,37.5,15,258,73,28.3,80,123,55,16,5,0,11,15,42,14,0
ESP-La Liga,2122,Celta Vigo,Brais Méndez,ESP,MF,24.0,33.6,69,38,26,31,12,24,79,30.4,55,769,220,28.6,194,372,203,67,10,0,57,53,122,35,0
ESP-La Liga,2122,Celta Vigo,Carlos Dominguez,ESP,DF,20.0,3.8,7,5,7,0,0,2,5,40.0,3,48,17,35.4,34,14,0,5,1,0,4,7,14,23,0
ESP-La Liga,2122,Celta Vigo,Denis Suárez,ESP,MF,27.0,31.3,65,38,18,39,8,23,76,30.3,53,652,182,27.9,153,370,129,40,6,0,34,21,86,14,0
ESP-La Liga,2122,Celta Vigo,Fran Beltrán,ESP,MF,22.0,28.9,76,49,33,36,7,33,74,44.6,41,576,211,36.6,197,304,75,48,4,0,44,54,130,31,1
ESP-La Liga,2122,Celta Vigo,Franco Cervi,ARG,MF,27.0,20.0,69,46,32,23,14,16,60,26.7,44,444,129,29.1,152,200,92,54,2,0,52,40,109,16,0
ESP-La Liga,2122,Celta Vigo,Gabriel Veiga,ESP,MF,19.0,1.2,4,3,1,1,2,2,9,22.2,7,49,17,34.7,13,22,14,5,0,0,5,3,7,2,0
ESP-La Liga,2122,Celta Vigo,Hugo Mallo,ESP,DF,30.0,20.3,51,28,29,19,3,12,28,42.9,16,287,103,35.9,121,124,42,40,10,0,30,34,85,76,0
ESP-La Liga,2122,Celta Vigo,Hugo Sotelo,ESP,MF,17.0,0.0,0,0,0,0,0,0,0,,0,3,2,66.7,0,3,0,0,0,0,0,0,0,0,0
ESP-La Liga,2122,Celta Vigo,Hugo Álvarez,ESP,FW,18.0,0.1,0,0,0,0,0,0,0,,0,3,1,33.3,2,1,0,1,0,0,1,0,0,1,0
ESP-La Liga,2122,Celta Vigo,Iago Aspas,ESP,FW,33.0,34.3,14,7,3,4,7,4,22,18.2,18,410,102,24.9,47,158,205,35,3,1,32,21,35,14,0
ESP-La Liga,2122,Celta Vigo,Javi Galán,ESP,DF,26.0,36.6,127,77,71,45,11,41,91,45.1,50,644,216,33.5,299,250,95,68,7,0,61,71,198,53,0
ESP-La Liga,2122,Celta Vigo,Jeison Murillo,COL,DF,29.0,12.4,23,7,15,8,0,9,13,69.2,4,113,44,38.9,68,40,5,21,10,0,11,15,38,42,0
ESP-La Liga,2122,Celta Vigo,Joseph Aidoo,GHA,DF,25.0,29.3,58,41,46,8,4,22,33,66.7,11,318,124,39.0,207,98,13,49,17,0,32,55,113,130,2
ESP-La Liga,2122,Celta Vigo,José Fontán,ESP,DF,21.0,3.1,9,4,5,4,0,1,3,33.3,2,44,13,29.5,19,25,0,2,1,0,1,9,18,12,0
ESP-La Liga,2122,Celta Vigo,Kevin Vázquez,ESP,DF,28.0,14.8,41,24,21,15,5,17,29,58.6,12,186,66,35.5,77,71,38,37,8,0,29,39,80,32,0
ESP-La Liga,2122,Celta Vigo,Matías Dituro,ARG,GK,34.0,38.0,0,0,0,0,0,0,0,,0,3,1,33.3,3,0,0,0,0,0,0,0,0,1,2
ESP-La Liga,2122,Celta Vigo,Miguel Baeza,ESP,DF,21.0,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
ESP-La Liga,2122,Celta Vigo,Nolito,ESP,MF,34.0,15.4,24,18,14,7,3,14,47,29.8,33,257,72,28.0,66,122,69,39,2,0,37,12,36,5,0
ESP-La Liga,2122,Celta Vigo,Néstor Araujo,MEX,DF,29.0,29.1,27,17,22,5,0,9,18,50.0,9,191,73,38.2,101,81,9,30,12,1,18,53,80,146,0
ESP-La Liga,2122,Celta Vigo,Okay Yokuşlu,TUR,"DF,MF",27.0,1.6,3,2,1,1,1,1,2,50.0,1,19,9,47.4,9,8,2,2,1,0,1,5,8,7,0
ESP-La Liga,2122,Celta Vigo,Opponent Total,,,27.4,38.0,601,359,253,274,74,207,507,40.8,300,5416,1573,29.0,1634,2552,1230,605,112,2,493,621,1222,883,12
ESP-La Liga,2122,Celta Vigo,Orbelín Pineda,MEX,"MF,FW",25.0,1.1,4,3,4,0,0,1,3,33.3,2,25,7,28.0,7,11,7,0,0,0,0,0,4,1,0
ESP-La Liga,2122,Celta Vigo,Renato Tapia,PER,MF,26.0,15.7,56,42,18,35,3,13,41,31.7,28,327,106,32.4,112,186,29,36,6,0,30,36,92,36,1
ESP-La Liga,2122,Celta Vigo,Santi Mina,ESP,FW,25.0,26.3,31,21,3,20,8,2,36,5.6,34,508,133,26.2,77,256,175,36,3,0,33,15,46,23,0
ESP-La Liga,2122,Celta Vigo,Squad Total,,,28.4,38.0,795,495,381,315,99,256,702,36.5,446,6362,1985,31.2,2067,2935,1360,657,113,2,544,569,1364,726,6
ESP-La Liga,2122,Celta Vigo,Thiago Galhardo,BRA,"FW,MF",32.0,12.8,10,6,2,3,5,1,9,11.1,8,228,64,28.1,29,96,103,26,5,0,21,11,21,12,0
ESP-La Liga,2122,Cádiz,Alberto Perea,ESP,MF,30.0,8.6,15,11,6,5,4,4,16,25.0,12,159,58,36.5,51,69,39,11,1,0,10,18,33,5,1
ESP-La Liga,2122,Cádiz,Alfonso Espino,URU,DF,29.0,37.0,113,78,61,39,13,43,116,37.1,73,725,223,30.8,364,264,97,84,12,0,72,91,204,86,2
ESP-La Liga,2122,Cádiz,Anthony Lozano,HON,"FW,MF",28.0,18.6,11,9,2,4,5,2,13,15.4,11,251,63,25.1,26,134,91,18,4,0,14,8,19,7,0
ESP-La Liga,2122,Cádiz,Cala,ESP,DF,31.0,10.5,15,8,12,3,0,8,14,57.1,6,87,26,29.9,62,21,4,17,8,0,9,23,38,57,1
ESP-La Liga,2122,Cádiz,Carlos Akapo,EQG,DF,28.0,20.5,53,34,34,14,5,12,31,38.7,19,291,104,35.7,164,95,32,35,8,0,27,65,118,53,0
ESP-La Liga,2122,Cádiz,Chapela,ESP,"MF,FW",22.0,4.4,7,3,2,1,4,0,5,0.0,5,85,19,22.4,31,34,20,7,1,0,6,6,13,5,0
ESP-La Liga,2122,Cádiz,Fali,ESP,"DF,MF",27.0,20.0,38,27,30,8,0,16,31,51.6,15,208,69,33.2,139,64,5,37,16,0,21,35,73,80,0
ESP-La Liga,2122,Cádiz,Fede San Emeterio,ESP,MF,24.0,9.2,19,12,9,10,0,7,16,43.8,9,219,69,31.5,81,117,21,4,0,0,4,8,27,12,0
ESP-La Liga,2122,Cádiz,Florin Andone,ROU,FW,28.0,2.0,0,0,0,0,0,0,0,,0,28,8,28.6,1,14,13,2,0,0,2,1,1,1,0
ESP-La Liga,2122,Cádiz,Isaac Carcelen,ESP,"DF,MF",28.0,17.2,50,23,35,12,3,28,59,47.5,31,295,83,28.1,137,125,33,44,6,0,38,41,91,46,0
ESP-La Liga,2122,Cádiz,Iván Alejo,ESP,"MF,FW",26.0,11.8,33,20,22,8,3,15,38,39.5,23,341,86,25.2,127,138,76,15,0,0,15,16,49,12,0
ESP-La Liga,2122,Cádiz,Jens Jønsson,DEN,MF,28.0,14.5,45,36,25,17,3,18,35,51.4,17,250,83,33.2,88,135,27,20,8,0,12,30,75,29,1
ESP-La Liga,2122,Cádiz,Jeremías Ledesma,ARG,GK,28.0,38.0,0,0,0,0,0,0,2,0.0,2,4,1,25.0,4,0,0,0,0,0,0,0,0,0,2
ESP-La Liga,2122,Cádiz,José Mari,ESP,MF,33.0,4.3,9,5,2,6,1,2,4,50.0,2,78,19,24.4,29,42,7,7,1,0,6,6,15,2,0
ESP-La Liga,2122,Cádiz,Lucas Pérez,ESP,"FW,MF",32.0,11.8,6,5,3,2,1,2,15,13.3,13,226,52,23.0,37,98,91,3,1,0,2,2,8,4,0
ESP-La Liga,2122,Cádiz,Luis Hernández,ESP,DF,32.0,15.2,8,6,7,1,0,5,7,71.4,2,72,28,38.9,45,26,1,11,4,0,7,22,30,34,0
ESP-La Liga,2122,Cádiz,Marcos Mauro López Gutiérrez,ARG,DF,30.0,1.5,1,1,0,1,0,0,2,0.0,2,12,4,33.3,7,5,0,2,1,0,1,4,5,13,0
ESP-La Liga,2122,Cádiz,Martín,ESP,MF,22.0,1.3,1,1,0,1,0,0,0,,0,22,6,27.3,11,10,1,1,0,0,1,3,4,3,0
ESP-La Liga,2122,Cádiz,Milutin Osmajić,MNE,"FW,MF",22.0,2.9,3,2,0,3,0,0,0,,0,47,10,21.3,5,27,15,0,0,0,0,2,5,4,0
ESP-La Liga,2122,Cádiz,Opponent Total,,,27.6,38.0,589,366,281,223,85,201,478,42.1,277,4659,1431,30.7,1422,2064,1173,523,102,2,421,490,1079,878,10
ESP-La Liga,2122,Cádiz,Oussama Idrissi,MAR,MF,25.0,10.0,15,12,5,7,3,5,14,35.7,9,153,49,32.0,22,80,51,11,0,0,11,13,28,2,0
ESP-La Liga,2122,Cádiz,Pedro Benito,ESP,FW,21.0,0.3,0,0,0,0,0,0,1,0.0,1,15,2,13.3,0,10,5,0,0,0,0,0,0,0,0
ESP-La Liga,2122,Cádiz,Raúl Parra,ESP,DF,21.0,1.0,4,4,4,0,0,3,5,60.0,2,17,7,41.2,13,3,1,1,0,0,1,2,6,4,0
ESP-La Liga,2122,Cádiz,Rubén Alcaraz,ESP,MF,30.0,12.3,43,30,17,25,1,14,34,41.2,20,301,103,34.2,110,159,32,15,2,0,13,15,58,15,0
ESP-La Liga,2122,Cádiz,Rubén Sobrino,ESP,"FW,MF",29.0,20.7,29,18,16,9,4,3,28,10.7,25,453,103,22.7,110,228,115,27,2,0,25,28,57,19,0
ESP-La Liga,2122,Cádiz,Salvi,ESP,"MF,FW",30.0,15.5,18,10,7,9,2,3,16,18.8,13,241,54,22.4,57,120,64,22,2,0,20,8,26,21,0
ESP-La Liga,2122,Cádiz,Santiago Arzamendia,PAR,"MF,DF",23.0,5.2,14,12,9,4,1,7,16,43.8,9,97,30,30.9,39,36,22,9,0,0,9,8,22,15,0
ESP-La Liga,2122,Cádiz,Squad Total,,,28.5,38.0,703,456,392,241,70,254,652,39.0,398,6124,1797,29.3,2330,2727,1067,555,123,0,432,596,1299,802,9
ESP-La Liga,2122,Cádiz,Tomás Alarcón,CHI,MF,22.0,15.8,30,15,14,11,5,10,22,45.5,12,260,85,32.7,128,104,28,32,6,0,26,27,57,45,0
ESP-La Liga,2122,Cádiz,Varazdat Haroyan,ARM,DF,28.0,16.0,34,21,22,12,0,15,30,50.0,15,191,75,39.3,107,81,3,28,14,0,14,31,65,79,1
ESP-La Liga,2122,Cádiz,Víctor Chust,ESP,DF,21.0,20.3,23,14,17,2,4,7,15,46.7,8,186,77,41.4,108,65,13,31,11,0,20,30,53,93,1
ESP-La Liga,2122,Cádiz,Álex Fernández,ESP,MF,28.0,22.8,49,32,25,17,7,18,48,37.5,30,512,125,24.4,174,284,54,42,8,0,34,38,87,33,0
ESP-La Liga,2122,Cádiz,Álvaro Bastida,ESP,MF,17.0,2.2,5,2,1,4,0,2,3,66.7,1,44,8,18.2,12,31,1,0,0,0,0,4,9,0,0
ESP-La Liga,2122,Cádiz,Álvaro Jiménez,ESP,"MF,FW",26.0,2.6,8,3,4,4,0,3,5,60.0,2,60,15,25.0,28,21,11,3,0,0,3,2,10,3,0
ESP-La Liga,2122,Cádiz,Álvaro Negredo,ESP,FW,35.0,24.0,4,2,1,2,1,2,11,18.2,9,194,53,27.3,13,87,94,16,7,0,9,9,13,20,0
ESP-La Liga,2122,Elche,Antonio Barragán,ESP,DF,34.0,11.3,27,10,18,8,1,13,17,76.5,4,93,24,25.8,48,38,7,22,2,0,20,22,49,29,0
ESP-La Liga,2122,Elche,Darío Benedetto,ARG,FW,31.0,6.6,4,0,2,1,1,1,4,25.0,3,77,16,20.8,7,49,21,4,0,0,4,2,6,2,0
ESP-La Liga,2122,Elche,Diego González,ESP,DF,26.0,19.9,34,15,22,9,3,12,19,63.2,7,188,52,27.7,102,74,12,30,14,1,16,37,71,99,0
ESP-La Liga,2122,Elche,Enzo Roco,CHI,DF,28.0,28.4,40,23,26,13,1,12,31,38.7,19,283,92,32.5,178,95,10,58,31,1,27,51,91,139,4
ESP-La Liga,2122,Elche,Ezequiel Ponce,ARG,FW,24.0,7.4,8,7,3,4,1,2,3,66.7,1,128,37,28.9,16,57,55,6,1,0,5,4,12,6,0
ESP-La Liga,2122,Elche,Fidel,ESP,"MF,FW",31.0,25.1,38,20,15,12,11,13,48,27.1,35,386,112,29.0,139,165,82,15,1,0,14,18,56,22,0
ESP-La Liga,2122,Elche,Gerard Gumbau,ESP,MF,26.0,21.0,43,22,20,21,2,16,41,39.0,25,444,88,19.8,159,234,51,30,5,0,25,27,70,26,0
ESP-La Liga,2122,Elche,Gonzalo Verdú,ESP,DF,32.0,15.5,23,17,19,3,1,9,15,60.0,6,127,36,28.3,84,37,6,29,16,0,13,23,46,71,1
ESP-La Liga,2122,Elche,Guido Carrillo,ARG,FW,30.0,13.0,10,7,3,2,5,1,9,11.1,8,230,57,24.8,23,124,83,11,2,0,9,5,15,25,0
ESP-La Liga,2122,Elche,Helibelton Palacios,COL,DF,28.0,21.5,65,34,54,10,1,26,45,57.8,19,300,89,29.7,199,81,20,41,9,1,32,38,103,59,0
ESP-La Liga,2122,Elche,Iván Marcone,ARG,MF,31.0,9.0,25,15,17,7,1,9,20,45.0,11,117,37,31.6,63,45,9,12,3,0,9,21,46,20,0
ESP-La Liga,2122,Elche,Javier Pastore,ARG,"MF,FW",32.0,5.8,5,3,1,2,2,3,7,42.9,4,102,22,21.6,34,37,31,5,1,0,4,5,10,1,0
ESP-La Liga,2122,Elche,Johan Mojica,COL,DF,28.0,31.7,45,29,31,10,4,21,29,72.4,8,350,103,29.4,182,114,54,45,3,0,42,65,110,58,0
ESP-La Liga,2122,Elche,John Donald,ESP,DF,20.0,2.0,8,6,4,3,1,2,5,40.0,3,34,14,41.2,18,15,1,6,3,0,3,3,11,3,0
ESP-La Liga,2122,Elche,Josan,ESP,"DF,MF",31.0,13.5,30,18,20,8,2,16,39,41.0,23,156,44,28.2,69,64,23,22,4,0,18,20,50,19,0
ESP-La Liga,2122,Elche,Josema,ESP,DF,25.0,2.0,3,2,1,1,1,0,1,0.0,1,21,7,33.3,16,4,1,1,1,0,0,3,6,11,0
ESP-La Liga,2122,Elche,Kike Pérez,ESP,"FW,MF",24.0,5.8,13,7,2,7,4,2,8,25.0,6,105,29,27.6,36,49,20,10,1,0,9,5,18,4,0
ESP-La Liga,2122,Elche,Kiko Casilla,ESP,GK,34.0,14.0,0,0,0,0,0,0,2,0.0,2,0,0,,0,0,0,2,0,0,2,0,0,2,1
ESP-La Liga,2122,Elche,Lucas Boyé,ARG,FW,25.0,19.0,28,17,4,18,6,7,17,41.2,10,327,84,25.7,27,184,116,22,2,0,20,10,38,19,0
ESP-La Liga,2122,Elche,Lucas Olaza,URU,DF,27.0,3.3,5,3,3,1,1,1,1,100.0,0,35,12,34.3,17,10,8,7,1,0,6,4,9,6,0
ESP-La Liga,2122,Elche,Lucas Pérez,ESP,FW,32.0,14.1,2,0,1,1,0,2,8,25.0,6,185,43,23.2,19,104,62,6,1,0,5,5,7,5,0
ESP-La Liga,2122,Elche,Omar Mascarell,ESP,MF,28.0,27.7,43,22,13,24,6,20,57,35.1,37,442,114,25.8,154,240,48,65,16,0,49,41,84,57,1
ESP-La Liga,2122,Elche,Opponent Total,,,27.4,38.0,656,414,277,279,100,250,566,44.2,316,5388,1681,31.2,1501,2576,1311,550,93,0,457,524,1180,646,8
ESP-La Liga,2122,Elche,Pablo Piatti,ARG,"MF,FW",32.0,3.5,7,2,3,3,1,1,7,14.3,6,58,8,13.8,16,29,13,6,0,0,6,4,11,1,0
ESP-La Liga,2122,Elche,Pedro Bigas,ESP,DF,30.0,17.2,27,21,21,4,2,8,20,40.0,12,146,49,33.6,93,44,9,23,14,0,9,32,59,78,1
ESP-La Liga,2122,Elche,Pere Milla,ESP,"FW,MF",28.0,18.3,29,18,17,10,2,11,45,24.4,34,396,91,23.0,97,196,103,26,2,0,24,21,50,21,0
ESP-La Liga,2122,Elche,Raúl Guti,ESP,MF,24.0,18.1,26,15,7,15,4,8,26,30.8,18,237,71,30.0,81,122,34,17,5,0,12,35,61,13,0
ESP-La Liga,2122,Elche,Squad Total,,,29.1,38.0,614,347,340,206,68,226,551,41.0,325,5286,1414,26.7,1967,2349,970,552,139,3,413,519,1133,811,8
ESP-La Liga,2122,Elche,Tete Morente,ESP,"MF,FW",24.0,18.1,26,14,13,9,4,10,26,38.5,16,317,83,26.2,88,138,91,31,1,0,30,17,43,14,0
ESP-La Liga,2122,Elche,Édgar Badía,ESP,GK,29.0,24.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,1,1,1,0
ESP-La Liga,2122,Espanyol,Adri Embarba,ESP,"FW,MF",29.0,22.1,42,25,21,12,9,14,47,29.8,33,349,87,24.9,101,154,94,42,3,0,39,29,71,27,0
ESP-La Liga,2122,Espanyol,Aleix Vidal,ESP,"DF,MF",31.0,21.1,34,27,22,7,5,17,41,41.5,24,226,67,29.6,114,71,41,39,7,0,32,51,85,29,1
ESP-La Liga,2122,Espanyol,Daniel Villahermosa,ESP,MF,20.0,0.3,0,0,0,0,0,0,0,,0,2,0,0.0,0,1,1,0,0,0,0,0,0,1,0
ESP-La Liga,2122,Espanyol,David López,ESP,"MF,DF",31.0,8.3,25,17,15,9,1,10,17,58.8,7,103,35,34.0,53,44,6,15,8,0,7,11,36,31,0
ESP-La Liga,2122,Espanyol,Diego López,ESP,GK,39.0,35.3,0,0,0,0,0,0,1,0.0,1,1,1,100.0,1,0,0,1,0,0,1,0,0,1,1
ESP-La Liga,2122,Espanyol,Dídac Vilà,ESP,"DF,MF",32.0,2.3,5,2,1,4,0,2,6,33.3,4,38,11,28.9,14,15,9,2,1,0,1,5,10,9,0
ESP-La Liga,2122,Espanyol,Fernando Calero,ESP,DF,25.0,12.1,25,14,17,8,0,9,16,56.3,7,150,54,36.0,99,48,3,9,2,0,7,28,53,60,0
ESP-La Liga,2122,Espanyol,Fran Mérida,ESP,MF,31.0,3.0,8,5,4,3,1,5,7,71.4,2,50,7,14.0,20,21,9,2,0,0,2,3,11,4,0
ESP-La Liga,2122,Espanyol,Gori,ESP,MF,19.0,0.1,0,0,0,0,0,0,0,,0,3,0,0.0,1,2,0,1,0,0,1,0,0,0,0
ESP-La Liga,2122,Espanyol,Javi Puado,ESP,"FW,MF",23.0,24.9,27,19,18,9,0,12,29,41.4,17,356,105,29.5,105,138,113,24,2,1,22,25,52,15,0
ESP-La Liga,2122,Espanyol,Joan García,ESP,GK,20.0,1.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1
ESP-La Liga,2122,Espanyol,Jofre,ESP,"MF,DF",20.0,0.2,1,1,0,0,1,1,1,100.0,0,3,2,66.7,0,0,3,0,0,0,0,0,1,0,0
ESP-La Liga,2122,Espanyol,Keidi Bare,ALB,MF,23.0,16.5,33,20,14,16,3,11,30,36.7,19,307,85,27.7,124,152,31,25,10,0,15,30,63,25,0
ESP-La Liga,2122,Espanyol,Landry Dimata,BEL,"FW,MF",23.0,6.0,3,2,1,1,1,0,2,0.0,2,90,25,27.8,7,45,38,2,0,0,2,3,6,7,0
ESP-La Liga,2122,Espanyol,Leandro Cabrera,URU,DF,30.0,37.0,43,27,32,10,1,21,41,51.2,20,279,86,30.8,184,75,20,46,23,1,23,65,108,237,3
ESP-La Liga,2122,Espanyol,Lluís Recasens,ESP,DF,19.0,0.5,2,1,2,0,0,0,1,0.0,1,6,2,33.3,5,1,0,0,0,0,0,1,3,3,0
ESP-La Liga,2122,Espanyol,Loren Morón,ESP,"FW,MF",27.0,6.3,10,7,2,5,3,0,8,0.0,8,114,31,27.2,16,58,40,13,1,0,12,1,11,10,0
ESP-La Liga,2122,Espanyol,Luca Koleosho,USA,FW,16.0,0.0,0,0,0,0,0,0,0,,0,3,1,33.3,2,0,1,0,0,0,0,0,0,1,0
ESP-La Liga,2122,Espanyol,Manu Morlanes,ESP,MF,22.0,12.7,30,20,10,16,4,8,29,27.6,21,243,63,25.9,111,116,16,22,5,0,17,22,52,25,0
ESP-La Liga,2122,Espanyol,Miguel Juan Llambrich,ESP,DF,25.0,0.8,3,2,2,1,0,1,1,100.0,0,9,3,33.3,3,4,2,3,0,0,3,2,5,1,0
ESP-La Liga,2122,Espanyol,Nico Ribaudo,ESP,"MF,FW",20.0,12.4,20,15,11,8,1,7,26,26.9,19,183,50,27.3,77,69,37,10,2,0,8,9,29,7,0
ESP-La Liga,2122,Espanyol,Oier Olazábal,ESP,GK,31.0,1.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
ESP-La Liga,2122,Espanyol,Opponent Total,,,27.5,38.0,662,415,292,273,97,242,588,41.2,346,5785,1673,28.9,1657,2750,1378,526,110,0,416,472,1134,619,12
ESP-La Liga,2122,Espanyol,Pedrosa,ESP,DF,23.0,30.2,59,35,35,19,5,20,42,47.6,22,350,94,26.9,178,108,64,52,11,0,41,54,113,87,0
ESP-La Liga,2122,Espanyol,Raúl de Tomás,ESP,FW,26.0,32.4,17,6,6,8,3,5,14,35.7,9,286,55,19.2,45,145,96,27,6,0,21,9,26,39,0
ESP-La Liga,2122,Espanyol,Rubén,ESP,DF,20.0,1.7,4,1,2,2,0,2,5,40.0,3,19,3,15.8,12,5,2,3,0,0,3,2,6,5,0
ESP-La Liga,2122,Espanyol,Sergi Darder,ESP,MF,27.0,34.7,43,26,18,16,9,12,49,24.5,37,530,127,24.0,151,290,89,34,2,0,32,44,87,32,2
ESP-La Liga,2122,Espanyol,Sergi Gómez,ESP,DF,29.0,30.2,32,15,27,4,1,15,26,57.7,11,194,71,36.6,127,61,6,50,25,0,25,48,80,161,3
ESP-La Liga,2122,Espanyol,Squad Total,,,27.6,38.0,604,380,323,219,62,209,542,38.6,333,5083,1400,27.5,2023,2140,920,541,127,2,414,524,1128,910,12
ESP-La Liga,2122,Espanyol,Tonny Vilhena,NED,"MF,FW",26.0,10.3,16,7,7,8,1,5,17,29.4,12,195,44,22.6,73,80,42,19,3,0,16,12,28,15,0
ESP-La Liga,2122,Espanyol,Victor Perea,ESP,DF,21.0,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
ESP-La Liga,2122,Espanyol,Wu Lei,CHN,"FW,MF",29.0,5.3,4,4,2,2,0,1,5,20.0,4,82,24,29.3,15,45,22,6,0,0,6,5,9,3,0
ESP-La Liga,2122,Espanyol,Yangel Herrera,VEN,MF,23.0,18.3,51,45,20,25,6,8,25,32.0,17,438,140,32.0,155,226,57,30,5,0,25,30,81,40,0
ESP-La Liga,2122,Espanyol,Álvaro Vadillo,ESP,"MF,DF",26.0,0.1,1,0,1,0,0,0,1,0.0,1,6,0,0.0,5,0,1,1,0,0,1,0,1,1,0
ESP-La Liga,2122,Espanyol,Óscar Gil,ESP,DF,23.0,18.8,55,30,30,21,4,22,45,48.9,23,348,93,26.7,185,113,50,53,10,0,43,32,87,25,1
