,,,,Nation,Pos,Age,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Pere Pons,ESP,MF,28.0,15.2,27,18,8,15,4,8,27,29.6,19,362,99,27.3,80,184,98,21,1,0,20,8,35,10,1
ESP-La Liga,2122,Alavés,Rubén Duarte,ESP,DF,25.0,29.1,79,40,44,29,6,34,75,45.3,41,391,110,28.1,192,147,52,79,6,0,73,68,147,99,0
ESP-La Liga,2122,Alavés,Saúl García,ESP,FW,26.0,0.0,1,0,1,0,0,0,0,,0,2,0,0.0,1,1,0,0,0,0,0,0,1,0,0
ESP-La Liga,2122,Alavés,Squad Total,,,27.9,38.0,612,351,304,236,72,236,615,38.4,379,5864,1526,26.0,1891,2704,1269,609,121,2,488,544,1156,960,9
ESP-La Liga,2122,Alavés,Tachi,ESP,DF,23.0,2.7,5,3,3,2,0,5,9,55.6,4,28,11,39.3,14,12,2,5,3,0,2,5,10,15,0
ESP-La Liga,2122,Alavés,Tomás Mendes,ESP,MF,16.0,0.1,0,0,0,0,0,0,0,,0,3,1,33.3,1,2,0,0,0,0,0,0,0,1,0
ESP-La Liga,2122,Alavés,Tomás Pina Isla,ESP,MF,33.0,16.0,35,25,13,18,4,7,25,28.0,18,301,84,27.9,106,164,31,21,3,0,18,25,60,26,0
ESP-La Liga,2122,Alavés,Toni Moya,ESP,MF,23.0,15.4,25,18,12,11,2,9,34,26.5,25,369,90,24.4,108,208,53,30,8,0,22,26,51,24,0
ESP-La Liga,2122,Alavés,Unai Ropero,ESP,MF,19.0,0.1,0,0,0,0,0,0,0,,0,6,1,16.7,1,4,1,0,0,0,0,0,0,0,0
ESP-La Liga,2122,Alavés,Víctor Laguardia,ESP,DF,31.0,33.8,37,17,27,10,0,18,33,54.5,15,206,58,28.2,131,74,1,58,24,1,34,44,81,164,2
ESP-La Liga,2122,Alavés,Ximo Navarro,ESP,DF,31.0,15.0,32,13,22,5,5,13,20,65.0,7,201,52,25.9,106,73,22,30,7,0,23,31,63,57,2
ESP-La Liga,2122,Alavés,Édgar Méndez,ESP,"FW,MF",31.0,17.9,30,16,10,13,7,10,28,35.7,18,376,90,23.9,77,178,121,20,0,0,20,16,46,18,0
ESP-La Liga,2122,Athletic Club,Alex Petxa,ESP,"DF,MF",24.0,4.6,12,10,4,7,1,4,8,50.0,4,77,30,39.0,32,37,8,9,2,0,7,10,22,7,0
ESP-La Liga,2122,Athletic Club,Ander Capa,ESP,DF,29.0,0.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,0,0
ESP-La Liga,2122,Athletic Club,Asier Villalibre,ESP,FW,23.0,6.1,4,3,2,1,1,2,4,50.0,2,100,27,27.0,5,38,57,7,1,0,6,0,4,6,0
ESP-La Liga,2122,Athletic Club,Dani García,ESP,MF,31.0,24.2,38,26,16,18,4,11,42,26.2,31,326,98,30.1,95,178,53,33,10,0,23,21,59,47,2
ESP-La Liga,2122,Athletic Club,Daniel Vivian,ESP,DF,22.0,22.1,34,24,22,9,3,17,31,54.8,14,167,65,38.9,88,73,6,33,14,0,19,38,72,121,1
ESP-La Liga,2122,Athletic Club,Iker Muniain,ESP,MF,28.0,30.9,35,21,11,19,5,17,39,43.6,22,341,85,24.9,71,169,101,27,1,0,26,23,58,7,0
ESP-La Liga,2122,Athletic Club,Iñaki Williams,ESP,FW,27.0,30.9,17,11,2,6,9,5,13,38.5,8,432,115,26.6,15,162,255,17,4,0,13,4,21,22,0
ESP-La Liga,2122,Athletic Club,Iñigo Lekue,ESP,DF,28.0,21.4,41,25,20,15,6,23,47,48.9,24,285,93,32.6,104,126,55,52,11,1,41,37,78,54,0
ESP-La Liga,2122,Athletic Club,Iñigo Martínez,ESP,DF,30.0,26.0,33,18,23,8,2,15,28,53.6,13,184,59,32.1,117,61,6,37,12,0,25,57,90,142,0
ESP-La Liga,2122,Athletic Club,Jon Morcillo,ESP,MF,22.0,0.6,0,0,0,0,0,0,3,0.0,3,23,7,30.4,8,14,1,1,0,0,1,0,0,0,0
ESP-La Liga,2122,Athletic Club,Julen Agirrezabala,ESP,GK,20.0,4.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0
ESP-La Liga,2122,Athletic Club,Mikel Balenziaga,ESP,DF,33.0,22.5,50,36,20,27,3,26,45,57.8,19,270,79,29.3,89,139,42,55,4,0,51,52,102,69,0
ESP-La Liga,2122,Athletic Club,Mikel Vesga,ESP,MF,28.0,15.1,24,13,5,17,2,8,22,36.4,14,281,81,28.8,69,169,43,29,6,0,23,28,52,41,0
ESP-La Liga,2122,Athletic Club,Nico Williams,ESP,MF,19.0,14.9,23,15,6,8,9,6,29,20.7,23,332,83,25.0,68,146,118,24,3,0,21,12,35,4,0
ESP-La Liga,2122,Athletic Club,Nicolás Serrano,ESP,MF,18.0,3.5,9,7,2,5,2,4,10,40.0,6,98,22,22.4,19,49,30,10,1,0,9,6,15,1,0
ESP-La Liga,2122,Athletic Club,Oier Zarraga,ESP,MF,22.0,13.0,16,9,5,9,2,4,19,21.1,15,219,45,20.5,52,112,55,21,11,0,10,18,34,8,0
ESP-La Liga,2122,Athletic Club,Oihan Sancet,ESP,FW,21.0,15.8,18,11,3,10,5,4,7,57.1,3,270,77,28.5,20,110,140,9,1,0,8,7,25,11,0
ESP-La Liga,2122,Athletic Club,Opponent Total,,,27.6,38.0,641,387,332,256,53,235,538,43.7,303,5148,1527,29.7,1836,2337,975,598,143,4,455,610,1251,836,12
ESP-La Liga,2122,Athletic Club,Peru Nolaskoain,ESP,DF,22.0,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0
ESP-La Liga,2122,Athletic Club,Raúl García,ESP,FW,35.0,20.0,24,18,7,12,5,8,30,26.7,22,454,116,25.6,42,214,198,33,5,0,28,17,41,21,0
ESP-La Liga,2122,Athletic Club,Squad Total,,,26.9,38.0,579,372,238,250,91,217,544,39.9,327,5459,1523,27.9,1387,2571,1501,596,139,2,457,496,1075,790,5
ESP-La Liga,2122,Athletic Club,Unai Núñez,ESP,DF,24.0,6.9,9,5,5,1,3,3,8,37.5,5,50,16,32.0,25,20,5,11,7,0,4,10,19,20,0
ESP-La Liga,2122,Athletic Club,Unai Simón,ESP,GK,24.0,34.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,0,2
ESP-La Liga,2122,Athletic Club,Unai Vencedor Paris,ESP,MF,20.0,26.5,30,19,11,12,7,8,37,21.6,29,421,104,24.7,111,233,77,45,16,0,29,25,55,32,0
ESP-La Liga,2122,Athletic Club,Yeray Álvarez,ESP,DF,26.0,20.7,34,19,18,16,0,7,14,50.0,7,137,60,43.8,64,66,7,28,18,1,10,54,88,103,0
ESP-La Liga,2122,Athletic Club,Yuri Berchiche,ESP,DF,31.0,11.3,29,18,15,10,4,8,16,50.0,8,155,49,31.6,72,63,20,29,7,0,22,28,57,22,0
ESP-La Liga,2122,Athletic Club,Álex Berenguer,ESP,"MF,FW",26.0,24.1,47,31,21,15,11,11,47,23.4,36,596,145,24.3,135,279,182,55,2,0,53,24,71,19,0
ESP-La Liga,2122,Athletic Club,Óscar de Marcos,ESP,DF,32.0,18.7,52,33,20,25,7,26,44,59.1,18,237,66,27.8,83,112,42,31,3,0,28,25,77,32,0
ESP-La Liga,2122,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",30.0,18.8,29,20,10,14,5,12,29,41.4,17,405,113,27.9,70,199,136,18,1,0,17,18,47,15,0
ESP-La Liga,2122,Atlético Madrid,Carlos Martín,ESP,DF,19.0,0.1,0,0,0,0,0,0,0,,0,2,0,0.0,0,1,1,0,0,0,0,0,0,1,0
ESP-La Liga,2122,Atlético Madrid,Daniel Wass,DEN,DF,32.0,0.5,1,0,1,0,0,1,1,100.0,0,8,5,62.5,2,2,4,0,0,0,0,1,2,3,0
ESP-La Liga,2122,Atlético Madrid,Felipe,BRA,DF,32.0,16.7,22,16,13,7,2,8,16,50.0,8,142,51,35.9,74,64,4,25,13,0,12,32,54,76,1
ESP-La Liga,2122,Atlético Madrid,Geoffrey Kondogbia,CTA,"MF,DF",28.0,20.9,75,47,24,44,7,19,44,43.2,25,428,152,35.5,142,230,56,27,6,0,21,55,130,31,0
ESP-La Liga,2122,Atlético Madrid,Giuliano Simeone,ARG,DF,18.0,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0
ESP-La Liga,2122,Atlético Madrid,Héctor Herrera,MEX,MF,31.0,9.5,28,16,13,14,1,9,24,37.5,15,201,58,28.9,73,103,25,20,1,0,19,16,44,25,0
ESP-La Liga,2122,Atlético Madrid,Jan Oblak,SVN,GK,28.0,38.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,1,3
ESP-La Liga,2122,Atlético Madrid,Javier Serrano,ESP,MF,18.0,0.8,2,1,1,1,0,0,3,0.0,3,28,8,28.6,8,20,0,0,0,0,0,0,2,1,0
ESP-La Liga,2122,Atlético Madrid,José María Giménez,URU,DF,26.0,22.7,20,16,16,4,0,9,21,42.9,12,141,51,36.2,87,51,3,30,22,1,8,23,43,107,1
ESP-La Liga,2122,Atlético Madrid,João Félix,POR,"FW,MF",21.0,14.0,6,5,4,1,1,0,6,0.0,6,133,38,28.6,11,63,59,4,1,0,3,8,14,7,0
ESP-La Liga,2122,Atlético Madrid,Kieran Trippier,ENG,DF,30.0,10.8,26,13,14,8,4,10,22,45.5,12,134,36,26.9,54,53,27,18,1,0,17,13,39,15,1
ESP-La Liga,2122,Atlético Madrid,Koke,ESP,MF,29.0,27.9,50,31,14,30,6,20,64,31.3,44,483,158,32.7,153,247,83,35,6,0,29,30,80,33,0
ESP-La Liga,2122,Atlético Madrid,Luis Suárez,URU,FW,34.0,20.4,8,4,1,4,3,3,10,30.0,7,176,45,25.6,15,82,79,7,2,0,5,3,11,14,0
ESP-La Liga,2122,Atlético Madrid,Marcos Llorente,ESP,"DF,MF",26.0,27.2,52,33,24,23,5,21,43,48.8,22,402,139,34.6,150,146,106,42,9,0,33,42,94,47,0
ESP-La Liga,2122,Atlético Madrid,Mario Hermoso,ESP,DF,26.0,20.7,28,15,20,6,2,18,43,41.9,25,176,68,38.6,104,52,20,29,3,0,26,36,64,53,1
ESP-La Liga,2122,Atlético Madrid,Matheus Cunha,BRA,FW,22.0,11.8,26,17,6,13,7,3,12,25.0,9,260,72,27.7,29,110,121,15,4,0,11,8,34,8,0
ESP-La Liga,2122,Atlético Madrid,Opponent Total,,,27.6,38.0,613,379,334,196,83,230,573,40.1,343,5411,1448,26.8,1808,2386,1217,542,111,2,431,613,1226,866,14
ESP-La Liga,2122,Atlético Madrid,Reinildo Mandava,MOZ,DF,27.0,14.4,38,22,27,10,1,16,28,57.1,12,176,59,33.5,99,68,9,30,8,0,22,32,70,40,0
