,,,,Nation,Pos,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Abdelkabir Abqar,MAR,DF,22.0,0,,,,,0,,0,0,,16,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Adrian Rodriguez,ESP,GK,20.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Alan Godoy,ESP,FW,18.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Alex Balboa,EQG,MF,20.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Antonio Sivera,ESP,GK,24.0,4,277.0,69.0,8.1,3.1,3,90.0,3,1,7.0,33,1.0,1.0,4.0,-3.0,-0.97,-0.09,1.8,4.5,-2.7,-0.87,-0.33
ESP-La Liga,2122,Alavés,Facundo Pellistri,URU,"MF,FW",19.0,21,672.0,32.0,19.6,7.5,6,62.0,0,15,20.0,14,0.76,4.0,10.0,-6.0,-0.8,0.11,6.1,10.6,-4.5,-0.6,-0.05
ESP-La Liga,2122,Alavés,Fernando Pacheco,ESP,GK,29.0,34,3053.0,90.0,89.3,33.9,34,90.0,33,0,,1,0.85,29.0,60.0,-31.0,-0.91,-0.18,33.6,53.1,-19.5,-0.58,-0.11
ESP-La Liga,2122,Alavés,Florian Lejeune,FRA,DF,30.0,30,2699.0,90.0,78.9,30.0,30,90.0,29,0,,2,0.83,28.0,54.0,-26.0,-0.87,0.13,31.0,45.4,-14.4,-0.48,0.4
ESP-La Liga,2122,Alavés,George Gagua,GEO,FW,19.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Gonzalo Escalante,ARG,MF,28.0,17,1300.0,76.0,38.0,14.4,15,81.0,6,2,40.0,0,0.88,14.0,25.0,-11.0,-0.76,0.21,15.3,22.4,-7.1,-0.49,0.11
ESP-La Liga,2122,Alavés,Iván Martín,ESP,MF,22.0,6,166.0,28.0,4.9,1.8,2,45.0,0,4,19.0,15,0.83,2.0,4.0,-2.0,-1.08,-0.2,1.5,2.7,-1.2,-0.64,-0.08
ESP-La Liga,2122,Alavés,Iván Sanz,ESP,,18.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Jason,ESP,"MF,FW",27.0,14,678.0,48.0,19.8,7.5,10,63.0,1,4,12.0,5,1.0,6.0,10.0,-4.0,-0.53,0.45,7.6,12.1,-4.6,-0.61,-0.05
ESP-La Liga,2122,Alavés,Javi López,ESP,DF,19.0,9,462.0,51.0,13.5,5.1,4,87.0,3,5,23.0,21,0.11,3.0,12.0,-9.0,-1.75,-0.99,3.5,8.4,-4.9,-0.96,-0.45
