,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Sw_Pass Types,Crs_Pass Types,TI_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes
0,Marcos Acuña,ar  ARG,DF,Sevilla,31-074,1991,8.1,481,371,109,23,2,9,66,67,19,5,12,0,334,1,6
1,Álvaro Aguado,es  ESP,MF,Valladolid,26-254,1996,10.3,533,498,35,18,2,20,22,3,14,1,9,0,445,0,7
2,Joseph Aidoo,gh  GHA,DF,Celta Vigo,27-103,1995,16.0,826,802,21,19,0,3,0,2,0,0,0,0,705,3,7
3,Sergio Akieme,es  ESP,DF,Almería,25-025,1997,16.0,685,537,141,18,1,13,44,123,0,0,0,0,534,7,10
4,Paul Akouokou,ci  CIV,MF,Betis,25-021,1997,2.6,101,98,2,2,1,2,0,0,0,0,0,0,94,1,1
5,David Alaba,at  AUT,DF,Real Madrid,30-200,1992,14.9,842,767,70,34,2,2,16,30,2,2,0,0,743,5,8
6,Tomás Alarcón,cl  CHI,MF,Cádiz,23-356,1999,2.5,95,88,7,5,1,3,6,0,2,1,1,0,78,0,0
7,Jordi Alba,es  ESP,DF,Barcelona,33-295,1989,8.4,826,721,104,26,4,5,39,78,0,0,0,0,705,1,14
8,Raúl Albiol,es  ESP,DF,Villarreal,37-128,1985,14.9,877,852,23,19,0,10,1,0,0,0,0,0,774,2,3
9,Rubén Alcaraz,es  ESP,MF,Cádiz,31-254,1991,7.5,310,290,20,14,1,6,9,0,2,0,1,1,245,0,5
10,Omar Alderete,py  PAR,DF,Getafe,26-015,1996,3.5,195,181,13,9,0,3,2,4,0,0,0,0,125,1,4
11,Iván Alejo,es  ESP,"MF,FW",Cádiz,27-334,1995,7.5,183,174,8,1,0,0,45,7,0,0,0,0,104,1,12
