,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Starts,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
30,Emmanuel Amankwaa Akurugu,gh  GHA,DF,Getafe,21-092,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
31,Amath,sn  SEN,"MF,FW",Mallorca,26-219,1996,14,494,35,24.9,5.5,3,70,1,11,26,2,1.43,4,3,+1,+0.18,+0.36,5.7,5.2,+0.5,+0.09,+0.48
32,Jordan Amavi,fr  FRA,DF,Getafe,28-348,1994,4,193,48,10.2,2.1,1,58,0,3,45,12,1.00,2,2,0,0.00,+0.53,0.6,1.4,-0.7,-0.34,+0.07
33,Fabrizio Angileri,ar  ARG,DF,Getafe,28-342,1994,8,510,64,27.0,5.7,7,70,2,1,19,6,0.75,5,13,-8,-1.41,-1.28,3.2,8.0,-4.9,-0.86,-0.62
34,Josep Antoni Gayá,es  ESP,DF,Mallorca,22-228,2000,0,,,,,0,,0,0,,10,,,,,,,,,,,
35,Anuar,ma  MAR,"MF,FW",Valladolid,28-036,1995,3,210,70,10.6,2.3,3,70,1,0,,3,0.33,2,5,-3,-1.29,-0.73,1.6,4.4,-2.9,-1.22,-0.61
36,Arvin Appiah,eng  ENG,MF,Almería,22-046,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
37,Mauro Arambarri,uy  URU,MF,Getafe,27-143,1995,8,676,85,35.8,7.5,8,85,4,0,,0,0.75,7,16,-9,-1.20,-1.12,6.1,10.2,-4.1,-0.54,-0.22
38,Egoitz Arana,es  ESP,GK,Real Sociedad,21-001,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
39,Ronald Araújo,uy  URU,DF,Barcelona,23-350,1999,11,949,86,47.9,10.5,11,86,9,0,,2,2.82,24,2,+22,+2.09,+0.69,24.5,7.5,+17.0,+1.61,+0.69
40,Matías Árbol,es  ESP,GK,Sevilla,20-161,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
41,Sergio Arribas,es  ESP,FW,Real Madrid,21-143,2001,1,10,10,0.5,0.1,0,,0,1,10,0,3.00,0,0,0,0.00,-1.32,0.6,0.0,+0.6,+5.15,+3.95
42,Roberto Arroyo,es  ESP,MF,Valladolid,19-179,2003,1,15,15,0.8,0.2,0,,0,1,15,2,0.00,0,1,-1,-6.00,-5.40,0.0,0.8,-0.8,-4.79,-4.14
43,Ricard Artero,es  ESP,FW,Girona,20-015,2003,1,8,8,0.4,0.1,0,,0,1,8,11,3.00,0,0,0,0.00,0.00,0.0,0.1,-0.1,-1.19,-1.33
44,Santiago Arzamendia,py  PAR,"DF,MF",Cádiz,24-291,1998,9,389,43,19.6,4.3,4,79,2,5,15,13,0.89,0,10,-10,-2.31,-1.86,4.0,8.5,-4.5,-1.03,-0.36
45,Sergio Asenjo,es  ESP,GK,Valladolid,33-237,1989,5,450,90,22.7,5.0,5,90,5,0,,9,0.80,3,7,-4,-0.80,-0.21,4.8,6.0,-1.2,-0.25,+0.56
46,Marco Asensio,es  ESP,"FW,MF",Real Madrid,27-030,1996,17,605,36,30.6,6.7,6,77,2,11,13,5,2.12,16,5,+11,+1.64,+0.46,19.4,5.6,+13.8,+2.05,+1.19
47,Iago Aspas,es  ESP,FW,Celta Vigo,35-203,1987,22,1842,84,93.0,20.5,20,90,20,2,21,0,1.09,22,34,-12,-0.59,-1.24,24.6,24.5,+0.1,+0.01,-0.06
48,Ander Astralaga,es  ESP,GK,Barcelona,18-354,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
49,Pierre-Emerick Aubameyang,ga  GAB,FW,Barcelona,33-247,1989,1,9,9,0.5,0.1,0,,0,1,9,2,1.00,0,0,0,0.00,-1.74,0.4,0.1,+0.3,+2.87,+1.63
50,Ludwig Augustinsson,se  SWE,DF,Mallorca,28-305,1994,1,71,71,3.6,0.8,1,71,0,0,,2,0.00,0,2,-2,-2.54,-2.54,0.2,2.0,-1.8,-2.31,-2.11
51,Ezequiel Ávila,ar  ARG,"FW,MF",Osasuna,29-014,1994,19,1251,66,63.2,13.9,17,70,1,2,31,1,1.47,15,11,+4,+0.29,+1.03,16.5,12.6,+3.9,+0.28,+0.63
52,Iddrisu Baba,gh  GHA,MF,Mallorca,27-029,1996,17,995,59,50.3,11.1,12,73,4,5,23,3,1.41,8,12,-4,-0.36,-0.54,9.9,10.7,-0.8,-0.07,+0.41
53,Srđan Babić,rs  SRB,DF,Almería,26-304,1996,19,1665,88,84.1,18.5,18,90,18,1,45,3,1.05,23,35,-12,-0.65,-0.36,22.5,28.7,-6.2,-0.34,+0.67
54,Loïc Bade,fr  FRA,DF,Sevilla,22-315,2000,6,448,75,22.6,5.0,5,85,4,1,23,0,2.00,8,5,+3,+0.60,+1.13,8.2,5.2,+3.1,+0.62,+1.38
55,Édgar Badía,es  ESP,GK,Elche,31-008,1992,22,1980,90,100.0,22.0,22,90,22,0,,0,0.41,15,45,-30,-1.36,,19.1,45.4,-26.3,-1.19,
56,Alex Baena,es  ESP,"MF,FW",Villarreal,21-215,2001,20,1145,57,57.8,12.7,11,80,6,9,30,0,1.50,15,13,+2,+0.16,+0.16,20.6,17.6,+3.1,+0.24,+0.44
57,Miguel Baeza,es  ESP,MF,Celta Vigo,22-330,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
58,Alejandro Balde,es  ESP,DF,Barcelona,19-125,2003,20,1390,70,70.2,15.4,17,80,10,3,9,2,2.75,31,5,+26,+1.68,-0.15,31.6,13.2,+18.4,+1.19,-0.20
59,Mikel Balenziaga,es  ESP,DF,Athletic Club,34-356,1988,1,45,45,2.3,0.5,0,,0,1,45,13,0.00,1,2,-1,-2.00,-2.42,0.5,0.6,-0.2,-0.31,-0.80
60,Iván Balliu,al  ALB,DF,Rayo Vallecano,31-050,1992,22,1935,88,97.7,21.5,22,88,20,0,,0,1.55,29,23,+6,+0.28,+2.28,25.0,26.7,-1.7,-0.08,-3.12
61,Léo Baptistão,br  BRA,"FW,MF",Almería,30-178,1992,17,994,58,50.2,11.0,14,67,0,3,20,0,1.29,18,17,+1,+0.09,+1.37,13.5,15.1,-1.6,-0.15,+0.59
62,Keidi Bare,al  ALB,MF,Espanyol,25-176,1997,11,330,30,16.7,3.7,3,57,0,8,20,2,1.00,3,7,-4,-1.09,-0.98,4.3,4.0,+0.3,+0.08,+0.22
63,Kike Barja,es  ESP,"FW,MF",Osasuna,25-325,1997,12,455,38,23.0,5.1,5,63,0,7,20,10,1.25,7,6,+1,+0.20,+0.37,4.7,5.3,-0.6,-0.12,-0.22
64,Ander Barrenetxea,es  ESP,"DF,FW",Real Sociedad,21-055,2001,9,359,40,18.1,4.0,4,71,0,5,15,3,2.22,6,1,+5,+1.25,+0.98,5.7,3.7,+1.9,+0.48,+0.03
65,Pablo Barrios,es  ESP,MF,Atlético Madrid,19-250,2003,7,346,49,17.5,3.8,4,63,0,3,32,3,1.86,5,3,+2,+0.52,-0.14,5.8,3.1,+2.7,+0.69,+0.34
66,Álvaro Bastida,es  ESP,MF,Cádiz,18-284,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
67,Rodrigo Battaglia,ar  ARG,MF,Mallorca,31-223,1991,14,677,48,34.2,7.5,8,73,2,6,15,6,1.50,5,7,-2,-0.27,-0.27,4.3,11.2,-6.9,-0.91,-0.97
68,Bebé,cv  CPV,FW,Rayo Vallecano,32-223,1990,4,60,15,3.0,0.7,0,,0,4,15,13,0.25,1,1,0,0.00,-0.23,1.0,0.1,+1.0,+1.45,+1.50
69,Héctor Bellerín,es  ESP,DF,Barcelona,27-338,1995,3,143,48,7.2,1.6,1,90,1,2,27,8,3.00,4,0,+4,+2.52,+0.85,5.4,0.6,+4.7,+2.98,+1.87
70,Vicente Bellmunt,es  ESP,GK,Getafe,23-023,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
71,Fran Beltrán,es  ESP,MF,Celta Vigo,24-017,1999,22,1770,80,89.4,19.7,20,86,13,2,28,0,1.09,21,31,-10,-0.51,-0.08,23.8,22.3,+1.5,+0.07,+0.61
72,Iker Benito,es  ESP,FW,Osasuna,20-194,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
73,Karim Benzema,fr  FRA,FW,Real Madrid,35-063,1987,13,1123,86,56.7,12.5,13,86,10,0,,0,2.46,27,8,+19,+1.52,+0.47,27.2,12.9,+14.3,+1.15,-0.18
74,Yuri Berchiche,es  ESP,DF,Athletic Club,33-010,1990,13,1036,80,52.3,11.5,12,83,10,1,35,1,1.00,7,13,-6,-0.52,-1.86,10.7,10.3,+0.3,+0.03,-0.91
75,Álex Berenguer,es  ESP,FW,Athletic Club,27-231,1995,21,1373,65,69.3,15.3,16,78,6,5,25,1,1.38,22,18,+4,+0.26,-0.33,19.0,13.2,+5.8,+0.38,-0.28
76,Emilio Bernard,es  ESP,GK,Valencia,23-151,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
