,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl%_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Abner,br  BRA,DF,Betis,22-260,2000,2.0,4,3,4,0,0,3,3,100.0,0,3,1,2,3,7,8,0
1,Marcos Acuña,ar  ARG,DF,Sevilla,31-106,1991,10.8,36,19,21,11,4,20,28,71.4,8,11,5,6,15,51,13,0
2,Álvaro Aguado,es  ESP,MF,Valladolid,26-286,1996,12.6,12,6,6,4,2,9,14,64.3,5,11,3,8,8,20,7,0
3,Joseph Aidoo,gh  GHA,DF,Celta Vigo,27-135,1995,20.0,34,21,21,12,1,10,15,66.7,5,18,9,9,16,50,84,0
4,Sergio Akieme,es  ESP,DF,Almería,25-057,1997,20.0,26,15,18,6,2,12,16,75.0,4,21,5,16,13,39,31,0
5,Paul Akouokou,ci  CIV,MF,Betis,25-053,1997,2.6,9,5,7,2,0,7,9,77.8,2,0,0,0,5,14,2,1
6,David Alaba,at  AUT,DF,Real Madrid,30-232,1992,15.2,10,8,4,3,3,6,11,54.5,5,12,8,4,11,21,25,1
7,Tomás Alarcón,cl  CHI,MF,Cádiz,24-023,1999,2.5,3,2,0,2,1,1,2,50.0,1,1,0,1,2,5,2,0
8,Jordi Alba,es  ESP,DF,Barcelona,33-327,1989,10.3,17,13,9,8,0,11,21,52.4,10,8,3,5,5,22,14,0
9,Raúl Albiol,es  ESP,DF,Villarreal,37-160,1985,16.9,17,11,10,6,1,10,12,83.3,2,14,11,3,11,28,77,0
10,Rubén Alcaraz,es  ESP,MF,Cádiz,31-286,1991,10.2,27,18,17,10,0,12,26,46.2,14,10,2,8,9,36,17,0
11,Omar Alderete,py  PAR,DF,Getafe,26-047,1996,7.0,9,2,6,3,0,6,11,54.5,5,6,3,3,6,15,30,0
12,Iván Alejo,es  ESP,"MF,FW",Cádiz,28-001,1995,8.0,24,16,13,7,4,14,27,51.9,13,12,1,11,2,26,7,1
13,Carles Aleñá,es  ESP,MF,Getafe,25-037,1998,16.2,15,10,6,4,5,4,25,16.0,21,12,1,11,4,19,14,0
14,Alejandro Alfaro,es  ESP,MF,Elche,20-241,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
15,Ángel Algobia,es  ESP,MF,Getafe,23-233,1999,8.3,16,7,11,5,0,12,18,66.7,6,11,3,8,3,19,6,0
