,Player,Nation,Pos,Squad,Age,Born,90s,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG/SoT_Expected,PSxG+/-_Expected,/90_Expected,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,#OPA/90_Sweeper,AvgDist_Sweeper
0,Sergio Asenjo,es  ESP,GK,Valladolid,33-228,1989,5.0,7,0,0,0,0,5.7,0.47,-1.3,-0.26,29,82,35.4,132,16,35.6,34.9,49,71.4,52.6,77,2,2.6,13,2.60,18.9
1,Édgar Badía,es  ESP,GK,Elche,30-364,1992,20.0,40,3,0,4,1,44.5,0.35,+5.5,+0.27,116,248,46.8,411,86,37.7,35.6,153,60.8,44.5,305,15,4.9,5,0.25,10.5
2,Yassine Bounou,ma  MAR,GK,Sevilla,31-312,1991,17.5,26,2,0,1,1,28.7,0.32,+3.7,+0.21,74,207,35.7,547,68,28.0,31.6,113,47.8,40.7,224,17,7.6,30,1.71,17.7
3,Claudio Bravo,cl  CHI,GK,Betis,39-304,1983,3.0,2,0,0,0,0,2.4,0.24,+0.4,+0.14,18,59,30.5,72,10,52.8,38.8,26,80.8,55.9,44,0,0.0,2,0.67,14.0
4,Juan Carlos,es  ESP,GK,Girona,35-022,1988,10.0,18,2,2,1,0,16.7,0.35,-1.3,-0.13,23,64,35.9,278,51,17.6,28.7,62,24.2,30.3,120,6,5.0,21,2.10,16.9
5,Thibaut Courtois,be  BEL,GK,Real Madrid,30-276,1992,15.0,14,4,0,1,0,12.5,0.17,-1.5,-0.10,45,118,38.1,460,86,21.1,28.8,69,30.4,33.6,168,17,10.1,18,1.20,14.8
6,Stole Dimitrievski,mk  MKD,GK,Rayo Vallecano,29-048,1993,19.0,19,3,0,3,2,23.1,0.29,+6.1,+0.32,78,273,28.6,424,99,43.9,38.2,156,55.8,45.5,261,11,4.2,27,1.42,16.5
7,Marko Dmitrović,rs  SRB,GK,Sevilla,31-018,1992,2.5,3,0,0,0,0,2.6,0.20,-0.4,-0.17,15,40,37.5,81,13,37.0,37.4,18,55.6,51.0,35,6,17.1,3,1.20,11.1
8,Aitor Fernández,es  ESP,GK,Osasuna,31-284,1991,10.0,8,0,0,0,0,9.0,0.28,+1.0,+0.10,86,197,43.7,313,59,47.9,40.1,74,63.5,48.7,135,8,5.9,19,1.90,15.3
9,Álvaro Fernández,es  ESP,GK,Espanyol,24-304,1998,10.0,15,0,0,4,0,14.2,0.31,-0.8,-0.08,98,201,48.8,220,29,56.8,43.2,94,80.9,56.1,142,3,2.1,14,1.40,16.7
10,Fernando,es  ESP,GK,Almería,32-246,1990,19.0,29,2,1,1,1,32.2,0.27,+4.2,+0.22,86,266,32.3,529,106,35.7,36.3,166,46.4,40.5,292,16,5.5,16,0.84,14.2
