,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take-Ons,Succ_Take-Ons,Succ%_Take-Ons,Tkld_Take-Ons,Tkld%_Take-Ons,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving
512,Asier Villalibre,es  ESP,FW,Athletic Club,25-134,1997,1.1,27,1,1,7,19,7,27,0,0,,0,,14,48,14,0,0,0,0,2,22,9
513,Gonzalo Villar,es  ESP,MF,Getafe,24-325,1998,1.1,76,2,15,54,10,1,76,1,1,100.0,0,0.0,49,366,188,4,2,0,4,0,53,0
514,Iván Villar,es  ESP,GK,Celta Vigo,25-217,1997,1.0,37,35,37,0,0,0,37,0,0,,0,,20,83,40,0,0,0,0,0,14,0
515,Daniel Vivian,es  ESP,DF,Athletic Club,23-211,1999,13.1,798,69,363,411,31,15,798,4,0,0.0,3,75.0,476,2583,1702,14,7,0,8,5,454,3
516,Shon Weissman,il  ISR,FW,Valladolid,26-362,1996,8.3,160,6,19,86,57,25,160,5,2,40.0,2,40.0,76,283,104,7,2,3,22,7,91,15
517,Iñaki Williams,gh  GHA,FW,Athletic Club,28-241,1994,16.1,530,19,43,175,320,85,529,37,16,43.2,18,48.6,329,2297,1174,55,25,20,35,21,406,147
518,Nico Williams,es  ESP,"FW,MF",Athletic Club,20-214,2002,17.4,797,4,60,221,528,90,797,92,31,33.7,44,47.8,517,4190,2296,98,37,40,49,29,560,193
519,Axel Witsel,be  BEL,"DF,MF",Atlético Madrid,34-030,1989,13.9,875,86,340,488,50,12,875,3,3,100.0,0,0.0,554,2436,1090,3,5,0,5,2,605,6
520,Jawad El Yamiq,ma  MAR,DF,Valladolid,30-347,1992,6.7,447,85,263,171,16,5,447,5,3,60.0,2,40.0,239,1220,618,7,3,1,4,1,254,1
521,Joseba Zaldúa,es  ESP,DF,Cádiz,30-232,1992,7.1,356,36,128,139,90,4,356,10,3,30.0,5,50.0,134,790,450,13,13,2,7,3,166,20
522,Oier Zarraga,es  ESP,MF,Athletic Club,24-038,1999,4.9,227,4,34,98,102,9,227,2,1,50.0,1,50.0,141,853,425,7,6,1,4,5,157,15
523,Igor Zubeldia,es  ESP,DF,Real Sociedad,25-318,1997,14.0,864,86,408,416,42,7,864,1,1,100.0,0,0.0,523,2577,1378,6,3,1,3,1,554,4
524,Martín Zubimendi,es  ESP,MF,Real Sociedad,24-009,1999,17.8,1092,59,301,686,117,9,1092,10,4,40.0,3,30.0,661,3423,1918,20,13,1,12,9,757,11
