,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take-Ons,Succ_Take-Ons,Succ%_Take-Ons,Tkld_Take-Ons,Tkld%_Take-Ons,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving
425,Diego Rico,es  ESP,DF,Real Sociedad,29-353,1993,11.6,768,44,246,335,195,6,768,20,10,50.0,7,35.0,357,1772,833,20,19,0,19,7,392,51
426,Rodrigo Riquelme,es  ESP,"MF,FW",Girona,22-315,2000,13.6,539,5,72,193,284,45,539,64,21,32.8,38,59.4,364,3119,1649,57,47,22,40,15,400,86
427,Sergi Roberto,es  ESP,DF,Barcelona,31-004,1992,6.0,475,15,86,252,139,15,475,5,1,20.0,3,60.0,323,1443,923,26,16,5,3,2,358,34
428,Lucas Robertone,ar  ARG,MF,Almería,25-330,1997,16.5,884,21,162,487,248,22,884,35,12,34.3,15,42.9,455,2198,1110,20,24,2,26,7,571,59
429,Joel Roca,es  ESP,"MF,FW",Girona,17-249,2005,0.2,33,1,4,15,14,2,33,6,3,50.0,3,50.0,21,119,32,0,1,0,2,1,25,9
430,Enzo Roco,cl  CHI,DF,Elche,30-179,1992,12.8,619,70,334,270,21,7,619,4,2,50.0,2,50.0,351,1789,902,5,5,0,6,0,365,2
431,Rodrigo,es  ESP,"FW,MF",Betis,22-271,2000,9.2,496,3,49,229,220,24,496,19,5,26.3,11,57.9,339,1713,721,18,15,10,19,10,413,58
432,Ángel Rodríguez,es  ESP,"FW,MF",Mallorca,35-291,1987,2.3,67,4,7,34,26,12,67,3,0,0.0,3,100.0,45,197,26,1,1,2,5,3,52,9
433,Óscar Rodríguez Arnaiz,es  ESP,MF,Celta Vigo,24-228,1998,13.3,869,13,121,473,282,21,869,16,5,31.3,9,56.3,536,2211,910,23,21,6,19,6,631,29
434,Dani Rodríguez,es  ESP,MF,Mallorca,34-250,1988,12.3,529,14,110,267,162,15,529,26,11,42.3,14,53.8,301,1689,775,19,16,2,30,19,337,37
435,Guido Rodríguez,ar  ARG,MF,Betis,28-305,1994,15.4,980,52,277,601,112,9,980,17,12,70.6,3,17.6,458,1506,686,6,4,2,12,9,629,13
436,Rodrygo,br  BRA,FW,Real Madrid,22-033,2001,13.2,654,2,24,253,382,98,653,66,30,45.5,27,40.9,466,2646,1401,58,35,33,32,13,549,125
437,Iván Romero,es  ESP,MF,Sevilla,21-307,2001,0.1,5,0,0,3,2,0,5,0,0,,0,,4,19,1,0,0,0,1,1,4,0
438,Oriol Romeu,es  ESP,MF,Girona,31-140,1991,16.0,957,34,264,547,150,21,957,8,8,100.0,0,0.0,560,2224,1014,7,17,1,12,12,666,12
439,Rubén,es  ESP,"DF,MF",Espanyol,22-007,2001,3.9,188,7,54,81,60,11,188,10,5,50.0,4,40.0,85,697,344,13,10,5,7,4,88,26
440,Antonio Rüdiger,de  GER,DF,Real Madrid,29-345,1993,13.6,908,101,437,442,35,16,908,0,0,,0,,615,2982,1834,6,4,0,6,0,672,2
441,Aitor Ruibal,es  ESP,"DF,FW",Betis,26-326,1996,9.2,570,24,187,246,147,13,570,34,15,44.1,19,55.9,269,1417,857,21,13,3,16,8,313,26
442,Víctor Ruiz,es  ESP,DF,Betis,34-017,1989,3.8,206,31,119,82,5,4,206,0,0,,0,,109,573,261,2,1,1,0,0,126,0
443,Gerónimo Rulli,ar  ARG,GK,Villarreal,30-267,1992,14.0,579,476,577,3,0,0,579,0,0,,0,,335,1591,1061,0,0,0,0,0,283,0
444,Franco Russo,ar  ARG,DF,Mallorca,28-109,1994,1.6,78,12,47,28,3,0,78,0,0,,0,,43,163,63,0,0,0,0,1,41,0
445,Youssouf Sabaly,sn  SEN,DF,Betis,29-343,1993,10.1,682,49,219,320,151,6,682,18,8,44.4,7,38.9,345,1716,1001,23,19,0,15,13,374,33
446,Samuel Sáiz,es  ESP,MF,Girona,32-020,1991,2.7,192,0,21,98,75,7,190,9,3,33.3,6,66.7,130,713,244,5,5,2,10,4,154,18
447,Salvi,es  ESP,"FW,MF",Rayo Vallecano,31-318,1991,3.1,127,2,16,42,69,7,127,4,2,50.0,2,50.0,71,522,229,15,7,1,3,4,84,30
448,Samuel,br  BRA,"FW,MF",Valencia,23-050,1999,18.8,929,6,81,337,529,96,929,75,29,38.7,35,46.7,634,4060,2266,79,54,36,58,35,711,164
449,Fede San Emeterio,es  ESP,MF,Cádiz,25-332,1997,10.6,443,35,142,269,36,4,443,2,1,50.0,0,0.0,230,879,376,1,5,1,6,3,264,4
450,Oihan Sancet,es  ESP,MF,Athletic Club,22-292,2000,14.7,670,9,59,339,286,42,669,36,18,50.0,13,36.1,446,2810,1519,50,35,9,44,30,509,80
451,Antonio Sánchez,es  ESP,MF,Mallorca,26-041,1997,7.1,360,4,61,181,125,14,360,18,9,50.0,9,50.0,232,1537,591,16,16,2,19,16,241,38
452,Iván Sánchez,es  ESP,"MF,FW",Valladolid,30-141,1992,7.9,405,4,68,188,158,18,405,38,20,52.6,11,28.9,304,2314,1316,37,23,8,14,10,317,32
453,Javi Sánchez,es  ESP,DF,Valladolid,25-334,1997,15.9,880,138,530,327,29,12,880,2,2,100.0,0,0.0,498,2650,1665,15,5,1,4,3,562,4
454,Manuel Sánchez,es  ESP,DF,Osasuna,22-171,2000,9.3,535,26,120,236,186,21,535,10,2,20.0,6,60.0,263,1263,722,16,10,3,10,6,304,42
455,Esteban Saveljich,me  MNE,FW,Rayo Vallecano,31-267,1991,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
456,Stefan Savić,me  MNE,DF,Atlético Madrid,32-034,1991,12.8,847,94,372,448,27,3,847,2,2,100.0,0,0.0,520,2615,1701,19,4,1,2,3,575,6
457,Haris Seferović,ch  SUI,MF,Celta Vigo,30-354,1992,0.3,15,0,0,7,8,2,15,2,2,100.0,0,0.0,6,84,57,3,1,2,2,0,9,1
458,Jaime Seoane,es  ESP,MF,Getafe,26-020,1997,3.2,123,4,20,72,31,1,123,3,2,66.7,1,33.3,68,297,148,2,1,0,2,4,79,5
459,David Silva,es  ESP,MF,Real Sociedad,37-034,1986,12.4,768,9,66,396,313,42,768,24,9,37.5,11,45.8,490,2741,1201,35,36,11,20,20,607,74
460,Rui Silva,pt  POR,GK,Betis,29-004,1994,17.0,618,513,616,3,0,0,618,0,0,,0,,298,1545,862,0,0,0,0,0,246,0
461,Unai Simón,es  ESP,GK,Athletic Club,25-245,1997,20.0,640,522,635,5,0,0,640,0,0,,0,,384,2057,1175,0,0,0,0,0,299,0
462,Rubén Sobrino,es  ESP,"FW,MF",Cádiz,30-255,1992,12.9,413,21,93,178,149,38,413,22,5,22.7,15,68.2,243,1603,761,23,19,7,24,22,264,36
463,Alex Sola,es  ESP,DF,Real Sociedad,23-247,1999,3.1,194,10,55,79,64,4,194,9,3,33.3,3,33.3,87,579,231,5,3,0,2,1,108,12
464,Augusto Solari,ar  ARG,"MF,FW",Celta Vigo,31-039,1992,2.2,124,1,18,69,38,6,124,1,0,0.0,0,0.0,69,263,124,4,2,1,2,3,86,10
465,Carlos Soler,es  ESP,MF,Valencia,26-040,1997,2.7,143,2,13,62,68,4,142,2,1,50.0,0,0.0,83,508,223,3,4,0,2,1,98,7
466,David Soria,es  ESP,GK,Getafe,29-313,1993,20.0,625,534,622,4,0,0,625,0,0,,0,,280,1649,1068,0,0,0,0,0,164,0
467,Dyego Sousa,pt  POR,FW,Almería,33-150,1989,3.9,169,9,23,72,76,24,169,9,3,33.3,5,55.6,84,364,121,6,5,2,20,6,124,27
468,Vinicius Souza,br  BRA,MF,Espanyol,23-239,1999,17.0,782,50,214,464,107,7,782,13,5,38.5,6,46.2,328,1556,605,7,6,1,23,7,376,7
469,Jørgen Strand Larsen,no  NOR,FW,Celta Vigo,23-005,2000,11.1,333,19,31,162,143,52,333,16,8,50.0,6,37.5,209,821,262,9,6,5,46,15,266,42
470,Cristhian Stuani,uy  URU,FW,Girona,36-122,1986,7.2,152,4,15,69,68,32,148,2,0,0.0,2,100.0,79,218,87,1,1,1,10,4,106,14
471,Damián Suárez,uy  URU,DF,Getafe,34-290,1988,10.0,625,22,160,308,165,5,625,14,5,35.7,9,64.3,267,1006,593,10,14,2,9,1,320,41
472,Denis Suárez,es  ESP,MF,Espanyol,29-036,1994,0.3,21,0,6,12,4,0,21,4,3,75.0,1,25.0,13,123,61,2,2,0,1,0,12,1
473,Mario Suárez,es  ESP,"DF,MF",Rayo Vallecano,35-352,1987,0.1,4,0,1,3,0,0,4,0,0,,0,,2,28,21,0,0,0,0,0,2,0
474,Suso,es  ESP,"FW,MF",Sevilla,29-084,1993,2.7,185,1,16,51,119,8,185,4,1,25.0,3,75.0,121,646,280,6,6,3,3,4,149,31
475,Williot Swedberg,se  SWE,MF,Celta Vigo,19-010,2004,0.4,15,0,0,10,5,0,15,1,0,0.0,1,100.0,11,17,6,0,0,0,0,0,13,4
476,Alexander Sørloth,no  NOR,FW,Real Sociedad,27-068,1995,14.2,451,16,40,194,227,49,451,32,11,34.4,20,62.5,263,1511,715,23,17,10,53,44,338,65
477,Renato Tapia,pe  PER,MF,Celta Vigo,27-198,1995,7.7,487,22,134,298,62,4,487,10,6,60.0,3,30.0,259,1118,504,5,10,1,8,7,316,6
478,Aurélien Tchouaméni,fr  FRA,MF,Real Madrid,23-015,2000,11.8,978,47,245,605,131,15,978,16,10,62.5,6,37.5,628,3435,1609,17,17,2,13,7,751,12
479,Alex Telles,br  BRA,DF,Sevilla,30-058,1992,8.4,482,18,148,181,157,6,482,14,6,42.9,7,50.0,242,1175,596,14,4,2,5,0,272,53
480,Marc-André ter Stegen,de  GER,GK,Barcelona,30-287,1992,20.0,782,581,773,9,0,0,782,0,0,,0,,512,2452,1685,0,0,0,1,1,493,0
481,Ramón Terrats,es  ESP,MF,Girona,22-116,2000,2.4,129,8,38,70,23,2,129,5,2,40.0,3,60.0,73,414,191,4,4,0,2,5,87,4
482,Raúl de Tomás,es  ESP,FW,Rayo Vallecano,28-117,1994,0.4,12,0,0,2,10,1,12,0,0,,0,,9,22,14,0,0,0,1,1,10,3
483,Pablo Torre,es  ESP,FW,Barcelona,19-314,2003,0.2,4,0,1,2,1,0,4,0,0,,0,,3,6,0,0,0,0,0,0,3,0
484,David Torres,es  ESP,DF,Valladolid,19-343,2003,1.1,88,6,26,54,9,0,88,0,0,,0,,50,135,38,0,1,0,2,0,60,1
485,Ferrán Torres,es  ESP,FW,Barcelona,22-347,2000,7.2,351,5,27,116,213,54,351,37,13,35.1,15,40.5,255,1377,644,21,19,13,25,13,291,101
486,Óliver Torres,es  ESP,"MF,FW",Sevilla,28-093,1994,14.7,856,4,106,413,348,30,856,29,9,31.0,12,41.4,597,2526,1135,20,25,4,18,32,658,98
487,Pau Torres,es  ESP,DF,Villarreal,26-026,1997,17.0,1224,188,561,595,73,19,1224,15,9,60.0,4,26.7,776,5768,4090,43,22,0,9,3,836,7
488,Roberto Torres,es  ESP,"FW,MF",Osasuna,33-341,1989,0.1,14,0,1,6,8,0,14,2,1,50.0,1,50.0,12,107,78,2,3,0,0,1,12,1
