,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,TO_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,TO_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types
40,Ludwig Augustinsson,se  SWE,DF,Mallorca,29-001,1994,1.3,2,1.59,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
41,Ezequiel Ávila,ar  ARG,"FW,MF",Osasuna,29-075,1994,16.3,37,2.27,26,2,2,4,2,1,2,0.12,1,0,0,1,0,0
42,Iddrisu Baba,gh  GHA,MF,Mallorca,27-090,1996,13.9,11,0.79,9,0,0,0,1,1,0,0.00,0,0,0,0,0,0
43,Srđan Babić,rs  SRB,DF,Almería,27-000,1996,25.5,18,0.71,16,0,0,2,0,0,1,0.04,0,0,0,1,0,0
44,Loïc Bade,fr  FRA,DF,Sevilla,23-011,2000,10.0,3,0.30,2,1,0,0,0,0,1,0.10,0,1,0,0,0,0
45,Édgar Badía,es  ESP,GK,Elche,31-069,1992,28.0,3,0.11,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
46,Alex Baena,es  ESP,"MF,FW",Villarreal,21-276,2001,16.9,62,3.65,45,0,7,6,4,0,5,0.29,3,0,0,1,1,0
47,Alejandro Balde,es  ESP,DF,Barcelona,19-186,2003,20.4,49,2.40,40,0,5,0,4,0,6,0.29,6,0,0,0,0,0
48,Mikel Balenziaga,es  ESP,DF,Athletic Club,35-052,1988,1.3,1,0.78,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
49,Iván Balliu,al  ALB,DF,Rayo Vallecano,31-111,1992,27.2,52,1.91,42,8,0,1,1,0,0,0.00,0,0,0,0,0,0
50,Léo Baptistão,br  BRA,"FW,MF",Almería,30-239,1992,16.1,44,2.74,30,0,4,7,1,2,3,0.19,2,0,0,1,0,0
51,Keidi Bare,al  ALB,MF,Espanyol,25-237,1997,4.1,7,1.68,4,1,0,1,0,1,1,0.24,0,0,0,0,0,1
52,Kike Barja,es  ESP,"FW,MF",Osasuna,26-021,1997,9.9,36,3.64,26,6,3,0,0,1,6,0.61,5,1,0,0,0,0
53,Ander Barrenetxea,es  ESP,"DF,FW",Real Sociedad,21-116,2001,5.4,15,2.78,11,0,1,2,1,0,1,0.19,0,0,1,0,0,0
54,Pablo Barrios,es  ESP,MF,Atlético Madrid,19-311,2003,5.5,15,2.73,14,0,0,1,0,0,2,0.36,1,0,0,1,0,0
55,Rodrigo Battaglia,ar  ARG,MF,Mallorca,31-284,1991,7.6,4,0.53,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0
56,Bebé,cv  CPV,FW,Rayo Vallecano,32-284,1990,0.7,4,6.00,0,2,0,1,1,0,0,0.00,0,0,0,0,0,0
57,Héctor Bellerín,es  ESP,DF,Barcelona,28-034,1995,1.6,5,3.15,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
