,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,TO_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,TO_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types
176,Dimitri Foulquier,fr  FRA,DF,Valencia,30-030,1993,14.4,19,1.32,17,1,0,1,0,0,1,0.07,1,0,0,0,0,0
177,Juan Foyth,ar  ARG,DF,Villarreal,25-100,1998,15.0,19,1.27,19,0,0,0,0,0,1,0.07,1,0,0,0,0,0
178,Iván Fresneda,es  ESP,DF,Valladolid,18-206,2004,14.2,30,2.06,26,2,0,0,1,1,2,0.14,1,0,0,0,1,0
179,Javi Galán,es  ESP,DF,Celta Vigo,28-154,1994,27.8,74,2.66,56,12,3,0,2,1,2,0.07,2,0,0,0,0,0
180,Iñigo Ruiz de Galarreta,es  ESP,MF,Mallorca,29-259,1993,22.4,37,1.65,28,6,1,0,2,0,4,0.18,2,1,1,0,0,0
181,Aleix García,es  ESP,MF,Girona,25-298,1997,25.2,119,4.73,65,45,3,3,0,3,16,0.64,10,3,1,0,0,2
182,Álvaro García,es  ESP,"FW,MF",Rayo Vallecano,30-177,1992,24.8,76,3.07,55,2,3,5,7,4,9,0.36,5,0,1,0,3,0
183,Borja García,es  ESP,"MF,FW",Girona,32-171,1990,7.5,17,2.26,12,1,2,1,1,0,2,0.27,2,0,0,0,0,0
184,Carlos García,es  ESP,DF,Cádiz,22-289,2000,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
185,Dani García,es  ESP,MF,Athletic Club,32-333,1990,12.8,18,1.41,15,0,0,0,1,2,3,0.23,3,0,0,0,0,0
186,David García,es  ESP,DF,Osasuna,29-067,1994,24.5,15,0.61,15,0,0,0,0,0,0,0.00,0,0,0,0,0,0
187,Eric García,es  ESP,DF,Barcelona,22-103,2001,12.9,4,0.31,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
188,Francisco Garcia,es  ESP,DF,Rayo Vallecano,23-251,1999,28.9,54,1.87,38,6,3,1,2,4,7,0.24,4,1,1,0,1,0
189,Raúl García,es  ESP,"FW,MF",Athletic Club,36-285,1986,8.4,28,3.32,17,0,2,6,1,2,6,0.71,5,0,1,0,0,0
190,Rubén García,es  ESP,"MF,FW",Osasuna,29-282,1993,9.0,41,4.54,20,16,1,2,2,0,3,0.33,2,1,0,0,0,0
191,Unai García,es  ESP,DF,Osasuna,31-078,1992,17.1,6,0.35,5,0,0,0,0,1,1,0.06,1,0,0,0,0,0
192,Felix Garreta,es  ESP,DF,Betis,19-001,2004,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
193,Aleix Garrido,es  ESP,FW,Barcelona,19-059,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
194,Sékou Gassama,sn  SEN,FW,Valladolid,27-351,1995,0.4,1,2.57,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
195,Gavi,es  ESP,"MF,FW",Barcelona,18-260,2004,21.8,63,2.89,51,0,3,3,3,3,5,0.23,4,0,1,0,0,0
196,Paulo Gazzaniga,ar  ARG,GK,Girona,31-110,1992,19.0,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
197,David Gil,es  ESP,GK,Cádiz,29-101,1994,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
198,Óscar Gil,es  ESP,DF,Espanyol,25-361,1997,21.6,23,1.07,19,0,0,2,2,0,1,0.05,1,0,0,0,0,0
199,Álvaro Giménez,es  ESP,FW,Cádiz,31-338,1991,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
200,Dani Gómez,es  ESP,"MF,FW",Espanyol,24-266,1998,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
201,Maxi Gómez,uy  URU,FW,Valencia,26-251,1996,1.2,2,1.65,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
202,Moi Gómez,es  ESP,"MF,FW",Osasuna,28-303,1994,24.8,89,3.59,63,21,1,3,1,0,6,0.24,5,1,0,0,0,0
203,Papu Gómez,ar  ARG,"MF,FW",Sevilla,35-066,1988,7.4,31,4.17,25,2,0,2,1,1,3,0.40,3,0,0,0,0,0
204,Sergi Gómez,es  ESP,DF,Espanyol,31-025,1992,20.7,6,0.29,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0
205,Diego González,es  ESP,DF,Elche,28-084,1995,10.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
206,Édgar González,es  ESP,DF,Betis,26-021,1997,15.5,6,0.39,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
207,Giovanni González,uy  URU,DF,Mallorca,28-214,1994,9.8,11,1.12,9,1,0,1,0,0,2,0.20,2,0,0,0,0,0
208,Nicolás González,es  ESP,MF,Valencia,21-109,2002,8.6,16,1.86,14,0,1,1,0,0,1,0.12,1,0,0,0,0,0
209,Roberto González,es  ESP,"FW,MF",Betis,22-106,2001,0.6,5,8.33,2,3,0,0,0,0,0,0.00,0,0,0,0,0,0
210,Andoni Gorosabel,es  ESP,DF,Real Sociedad,26-261,1996,13.5,21,1.55,15,4,0,0,1,1,0,0.00,0,0,0,0,0,0
211,José Gragera,es  ESP,"MF,DF",Espanyol,22-143,2000,5.1,2,0.39,1,0,0,1,0,0,1,0.20,0,0,0,1,0,0
212,Ivo Grbić,hr  CRO,GK,Atlético Madrid,27-094,1996,2.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
213,Clément Grenier,fr  FRA,MF,Mallorca,32-105,1991,6.9,15,2.16,11,3,1,0,0,0,1,0.14,0,1,0,0,0,0
214,Antoine Griezmann,fr  FRA,"FW,MF",Atlético Madrid,32-032,1991,22.8,118,5.18,77,17,9,6,8,1,15,0.66,10,3,1,1,0,0
215,Andrés Guardado,mx  MEX,MF,Betis,36-206,1986,11.8,24,2.04,18,3,0,2,1,0,5,0.42,4,0,0,1,0,0
216,Nemanja Gudelj,rs  SRB,"DF,MF",Sevilla,31-157,1991,24.8,22,0.89,17,1,0,3,1,0,2,0.08,1,0,0,1,0,0
217,Javier Guerra,es  ESP,FW,Valencia,20-111,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
218,Ander Guevara,es  ESP,MF,Real Sociedad,25-289,1997,2.1,7,3.28,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
219,Pape Gueye,sn  SEN,MF,Sevilla,24-088,1999,7.0,18,2.57,12,0,3,0,2,1,4,0.57,4,0,0,0,0,0
220,Hugo Guillamón,es  ESP,MF,Valencia,23-081,2000,18.0,61,3.38,42,13,0,0,5,1,6,0.33,4,2,0,0,0,0
221,Gerard Gumbau,es  ESP,MF,Elche,28-125,1994,22.6,76,3.36,34,36,0,5,1,0,4,0.18,0,4,0,0,0,0
222,Gorka Guruzeta,es  ESP,FW,Athletic Club,26-222,1996,10.7,19,1.78,13,0,0,5,1,0,2,0.19,1,0,0,1,0,0
223,Raúl Guti,es  ESP,MF,Elche,26-113,1996,10.7,15,1.45,12,0,1,2,0,0,2,0.19,2,0,0,0,0,0
224,Miguel Gutiérrez,es  ESP,DF,Girona,21-269,2001,19.8,43,2.17,32,4,4,1,2,0,5,0.25,4,1,0,0,0,0
225,Munir El Haddadi,ma  MAR,"MF,FW",Getafe,27-233,1995,9.8,41,4.19,17,8,4,4,8,0,2,0.20,2,0,0,0,0,0
226,Dennis Hadzikadunic,ba  BIH,DF,Mallorca,24-287,1998,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
227,Haissem Hassan,fr  FRA,MF,Villarreal,21-073,2002,0.3,1,3.75,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
228,Eden Hazard,be  BEL,FW,Real Madrid,32-105,1991,1.5,14,9.26,11,1,0,1,1,0,1,0.66,1,0,0,0,0,0
229,Luiz Henrique,br  BRA,FW,Betis,22-110,2001,17.0,43,2.53,25,0,10,4,2,2,3,0.18,2,0,1,0,0,0
230,Mario Hermoso,es  ESP,DF,Atlético Madrid,27-308,1995,14.9,18,1.21,14,0,0,2,1,1,1,0.07,0,0,0,1,0,0
231,Aridane Hernández,gq  EQG,DF,Osasuna,34-030,1989,12.6,7,0.56,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0
232,Luis Hernández,es  ESP,DF,Cádiz,34-008,1989,28.0,30,1.07,18,9,0,2,0,1,2,0.07,2,0,0,0,0,0
233,Mario Hernández,es  ESP,DF,Rayo Vallecano,24-087,1999,1.1,2,1.75,2,0,0,0,0,0,1,0.87,1,0,0,0,0,0
234,Ander Herrera,es  ESP,MF,Athletic Club,33-251,1989,3.6,15,4.21,13,0,0,1,1,0,1,0.28,1,0,0,0,0,0
235,Sergio Herrera,es  ESP,GK,Osasuna,29-321,1993,13.0,5,0.38,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
236,Yangel Herrera,ve  VEN,"MF,FW",Girona,25-105,1998,8.6,19,2.20,15,0,0,1,1,2,3,0.35,2,0,0,0,0,1
237,Omar El Hilali,ma  MAR,"DF,MF",Espanyol,19-222,2003,1.0,2,1.94,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
238,Martin Hongla,cm  CMR,"MF,DF",Valladolid,25-037,1998,7.7,2,0.26,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
239,Pablo Ibáñez,es  ESP,MF,Osasuna,24-214,1998,7.4,16,2.16,12,1,1,0,0,2,2,0.27,2,0,0,0,0,0
240,Iglesias,es  ESP,DF,Getafe,24-293,1998,18.6,35,1.88,27,5,1,1,1,0,2,0.11,0,1,0,0,1,0
241,Borja Iglesias,es  ESP,FW,Betis,30-095,1993,21.7,33,1.52,23,1,1,5,3,0,5,0.23,4,0,0,1,0,0
242,Asier Illarramendi,es  ESP,MF,Real Sociedad,33-045,1990,8.9,20,2.26,18,1,0,0,1,0,2,0.23,2,0,0,0,0,0
243,Alexander Isak,se  SWE,FW,Real Sociedad,23-213,1999,1.7,2,1.18,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
244,Isco,es  ESP,"MF,FW",Sevilla,31-001,1992,8.9,32,3.60,22,5,2,0,2,1,3,0.34,2,0,1,0,0,0
245,Nicolas Jackson,sn  SEN,FW,Villarreal,21-306,2001,9.5,23,2.43,16,1,2,3,1,0,5,0.53,2,0,2,1,0,0
246,Adnan Januzaj,be  BEL,FW,Sevilla,28-076,1995,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
247,Javi,es  ESP,DF,Girona,24-355,1998,9.5,18,1.90,14,0,1,3,0,0,3,0.32,3,0,0,0,0,0
248,Luis Javier Suárez,co  COL,FW,Almería,25-141,1997,11.2,24,2.15,11,1,5,4,2,1,5,0.45,3,0,1,0,1,0
249,Joaquín,es  ESP,"FW,MF",Betis,41-275,1981,3.8,25,6.54,19,3,1,1,1,0,1,0.26,1,0,0,0,0,0
250,Frenkie de Jong,nl  NED,MF,Barcelona,25-345,1997,19.8,73,3.69,59,5,4,2,1,2,6,0.30,5,1,0,0,0,0
251,Joan Jordán,es  ESP,MF,Sevilla,28-290,1994,17.4,30,1.73,23,3,0,0,2,2,2,0.12,1,1,0,0,0,0
252,Filip Jörgensen,dk  DEN,GK,Villarreal,21-006,2002,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
253,Josan,es  ESP,"MF,DF",Elche,33-140,1989,5.3,8,1.52,5,1,1,0,1,0,0,0.00,0,0,0,0,0,0
254,Willian José,br  BRA,FW,Betis,31-150,1991,4.5,7,1.57,5,0,0,2,0,0,1,0.22,0,0,0,1,0,0
255,Joselu,es  ESP,FW,Espanyol,33-026,1990,26.2,55,2.10,31,0,4,7,13,0,7,0.27,3,0,0,2,2,0
256,Juanmi,es  ESP,FW,Betis,29-337,1993,8.6,20,2.33,13,0,3,1,3,0,2,0.23,1,0,1,0,0,0
257,Juanpe,es  ESP,DF,Girona,31-357,1991,11.3,13,1.15,12,0,1,0,0,0,0,0.00,0,0,0,0,0,0
258,Lago Junior,ci  CIV,"FW,MF",Mallorca,32-112,1990,0.6,1,1.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
259,Vinicius Júnior,br  BRA,FW,Real Madrid,22-284,2000,26.3,135,5.14,88,2,19,10,15,1,16,0.61,9,0,2,4,0,1
260,Tino Kadewere,zw  ZIM,"FW,MF",Mallorca,27-107,1996,4.9,12,2.47,9,0,3,0,0,0,0,0.00,0,0,0,0,0,0
261,Kaiky,br  BRA,DF,Almería,19-100,2004,6.3,1,0.16,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
262,Lee Kangin,kr  KOR,"MF,FW",Mallorca,22-062,2001,24.4,90,3.68,40,29,9,6,5,1,11,0.45,4,4,2,1,0,0
263,Jon Karrikaburu,es  ESP,FW,Real Sociedad,20-215,2002,1.0,2,1.96,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
264,Kenedy,br  BRA,"FW,MF",Valladolid,27-073,1996,1.3,2,1.54,2,0,0,0,0,0,1,0.77,1,0,0,0,0,0
265,Franck Kessié,ci  CIV,MF,Barcelona,26-124,1996,8.2,16,1.95,12,0,1,3,0,0,1,0.12,1,0,0,0,0,0
266,Kike,es  ESP,FW,Osasuna,33-148,1989,9.7,28,2.89,18,0,3,2,5,0,2,0.21,0,0,0,1,1,0
267,Justin Kluivert,nl  NED,"FW,MF",Valencia,23-352,1999,12.1,45,3.72,28,8,3,2,2,2,3,0.25,1,0,0,1,1,0
268,Koke,es  ESP,MF,Atlético Madrid,31-104,1992,20.8,49,2.36,46,0,0,2,1,0,3,0.14,3,0,0,0,0,0
269,Luca Koleosho,it  ITA,"FW,DF",Espanyol,18-219,2004,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
270,Geoffrey Kondogbia,cf  CTA,MF,Atlético Madrid,30-066,1993,10.7,12,1.12,10,0,0,1,1,0,2,0.19,2,0,0,0,0,0
271,Jules Koundé,fr  FRA,DF,Barcelona,24-161,1998,19.5,28,1.44,26,1,0,1,0,0,5,0.26,5,0,0,0,0,0
272,Toni Kroos,de  GER,MF,Real Madrid,33-108,1990,17.7,80,4.53,51,25,0,2,1,1,5,0.28,4,1,0,0,0,0
273,Takefusa Kubo,jp  JPN,"FW,MF",Real Sociedad,21-322,2001,20.7,68,3.29,45,6,5,4,7,1,8,0.39,4,0,2,0,1,1
274,César de la Hoz,es  ESP,MF,Almería,31-023,1992,13.7,17,1.24,14,0,2,1,0,0,2,0.15,1,0,1,0,0,0
275,Luca de la Torre,us  USA,MF,Celta Vigo,24-334,1998,10.5,25,2.38,22,0,1,1,1,0,4,0.38,3,0,0,1,0,0
276,Érik Lamela,ar  ARG,"FW,MF",Sevilla,31-049,1992,15.4,58,3.78,39,4,2,8,5,0,4,0.26,1,0,1,1,1,0
277,Cyle Larin,ca  CAN,FW,Valladolid,28-005,1995,7.4,18,2.42,9,0,4,4,1,0,5,0.67,3,0,1,1,0,0
278,Latasa,es  ESP,"FW,DF",Getafe,22-030,2001,1.5,4,2.71,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
279,Toni Lato,es  ESP,"DF,MF",Valencia,25-152,1997,8.0,24,3.00,17,4,1,0,1,1,3,0.37,1,0,1,0,1,0
280,Lázaro,br  BRA,"MF,FW",Almería,21-041,2002,3.3,10,3.06,6,1,1,1,1,0,0,0.00,0,0,0,0,0,0
281,Robin Le Normand,fr  FRA,DF,Real Sociedad,26-162,1996,24.1,12,0.50,11,0,0,1,0,0,1,0.04,1,0,0,0,0,0
282,Benjamin Lecomte,fr  FRA,GK,Espanyol,31-361,1991,10.0,2,0.20,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
283,Jeremías Ledesma,ar  ARG,GK,Cádiz,30-068,1993,26.0,7,0.27,5,1,0,0,1,0,1,0.04,0,0,0,0,1,0
284,Florian Lejeune,fr  FRA,DF,Rayo Vallecano,31-337,1991,24.2,17,0.70,15,0,0,2,0,0,1,0.04,0,0,0,1,0,0
285,Iñigo Lekue,es  ESP,DF,Athletic Club,29-353,1993,13.9,30,2.15,24,4,1,0,1,0,3,0.22,2,1,0,0,0,0
286,Thomas Lemar,fr  FRA,MF,Atlético Madrid,27-161,1995,10.3,31,3.01,24,4,1,1,0,1,4,0.39,2,0,0,1,0,1
287,Sergio León,es  ESP,FW,Valladolid,34-106,1989,13.0,23,1.77,15,2,2,3,1,0,3,0.23,2,0,0,1,0,0
288,Robert Lewandowski,pl  POL,FW,Barcelona,34-244,1988,22.6,65,2.87,48,1,3,11,2,0,12,0.53,7,0,0,5,0,0
289,Pol Lirola,es  ESP,DF,Elche,25-252,1997,6.8,19,2.80,18,0,1,0,0,0,0,0.00,0,0,0,0,0,0
290,Javier Llabrés,es  ESP,FW,Mallorca,20-223,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
291,Marcos Llorente,es  ESP,"MF,DF",Atlético Madrid,28-082,1995,18.9,60,3.17,54,1,0,2,1,2,3,0.16,3,0,0,0,0,0
292,Giovani Lo Celso,ar  ARG,"MF,FW",Villarreal,27-013,1996,8.1,31,3.80,22,2,2,4,1,0,2,0.24,2,0,0,0,0,0
293,David López,es  ESP,DF,Girona,33-195,1989,14.9,10,0.67,9,0,0,0,0,1,2,0.13,2,0,0,0,0,0
294,Diego López,es  ESP,GK,Rayo Vallecano,41-170,1981,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
295,Unai López,es  ESP,MF,Rayo Vallecano,27-174,1995,11.0,38,3.44,27,8,0,1,2,0,3,0.27,3,0,0,0,0,0
296,Anthony Lozano,hn  HON,FW,Cádiz,29-362,1993,13.4,25,1.87,14,0,6,4,1,0,1,0.07,0,0,0,1,0,0
297,Pol Lozano,es  ESP,MF,Espanyol,23-198,1999,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
298,José Luis Gayà,es  ESP,DF,Valencia,27-332,1995,22.1,77,3.48,55,12,4,3,3,0,6,0.27,3,1,0,1,1,0
299,José Luis Morales,es  ESP,"FW,MF",Villarreal,35-273,1987,13.2,29,2.19,19,0,5,4,1,0,4,0.30,2,0,0,2,0,0
300,Andriy Lunin,ua  UKR,GK,Real Madrid,24-070,1999,6.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
301,Awer Mabil,au  AUS,"MF,FW",Cádiz,27-219,1995,1.8,2,1.09,0,2,0,0,0,0,0,0.00,0,0,0,0,0,0
302,Darwin Machís,ve  VEN,FW,Valladolid,30-074,1993,4.1,14,3.45,10,0,2,2,0,0,1,0.25,1,0,0,0,0,0
303,Pablo Maffeo,es  ESP,DF,Mallorca,25-284,1997,25.1,58,2.25,40,9,3,1,5,0,6,0.23,4,0,0,1,1,0
304,Lisandro Magallán,ar  ARG,DF,Elche,29-207,1993,4.5,4,0.89,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
305,Jon Magunacelaya,es  ESP,"MF,FW",Real Sociedad,22-283,2000,0.7,4,5.54,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
306,Nemanja Maksimović,rs  SRB,MF,Getafe,28-086,1995,14.4,17,1.18,14,0,0,1,1,1,1,0.07,1,0,0,0,0,0
307,Hugo Mallo,es  ESP,DF,Celta Vigo,31-304,1991,19.4,44,2.27,35,4,1,3,1,0,6,0.31,5,1,0,0,0,0
308,Mickael Malsa,mq  MTQ,MF,Valladolid,27-192,1995,0.8,1,1.30,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
309,Giorgi Mamardashvili,ge  GEO,GK,Valencia,22-205,2000,29.0,3,0.10,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0
310,Reinildo Mandava,mz  MOZ,DF,Atlético Madrid,29-091,1994,20.6,23,1.12,21,0,0,0,1,1,1,0.05,1,0,0,0,0,0
311,Aïssa Mandi,dz  ALG,DF,Villarreal,31-182,1991,8.4,6,0.71,6,0,0,0,0,0,2,0.24,2,0,0,0,0,0
312,Maranhão,br  BRA,"FW,MF",Valencia,26-184,1996,5.0,12,2.42,8,0,3,1,0,0,0,0.00,0,0,0,0,0,0
313,Marcão,br  BRA,DF,Sevilla,26-321,1996,4.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
314,Agustín Marchesín,ar  ARG,GK,Celta Vigo,35-037,1988,19.0,2,0.11,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
315,Óscar de Marcos,es  ESP,DF,Athletic Club,34-008,1989,23.8,60,2.52,54,4,0,0,1,1,7,0.29,7,0,0,0,0,0
316,José Mari,es  ESP,MF,Cádiz,35-137,1987,3.7,12,3.21,10,1,0,0,0,1,0,0.00,0,0,0,0,0,0
317,José María Giménez,uy  URU,DF,Atlético Madrid,28-092,1995,18.9,13,0.69,11,0,0,2,0,0,2,0.11,2,0,0,0,0,0
318,Mariano,do  DOM,FW,Real Madrid,29-264,1993,0.6,1,1.58,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
319,Pablo Marín,es  ESP,MF,Real Sociedad,19-293,2003,3.8,11,2.89,9,0,2,0,0,0,0,0.00,0,0,0,0,0,0
320,Diego Mariño,es  ESP,GK,Almería,32-348,1990,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
321,Ander Martin,es  ESP,"MF,FW",Real Sociedad,22-157,2000,0.5,4,8.57,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0
322,Andrés Martín,es  ESP,"FW,MF",Rayo Vallecano,23-285,1999,1.7,5,2.90,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0
323,Carlos Martín,es  ESP,DF,Atlético Madrid,21-000,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
324,Iván Martín,es  ESP,MF,Girona,24-067,1999,10.4,19,1.82,15,0,1,1,2,0,4,0.38,2,0,0,0,2,0
325,Arnau Martinez,es  ESP,DF,Girona,19-362,2003,22.5,56,2.49,48,0,1,3,4,0,5,0.22,4,0,0,0,1,0
326,Iñigo Martínez,es  ESP,DF,Athletic Club,31-340,1991,13.9,10,0.72,7,0,0,3,0,0,1,0.07,1,0,0,0,0,0
327,Roger Martínez,es  ESP,DF,Espanyol,19-017,2004,0.1,2,25.71,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
328,Omar Mascarell,es  ESP,"MF,DF",Elche,30-079,1993,25.2,41,1.63,29,11,1,0,0,0,3,0.12,1,2,0,0,0,0
329,Jordi Masip,es  ESP,GK,Valladolid,34-109,1989,18.9,2,0.11,1,1,0,0,0,0,1,0.05,0,1,0,0,0,0
330,Jaime Mata,es  ESP,"FW,MF",Getafe,34-180,1988,0.6,1,1.64,1,0,0,0,0,0,1,1.64,1,0,0,0,0,0
331,Borja Mayoral,es  ESP,FW,Getafe,26-017,1997,26.5,48,1.81,33,0,4,4,7,0,3,0.11,2,0,1,0,0,0
332,Mamadou Mbaye,sn  SEN,DF,Cádiz,24-298,1998,6.2,4,0.64,2,0,0,0,0,2,1,0.16,1,0,0,0,0,0
333,Gonzalo Melero,es  ESP,MF,Almería,29-110,1994,15.0,37,2.46,33,0,1,3,0,0,6,0.40,5,0,0,1,0,0
334,Houboulang Mendes,fr  FRA,DF,Almería,24-353,1998,8.8,9,1.02,6,2,1,0,0,0,1,0.11,1,0,0,0,0,0
335,Brais Méndez,es  ESP,MF,Real Sociedad,26-105,1997,23.7,82,3.46,46,24,5,3,4,0,10,0.42,5,2,1,2,0,0
336,Diego Méndez,es  ESP,MF,Rayo Vallecano,19-236,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
337,Ferland Mendy,fr  FRA,DF,Real Madrid,27-318,1995,12.8,27,2.10,24,1,1,0,0,1,2,0.16,2,0,0,0,0,0
338,Jorge Meré,es  ESP,DF,Cádiz,26-005,1997,1.4,1,0.69,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
339,Mikel Merino,es  ESP,MF,Real Sociedad,26-304,1996,20.7,67,3.23,55,1,1,3,2,5,10,0.48,8,0,0,1,0,1
340,Roque Mesa,es  ESP,MF,Valladolid,33-319,1989,15.2,35,2.30,33,1,0,0,0,1,1,0.07,1,0,0,0,0,0
341,Éder Militão,br  BRA,DF,Real Madrid,25-094,1998,22.0,16,0.73,14,2,0,0,0,0,2,0.09,2,0,0,0,0,0
342,Luis Milla,es  ESP,MF,Getafe,28-197,1994,17.7,37,2.09,16,16,1,0,3,1,0,0.00,0,0,0,0,0,0
343,Pere Milla,es  ESP,"FW,MF",Elche,30-211,1992,16.1,34,2.07,23,0,2,3,5,1,3,0.18,2,0,0,0,1,0
344,Marko Milovanović,rs  SRB,FW,Almería,19-261,2003,0.2,1,6.00,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
345,Óscar Mingueza,es  ESP,DF,Celta Vigo,23-344,1999,12.7,20,1.57,19,0,0,1,0,0,0,0.00,0,0,0,0,0,0
346,Rafa Mir,es  ESP,FW,Sevilla,25-308,1997,9.2,12,1.31,8,0,0,3,1,0,0,0.00,0,0,0,0,0,0
347,Juan Miranda,es  ESP,DF,Betis,23-093,2000,9.7,24,2.48,18,5,0,0,1,0,1,0.10,1,0,0,0,0,0
348,Stefan Mitrović,rs  SRB,DF,Getafe,32-335,1990,12.6,1,0.08,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
349,Luka Modrić,hr  CRO,MF,Real Madrid,37-225,1985,16.0,76,4.75,68,4,2,1,1,0,9,0.56,6,2,0,0,1,0
350,Nahuel Molina,ar  ARG,DF,Atlético Madrid,25-016,1998,22.9,76,3.32,69,4,2,0,0,1,4,0.17,4,0,0,0,0,0
351,Jon Moncayola,es  ESP,"MF,DF",Osasuna,24-344,1998,21.1,50,2.37,39,1,0,8,2,0,4,0.19,0,0,0,3,1,0
352,Monchu,es  ESP,MF,Valladolid,23-221,1999,16.3,53,3.27,33,13,0,4,1,2,2,0.12,2,0,0,0,0,0
353,César Montes,mx  MEX,DF,Espanyol,26-057,1997,11.5,8,0.70,5,1,0,2,0,0,1,0.09,0,0,0,1,0,0
354,Gonzalo Montiel,ar  ARG,DF,Sevilla,26-111,1997,11.3,27,2.39,21,5,0,0,0,1,4,0.35,4,0,0,0,0,0
355,Martín Montoya,es  ESP,DF,Betis,32-008,1991,3.0,4,1.32,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
356,Álvaro Morata,es  ESP,FW,Atlético Madrid,30-181,1992,16.8,36,2.14,23,0,3,4,6,0,9,0.54,4,0,3,1,1,0
357,Jon Morcillo,es  ESP,"FW,MF",Athletic Club,24-219,1998,0.8,4,5.45,4,0,0,0,0,0,1,1.36,1,0,0,0,0,0
358,Alberto Moreno,es  ESP,"DF,FW",Villarreal,30-291,1992,10.2,17,1.66,15,2,0,0,0,0,0,0.00,0,0,0,0,0,0
359,Álex Moreno,es  ESP,DF,Betis,29-318,1993,15.0,20,1.33,13,2,3,2,0,0,4,0.27,3,1,0,0,0,0
360,Diego Moreno,es  ESP,DF,Osasuna,21-305,2001,6.0,5,0.84,3,0,2,0,0,0,0,0.00,0,0,0,0,0,0
361,Gerard Moreno,es  ESP,FW,Villarreal,31-015,1992,11.9,35,2.95,28,0,3,4,0,0,4,0.34,3,0,0,1,0,0
362,Tete Morente,es  ESP,"MF,DF",Elche,26-139,1996,14.3,29,2.04,17,3,5,2,2,0,1,0.07,0,0,0,0,1,0
