,Player,Nation,Pos,Squad,Age,Born,90s,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected,npxG_Expected,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected
0,Abner,br  BRA,DF,Betis,22-260,2000,2.0,0,1,0,0.0,0.49,0.00,0.00,,4.1,0,0,0,0.8,0.8,0.78,-0.8,-0.8
1,Marcos Acuña,ar  ARG,DF,Sevilla,31-106,1991,10.8,2,16,4,25.0,1.48,0.37,0.13,0.50,26.5,1,0,0,0.9,0.9,0.06,+1.1,+1.1
2,Álvaro Aguado,es  ESP,MF,Valladolid,26-286,1996,12.6,0,9,2,22.2,0.72,0.16,0.00,0.00,25.4,0,0,0,0.4,0.4,0.04,-0.4,-0.4
3,Joseph Aidoo,gh  GHA,DF,Celta Vigo,27-135,1995,20.0,2,9,2,22.2,0.45,0.10,0.22,1.00,15.6,0,0,0,0.7,0.7,0.08,+1.3,+1.3
4,Sergio Akieme,es  ESP,DF,Almería,25-057,1997,20.0,0,22,6,27.3,1.10,0.30,0.00,0.00,20.4,0,0,0,1.4,1.4,0.06,-1.4,-1.4
5,Paul Akouokou,ci  CIV,MF,Betis,25-053,1997,2.6,0,2,1,50.0,0.76,0.38,0.00,0.00,25.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
6,David Alaba,at  AUT,DF,Real Madrid,30-232,1992,15.2,1,9,1,11.1,0.59,0.07,0.11,1.00,20.7,4,0,0,0.5,0.5,0.06,+0.5,+0.5
7,Tomás Alarcón,cl  CHI,MF,Cádiz,24-023,1999,2.5,0,2,1,50.0,0.81,0.40,0.00,0.00,36.4,0,0,0,0.0,0.0,0.01,0.0,0.0
8,Jordi Alba,es  ESP,DF,Barcelona,33-327,1989,10.3,1,9,2,22.2,0.87,0.19,0.11,0.50,23.7,0,0,0,0.6,0.6,0.06,+0.4,+0.4
9,Raúl Albiol,es  ESP,DF,Villarreal,37-160,1985,16.9,0,1,0,0.0,0.06,0.00,0.00,,33.6,0,0,0,0.0,0.0,0.02,0.0,0.0
10,Rubén Alcaraz,es  ESP,MF,Cádiz,31-286,1991,10.2,1,16,2,12.5,1.57,0.20,0.06,0.50,22.1,2,0,0,0.9,0.9,0.05,+0.1,+0.1
11,Omar Alderete,py  PAR,DF,Getafe,26-047,1996,7.0,0,5,1,20.0,0.71,0.14,0.00,0.00,16.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2
12,Iván Alejo,es  ESP,"MF,FW",Cádiz,28-001,1995,8.0,0,12,2,16.7,1.49,0.25,0.00,0.00,21.6,0,0,0,0.6,0.6,0.05,-0.6,-0.6
13,Carles Aleñá,es  ESP,MF,Getafe,25-037,1998,16.2,2,21,8,38.1,1.30,0.49,0.10,0.25,23.3,0,0,0,1.4,1.4,0.07,+0.6,+0.6
14,Alejandro Alfaro,es  ESP,MF,Elche,20-241,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
15,Ángel Algobia,es  ESP,MF,Getafe,23-233,1999,8.3,0,3,0,0.0,0.36,0.00,0.00,,26.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
16,Mohamed Ali Cho,fr  FRA,FW,Real Sociedad,19-023,2004,3.5,0,11,5,45.5,3.12,1.42,0.00,0.00,19.3,0,0,0,1.0,1.0,0.09,-1.0,-1.0
17,Domingos André Ribeiro Almeida,pt  POR,MF,Valencia,22-257,2000,12.9,2,10,5,50.0,0.77,0.39,0.20,0.40,23.2,1,0,0,0.6,0.6,0.06,+1.4,+1.4
