,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Abner,br  BRA,DF,Betis,22-260,2000,2.0,0,0,0,1,2,0,4,3,3,0,0,0,13,1,4,20.0
1,Marcos Acuña,ar  ARG,DF,Sevilla,31-106,1991,10.8,5,1,0,18,18,1,82,15,19,0,1,0,82,13,10,56.5
2,Álvaro Aguado,es  ESP,MF,Valladolid,26-286,1996,12.6,2,0,0,6,16,0,28,8,6,0,1,0,72,12,13,48.0
3,Joseph Aidoo,gh  GHA,DF,Celta Vigo,27-135,1995,20.0,3,0,0,12,7,0,0,16,21,0,1,0,130,35,37,48.6
4,Sergio Akieme,es  ESP,DF,Almería,25-057,1997,20.0,4,0,0,17,14,0,58,13,15,0,0,0,102,11,13,45.8
5,Paul Akouokou,ci  CIV,MF,Betis,25-053,1997,2.6,2,0,0,4,3,0,0,5,5,0,0,0,17,1,6,14.3
6,David Alaba,at  AUT,DF,Real Madrid,30-232,1992,15.2,3,0,0,7,2,0,19,11,8,0,1,0,71,5,6,45.5
7,Tomás Alarcón,cl  CHI,MF,Cádiz,24-023,1999,2.5,2,1,1,4,3,0,6,2,2,0,0,0,14,3,1,75.0
8,Jordi Alba,es  ESP,DF,Barcelona,33-327,1989,10.3,4,1,1,7,2,7,52,5,13,0,0,0,70,6,10,37.5
9,Raúl Albiol,es  ESP,DF,Villarreal,37-160,1985,16.9,5,0,0,14,11,0,1,11,11,0,0,0,73,29,16,64.4
10,Rubén Alcaraz,es  ESP,MF,Cádiz,31-286,1991,10.2,6,1,1,20,19,0,10,9,18,0,0,0,64,14,13,51.9
11,Omar Alderete,py  PAR,DF,Getafe,26-047,1996,7.0,3,0,0,8,6,0,2,6,2,0,0,0,38,22,12,64.7
12,Iván Alejo,es  ESP,"MF,FW",Cádiz,28-001,1995,8.0,9,1,1,27,22,1,50,2,16,0,1,0,37,14,10,58.3
13,Carles Aleñá,es  ESP,MF,Getafe,25-037,1998,16.2,8,0,0,39,37,2,23,4,10,0,0,0,78,9,21,30.0
14,Alejandro Alfaro,es  ESP,MF,Elche,20-241,2002,0.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
15,Ángel Algobia,es  ESP,MF,Getafe,23-233,1999,8.3,2,0,0,19,7,0,7,3,7,0,0,0,43,6,14,30.0
16,Mohamed Ali Cho,fr  FRA,FW,Real Sociedad,19-023,2004,3.5,1,0,0,5,7,2,15,2,3,1,0,0,18,1,8,11.1
17,Domingos André Ribeiro Almeida,pt  POR,MF,Valencia,22-257,2000,12.9,2,0,0,16,19,0,42,9,24,0,0,0,70,9,15,37.5
18,Marcos Alonso,es  ESP,DF,Barcelona,32-045,1990,6.9,1,0,0,6,4,0,7,6,5,0,1,0,36,11,8,57.9
19,Carlos Álvarez,es  ESP,FW,Sevilla,19-189,2003,0.1,1,0,0,1,0,0,0,0,1,,,0,,,,
20,Gastón Álvarez,uy  URU,DF,Getafe,22-324,2000,6.3,2,1,0,9,7,0,5,9,9,0,0,0,24,14,14,50.0
21,Yeray Álvarez,es  ESP,DF,Athletic Club,28-018,1995,16.4,3,1,0,13,16,1,6,36,13,0,1,0,114,33,25,56.9
22,Amath,sn  SEN,"MF,FW",Mallorca,26-210,1996,5.2,2,0,0,14,6,3,7,2,9,1,0,0,25,2,5,28.6
23,Jordan Amavi,fr  FRA,DF,Getafe,28-339,1994,2.1,2,1,1,2,2,1,6,4,2,0,0,0,15,8,3,72.7
24,Fabrizio Angileri,ar  ARG,DF,Getafe,28-333,1994,5.7,2,1,0,6,1,0,9,6,5,0,1,0,16,14,7,66.7
25,Anuar,ma  MAR,"MF,FW",Valladolid,28-027,1995,2.3,1,0,0,3,6,1,1,3,4,0,0,0,10,2,5,28.6
26,Mauro Arambarri,uy  URU,MF,Getafe,27-134,1995,6.5,2,1,1,11,10,0,25,7,4,0,0,0,37,6,5,54.5
27,Ronald Araújo,uy  URU,DF,Barcelona,23-341,1999,9.5,3,0,0,5,4,1,1,8,9,0,0,0,35,20,12,62.5
28,Roberto Arroyo,es  ESP,MF,Valladolid,19-170,2003,0.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
29,Santiago Arzamendia,py  PAR,"MF,DF",Cádiz,24-282,1998,3.3,0,0,0,3,1,0,6,1,4,0,0,0,27,5,6,45.5
30,Sergio Asenjo,es  ESP,GK,Valladolid,33-228,1989,5.0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,
31,Marco Asensio,es  ESP,"FW,MF",Real Madrid,27-021,1996,5.6,1,0,0,5,6,0,31,2,5,1,1,0,14,2,0,100.0
32,Iago Aspas,es  ESP,FW,Celta Vigo,35-194,1987,18.5,4,0,0,11,40,9,24,5,1,0,0,0,62,18,26,40.9
33,Pierre-Emerick Aubameyang,ga  GAB,FW,Barcelona,33-238,1989,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
34,Ezequiel Ávila,ar  ARG,"FW,MF",Osasuna,29-005,1994,12.9,5,1,0,11,28,11,54,6,3,0,0,0,40,26,35,42.6
35,Iddrisu Baba,gh  GHA,MF,Mallorca,27-020,1996,10.4,3,0,0,25,17,0,0,7,11,0,0,0,72,16,9,64.0
36,Srđan Babić,rs  SRB,DF,Almería,26-295,1996,16.5,2,0,0,12,2,0,2,12,7,0,0,0,69,27,19,58.7
37,Loïc Bade,fr  FRA,DF,Sevilla,22-306,2000,4.0,0,0,0,3,1,0,2,5,6,0,0,0,32,8,9,47.1
38,Édgar Badía,es  ESP,GK,Elche,30-364,1992,20.0,2,0,0,1,2,0,0,0,0,0,1,0,21,3,0,100.0
39,Alex Baena,es  ESP,"MF,FW",Villarreal,21-206,2001,11.5,10,1,1,36,32,1,13,4,9,1,1,0,60,0,10,0.0
40,Alejandro Balde,es  ESP,DF,Barcelona,19-116,2003,13.4,2,0,0,14,12,2,19,7,18,0,0,0,84,5,10,33.3
41,Mikel Balenziaga,es  ESP,DF,Athletic Club,34-347,1988,0.5,0,0,0,1,0,0,2,1,2,0,0,0,2,0,0,
42,Iván Balliu,al  ALB,DF,Rayo Vallecano,31-041,1992,19.9,3,0,0,21,20,5,68,15,13,0,0,2,82,18,16,52.9
43,Léo Baptistão,br  BRA,"FW,MF",Almería,30-169,1992,10.5,5,0,0,21,12,5,11,15,14,0,0,0,66,14,24,36.8
44,Keidi Bare,al  ALB,MF,Espanyol,25-167,1997,3.7,0,0,0,9,7,0,4,11,3,0,0,0,16,4,8,33.3
45,Kike Barja,es  ESP,"FW,MF",Osasuna,25-316,1997,4.3,0,0,0,7,8,3,41,2,1,0,0,0,17,3,0,100.0
46,Ander Barrenetxea,es  ESP,"FW,DF",Real Sociedad,21-046,2001,2.1,2,0,0,5,1,0,0,2,3,0,0,0,20,4,9,30.8
47,Pablo Barrios,es  ESP,MF,Atlético Madrid,19-241,2003,3.0,1,0,0,3,5,0,3,4,4,0,0,0,16,2,2,50.0
48,Rodrigo Battaglia,ar  ARG,MF,Mallorca,31-214,1991,7.3,5,0,0,11,11,0,1,5,5,0,2,0,29,10,8,55.6
49,Bebé,cv  CPV,FW,Rayo Vallecano,32-214,1990,0.7,1,0,0,2,2,0,16,0,0,0,0,0,6,0,1,0.0
50,Héctor Bellerín,es  ESP,DF,Barcelona,27-329,1995,1.6,0,0,0,2,0,0,3,3,0,0,0,0,10,3,0,100.0
51,Fran Beltrán,es  ESP,MF,Celta Vigo,24-008,1999,17.9,3,0,0,13,9,2,21,20,11,0,0,0,115,11,26,29.7
52,Karim Benzema,fr  FRA,FW,Real Madrid,35-054,1987,11.6,1,0,0,7,4,15,1,1,4,2,0,0,23,5,5,50.0
53,Yuri Berchiche,es  ESP,DF,Athletic Club,33-001,1990,10.5,6,1,1,15,13,2,31,16,13,0,0,0,62,18,10,64.3
54,Álex Berenguer,es  ESP,FW,Athletic Club,27-222,1995,14.7,0,0,0,28,15,12,71,4,22,0,0,0,68,22,23,48.9
55,Pedro Bigas,es  ESP,DF,Elche,32-149,1990,14.2,3,2,0,9,10,0,5,23,12,1,1,0,86,16,7,69.6
56,El Bilal Touré,ml  MLI,FW,Almería,21-131,2001,10.0,0,0,0,21,2,12,2,0,2,0,0,0,35,34,30,53.1
57,Blanco,es  ESP,MF,Cádiz,22-203,2000,1.8,0,0,0,2,1,0,0,1,4,0,0,0,7,3,0,100.0
58,Lautaro Blanco,ar  ARG,"MF,DF",Elche,23-357,1999,2.6,1,0,0,1,0,0,21,1,2,0,0,0,18,0,2,0.0
59,Theo Bongonda,cd  COD,MF,Cádiz,27-083,1995,8.0,0,0,0,4,13,2,21,1,9,0,0,0,35,5,9,35.7
60,Wassim Boullif,es  ESP,"DF,MF",Espanyol,18-008,2005,0.8,0,0,0,1,0,0,0,0,1,0,0,0,2,0,2,0.0
61,Yassine Bounou,ma  MAR,GK,Sevilla,31-312,1991,17.5,2,0,0,0,1,0,0,1,1,0,0,0,24,3,1,75.0
62,Lucas Boyé,ar  ARG,FW,Elche,26-348,1996,13.5,3,1,0,31,26,8,8,8,9,0,0,0,48,16,27,37.2
63,Martin Braithwaite,dk  DEN,"FW,MF",Espanyol,31-251,1991,13.2,2,1,0,10,21,7,12,3,1,0,0,0,27,22,31,41.5
64,Juan Brandáriz,es  ESP,DF,Almería,23-346,1999,7.3,1,0,0,2,1,0,2,9,6,0,0,0,38,5,3,62.5
65,Darko Brašanac,rs  SRB,MF,Osasuna,30-364,1992,8.3,4,0,0,11,11,2,3,9,12,0,0,0,33,11,11,50.0
66,Claudio Bravo,cl  CHI,GK,Betis,39-304,1983,3.0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,
67,Bryan,es  ESP,MF,Sevilla,22-000,2001,0.5,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,50.0
68,Ante Budimir,hr  CRO,FW,Osasuna,31-204,1991,9.6,2,0,0,23,14,7,2,2,3,1,0,0,19,53,54,49.5
69,Santiago Bueno,uy  URU,DF,Girona,24-094,1998,18.9,4,1,1,21,17,2,3,21,21,1,0,0,83,46,26,63.9
70,Sergio Busquets,es  ESP,MF,Barcelona,34-210,1988,14.5,6,1,1,18,29,0,2,17,19,0,0,0,99,37,32,53.6
71,Leandro Cabrera,uy  URU,DF,Espanyol,31-239,1991,18.3,3,1,0,18,9,1,6,27,10,0,0,0,89,46,28,62.2
72,Cala,es  ESP,DF,Cádiz,33-077,1989,1.5,0,0,0,1,5,0,0,1,1,0,0,0,3,3,4,42.9
73,Fernando Calero,es  ESP,"DF,MF",Espanyol,27-150,1995,13.1,3,0,0,14,7,1,4,8,19,0,0,0,66,24,16,60.0
74,Eduardo Camavinga,fr  FRA,"MF,DF",Real Madrid,20-093,2002,10.2,3,0,0,15,37,3,5,9,21,0,0,0,63,9,7,56.3
75,Sergio Camello,es  ESP,FW,Rayo Vallecano,22-001,2001,15.9,1,0,0,9,14,10,1,0,7,0,0,0,34,18,27,40.0
76,Sergio Canales,es  ESP,"MF,FW",Betis,31-360,1991,15.2,4,1,1,6,21,2,73,6,9,0,0,0,68,9,11,45.0
77,Ander Capa,es  ESP,"MF,FW",Athletic Club,31-003,1992,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
78,Étienne Capoue,fr  FRA,MF,Villarreal,34-215,1988,13.0,1,0,0,9,21,0,5,13,9,0,0,0,63,17,14,54.8
79,Isaac Carcelen,es  ESP,DF,Cádiz,29-294,1993,10.7,2,2,0,9,12,0,18,12,24,0,1,0,62,6,15,28.6
80,Juan Carlos,es  ESP,GK,Girona,35-022,1988,10.0,0,0,0,0,0,0,0,1,0,0,0,0,16,1,0,100.0
81,Yannick Carrasco,be  BEL,"DF,MF",Atlético Madrid,29-160,1993,10.8,1,0,0,11,7,2,40,4,11,0,0,0,50,4,3,57.1
82,Dani Carvajal,es  ESP,DF,Real Madrid,31-031,1992,12.0,3,0,0,11,9,3,27,12,12,0,1,0,69,4,8,33.3
83,William Carvalho,pt  POR,MF,Betis,30-310,1992,15.0,4,1,0,18,22,1,2,9,14,0,0,0,84,17,13,56.7
84,Casemiro,br  BRA,MF,Real Madrid,30-353,1992,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
85,Valentín Castellanos,ar  ARG,FW,Girona,24-131,1998,15.8,6,0,0,26,26,20,3,4,3,0,0,0,35,24,36,40.0
86,Samu Castillejo,es  ESP,FW,Valencia,28-024,1995,9.9,4,0,0,23,27,4,41,8,5,0,0,0,44,6,12,33.3
87,Catena,es  ESP,DF,Rayo Vallecano,28-106,1994,19.0,6,0,0,15,13,1,1,11,8,0,0,0,98,45,17,72.6
88,Edinson Cavani,uy  URU,FW,Valencia,35-362,1987,10.3,4,0,0,12,6,10,2,1,1,0,0,0,23,5,15,25.0
89,Dani Ceballos,es  ESP,MF,Real Madrid,26-188,1996,6.3,2,0,0,7,15,0,5,13,8,0,0,0,45,1,2,33.3
90,Franco Cervi,ar  ARG,MF,Celta Vigo,28-261,1994,14.6,0,1,0,20,25,1,64,26,30,0,0,0,102,7,19,26.9
91,Pep Chavarría,es  ESP,"FW,DF",Rayo Vallecano,24-307,1998,1.1,1,0,0,4,1,0,7,0,1,0,0,0,5,3,3,50.0
92,Andreas Christensen,dk  DEN,DF,Barcelona,26-307,1996,8.0,2,0,0,6,3,0,0,7,5,0,0,0,49,19,8,70.4
93,Samuel Chukwueze,ng  NGA,"FW,MF",Villarreal,23-265,1999,11.2,1,0,0,8,14,3,12,6,5,0,0,0,48,7,3,70.0
94,Víctor Chust,es  ESP,DF,Cádiz,22-343,2000,9.5,3,0,0,8,2,1,0,10,6,0,1,0,45,16,15,51.6
95,Pathé Ciss,sn  SEN,"MF,DF",Rayo Vallecano,28-332,1994,10.2,4,0,0,27,9,0,3,17,23,0,0,0,77,17,16,51.5
96,Carlos Clerc,es  ESP,"DF,MF",Elche,30-355,1992,13.0,1,0,0,12,11,2,45,11,21,0,0,0,56,6,7,46.2
97,Álex Collado,es  ESP,MF,Elche,23-295,1999,6.0,1,0,0,8,6,1,11,2,11,0,0,0,23,4,6,40.0
98,Diego Collado,es  ESP,FW,Villarreal,22-033,2001,0.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
99,Eray Cömert,ch  SUI,DF,Valencia,25-007,1998,13.9,4,1,0,20,10,1,1,19,15,0,0,0,83,40,28,58.8
100,Santi Comesaña,es  ESP,MF,Rayo Vallecano,26-129,1996,12.4,2,0,0,24,13,2,5,17,23,0,0,0,81,13,23,36.1
101,Copete,es  ESP,DF,Mallorca,23-124,1999,14.3,5,0,0,27,15,2,3,28,17,0,1,0,73,17,8,68.0
102,Francis Coquelin,fr  FRA,MF,Villarreal,31-274,1991,7.9,2,0,0,10,6,0,5,8,13,0,0,0,35,6,4,60.0
103,Jesús Corona,mx  MEX,FW,Sevilla,30-036,1993,0.7,0,0,0,1,3,0,2,0,0,0,0,0,2,0,1,0.0
104,Ángel Correa,ar  ARG,"MF,FW",Atlético Madrid,27-339,1995,9.1,2,0,0,9,11,5,18,9,2,0,0,0,32,2,10,16.7
105,Thierry Correia,pt  POR,DF,Valencia,23-339,1999,15.4,3,0,0,25,35,1,53,16,29,1,0,0,95,17,15,53.1
106,Jaume Costa,es  ESP,DF,Mallorca,34-330,1988,16.4,5,0,0,19,22,6,46,6,18,0,0,0,77,16,12,57.1
107,Samu Costa,pt  POR,MF,Almería,22-076,2000,11.7,3,0,0,27,19,2,4,20,18,0,0,0,81,17,8,68.0
108,Thibaut Courtois,be  BEL,GK,Real Madrid,30-276,1992,15.0,0,0,0,0,2,0,0,0,0,0,0,0,25,3,0,100.0
109,Yan Couto,br  BRA,"DF,MF",Girona,20-253,2002,7.6,1,0,0,7,9,1,35,4,13,0,0,0,50,1,4,20.0
110,Juan Cruz Armada,es  ESP,DF,Osasuna,30-198,1992,14.0,4,0,0,11,6,1,31,9,9,0,0,0,61,7,11,38.9
111,Juan Cruz,es  ESP,FW,Betis,22-292,2000,1.9,0,0,0,3,2,1,6,0,0,0,0,0,8,1,2,33.3
112,Jorge Cuenca,es  ESP,DF,Villarreal,23-086,1999,4.0,1,0,0,4,1,0,1,5,4,0,1,0,17,9,4,69.2
