,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G+A_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Per 90 Minutes,xAG_Per 90 Minutes,xG+xAG_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xAG_Per 90 Minutes
464,Iván Sánchez,es  ESP,"MF,FW",Valladolid,30-150,1992,17,9,744,8.3,0,0,0,0,0,0,0,0,0.7,0.7,1.3,1.9,42,42,39,0.00,0.00,0.00,0.00,0.00,0.08,0.15,0.23,0.08,0.23
465,Javi Sánchez,es  ESP,DF,Valladolid,25-343,1997,19,19,1566,17.4,1,0,1,1,0,0,8,0,0.6,0.6,0.0,0.6,15,49,4,0.06,0.00,0.06,0.06,0.06,0.03,0.00,0.04,0.03,0.04
466,Manuel Sánchez,es  ESP,DF,Osasuna,22-180,2000,17,10,1014,11.3,0,1,1,0,0,0,1,0,0.4,0.4,0.9,1.3,19,51,53,0.00,0.09,0.09,0.00,0.09,0.04,0.08,0.11,0.04,0.11
467,Esteban Saveljich,me  MNE,FW,Rayo Vallecano,31-276,1991,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
468,Stefan Savić,me  MNE,DF,Atlético Madrid,32-043,1991,14,14,1223,13.6,0,0,0,0,0,0,2,2,0.2,0.2,0.0,0.2,20,61,6,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02
469,Haris Seferović,ch  SUI,"FW,MF",Celta Vigo,30-363,1992,3,0,100,1.1,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,4,1,6,0.00,0.00,0.00,0.00,0.00,0.09,0.20,0.29,0.09,0.29
470,Jaime Seoane,es  ESP,MF,Getafe,26-029,1997,12,2,288,3.2,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,2,5,5,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.11,0.03,0.11
471,David Silva,es  ESP,MF,Real Sociedad,37-043,1986,16,15,1115,12.4,1,2,3,1,0,0,2,0,1.9,1.9,1.9,3.8,35,97,74,0.08,0.16,0.24,0.08,0.24,0.16,0.15,0.31,0.16,0.31
472,Rui Silva,pt  POR,GK,Betis,29-013,1994,18,18,1620,18.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
473,Unai Simón,es  ESP,GK,Athletic Club,25-254,1997,21,21,1890,21.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
474,Rubén Sobrino,es  ESP,"FW,MF",Cádiz,30-264,1992,18,13,1207,13.4,1,1,2,1,0,0,5,0,2.9,2.9,0.6,3.5,23,10,37,0.07,0.07,0.15,0.07,0.15,0.21,0.05,0.26,0.21,0.26
475,Alex Sola,es  ESP,DF,Real Sociedad,23-256,1999,7,3,287,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,5,3,13,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06
476,Augusto Solari,ar  ARG,"MF,FW",Celta Vigo,31-048,1992,8,2,194,2.2,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5,4,10,10,0.00,0.46,0.46,0.00,0.46,0.13,0.08,0.21,0.13,0.21
477,Carlos Soler,es  ESP,MF,Valencia,26-049,1997,3,3,242,2.7,1,0,1,0,1,1,0,0,0.9,0.2,0.2,0.4,3,13,7,0.37,0.00,0.37,0.00,0.00,0.35,0.08,0.43,0.06,0.14
478,David Soria,es  ESP,GK,Getafe,29-322,1993,21,21,1890,21.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
479,Dyego Sousa,pt  POR,FW,Almería,33-159,1989,13,2,347,3.9,0,1,1,0,0,0,1,0,0.6,0.6,0.8,1.4,6,10,27,0.00,0.26,0.26,0.00,0.26,0.15,0.22,0.36,0.15,0.36
480,Vinicius Souza,br  BRA,MF,Espanyol,23-248,1999,20,20,1706,19.0,0,0,0,0,0,0,7,1,0.1,0.1,0.4,0.5,7,58,9,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
481,Jørgen Strand Larsen,no  NOR,FW,Celta Vigo,23-014,2000,18,14,1107,12.3,2,3,5,2,0,0,3,0,3.5,3.5,1.8,5.3,10,9,45,0.16,0.24,0.41,0.16,0.41,0.29,0.15,0.43,0.29,0.43
482,Cristhian Stuani,uy  URU,FW,Girona,36-131,1986,17,5,667,7.4,6,0,6,3,3,4,5,0,6.7,3.5,0.9,4.4,1,8,16,0.81,0.00,0.81,0.40,0.40,0.90,0.12,1.02,0.47,0.59
483,Damián Suárez,uy  URU,DF,Getafe,34-299,1988,13,12,900,10.0,1,0,1,1,0,0,2,0,0.3,0.3,1.1,1.4,10,46,41,0.10,0.00,0.10,0.10,0.10,0.03,0.11,0.14,0.03,0.14
484,Denis Suárez,es  ESP,MF,Espanyol,29-045,1994,3,1,152,1.7,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,6,2,6,0.00,0.00,0.00,0.00,0.00,0.24,0.03,0.27,0.24,0.27
485,Mario Suárez,es  ESP,"DF,MF",Rayo Vallecano,35-361,1987,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
486,Suso,es  ESP,"MF,FW",Sevilla,29-093,1993,11,3,395,4.4,1,1,2,1,0,0,1,0,0.3,0.3,1.2,1.5,9,33,46,0.23,0.23,0.46,0.23,0.46,0.06,0.27,0.33,0.06,0.33
487,Williot Swedberg,se  SWE,MF,Celta Vigo,19-019,2004,1,0,34,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
488,Alexander Sørloth,no  NOR,FW,Real Sociedad,27-077,1995,18,18,1444,16.0,9,1,10,9,0,0,3,0,7.6,7.6,1.3,8.9,24,14,74,0.56,0.06,0.62,0.56,0.62,0.47,0.08,0.55,0.47,0.55
489,Renato Tapia,pe  PER,"MF,DF",Celta Vigo,27-207,1995,17,9,792,8.8,0,0,0,0,0,0,5,1,0.3,0.3,0.7,1.0,5,38,8,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12
490,Aurélien Tchouaméni,fr  FRA,MF,Real Madrid,23-024,2000,17,13,1085,12.1,0,2,2,0,0,0,1,0,0.7,0.7,1.3,2.0,18,78,12,0.00,0.17,0.17,0.00,0.17,0.06,0.10,0.16,0.06,0.16
491,Alex Telles,br  BRA,DF,Sevilla,30-067,1992,14,8,843,9.4,0,2,2,0,0,0,4,0,0.1,0.1,0.9,1.0,14,22,53,0.00,0.21,0.21,0.00,0.21,0.01,0.10,0.11,0.01,0.11
492,Marc-André ter Stegen,de  GER,GK,Barcelona,30-296,1992,22,22,1980,22.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
493,Raúl de Tomás,es  ESP,FW,Rayo Vallecano,28-126,1994,4,0,67,0.7,0,0,0,0,0,1,0,0,1.4,0.6,0.2,0.8,3,3,6,0.00,0.00,0.00,0.00,0.00,1.90,0.27,2.17,0.84,1.11
494,Pablo Torre,es  ESP,FW,Barcelona,19-323,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
495,David Torres,es  ESP,DF,Valladolid,19-352,2003,2,1,101,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
496,Ferrán Torres,es  ESP,FW,Barcelona,22-356,2000,19,7,745,8.3,2,0,2,2,0,0,4,1,3.7,3.7,2.4,6.1,27,22,121,0.24,0.00,0.24,0.24,0.24,0.45,0.29,0.74,0.45,0.74
497,Óliver Torres,es  ESP,"MF,FW",Sevilla,28-102,1994,20,20,1492,16.6,3,1,4,3,0,0,1,0,1.8,1.8,1.7,3.5,24,103,111,0.18,0.06,0.24,0.18,0.24,0.11,0.10,0.21,0.11,0.21
498,Pau Torres,es  ESP,DF,Villarreal,26-035,1997,19,19,1710,19.0,0,0,0,0,0,0,8,0,0.6,0.6,0.6,1.2,43,118,7,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06
499,Roberto Torres,es  ESP,"FW,MF",Osasuna,33-350,1989,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,2.13,2.13,0.00,2.13
500,Lucas Torró,es  ESP,MF,Osasuna,28-216,1994,21,21,1655,18.4,0,0,0,0,0,0,7,0,0.8,0.8,0.1,0.9,9,68,11,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
501,Nabil Touaizi,ma  MAR,MF,Espanyol,22-019,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
502,Óscar Trejo,ar  ARG,"MF,FW",Rayo Vallecano,34-300,1988,20,18,1340,14.9,2,3,5,1,1,2,8,0,2.6,1.0,2.0,3.0,34,77,65,0.13,0.20,0.34,0.07,0.27,0.18,0.13,0.31,0.07,0.20
503,Manu Trigueros,es  ESP,"MF,FW",Villarreal,31-126,1991,13,4,408,4.5,0,0,0,0,0,0,2,1,0.2,0.2,0.1,0.3,7,38,13,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07
504,Viktor Tsyhankov,ua  UKR,MF,Girona,25-097,1997,3,1,105,1.2,1,1,2,1,0,0,0,0,0.7,0.7,0.2,0.9,2,4,11,0.86,0.86,1.71,0.86,1.71,0.63,0.18,0.81,0.63,0.81
505,Beñat Turrientes,es  ESP,"MF,FW",Real Sociedad,21-020,2002,6,1,106,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13
506,Enes Ünal,tr  TUR,FW,Getafe,25-286,1997,21,21,1821,20.2,7,3,10,6,1,2,4,0,5.0,3.5,1.7,5.1,22,24,89,0.35,0.15,0.49,0.30,0.44,0.25,0.08,0.33,0.17,0.25
507,Oscar Ureña,es  ESP,MF,Girona,20-050,2003,3,1,100,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,1,10,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16
508,Óscar Valentín,es  ESP,MF,Rayo Vallecano,28-184,1994,19,16,1400,15.6,0,0,0,0,0,0,7,0,0.4,0.4,0.8,1.1,13,88,7,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07
509,Valery,es  ESP,"MF,DF",Girona,23-089,1999,15,5,575,6.4,0,2,2,0,0,0,1,0,0.4,0.4,1.0,1.4,11,12,54,0.00,0.31,0.31,0.00,0.31,0.06,0.16,0.22,0.06,0.22
510,Enrique Valiente,es  ESP,DF,Sevilla,20-303,2002,6,4,368,4.1,1,1,2,1,0,0,1,1,0.2,0.2,0.2,0.4,3,14,0,0.24,0.24,0.49,0.24,0.49,0.04,0.05,0.09,0.04,0.09
