,Id,Name,Age,Nationality,Club,Value,Wage,Overall,Potential
0,242429,Liberato Cacace,19,New Zealand,Sint-Truidense VV,€6.5M,€6K,73,84
1,226568,Ianis Hagi,21,Romania,Rangers FC,€7M,€33K,73,82
2,146530,Daniel Alves da Silva,35,Brazil,Paris Saint-Germain,€4.8M,€60K,82,82
3,259233,Ilaix Moriba,17,Guinea,FC Barcelona,€1.9M,€4K,65,85
4,240709,Ridle Baku,22,Germany,VfL Wolfsburg,€22.5M,€34K,77,85
5,231443,Ousmane Dembélé,23,France,FC Barcelona,€57.5M,€175K,83,89
6,184200,Marko Arnautović,31,Austria,Shanghai SIPG FC,€25.5M,€24K,82,82
7,239085,Erling Haaland,19,Norway,Borussia Dortmund,€104.5M,€67K,86,92
8,232487,Wataru Endo,27,Japan,VfB Stuttgart,€10M,€24K,77,77
9,256790,Jamal Musiala,17,England,FC Bayern München,€4M,€4K,70,86
10,254247,Mostafa Mohamed,22,Egypt,Galatasaray SK,€8.5M,€47K,74,81
11,251854,Pedro González López,17,Spain,FC Barcelona,€17M,€14K,76,90
12,246618,Adam Hložek,17,Czech Republic,Sparta Praha,€9.5M,€500,74,87
13,143076,Alejandro Gómez,32,Argentina,Sevilla FC,€54M,€55K,86,86
14,251517,Joško Gvardiol,18,Croatia,Dinamo Zagreb,€5M,€500,72,87
15,246669,Bukayo Saka,18,England,Arsenal,€29.5M,€26K,78,87
16,158023,Lionel Messi,33,Argentina,FC Barcelona,€103.5M,€560K,93,93
17,242656,Illan Meslier,20,France,Leeds United,€6.5M,€32K,73,85
18,247360,Leonidas Stergiou,18,Switzerland,FC St. Gallen,€2.4M,€1K,67,86
19,251804,Sergiño Dest,19,United States,FC Barcelona,€13M,€50K,75,88
20,245541,Giovanni Reyna,17,United States,Borussia Dortmund,€13M,€6K,75,88
21,256630,Florian Wirtz,17,Germany,Bayer 04 Leverkusen,€17M,€7K,76,89
22,246104,Ryan Gravenberch,18,Netherlands,Ajax,€17.5M,€6K,76,89
23,252371,Jude Bellingham,17,England,Borussia Dortmund,€9.5M,€6K,74,88
24,248243,Eduardo Camavinga,17,France,Stade Rennais FC,€29M,€6K,78,89
25,239818,Rúben Santos Gato Alves Dias,23,Portugal,Manchester City,€41.5M,€110K,82,87
26,254796,Noni Madueke,18,England,PSV,€7M,€5K,73,87
27,240683,Ludovit Reis,20,Netherlands,VfL Osnabrück,€4.1M,€51K,71,82
28,20801,C. Ronaldo dos Santos Aveiro,35,Portugal,Juventus,€63M,€220K,92,92
29,233049,Jadon Sancho,20,England,Borussia Dortmund,€105.5M,€76K,86,92
30,256948,Christos Tzolis,18,Greece,PAOK,€4.8M,€500,71,87
31,245940,Silas Wamangituka,20,DR Congo,VfB Stuttgart,€9.5M,€16K,74,84
32,241486,Jules Koundé,21,France,Sevilla FC,€37.5M,€23K,81,87
33,253004,Anssumane Fati,17,Spain,FC Barcelona,€17M,€24K,76,90
34,231747,Kylian Mbappé,21,France,Paris Saint-Germain,€185.5M,€160K,90,95
35,252961,Tanguy Nianzou,18,France,FC Bayern München,€4.1M,€10K,71,85
36,233731,Alexander Isak,20,Sweden,Real Sociedad,€33M,€29K,80,86
37,252238,Alan Velasco,17,Argentina,Independiente,€4.3M,€2K,71,85
38,237692,Phil Foden,20,England,Manchester City,€56.5M,€95K,81,91
39,245371,Thiago Almada,19,Argentina,Vélez Sarsfield,€10M,€9K,74,88
40,246045,Pedro De la Vega,19,Argentina,Club Atlético Lanús,€10M,€11K,74,88
41,251570,Rayan Cherki,16,France,Olympique Lyonnais,€3.5M,€6K,69,88
42,212198,Bruno Miguel Borges Fernandes,25,Portugal,Manchester United,€121M,€240K,88,91
43,229558,Dayot Upamecano,21,France,RB Leipzig,€54M,€41K,81,90
44,234396,Alphonso Davies,19,Canada,FC Bayern München,€53M,€40K,81,89
45,251852,Karim Adeyemi,18,Germany,FC Red Bull Salzburg,€3.6M,€6K,69,86
46,251530,Nuno Albertino Varela Tavares,20,Portugal,SL Benfica,€7M,€7K,73,86
47,254909,Oscar Dorley,21,Liberia,SK Slavia Praha,€6.5M,€550,73,82
48,231936,Ben White,22,England,Brighton & Hove Albion,€15.5M,€40K,76,87
49,240950,Pedro António Pereira Gonçalves,22,Portugal,Sporting CP,€39.5M,€16K,79,87
50,209658,Leon Goretzka,25,Germany,FC Bayern München,€89.5M,€120K,86,89
51,238616,Pedro Lomba Neto,20,Portugal,Wolverhampton Wanderers,€23M,€59K,77,85
52,245367,Xavi Simons,17,Netherlands,Paris Saint-Germain,€1.9M,€2K,65,85
53,233419,Raphael Dias Belloli,23,Brazil,Leeds United,€40.5M,€100K,81,87
54,228702,Frenkie de Jong,23,Netherlands,FC Barcelona,€102M,€210K,86,91
55,254544,Reinier Jesus Carvalho,18,Brazil,Borussia Dortmund,€4.4M,€30K,71,85
56,234943,Florian Neuhaus,23,Germany,Borussia Mönchengladbach,€40.5M,€42K,81,87
57,241464,Pau Francisco Torres,23,Spain,Villarreal CF,€30M,€31K,80,86
58,200104,Heung Min Son,27,Korea Republic,Tottenham Hotspur,€110M,€210K,89,89
59,246960,Mohamed Ihattaren,18,Netherlands,PSV,€22M,€7K,77,87
