,Id,Name,Age,Nationality,Club,Value,Wage,Overall,Potential,Preferred Foot,Weak Foot,Skill Moves,International Reputation,Work Rate,Body Type,Real Face,Release Clause,Position,Jersey Number,Joined,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,GK,Likes,Dislikes,Following,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive Awareness,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
0,235161,Josh Maja,21,Nigeria,Fulham,€5.5M,€18K,72,81,Right,3 ★,3 ★,1 ★,Medium/ Low,Normal (170-185),No,,ST,27,,"Jun 30, 2021",5'11,163lbs,72+2,72+2,72+2,71+0,72+0,72+0,72+0,71+0,71+2,71+2,71+2,69+2,64+2,64+2,64+2,69+2,50+2,48+2,48+2,48+2,50+2,47+2,42+2,42+2,42+2,47+2,16+2,38,5,193,51,73,65,73,62,74,62,44,56,74,74,77,64,73,69,70,56,62,65,68,38,14,74,64,63,74,33,22,23,14,8,15,5,7
1,204943,Guofu Luo,32,China PR,Guangzhou Evergrande Taobao FC,€4.6M,€24K,75,75,Right,3 ★,3 ★,1 ★,High/ High,Stocky (170-185),No,€7.4M,ST,20,"Jan 1, 2020",2022,5'9,159lbs,75+0,75+0,75+0,75+0,76+-1,76+-1,76+-1,75+0,75+0,75+0,75+0,75+0,72+2,72+2,72+2,75+0,61+2,60+2,60+2,60+2,61+2,58+2,54+2,54+2,54+2,58+2,18+2,3,1,4,73,77,69,76,71,75,74,73,67,77,73,69,70,79,72,75,70,81,74,75,61,42,76,76,74,73,45,37,29,8,10,11,15,11
2,140601,Nemanja Vidić,33,Serbia,Inter,€7.5M,€80K,81,81,Right,3 ★,2 ★,3 ★,Low/ Medium,Normal (185+),Yes,,CB,15,"Jul 1, 2014",2016,6'3,194lbs,49+1,49+1,49+1,44+1,46+1,46+1,46+1,44+1,47+1,47+1,47+1,47+1,54+1,54+1,54+1,47+1,64+1,70+1,70+1,70+1,64+1,68+1,80+1,80+1,80+1,68+1,14+1,22,3,37,34,26,85,57,35,43,42,32,57,,49,54,50,,47,56,84,52,91,28,,,20,44,43,,,,82,11,4,13,7,5
3,238616,Pedro Lomba Neto,20,Portugal,Wolverhampton Wanderers,€23M,€59K,77,85,Left,3 ★,4 ★,1 ★,High/ Medium,Normal (170-185),Yes,€48.3M,LW,7,"Aug 5, 2019",2025,5'8,137lbs,73+2,73+2,73+2,77+0,76+0,76+0,76+0,77+0,76+2,76+2,76+2,76+2,67+2,67+2,67+2,76+2,56+2,50+2,50+2,50+2,56+2,51+2,40+2,40+2,40+2,51+2,16+2,77,13,271,70,,49,72,65,,66,51,56,,86,87,86,,86,,52,,56,,36,23,,72,62,64,32,23,17,6,13,7,12,6
4,235026,Omar Richards,21,England,Reading,€6.5M,€9K,73,81,Left,2 ★,3 ★,1 ★,Medium/ High,Lean (170-185),No,€13.7M,LB,3,"Jul 1, 2016",2021,5'9,152lbs,59+2,59+2,59+2,66+0,63+0,63+0,63+0,66+0,64+2,64+2,64+2,67+2,63+2,63+2,63+2,67+2,71+2,67+2,67+2,67+2,71+2,71+2,67+2,67+2,67+2,71+2,16+2,32,1,144,63,56,53,67,34,71,55,34,52,74,84,81,81,65,77,43,71,77,48,31,77,68,56,54,36,62,64,73,75,11,9,13,10,11
5,228941,André Miguel Valente da Silva,24,Portugal,Eintracht Frankfurt,€40M,€40K,82,84,Right,3 ★,4 ★,2 ★,Medium/ Medium,Normal (170-185),Yes,€71M,ST,9,"Sep 10, 2020",2023,6'0,172lbs,82+2,82+2,82+2,79+0,81+0,81+0,81+0,79+0,79+2,79+2,79+2,77+2,75+2,75+2,75+2,77+2,63+2,64+2,64+2,64+2,63+2,61+2,59+2,59+2,59+2,61+2,19+2,143,7,1509,60,,80,,,,,33,63,,75,71,77,,75,81,84,79,,74,75,59,,74,,82,36,40,35,14,13,7,11,8
6,192505,Romelu Lukaku,27,Belgium,Inter,€79.5M,€175K,86,87,Left,4 ★,3 ★,3 ★,Medium/ Medium,Unique,Yes,€141.1M,ST,9,"Aug 8, 2019",2024,6'3,207lbs,85+2,85+2,85+2,80+0,82+0,82+0,82+0,80+0,79+3,79+3,79+3,79+3,73+3,73+3,73+3,79+3,60+3,60+3,60+3,60+3,60+3,58+3,56+3,56+3,56+3,58+3,19+3,236,36,1203,73,88,87,77,77,78,78,66,,80,78,84,60,87,46,87,71,73,95,74,71,27,87,75,78,86,30,41,30,8,15,14,7,10
7,239231,Marc Cucurella Saseta,21,Spain,Getafe CF,€41.5M,€28K,81,87,Left,3 ★,3 ★,1 ★,High/ Medium,Lean (170-185),No,€95.5M,LM,3,"Jun 30, 2020",2023,5'8,146lbs,73+2,73+2,73+2,78+0,77+0,77+0,77+0,78+0,78+2,78+2,78+2,80+2,79+2,79+2,79+2,80+2,79+2,78+2,78+2,78+2,79+2,78+2,73+2,73+2,73+2,78+2,18+2,217,20,1012,80,67,57,81,55,79,78,48,79,80,80,81,78,82,84,73,77,88,66,65,76,73,79,78,47,74,71,78,77,13,7,9,10,11
8,259233,Ilaix Moriba,17,Guinea,FC Barcelona,€1.9M,€4K,65,85,Right,3 ★,4 ★,1 ★,High/ Medium,Lean (170-185),No,€5.8M,CM,30,"Jul 1, 2020",2022,6'0,150lbs,62+2,62+2,62+2,63+0,64+0,64+0,64+0,63+0,65+2,65+2,65+2,63+2,65+2,65+2,65+2,63+2,62+2,64+2,64+2,64+2,62+2,62+2,62+2,62+2,62+2,62+2,17+2,53,5,211,40,60,58,66,48,66,46,47,64,67,69,74,69,66,59,60,58,70,61,67,56,63,55,63,48,45,58,64,60,9,14,15,10,12
9,229558,Dayot Upamecano,21,France,RB Leipzig,€54M,€41K,81,90,Right,3 ★,2 ★,1 ★,Medium/ Medium,Stocky (185+),Yes,€102.6M,CB,5,"Jan 13, 2017",2023,6'1,198lbs,63+2,63+2,63+2,63+0,63+0,63+0,63+0,63+0,64+2,64+2,64+2,65+2,68+2,68+2,68+2,65+2,73+2,76+2,76+2,76+2,73+2,75+2,81+2,81+2,81+2,75+2,17+2,514,32,2523,48,39,82,77,27,69,32,28,73,69,69,89,63,77,65,60,87,62,90,40,83,77,47,58,39,71,78,84,84,6,7,8,15,9
