,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2022-08-15,21:30,La Liga,Matchweek 1,Mon,Away,L,0.0,3.0,Betis,0.4,3.1,29.0,50622.0,Fidel,3-4-3,Guillermo Cuadra,Match Report,
1,2022-08-22,20:00,La Liga,Matchweek 2,Mon,Home,D,1.0,1.0,Almería,1.0,0.7,54.0,23361.0,Édgar Badía,4-4-2,Isidro Díaz de Mera,Match Report,
2,2022-08-27,17:30,La Liga,Matchweek 3,Sat,Home,L,0.0,1.0,Real Sociedad,0.7,1.8,45.0,22656.0,Édgar Badía,4-4-2,Javier Villanueva,Match Report,
3,2022-09-04,18:30,La Liga,Matchweek 4,Sun,Away,L,0.0,4.0,Villarreal,0.6,3.4,47.0,13915.0,Édgar Badía,4-4-2,Miguel Ángel Ortiz Arias,Match Report,
4,2022-09-11,16:15,La Liga,Matchweek 5,Sun,Home,L,1.0,4.0,Athletic Club,0.9,2.7,47.0,24176.0,Édgar Badía,4-2-3-1,Mario Melero,Match Report,
5,2022-09-17,16:15,La Liga,Matchweek 6,Sat,Away,L,0.0,3.0,Barcelona,0.0,3.9,24.0,85073.0,Gonzalo Verdú,5-4-1,Alejandro Muñíz,Match Report,
6,2022-10-03,21:00,La Liga,Matchweek 7,Mon,Away,L,1.0,2.0,Rayo Vallecano,1.1,0.9,30.0,11662.0,Édgar Badía,5-3-2,Jorge Figueroa,Match Report,
7,2022-10-10,21:00,La Liga,Matchweek 8,Mon,Home,D,1.0,1.0,Mallorca,0.5,2.3,42.0,12000.0,Gonzalo Verdú,5-3-2,Valentín Pizarro,Match Report,
8,2022-10-15,16:15,La Liga,Matchweek 9,Sat,Away,D,2.0,2.0,Valencia,1.7,2.7,40.0,41805.0,Édgar Badía,5-4-1,Juan Pulido,Match Report,
9,2022-10-19,21:00,La Liga,Matchweek 10,Wed,Home,L,0.0,3.0,Real Madrid,0.8,1.5,38.0,30236.0,Gonzalo Verdú,4-1-4-1,Jesús Gil,Match Report,
10,2022-10-23,14:00,La Liga,Matchweek 11,Sun,Away,D,2.0,2.0,Espanyol,0.5,2.2,59.0,17560.0,Gonzalo Verdú,5-3-2,José Luis Munuera,Match Report,
11,2022-10-31,21:00,La Liga,Matchweek 12,Mon,Home,L,0.0,1.0,Getafe,1.3,0.4,59.0,19588.0,Gonzalo Verdú,5-4-1,César Soto,Match Report,
12,2022-11-05,16:15,La Liga,Matchweek 13,Sat,Away,L,1.0,2.0,Valladolid,0.2,1.9,49.0,20176.0,Édgar Badía,4-4-1-1,Ricardo de Burgos,Match Report,
13,2022-11-08,19:00,La Liga,Matchweek 14,Tue,Home,L,1.0,2.0,Girona,0.6,2.3,45.0,17339.0,Édgar Badía,4-2-3-1,Pablo González,Match Report,
14,2022-11-12,18:30,Copa del Rey,First round,Sat,Away,W,3.0,0.0,CD L'Alcora,,,,1500.0,Josan,4-4-2,José Sánchez,Match Report,
15,2022-12-20,19:00,Copa del Rey,Second round,Tue,Away,W,3.0,0.0,Guadalajara,,,54.0,3000.0,Gonzalo Verdú,3-4-3,José Luis Munuera,Match Report,
16,2022-12-29,21:30,La Liga,Matchweek 15,Thu,Away,L,0.0,2.0,Atlético Madrid,0.4,1.7,38.0,48119.0,Gonzalo Verdú,3-4-3,Guillermo Cuadra,Match Report,
17,2023-01-03,21:00,Copa del Rey,Round of 32,Tue,Away,L,0.0,1.0,AD Ceuta,,,,,,3-4-3,Jorge Figueroa,Match Report,
18,2023-01-06,18:30,La Liga,Matchweek 16,Fri,Home,L,0.0,1.0,Celta Vigo,1.0,2.0,57.0,20121.0,Édgar Badía,3-4-3,Miguel Ángel Ortiz Arias,Match Report,
19,2023-01-16,21:00,La Liga,Matchweek 17,Mon,Away,,,,Cádiz,,,,,,,,Head-to-Head,
20,2023-01-22,,La Liga,Matchweek 18,Sun,Home,,,,Osasuna,,,,,,,,Head-to-Head,
21,2023-01-29,,La Liga,Matchweek 19,Sun,Away,,,,Sevilla,,,,,,,,Head-to-Head,
22,2023-02-05,,La Liga,Matchweek 20,Sun,Home,,,,Villarreal,,,,,,,,Head-to-Head,
23,2023-02-12,,La Liga,Matchweek 21,Sun,Away,,,,Real Madrid,,,,,,,,Head-to-Head,
24,2023-02-19,,La Liga,Matchweek 22,Sun,Home,,,,Espanyol,,,,,,,,Head-to-Head,
25,2023-02-26,,La Liga,Matchweek 23,Sun,Home,,,,Betis,,,,,,,,Head-to-Head,
26,2023-03-05,,La Liga,Matchweek 24,Sun,Away,,,,Mallorca,,,,,,,,Head-to-Head,
27,2023-03-12,,La Liga,Matchweek 25,Sun,Home,,,,Valladolid,,,,,,,,Head-to-Head,
28,2023-03-19,,La Liga,Matchweek 26,Sun,Away,,,,Real Sociedad,,,,,,,,Head-to-Head,
29,2023-04-02,,La Liga,Matchweek 27,Sun,Home,,,,Barcelona,,,,,,,,Head-to-Head,
30,2023-04-09,,La Liga,Matchweek 28,Sun,Away,,,,Osasuna,,,,,,,,Head-to-Head,
31,2023-04-16,,La Liga,Matchweek 29,Sun,Away,,,,Girona,,,,,,,,Head-to-Head,
32,2023-04-23,,La Liga,Matchweek 30,Sun,Home,,,,Valencia,,,,,,,,Head-to-Head,
33,2023-04-26,,La Liga,Matchweek 31,Wed,Away,,,,Celta Vigo,,,,,,,,Head-to-Head,
34,2023-04-30,,La Liga,Matchweek 32,Sun,Home,,,,Rayo Vallecano,,,,,,,,Head-to-Head,
