,Season,Age,Squad,Country,Comp,LgRank,90s,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG/SoT_Expected,PSxG+/-_Expected,/90_Expected,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,#OPA/90_Sweeper,AvgDist_Sweeper
0,2011-2012,18,União de Leiria,pt  POR,1.  Primeira Liga,16th,16.0,29,,,,,,,,,,,,,,,,,,,,,,,,
1,2012-2013,19,Rio Ave,pt  POR,1.  Primeira Liga,6th,27.8,40,,,,,,,,,,,,,,,,,,,,,,,,
2,2013-2014,20,Benfica,pt  POR,1.  Primeira Liga,1st,15.0,5,,,,,,,,,,,,,,,,,,,,,,,,
3,2014-2015,21,Atlético Madrid,es  ESP,1.  La Liga,3rd,11.0,6,,,,,,,,,,,,,,,,,,,,,,,,
4,2015-2016,22,Atlético Madrid,es  ESP,1.  La Liga,3rd,38.0,18,,,,,,,,,,,,,,,,,,,,,,,,
5,2016-2017,23,Atlético Madrid,es  ESP,1.  La Liga,3rd,29.5,21,3,,,,,,,,,,,,,,,,,,,,,,,
6,2017-2018,24,Atlético Madrid,es  ESP,1.  La Liga,2nd,37.0,22,1,1,2,1,32.5,0.24,+11.5,+0.31,151,447,33.8,497,70,60.0,45.1,181,82.3,58.2,378,30,7.9,10,0.27,14.1
7,2018-2019,25,Atlético Madrid,es  ESP,1.  La Liga,2nd,37.0,27,5,0,3,2,36.1,0.26,+11.1,+0.30,229,597,38.4,568,100,61.3,46.6,282,88.3,62.3,356,36,10.1,12,0.32,14.1
8,2019-2020,26,Atlético Madrid,es  ESP,1.  La Liga,3rd,37.7,27,3,1,4,3,25.2,0.22,+1.2,+0.03,262,656,39.9,646,111,64.4,46.9,314,76.4,56.5,347,19,5.5,17,0.45,14.0
9,2020-2021,27,Atlético Madrid,es  ESP,1.  La Liga,1st,38.0,25,1,0,6,3,31.8,0.25,+9.8,+0.26,269,620,43.4,714,122,59.5,44.6,289,67.5,50.2,327,19,5.8,18,0.47,15.3
10,2021-2022,28,Atlético Madrid,es  ESP,1.  La Liga,2nd,14.0,14,3,1,2,2,8.6,0.22,-3.4,-0.24,68,160,42.5,270,67,41.5,38.8,96,50.0,42.3,107,11,10.3,4,0.29,13.3
11,11 Seasons,11 Seasons,4 Clubs,,2 Leagues,,301.0,234,16,3,17,11,134.2,0.24,+30.2,+0.18,979,2480,39.5,2695,470,59.3,45.1,1162,75.8,55.4,1515,115,7.6,61,0.37,14.2
12,,,,Country,Comp,LgRank,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
13,Atlético Madrid (8 Seasons),Atlético Madrid (8 Seasons),Atlético Madrid (8 Seasons),,1 League,,242.2,160,16,3,17,11,134.2,0.24,+30.2,+0.18,979,2480,39.5,2695,470,59.3,45.1,1162,75.8,55.4,1515,115,7.6,61,0.37,14.2
14,Rio Ave (1 Season),Rio Ave (1 Season),Rio Ave (1 Season),,1 League,,27.8,40,,,,,,,,,,,,,,,,,,,,,,,,
15,Benfica (1 Season),Benfica (1 Season),Benfica (1 Season),,1 League,,15.0,5,,,,,,,,,,,,,,,,,,,,,,,,
16,União de Leiria (1 Season),União de Leiria (1 Season),União de Leiria (1 Season),,1 League,,16.0,29,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,La Liga (8 Seasons),La Liga (8 Seasons),La Liga (8 Seasons),,,,242.2,160,16,3,17,11,134.2,0.24,+30.2,+0.18,979,2480,39.5,2695,470,59.3,45.1,1162,75.8,55.4,1515,115,7.6,61,0.37,14.2
19,Primeira Liga (3 Seasons),Primeira Liga (3 Seasons),Primeira Liga (3 Seasons),,,,58.8,74,,,,,,,,,,,,,,,,,,,,,,,,
