,Season,Age,Squad,Comp,LgRank,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,2021,18,es  Spain,Friendlies (M),,0.3,,,,,,,,,,,,,,,,,,,,,,,
1,2021,18,es  Spain,UEFA Euro,SF,7.0,7.0,5.0,3.0,3.0,1.0,3.0,7.0,42.9,4.0,104.0,38.0,36.5,21.0,51.0,32.0,8.0,0.0,0.0,8.0,7.0,14.0,1.0,0.0
2,2022,19,es  Spain,WCQ — UEFA (M),,2.0,,3.0,,,,,,,,,,,,,,,,,,0.0,,,
3,2 Seasons,2 Seasons,1 Club,3 Leagues,,9.3,7.0,8.0,3.0,3.0,1.0,3.0,7.0,42.9,4.0,104.0,38.0,36.5,21.0,51.0,32.0,8.0,0.0,0.0,8.0,7.0,14.0,1.0,0.0
4,UEFA Euro (1 Season),UEFA Euro (1 Season),UEFA Euro (1 Season),,,7.0,7.0,5.0,3.0,3.0,1.0,3.0,7.0,42.9,4.0,104.0,38.0,36.5,21.0,51.0,32.0,8.0,0.0,0.0,8.0,7.0,14.0,1.0,0.0
5,WCQ — UEFA (M) (1 Season),WCQ — UEFA (M) (1 Season),WCQ — UEFA (M) (1 Season),,,2.0,,3.0,,,,,,,,,,,,,,,,,,0.0,0.0,,
6,Friendlies (M) (1 Season),Friendlies (M) (1 Season),Friendlies (M) (1 Season),,,0.3,,,,,,,,,,,,,,,,,,,,,0.0,,
